var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
m4_1_94	1	1.95323480120425	0.535964034594241	3.13444802652576e-4	0.0243089498344944	0.00121841620723412	m4_1	duration of breastfeeding
hv106_11_3	1	2.83697926110375	0.375596715813284	3.0667e-12	0.021976466515968	1.21598531822145e-11	hv106_11	highest educational level attained
hv109_11_5	1	2.83697926110375	0.375596715813284	3.0667e-12	0.021976466515968	1.21598531822145e-11	hv109_11	educational attainment
sh17a_11_4	1	2.83697926110375	0.375596715813284	3.0667e-12	0.021976466515968	1.21598531822145e-11	sh17a_11	level of education attended
v535_0	1	-1.39989805003517	0.393942417737833	4.4259931032519e-4	0.0209148787217899	0.00171460107611496	v535	ever been married or in union
v231	1	1.29879462724288e-4	4.29608442838339e-5	0.00274163708425195	0.0184814038351768	0.0102288477925987	v231	cmc pregnancy ended
hc68_3_3	1	-16.1314040109866	0.528400890675392	1.273e-68	0.0172773637221244	1.52358e-67	hc68_3	mother's highest educational level (for preliminary and final report)
v535_2	1	1.22566111499991	0.414591929860606	0.00336575148060148	0.0142863043820542	0.0124754993755302	v535	ever been married or in union
hmla	1	-0.423322218646765	0.16116965401074	0.0090508800970765	0.0119448785793879	0.0321338038106978	hmla	line number of person who slept in this net
v013_1	1	-1.63584738523355	0.512925728771006	0.00156450533754361	0.0105143285400713	0.00593442057977343	v013	age in 5-year groups
v770f_1	1	2.98494894886659	0.974589637891687	0.00244405089821981	0.0103928622579704	0.00916367970742267	v770f	sought sti advice/treatment from: ambulatory treatment center
v414k_1	1	-16.0288368248512	0.442740006885148	1.3672e-109	0.0103787926399346	9.56619323076923e-108	v414k	gave child mangoes, papayas, other vitamin a fruits
hc62_2	1	-0.24912930680997	0.0873644608594917	0.00470892003706274	0.0102527414945085	0.017307980263543	hc62	mother's highest year of education
mm4_03	1	-0.00185901981406571	7.23296153494685e-4	0.0106102899517168	0.00955072427210035	0.0372918073418918	mm4	NA
v829_15	1	1.06277025610766	0.313093618145017	7.74859443223439e-4	0.00953468328645446	0.00297891863717684	v829	place where last hiv test was taken
hb66_03_3	1	-16.1383455471431	0.613146928468011	1.0989e-56	0.00872401781990895	9.086904e-56	hb66_03	man's highest educational level
ha57_4	1	-0.83747041854833	0.295127533162504	0.00482839396513725	0.006756403088371	0.0177093030269711	ha57	anemia level
v457_4	1	-0.83747041854833	0.295127533162504	0.00482839396513725	0.006756403088371	0.0177093030269711	v457	anemia level
v536_0	1	-3.59444473762102	1.01812450916298	4.74368410827732e-4	0.00657942902790409	0.00183610853825066	v536	recent sexual activity
ha66_2_3	1	-15.1464456560133	0.318874432561955	5.3928e-138	0.00652045741684881	2.0438712e-135	ha66_2	woman's highest educational level
mm3_02	1	0.0223523324687726	0.00816161994521419	0.0065081625639301	0.00631146667373694	0.0235849588372543	mm3	NA
v624_0	1	-3.54285421761144	1.01900475636616	5.76042786831621e-4	0.00622401992233168	0.00222397503778456	v624	unmet need
v604_0	1	0.838016391409689	0.335718722030019	0.0130678312950793	0.00611858828506251	0.0454376886315143	v604	preferred waiting time for birth of a/another child (grouped)
mm3_03	1	0.0212005226157251	0.00801317959574567	0.0085546725478812	0.00608760994316082	0.0305869895815752	mm3	NA
v502_2	1	0.933044529179525	0.319117971395564	0.00369884667533799	0.0058126140639797	0.0136656008768783	v502	currently/formerly/never in union
b0_05_0	1	15.0343440946394	0.411099683021505	3.5255e-106	0.00573458381362568	1.97950296296296e-104	b0_05	child is twin
v501_0	1	-0.807980590778652	0.30439794697097	0.00833452589369138	0.0056887447599846	0.0298703102951209	v501	current marital status
v502_0	1	-0.807980590778652	0.30439794697097	0.00833452589369138	0.0056887447599846	0.0298703102951209	v502	currently/formerly/never in union
v513_0	1	-0.807980590778652	0.30439794697097	0.00833452589369138	0.0056887447599846	0.0298703102951209	v513	cohabitation duration (grouped)
ha61_3_9	1	-15.1037913803348	0.654306577894284	2.086e-59	0.0056337627167925	1.84216077669903e-58	ha61_3	read consent statement - hiv
hv101_12_6	1	-14.9502349239088	1.05626250290313	1.392e-27	0.00528380551135332	6.37544410876133e-27	hv101_12	relationship to head
hb65_03_2	1	-15.6124212462235	0.598131641259952	2.9524e-56	0.00511037311516627	2.41994572972973e-55	hb65_03	result of man's individual interview
v414o_1	1	-14.8877801344515	0.403821783099639	1.8008e-111	0.00473525721383627	1.3650064e-109	v414o	gave child food made from beans, peas, lentils, nuts
hv106_04_3	1	-15.2882782515839	0.312311096445211	2.1736e-150	0.00440906093638771	1.41221897142857e-147	hv106_04	highest educational level attained
hv109_04_5	1	-15.2882782515839	0.312311096445211	2.1736e-150	0.00440906093638771	1.41221897142857e-147	hv109_04	educational attainment
sh17a_04_4	1	-15.2882782515839	0.312311096445211	2.1736e-150	0.00440906093638771	1.41221897142857e-147	sh17a_04	level of education attended
v012	1	0.0312332926150431	0.0101600188910399	0.00228886674913068	0.00440132728614395	0.0086244954225736	v012	respondent's current age
ha1	1	0.0311474782960676	0.0101543797037257	0.0023396475344583	0.00437667672275566	0.00877946946098709	ha1	woman's age in years
hml16	1	0.0311474782960676	0.0101543797037257	0.0023396475344583	0.00437667672275566	0.00877946946098709	hml16	corrected age from individual file
v447a	1	0.0311474782960676	0.0101543797037257	0.0023396475344583	0.00437667672275566	0.00877946946098709	v447a	women's age in years (from household questionnaire)
h31e_1_2	1	-15.1562094331684	0.41861496897092	1.2498e-101	0.00425469226255937	5.41341942857143e-100	h31e_1	had fever/cough in last 2 weeks: amount offered to eat
ha32	1	-0.00254993772712323	8.46823152506841e-4	0.00280502333852079	0.00422569847424581	0.0104567591340923	ha32	date of birth (cmc)
s1009c_1	1	-15.1834729988415	0.621542752202506	2.9654e-53	0.00417557937223145	2.30540841025641e-52	s1009c	main reason not satisfied with services
v842_96	1	-14.7613199269447	0.388273624774815	5.7361e-110	0.00415694017049328	4.0762160625e-108	v842	place were hiv test was taken as part of antenatal visit
b0_05_2	1	-15.1055180879593	0.442897457576363	1.7266e-99	0.00413794138609835	6.76946275862069e-98	b0_05	child is twin
hv121_12_9	1	-14.4606361774953	1.05651485040169	1.7573e-26	0.00411992567313568	7.88185443786982e-26	hv121_12	member attended school during current school year
hv122_12_9	1	-14.4606361774953	1.05651485040169	1.7573e-26	0.00411992567313568	7.88185443786982e-26	hv122_12	educational level during current school year
v769_1	1	0.868790272221957	0.336413338108524	0.0102495855406438	0.00401059489937516	0.0361637820316897	v769	can get a condom
v767b_96	1	-14.9115801993616	0.584020095521952	3.2184e-57	0.00390771971413262	2.70559763401109e-56	v767b	relationship with 2nd to most recent sex partner
v784h_0	1	14.93370524588	0.556215760724344	9.8699e-81	0.00385288876328249	1.71985843678161e-79	v784h	place for hiv test: public dispensary
v784e_0	1	14.6619488009121	0.393658224952191	9.8096e-113	0.0038206261131758	8.26186311111111e-111	v784e	place for hiv test: public laboratory
m57n_1_0	1	14.9636610292299	0.341051482012224	5.5525e-136	0.00381226594695694	1.94252076923077e-133	m57n_1	antenatal care: private health center
v778_1	1	1.25299358535788	0.395777821688038	0.00169154831375358	0.00380833861655827	0.00640030094089125	v778	willing to care for relative with aids
s601ab_0	1	1.77725824253904	0.652141456743546	0.00677082357519599	0.00361538165385167	0.0244588606989606	s601ab	type of current marriage: religious
v304_10_9	1	1.37305500409448	0.414470386636622	0.00102712813355839	0.00360978088211394	0.0039354496642153	v304_10	knows method
v778_0	1	-1.59249600912836	0.436006384353107	3.0237662489706e-4	0.0035816975103008	0.00117639768180653	v778	willing to care for relative with aids
m57n_1_1	1	-15.0515319919092	0.353940354948889	2.4708e-132	0.00357881089963574	6.242888e-130	m57n_1	antenatal care: private health center
s601ab_1	1	-1.76123419422771	0.652027638770267	0.00726976102053851	0.00352745903990093	0.0261780468103002	s601ab	type of current marriage: religious
ml13f_1_0	1	15.2069453007296	0.468574041570997	8.4985e-92	0.00351984865226518	2.43089169811321e-90	ml13f_1	combination with artemisinin - coartem taken for fever/cough
v761b_9	1	-15.0409151664115	0.641174465025539	1.0525e-52	0.00350613809087841	8.08576013513514e-52	v761b	condom used during last sex with 2nd to most recent partner
v767b_99	1	-15.0409151664115	0.641174465025539	1.0525e-52	0.00350613809087841	8.08576013513514e-52	v767b	relationship with 2nd to most recent sex partner
v834a	1	0.0212561624187108	0.00805584154613132	0.00872820612938599	0.00348532805879564	0.0311096249815419	v834a	age of most recent partner
hv101_12_7	1	-14.7558574303045	0.68015084890207	7.2722e-44	0.00322522399920577	4.45740776280323e-43	hv101_12	relationship to head
ml13z_1_0	1	15.2604838401163	0.456573379501639	2.0853e-94	0.00313313620728273	6.774246e-93	ml13z_1	don't know if or what was taken for fever/cough
hv109_12_2	1	-14.9544897041483	0.866282213807477	1.1619e-34	0.003095257290602	5.9845087202718e-34	hv109_12	educational attainment
b10_05_5	1	-14.9423189001255	0.498905212584146	1.6802e-87	0.00294271764028853	3.6562438277512e-86	b10_05	completeness of information
s1009c_6	1	-14.100123186738	0.633993860439306	1.3966e-48	0.00289465200123895	9.83240990712074e-48	s1009c	main reason not satisfied with services
sh17a_12_3	1	-14.6931520071062	0.630469842111928	6.0264e-47	0.00288483992125643	4.04248778761062e-46	sh17a_12	level of education attended
m73_1_42	1	-14.2437934209083	0.598672738482062	7.9391e-68	0.00288431643099818	9.258212e-67	m73_1	place baby was first checked
v201	1	0.0912546568011919	0.0334738850976133	0.00675320792817605	0.00287914220784447	0.0244146181695904	v201	total children ever born
v224	1	0.0912546568011919	0.0334738850976133	0.00675320792817605	0.00287914220784447	0.0244146181695904	v224	entries in birth history
hv106_06_3	1	-14.2777968757062	0.51430172235001	1.6403e-84	0.00279260304244988	3.21555362068966e-83	hv106_06	highest educational level attained
hv109_06_5	1	-14.2777968757062	0.51430172235001	1.6403e-84	0.00279260304244988	3.21555362068966e-83	hv109_06	educational attainment
sh17a_06_4	1	-14.2777968757062	0.51430172235001	1.6403e-84	0.00279260304244988	3.21555362068966e-83	sh17a_06	level of education attended
