name	estimate	se	p.value	Nag.r2	adj.p.val
hb62_03?	1.72175042850599	1.26538805945845	0.176332051351507	0.0332780364659355	0.362119282350504
hb62_04?	-14.9861210024474	1.01345861185225	7.2291e-36	0.00908256680478747	3.94283213349225e-35
hb62_05?	-13.9667828210135	1.01249717319159	1.012e-33	0.00435543593285481	5.41627134502924e-33
hv008	0.0582040194998006	0.095635671160518	0.543204728897726	0.000302549014202791	0.721330481554264
hv010	-0.507558300434745	0.126447977113731	7.38477900128964e-05	0.0138998630267535	0.000298522515105136
hv011	-0.174082539745554	0.109345693717536	0.112327723612203	0.00192202989127754	0.262117115374524
hv012	-0.0953563883741819	0.0327795500006243	0.00387005508800229	0.00549686552678064	0.0140439112471836
hv013	-0.107528793504484	0.0332022819857211	0.00132258207102999	0.00710390545933826	0.00505608651381222
hv014	-0.0147568320444841	0.0800659861498342	0.853884067107692	1.95926875452557e-05	0.924357423642969
hv016	0.00378855477787786	0.014583298271875	0.795188921584199	5.27451979026594e-05	0.889460891021583
hv017	0.0269435473903257	0.447378333454056	0.952012337513491	4.7296290963672e-06	0.972536391163435
hv019	-0.0220748322668494	0.0194038878734338	0.25608702635421	0.00109204956507369	0.462634912197736
hv022	0.0235511738189244	0.01632612705247	0.150091404546778	0.00145433671722739	0.324143087171386
hv028	5.46623905664773e-08	8.09738090724915e-08	0.500105843917414	0.000895425316161602	0.682518443711926
hv030	0.00315537986955215	0.00305226777160704	0.301990463843504	0.00131396708980436	0.51287484953202
hv031	0.00315556906199907	0.00305232497370493	0.301970570033668	0.00131410135073928	0.51287484953202
hv032	-0.00164488192784055	0.0113050849006981	0.884404964456058	1.63486909197097e-05	0.940664052460214
hv035	-0.0723176617204533	0.0739567325076118	0.328866704693942	0.000396742332518851	0.542131441957367
hv040	0.000298630241416039	0.000479021700940001	0.53343861643997	0.000202502846631147	0.712497112909896
hv041	-0.246716983195619	0.0650695177844363	0.00017777702112644	0.00963000272550341	0.000712353457683529
hv204	-0.00011859097438218	0.00023998804662433	0.621524441549602	0.000171454829119844	0.778084552037509
hv216	-0.223767593943166	0.0836918675538652	0.00787267577362542	0.006489225651375	0.0270663894365965
hv218	-2.13054454946506	0.252565085602254	1.0268e-15	6.03377973251717e-06	4.3067248395967e-15
hv220	-0.015915712366808	0.00742470105242036	0.0327897524598589	0.00222188774848042	0.0973060358341857
hv238	-0.00288237369683143	0.00648556357997163	0.657075631329389	0.000512252205853048	0.804166378433614
hv246b	-0.442299581849141	0.0250405350756913	1.0755e-49	0.000314563778830879	7.4681153262519e-49
hv246d	-0.20701589241101	0.346992818685622	0.551181100173191	9.26352310466338e-05	0.727698994342909
hv246e	-0.186421672156666	0.115076939699531	0.106187244137056	0.000756306233473114	0.25136085259917
hv246f	-0.0280842928935478	0.0168637662432395	0.096783640314489	0.00143943391386603	0.236961978640504
hv246g	-0.0194205901604046	0.0512087788958452	0.704749584077257	1.8434470624773e-05	0.836558779957854
hv246h	-0.0203529414064974	0.0340900188617149	0.550890807181283	6.41306278456044e-05	0.727525637420361
hv246i	-4.88164793423132	0.503855575585126	1.033e-19	3.33198447265426e-05	4.66634550839092e-19
hv271	-1.3688915915554e-06	1.08221559077432e-06	0.206795272269323	0.000822145145322861	0.402747622210334
hml1a	-0.086539577903409	0.0755836733859849	0.253054300366796	0.000843174331078167	0.459879459284535
hml2	-0.0444545233305322	0.160505008757236	0.781978128196231	9.30566430917823e-05	0.881880723075971
hv107	-0.0957933360591316	0.0699173767556912	0.171583534066313	0.00181614036104638	0.35705604906205
hv108	-0.00397364056366022	0.010050573737254	0.692827780879027	5.17330951745887e-05	0.828207921970331
hv123	0.00475578151059959	0.00952131733665443	0.617928245411317	1.5748003780125e-05	0.774885769895871
hv124	-0.0967131174728141	0.0527771288380349	0.067775213801906	0.0112765030630646	0.176919211841142
