var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
v770_0	1	2.93777576657764	1.0921442025855	0.00812357815097719	0.0412169882138715	0.0216381833423698	v770	sought advice/treatment for last sti infection
hb62_04?	1	-14.9853271732436	1.01215523592223	4.063752e-34	0.0264967571976423	1.61383746344411e-33	hb62	NA
hc10_3	1	3.13013984308856e-4	1.26121720818567e-4	0.0142798573364079	0.025074378818452	0.0369142034782855	hc10	weight/height percentile
sh17a_11_2	1	-16.1417425790426	0.539555216625936	1.101428e-62	0.0210378120409735	9.91662401369863e-62	sh17a_11	level of education attended
v770o_0	1	16.6692746239134	0.700026966491384	2.781666e-48	0.0169079374384808	1.650790048307e-47	v770o	sought sti advice/treatment from: private pharmacy
hmlb	1	-0.838535864609104	0.234760852038345	4.18798464410376e-4	0.0152462364308398	0.00122608147320142	hmlb	line number of person who slept in this net
hv122_11_2	1	-15.9366502773532	0.490357545880604	4.32562e-67	0.013965499035846	4.21187221481481e-66	hv122_11	educational level during current school year
v770o_1	1	-16.6334352381621	0.719583539916996	5.765355e-47	0.0127186521552227	3.22491878617021e-46	v770o	sought sti advice/treatment from: private pharmacy
hb1	1	0.0539662840794731	0.0103912296370772	3.60218446616136e-7	0.0104266173619727	1.11282525987523e-6	hb1	man's age in years
hml16	1	0.0539662840794731	0.0103912296370772	3.60218446616136e-7	0.0104266173619727	1.11282525987523e-6	hml16	corrected age from individual file
mv012	1	0.0539145345788219	0.0103852957587033	3.63844688600411e-7	0.0104094536993909	1.12270855203108e-6	mv012	current age
mv010	1	-0.0539640774676068	0.0101888156945916	2.15076966719843e-7	0.0103356741249681	6.67576559039513e-7	mv010	year of birth
hb32	1	-0.00448742739130731	8.52036616882113e-4	2.49774616061232e-7	0.0103343153735456	7.74360218897381e-7	hb32	date of birth (cmc)
hv113_11_1	1	16.0512332302765	0.80575944823753	7.373758e-40	0.00935538793595081	3.524656324e-39	hv113_11	father alive
v770k_0	1	16.4712809690629	0.868748702223624	1.39238e-38	0.00863493126065007	6.39959269230769e-38	v770k	sought sti advice/treatment from: private hospital/clinic
sh16_09_1	1	16.2340753880172	0.432210974691412	1.596616e-84	0.00853898516274054	2.79833564266667e-83	sh16_09	ever attended school
ha68_1	1	0.561977564065818	0.197786961230951	0.00510932865331558	0.00831726963336565	0.0140213204901531	ha68	woman's highest educational level (for preliminary and final report)
hb1_01	1	0.0513614973763672	0.01663684885336	0.00219010013281903	0.00831105673684451	0.00621789767730154	hb1	man's age in years
sh19a_11_2	1	-15.8141286622254	0.482643506743803	1.578686e-67	0.00827443038992948	1.54864384104478e-66	sh19a_11	level of education attending
hb32_01	1	-0.00426488437309556	0.00136458939835773	0.00193186454176929	0.00820973481408804	0.00549661458908167	hb32	date of birth (cmc)
hv140_08_2	1	-16.2625451789545	0.700734425507211	1.290384e-52	0.00818712845479286	8.834425875e-52	hv140_08	member has a birth certificate
hv113_11_0	1	-15.1332317125675	0.908502728677123	5.380122e-33	0.00790006718566394	2.10481260982143e-32	hv113_11	father alive
sh16_09_0	1	-16.2393578332799	0.436678956119614	7.287909e-84	0.00772905819695668	1.25228187980392e-82	sh16_09	ever attended school
hv111_11_0	1	-15.2521992484704	0.946124456847904	8.213444e-32	0.00752612378314277	3.13398320406386e-31	hv111_11	mother alive
hv111_11_1	1	15.2521992482453	0.946124455662462	8.213443e-32	0.00752612378314255	3.13398320406386e-31	hv111_11	mother alive
hv121_0	1	2.07719315824903	0.570389370560644	3.13940870563252e-4	0.00748131561831011	9.24244735398421e-4	hv121	member attended school during current school year
hv122_0	1	2.07719315824903	0.570389370560644	3.13940870563252e-4	0.00748131561831011	9.24244735398421e-4	hv122	educational level during current school year
mv304_02_9	1	3.93373649707269	1.15555742381132	7.44640247564699e-4	0.00736888880786535	0.00216555222438893	mv304_02	knows contraceptive method
v770v_0	1	16.4627331738156	0.746765383824405	6.773001e-45	0.00669259472244754	3.58996363487903e-44	v770v	sought sti advice/treatment from: traditional healer
sh19a_0	1	2.02512722149776	0.598211326153082	7.95958970679067e-4	0.00660457141990534	0.0023071401696971	sh19a	level of education attending
hv121_2	1	-2.02512722149777	0.598211326153077	7.95958970678955e-4	0.00660457141990523	0.0023071401696971	hv121	member attended school during current school year
v013_1	1	-2.4624707423709	0.671509147382507	2.85491771767609e-4	0.00650269046290586	8.44272067465741e-4	v013	age in 5-year groups
mv034b_1	1	0.0414795146052448	0.0154698127014596	0.00770989263678958	0.00621508577342378	0.0207040937100304	mv034b	NA
hv102_11_0	1	-14.9056420511382	0.715933620619741	1.05021e-44	0.00614517530388492	5.54418090361446e-44	hv102_11	usual resident
hv102_11_1	1	14.9056420505044	0.715933613297155	1.050209e-44	0.00614517530388481	5.54418090361446e-44	hv102_11	usual resident
hb66_03_3	1	-15.7173046071448	0.536224949271459	2.029716e-72	0.00596512402054805	2.2326876e-71	hb66_03	man's highest educational level
ha66_2_3	1	-15.8745848337591	0.419231406759344	2.241022e-104	0.0056752537255641	7.3645585475e-103	ha66_2	woman's highest educational level
v512	1	0.03944470333489	0.0162463149120732	0.0157266758420743	0.00533312040502376	0.0402976908273035	v512	years since first cohabitation
v218	1	0.124143117057294	0.0318246093930659	1.15977768438243e-4	0.0053323998883531	3.45306402292345e-4	v218	number of living children
sh19a_11_3	1	-14.996232728404	0.824218543549314	1.043197e-38	0.00532580140844852	4.81151739122807e-38	sh19a_11	level of education attending
v508	1	-0.0394082235824487	0.0159012344793761	0.0137063496262901	0.00532574620030501	0.0356615779865449	v508	year of first cohabitation
sh19a_10_2	1	-15.4193209860659	0.422415690277746	9.459935e-84	0.00530850575200259	1.61494604642857e-82	sh19a_10	level of education attending
hc68_3_0	1	-15.5461386699439	0.780784590880929	6.559176e-39	0.00520235029488958	3.04128284021164e-38	hc68_3	mother's highest educational level (for preliminary and final report)
v509	1	-0.0032474021015386	0.00132380885640031	0.0146873705456426	0.00519229131149457	0.0378189002590543	v509	date of first cohabitation (cmc)
v770x_0	1	15.2210691534485	0.761861184936525	1.003447e-40	0.00505292354238673	4.92175776679104e-40	v770x	sought sti advice/treatment from: other
v770k_1	1	-15.479028369445	0.977728471475761	1.181419e-31	0.00502377715502	4.50137761014493e-31	v770k	sought sti advice/treatment from: private hospital/clinic
v201	1	0.110550106459505	0.0283252875039285	1.15054165936787e-4	0.0049931353127306	3.42944900507725e-4	v201	total children ever born
hc11_3	1	-2.3826181020433e-4	4.43837299152013e-5	3.30841434107846e-7	0.00464095248099394	1.02447836309721e-6	hc11	weight/height standard deviation
v770n_0	1	15.3499849446686	0.788184566042968	1.130418e-39	0.00454837149451315	5.37408484990958e-39	v770n	sought sti advice/treatment from: private lab
hv101_11_8	1	-15.1292752147731	0.911487845771305	6.98514e-35	0.00453214660503243	2.82957366101695e-34	hv101_11	relationship to head
hc12_3	1	-2.55527479674823e-5	5.0065761710389e-6	1.09008979459345e-6	0.00451070357812078	3.35186674852185e-6	hc12	weight/height percent of ref. median
v013_2	1	-1.77428520823492	0.591460166409076	0.00290484579855884	0.00446648478467382	0.00815030907621258	v013	age in 5-year groups
v770b_0	1	15.3869881961294	0.798383133059465	3.018971e-39	0.00438572815978278	1.41729906410714e-38	v770b	sought sti advice/treatment from: military infirmary
hv122_2	1	-1.72741930828147	0.59603233553778	0.00400192541987909	0.00433299645243168	0.0110515356395611	hv122	educational level during current school year
hb33_03_1	1	15.3101790277957	0.496685239617066	7.427869e-76	0.0042548273090508	1.05556041086486e-74	hb33_03	completeness of hb32 information
v770f_0	1	15.3667505738045	0.80338216334072	6.124587e-39	0.00425121798080486	2.84479491572438e-38	v770f	sought sti advice/treatment from: ambulatory treatment center
hv103_12_1	1	15.3727962739353	0.94598086504495	4.591195e-30	0.00421670225218185	1.6928824200561e-29	hv103_12	slept last night
hv106_11_3	1	-15.1741124356833	0.983579264099428	5.380598e-32	0.00409755615135188	2.06504994773723e-31	hv106_11	highest educational level attained
hv109_11_5	1	-15.1741124356833	0.983579264099428	5.380598e-32	0.00409755615135188	2.06504994773723e-31	hv109_11	educational attainment
sh17a_11_4	1	-15.1741124356833	0.983579264099428	5.380598e-32	0.00409755615135188	2.06504994773723e-31	sh17a_11	level of education attended
hv103_12_0	1	-15.3983706965949	0.961292692133959	1.323627e-29	0.00406711899826717	4.86007735055866e-29	hv103_12	slept last night
hv106_03_3	1	-15.7581174116354	0.35083010030795603	1.818064e-140	0.00390974379412345	3.41406446857143e-138	hv106_03	highest educational level attained
hv109_03_5	1	-15.7581174116354	0.35083010030795603	1.818064e-140	0.00390974379412345	3.41406446857143e-138	hv109_03	educational attainment
sh17a_03_4	1	-15.7581174116354	0.35083010030795603	1.818064e-140	0.00390974379412345	3.41406446857143e-138	sh17a_03	level of education attended
hv106_09_3	1	-15.0727423892153	0.787875407773652	2.11557e-47	0.00383528938559641	1.20125994168467e-46	hv106_09	highest educational level attained
hv109_09_5	1	-15.0727423892153	0.787875407773652	2.11557e-47	0.00383528938559641	1.20125994168467e-46	hv109_09	educational attainment
sh17a_09_4	1	-15.0727423892153	0.787875407773652	2.11557e-47	0.00383528938559641	1.20125994168467e-46	sh17a_09	level of education attended
hv101_12_7	1	-15.3528187312853	0.992122361978131	1.620636e-28	0.00381112431646891	5.85254401648352e-28	hv101_12	relationship to head
mv304_10_9	1	1.63910767553193	0.602687626128795	0.0068775809984065	0.0037321543452733	0.0185638197585325	mv304_10	knows contraceptive method
hb33_03_6	1	-15.3696766632281	0.522026484730086	1.011165e-72	0.00372086523804183	1.12642067161017e-71	hb33_03	completeness of hb32 information
hb65_03_1	1	15.369676660769	0.522026477188174	1.011162e-72	0.00372086523804149	1.12642067161017e-71	hb65_03	result of man's individual interview
hv140_04_0	1	-14.6661206160205	0.7420912810953	3.322073e-44	0.00356144584879514	1.73632801530815e-43	hv140_04	member has a birth certificate
v770w_0	1	15.2249422750447	0.807981418688292	2.468923e-38	0.00349946356537101	1.12297553062284e-37	v770w	sought sti advice/treatment from: market/shop
hv115_1	1	0.743513267852962	0.299678984901115	0.0135934975566129	0.00347270079388728	0.0354185382322451	hv115	current marital status
hv116_1	1	0.743513267852962	0.299678984901115	0.0135934975566129	0.00347270079388728	0.0354185382322451	hv116	currently, formerly, never married
v204	1	0.24693821409441	0.0599178837716931	4.7604448459497e-5	0.00346444894261544	1.4418444124426e-4	v204	sons elsewhere
v770p_0	1	15.2308022753146	0.813396640833553	4.421257e-38	0.00339333859344804	1.99032271455479e-37	v770p	sought sti advice/treatment from: cnss hospital
hv101_09_11	1	-15.5332446725863	0.680459268331465	4.357847e-58	0.00337700377719152	3.3401690271137e-57	hv101_09	relationship to head
hb62_05?	1	-15.1325844183739	1.01606284114566	3.199933e-37	0.00336297108229755	1.34172629298246e-36	hb62	NA
hv121_12_9	1	-15.6163947915008	1.0621455211575	6.048016e-27	0.00330598122072689	2.12569974117647e-26	hv121_12	member attended school during current school year
hv122_12_9	1	-15.6163947915008	1.0621455211575	6.048016e-27	0.00330598122072689	2.12569974117647e-26	hv122_12	educational level during current school year
v770c_0	1	15.2557795316371	0.81958423705667	7.647973e-38	0.00329609871365444	3.41947636343537e-37	v770c	sought sti advice/treatment from: mother and child health center
v770e_0	1	15.2607788832611	0.820632952009559	8.348099e-38	0.00328098715624114	3.55131913770227e-37	v770e	sought sti advice/treatment from: public laboratory
v770i_0	1	15.2607788832611	0.820632952009559	8.348099e-38	0.00328098715624114	3.55131913770227e-37	v770i	sought sti advice/treatment from: public health hut
v770l_0	1	15.2607788832611	0.820632952009559	8.348099e-38	0.00328098715624114	3.55131913770227e-37	v770l	sought sti advice/treatment from: private doctor
v770m_0	1	15.2607788832611	0.820632952009559	8.348099e-38	0.00328098715624114	3.55131913770227e-37	v770m	sought sti advice/treatment from: private nurse
