var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hb62_04?	-16.5062110966009	0.793278176840652	3.9288890000000004e-52	0.0174358488096007	2.53259266421569e-51	hb62	
hb62_05?	-15.0617993560156	1.01361114080666	3.940179e-37	0.0112137022042521	1.69048462805873e-36	hb62	
hv008	0.0313397225026334	0.135555889750236	0.817307287834215	3.8883135718093e-5	0.916248153028127	hv008	date of interview (cmc)
hv010	-0.428362081823585	0.149550294896574	0.00444650165575278	0.00495266282506468	0.0126973934360801	hv010	number of eligible women in household
hv011	-0.106511582057059	0.162800774917091	0.513409698093084	3.88240226285252e-4	0.714049447903126	hv011	number of eligible men in household
hv012	-0.106528172541326	0.0453851881191186	0.0195056015485142	0.00311002407779037	0.0517656226766825	hv012	number of de jure members
hv013	-0.110763350741226	0.0423103805766822	0.00925558124437349	0.00348797837045223	0.0256233459712656	hv013	number of de facto members
hv014	-0.406028453786062	0.196283043962705	0.0393634074951942	0.00339655644632519	0.0980357591973113	hv014	number of children 5 and under (de jure)
hv016	0.0181110324421969	0.0200819933778724	0.367792012611502	5.51295682920339e-4	0.576455895809446	hv016	day of interview
hv017	0.074260931574562	0.487029499424871	0.87890369463879	2.16720329493381e-5	0.949646878053159	hv017	number of visits
hv019	-0.0245125046926868	0.0269262824826748	0.363299209302612	5.98324561640107e-4	0.572827889967548	hv019	keyer identification
hv022	0.0158211654768838	0.0206682000895944	0.444530832978264	3.09145594198368e-4	0.652295026823253	hv022	sample strata for sampling errors
hv028	-1.8141781736594e-7	8.49494267753404e-8	0.0334480123972073	0.00298501650660465	0.0849114600431035	hv028	household weight for male subsample (6 decimals)
hv030	-0.00455342046724573	0.003788380307227	0.230247085125215	0.00113658339367639	0.414575733278925	hv030	field supervisor
hv031	-0.00455308936543678	0.0037885548823786	0.230302337003996	0.00113635794388989	0.414575733278925	hv031	field editor
hv032	-1.86405114005417e-4	0.0261573961743322	0.994318399713372	8.56984481156786e-8	0.99621233952235	hv032	office editor
hv035	-0.501707558875023	0.229760842188302	0.0296949613141809	0.00419511220346902	0.076044545527065	hv035	number of eligible children for height and weight
hv040	8.05652489435188e-4	5.92776918939819e-4	0.175037989479268	6.81868738177216e-4	0.337005792335633	hv040	cluster altitude in meters
hv041	-0.178408618216362	0.0911238127547449	0.0510875856064585	0.00266364286412402	0.123834424096761	hv041	total adults measured
hv204	-5.78498664984216e-4	3.32569905287291e-4	0.0828827893224934	0.00192949666524633	0.181954704439197	hv204	time to get to water source (minutes)
hv216	-0.0436166509212466	0.0509749475127636	0.392812912933898	6.4418574817704e-4	0.603799883555443	hv216	number of rooms used for sleeping
hv218	-10.6199676654628	1.00950674165702	1.639592e-22	2.52411962512467e-5	5.58565668393782e-22	hv218	line number of head of household
hv220	0.0181936770587205	0.0101022054857128	0.0726218979723507	0.00133280113577117	0.164935744099553	hv220	age of head of household
hv238	0.00120494727166535	0.00687274888239597	0.86095252711159	6.04538498634177e-5	0.941063085555265	hv238	number of households sharing toilet
hv246b	0.118933088816431	0.0624048623628359	0.0575409026767749	5.4624568285e-4	0.136212937929719	hv246b	owns cows/ bulls
hv246d	-0.305712003566575	0.416585611091231	0.463560260601951	7.94298495806478e-5	0.669870046913808	hv246d	owns goats
hv246e	-0.0336097610271845	0.0612321616387601	0.583451676896145	3.10464078725481e-5	0.764562984672078	hv246e	owns sheep
hv246f	-0.00212724948044312	0.0137704959837375	0.877326671753704	5.31204006504193e-6	0.949534628276643	hv246f	owns chickens
hv246g	-0.00194053127891783	0.199721963625036	0.992253616080767	4.755063e-9	0.995281087068046	hv246g	owns pigs
hv246h	0.0564243068254588	0.0151267660544162	2.25255098548817e-4	7.3924514700674e-4	6.73205578617487e-4	hv246h	owns ducks
hv246i	-4.99252369879447	0.506687727991792	3.01547e-20	2.27651584060462e-5	9.96317349246231e-20	hv246i	owns rabbits
hv271	-2.58946699767427e-6	1.47517793881997e-6	0.0801257447779099	0.00138654693817253	0.178239425454199	hv271	wealth index factor score (5 decimals)
hml1a	-0.0294593374730219	0.117828443640418	0.802728304918039	4.02017005082245e-5	0.909031449283942	hml1a	number of mosquito bed nets with specific information
hml2	-0.329712710003685	0.202591498862213	0.104590509436546	0.00109880842887577	0.222731206330458	hml2	number of children under mosquito bed net previous night
hv107	-0.00309212359634078	0.0367554199182217	0.933006460253315	2.11097649727154e-6	0.967311701931357	hv107	highest year of education completed
hv108	-0.0256758833799607	0.0216118351299735	0.235669097679427	7.17397884114401e-4	0.421639269997886	hv108	education completed in single years
hv123	-0.809543504913829	0.524750746168437	0.124244211100216	0.00583330922021552	0.257500870840803	hv123	grade of education during current school year
hv124	-0.262792920789868	0.103093003050317	0.0112526964634029	0.01049777049124	0.0310541360952252	hv124	education in single years - current school year
