var	concordance	Estimate.x	SE.x	P.Val.x	Nag.R2.x	FDR.x	varOrig.x	varlabel.x
hv012	1	-0.135786647617303	0.0554783280966528	0.0148022362243618	0.00261024057440029	0.0364681845323767	hv012	number of de jure members
hv218	1	-9.91824714656865	1.00639603868952	1.0631e-20	2.17442539783841e-5	3.10579365558912e-20	hv218	line number of head of househ.
hv124	1	-5.01036107739856	0.342075757677543	2.3671e-39	0.00585572663940537	8.57298014981273e-39	hv124	education in single years - current school year
hv127	1	-2.40742944450466	0.377948253205387	1.4328e-9	0.00985979894423039	3.83004174153421e-9	hv127	grade of education during previous school year
hml16	1	0.0422503937557547	0.010387380638472	5.703223964973e-5	0.00387380715556329	1.50889673710777e-4	hml16	corrected age from individual questionnaire
sh20b	1	-2.19351563141929	0.307479093346106	2.0792e-11	0.00702066494765929	5.56178810511757e-11	sh20b	grade attended last year
ha0	1	-0.363404577449561	0.147050281855117	0.0138689303231296	0.00424177353130595	0.0342342198403735	ha0	index to household schedule
ha1	1	0.0423197989322992	0.0104008440753636	5.67021521295107e-5	0.00388488752989979	1.50119044789149e-4	ha1	women's age in years
ha32	1	-0.00353411783762943	8.60286026993431e-4	4.82096755630552e-5	0.00390134265274511	1.27722619916368e-4	ha32	date of birth (cmc)
v012	1	0.0422042944228672	0.0103886075283629	5.81996701396614e-5	0.0038720433150139	1.53767980942767e-4	v012	current age - respondent
v136	1	-0.129642471566504	0.0549381739001585	0.0187542786997658	0.00242505684466932	0.0453952127726496	v136	number of household members
b2_01	1	-0.0576809456464857	0.0217951043413681	0.00844975645846835	0.00278715564283583	0.0213200639147786	b2	NA
b3_01	1	-0.00495216815314212	0.00178374099713181	0.00575356582112485	0.00297892573249725	0.0146509497011922	b3	NA
b8_01	1	0.0634962324505586	0.0244110783245235	0.00963303806332669	0.00291129484725816	0.0242109104801479	b8	NA
v207	1	0.639635765557733	0.147359527973278	1.79273390220898e-5	0.00405056289858896	4.76583830497892e-5	v207	daughters who have died
v210	1	-12.9570878687561	0.397949117129926	1.2583e-115	2.3041741885621e-4	1.28759375661376e-114	v210	births in month of interview
v222	1	0.00497198705377111	0.00178286709013767	0.00554059654033465	0.00300283108371491	0.0141272428596008	v222	last birth to interview
v447a	1	0.042274609238409	0.0104018759639902	5.78226931990101e-5	0.00388336514921506	1.52876402798203e-4	v447a	women's age in years from household report
hv123_07	1	-0.970191445528766	0.399754129095904	0.0165958965277281	0.0183621146113946	0.0406027373619559	hv123	grade of education during current school year
hv128_10	1	-15.4595028311296	0.783105295315138	3.3941e-39	0.00590624056782763	1.22580567693744e-38	hv128	education in single years - previous school year
hivline	1	-0.363404577449561	0.147050281855117	0.0138689303231296	0.00424177353130595	0.0342342198403735	hivline	line
hv201_21	1	-12.897352672	0.340668396083552	9.5761e-136	2.54627560730913e-4	1.34692199272727e-134	hv201	source of drinking water
hv201_31	1	-12.8017856774031	0.316160589582353	3.551e-145	2.65032652651653e-4	5.89496480686695e-144	hv201	source of drinking water
hv201_51	1	-12.8696703372747	0.476098467463784	4.7338e-93	1.83211912899717e-4	3.63300365079365e-92	hv201	source of drinking water
hv201_71	1	-9.89921772684957	1.00558702131958	1.1614e-20	2.0834387073343e-5	3.38785460030166e-20	hv201	source of drinking water
hv201_96	1	-9.84761917180991	1.0071582121905	1.9815e-20	1.84343300366763e-5	5.74545877061469e-20	hv201	source of drinking water
hv201_99	1	-10.7165862782464	0.635798960921428	8.7589e-49	3.63180089199e-5	3.75603383592018e-48	hv201	source of drinking water
hv205_99	1	-10.7123049888965	0.566409229456367	8.9741e-58	5.47427239525611e-5	4.29601717821782e-57	hv205	type of toilet facility
hv207_9	1	-10.859696386388	0.661049646206438	6.174e-47	4.87043873893533e-5	2.54595223880597e-46	hv207	has radio
hv213_12	1	-13.7125371383641	0.24406393022658401	2.0268e-194	7.90276335831064e-4	7.3959079245283e-193	hv213	main floor material
hv213_21	1	-10.8992517879369	0.614403987544801	1.2416e-52	6.20128436643608e-5	5.60386091015169e-52	hv213	main floor material
hv213_96	1	-9.77015760268716	1.00615179719187	3.3899e-20	1.49947737978495e-5	9.69115535846268e-20	hv213	main floor material
hv217_0	1	-10.7240656609174	0.718709393648028	1.6636e-40	2.59427522965039e-5	6.06484901036758e-40	hv217	relationship structure
hv225_9	1	-10.8833997499698	0.828250975482429	2.6401e-32	3.57854643652233e-5	8.78821583476764e-32	hv225	share toilet with other households
hv226_1	1	-12.9055063651355	0.494052916879321	3.3997e-89	2.61019535145457e-4	2.4905378030303e-88	hv226	type of cooking fuel
hv226_3	1	-11.8969088820222	0.450058373868814	1.5966e-90	1.43769458412879e-4	1.18762476923077e-89	hv226	type of cooking fuel
hv226_5	1	-12.9618292144508	0.387316739617269	3.5629e-119	2.18685446769395e-4	3.83880144846797e-118	hv226	type of cooking fuel
hv231_9	1	-10.8972604596663	0.770714266492075	2.8156e-35	5.84027649375152e-5	9.54490867659948e-35	hv231	items present: water, tap
hv232_9	1	-10.8552001431985	0.678042198865944	2.4945e-42	6.85652160126171e-5	9.73635317860747e-42	hv232	items present: soap/other cleansing agent
hv233_9	1	-11.8586422185727	0.752896923765942	2.3977e-41	9.8181786720386e-5	8.91759961538461e-41	hv233	items present: basin
shlangr_1	1	-9.84803341926034	1.00795970529266	2.1018e-20	1.84532276279459e-5	6.07605560538117e-20	shlangr	home language of respondent
sh22a_9	1	-11.823060908418	0.412617924120969	7.7999e-100	1.24102167445739e-4	6.48817488172043e-99	sh22a	frequency of water availability
sh22b_96	1	-11.7789820797027	0.473037518212184	5.7487e-84	7.36010279570598e-5	3.9992754676259e-83	sh22b	disposal of hh waste
sh22b_99	1	-10.7139816045008	0.610573490062268	8.5635e-52	3.88697578393993e-5	3.79422886597938e-51	sh22b	disposal of hh waste
sh29b_9	1	-11.6253176951656	0.758792721516606	6.049e-37	1.09844256964919e-4	2.09467609668756e-36	sh29b	when bednets are used
sh32fa_9	1	-8.54480265433228	1.00816592384379	4.2847e-16	5.51471299148343e-6	1.15171783182766e-15	sh32fa	malaria message: tv
sh32fc_9	1	-10.7203454472522	0.794696520821875	1.4474e-34	2.16218811395219e-5	4.88103156059285e-34	sh32fc	malaria message: newspaper
sh32fe_9	1	-8.54480265433228	1.00816592384379	4.2847e-16	5.51471299148343e-6	1.15171783182766e-15	sh32fe	malaria message: leaflets
sh32ff_9	1	-9.68580421653659	0.781362979632362	3.5214e-30	1.97120469238588e-5	1.15137575655114e-29	sh32ff	malaria message: health worker
sh32g_9	1	-11.9000013825275	0.451461686308466	3.3344e-90	1.43129933969588e-4	2.46605338432122e-89	sh32g	message: give child chloroquine
sh34a_9	1	-11.6373298430755	0.57963037468262	6.7604e-63	5.27072715170718e-5	3.38282369987063e-62	sh34a	member of mho
shreintv_2	1	-11.7694575040573	0.669810127362389	6.7342e-52	9.97737775213503e-5	2.99057239954076e-51	shreintv	returned for anthropometry with correct scales
hv101_1	1	0.967938358905202	0.273879268151247	4.55757570269938e-4	0.00451363280009554	0.0011935479226839	hv101	relationship to head
hv101_4	1	-12.7709583214298	0.260579196924459	2.7297e-173	3.86524863784432e-4	7.54177114285714e-172	hv101	relationship to head
