name	estimate	se	p.value	Nag.r2	adj.p.val
hv003	-0.127636479549111	0.193961765076504	0.510876410320377	0.000199524842416254	0.692628796045993
hv008	-0.018004031385966	0.166540346266026	0.913964522940278	4.78173804152604e-06	0.956751443011931
hv010	-0.208874131395982	0.155172119468173	0.17902222441714	0.000794637807650878	0.329461248493925
hv011	-0.279777819419042	0.155355984208911	0.0724579740431062	0.00124346729536196	0.155186845846476
hv012	-0.135786647617303	0.0554783280966528	0.0148022362243618	0.00261024057440029	0.0364681845323767
hv013	-0.117190439740391	0.0537828664608987	0.0299051460270402	0.00200285473162154	0.0705754147849857
hv014	-0.287227295748662	0.179404318202683	0.110147773827767	0.00146647968934399	0.221901869357189
hv016	0.00471730783932203	0.0147904544508681	0.749932765909082	3.66137034161218e-05	0.859136536973665
hv017	-0.0103741265485711	0.443008781219561	0.98132872313641	2.79754391319109e-07	0.991842043661258
hv018	-0.00170598373875514	0.00273475539999122	0.533096290146419	0.000108842910069407	0.711285426107744
hv019	-0.0316928307791709	0.0285284797454514	0.267255854238306	0.000406720469648292	0.443477324836451
hv022	0.00116683264383153	0.0024749186636628	0.637561506173931	0.00010398116578314	0.787726243274713
hv028	-5.19485134393263e-07	2.2332998235896e-07	0.0205018667905378	0.0013555620766198	0.0494705057678105
hv032	0.708759050079458	0.381955041904506	0.0642285495050784	0.00120884016776091	0.140042857658198
hv035	-0.353472747346165	0.197821158426422	0.0747054806810155	0.00174723258036269	0.159382680239475
hv041	-0.213969459549253	0.146979030731072	0.146219974751022	0.000883312723934382	0.280803723852413
hv218	-9.91824714656865	1.00639603868952	1.0631e-20	2.17442539783841e-05	3.10579365558912e-20
hv220	-0.0106862318076789	0.0100422718433033	0.287899943984344	0.000485490653643228	0.466856488752245
hv271	-1.04457381723323e-06	1.11147766706364e-06	0.347871572974532	0.000270587637716257	0.539305508723643
hml1	-0.0874564767857242	0.18082733131421	0.628895711533021	8.86140123669277e-05	0.781422618763163
hml1a	-0.112329084245925	0.188678787249265	0.55194174633963	0.000118474328248186	0.73013360972698
hml2	-0.0452505931461967	0.316406568629566	0.886349493304318	6.71559781773023e-06	0.941362158134185
shdist	0.0314028198483859	0.0341787871472557	0.358751653303274	0.000373594270363209	0.549803004346552
shointd	-0.00352259544846469	0.0144748747540192	0.807849076124849	2.19644158379051e-05	0.894908637233192
shointc	0.0441763029119486	0.163913235152127	0.787672943921651	2.94250687929987e-05	0.883362988428224
hv107	-0.158195899492392	0.103791908870164	0.12831058891595	0.00163567668296716	0.252315891167715
hv108	-0.0276593456145543	0.024470223793776	0.259001027141742	0.000394607989601559	0.43481596049664
hv123	0.0084728245086099	0.0364749244798524	0.816587570206074	-5.4832e-12	0.899818566097475
hv124	-5.01036107739856	0.342075757677543	2.3671e-39	0.00585572663940537	8.57298014981273e-39
hv127	-2.40742944450466	0.377948253205387	1.4328e-09	0.00985979894423039	3.83004174153421e-09
hv128	-0.26773543903407	0.134221257632348	0.0467353196494164	0.00416606772141193	0.104734771960569
hml16	0.0422503937557547	0.010387380638472	5.703223964973e-05	0.00387380715556329	0.000150889673710777
