var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
v71611	1	-14.5074145851459	1.08300380819902	3.33663e-33	0.0238087395558426	1.00414669400631e-32	v71611	NA
ha0_03	1	-1.53260294885403	0.494299222976051	0.00254234189965246	0.0218512689351151	0.00542189457288028	ha0	index to household schedule
v535_1	1	3.71031457526229	1.00558536969794	2.59925671918978e-4	0.0137448939349321	5.73118084000089e-4	v535	have ever been married
v501_0	1	-3.01875629492032	0.83678303877485	3.47617737711496e-4	0.013708772028733	7.635318229703e-4	v501	current marital status
v502_0	1	-3.01875629492032	0.83678303877485	3.47617737711496e-4	0.013708772028733	7.635318229703e-4	v502	currently/formerly/never marr.
v513_0	1	-3.01875629492032	0.83678303877485	3.47617737711496e-4	0.013708772028733	7.635318229703e-4	v513	marital duration (grouped)
hivline	1	-1.53051436650975	0.484636991929253	0.00170689282967728	0.0123580450130626	0.00366476164931461	hivline	line
hml16_08	1	-0.319867666343232	0.101099286054281	0.00181720873805101	0.0117113590743952	0.00389576884517003	hml16	corrected age from individual questionnaire
hv105_08	1	-0.314288004063028	0.0967869955749846	0.00138132192834618	0.0116301622281659	0.00297691517991473	hv105	age of household members
hv101_1	1	2.36840595886732	0.737423976890262	0.00142447934945809	0.0103013052337211	0.00306761467129349	hv101	relationship to head
v150_1	1	2.36321799571472	0.737383030891447	0.00145798530720704	0.0102622601775448	0.00313740898438086	v150	relationship to household head
v535_0	1	-2.99894829443186	1.00909421019783	0.00316242549514674	0.00949080668685043	0.00672426580023029	v535	have ever been married
v502_1	1	1.81885105965729	0.513569007997835	4.43866061451794e-4	0.00936891839902032	9.71211519782137e-4	v502	currently/formerly/never marr.
v743b_5	1	-2.80616487126163	1.02193833530521	0.00630235020153014	0.00916861034883043	0.01316593158889	v743b	final say on making large household purchases
ha50_02_2	1	16.6454413175315	0.407070391467225	5.477313e-114	0.00914672443324949	4.57031361516035e-113	ha50_02	under age 18
ha50_02_1	1	-16.645441317427	0.407070404007185	5.47735e-114	0.00914672443324938	4.57031361516035e-113	ha50_02	under age 18
v743d_5	1	-2.75500719276082	1.0220245186539	0.00731743499557596	0.00868627965802982	0.0151658683860681	v743d	final say on visits to family or relatives
ha57_03_3	1	-16.5368531945935	0.757611344843107	8.632016e-39	0.00843788984681748	2.83963560827586e-38	ha57_03	anemia level
hml16	1	0.0522026699786727	0.00990230687359498	2.20017606238065e-7	0.00743551869150905	4.88132084537474e-7	hml16	corrected age from individual questionnaire
v012	1	0.05212849500828	0.00989972950173568	2.26989791153041e-7	0.00742224857252805	5.03210520743612e-7	v012	current age - respondent
v743e_5	1	-2.05818484572177	0.740101515156098	0.00567241848378205	0.00717523283025046	0.0118846718159475	v743e	final say on food to be cooked each day
v743c_5	1	-2.01394427882146	0.739862045430178	0.0067671662051617	0.00678590787338595	0.0140958003487429	v743c	final say on making household purchases for daily needs
v501_1	1	1.33134000002373	0.427996906166646	0.00199865522718417	0.0064423014803584	0.00427515041868542	v501	current marital status
hv108_08	1	-14.9109005911212	0.667974104872808	1.248188e-54	0.00637076666738345	4.93413543646409e-54	hv108	education in single years
v743a_5	1	-1.91936996006729	0.730585861067835	0.00893598471803634	0.00600091679912318	0.0184389244866763	v743a	final say on own health care
mv375a_23	1	-16.2088159983609	0.259189071341783	8.28051e-187	0.00599066502759305	2.19433515e-185	mv375a	main reason not using a method (for most recent sex in 12 ms
hv118_01_1	1	2.31243022506304	1.01874502538973	0.0237383713049953	0.00589896165536241	0.0471800129686782	hv118_01	eligibility for male interview
hv118_01_0	1	-2.31243022506304	1.01874502538973	0.023738371304995	0.00589896165536219	0.0471800129686782	hv118_01	eligibility for male interview
