var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
v71611	1	-15.6970229999879	0.847593219382922	2.137274e-53	0.01669917342934	8.79292585070422e-53	v71611	NA
ha0_03	1	-18.4613947079946	1.03818239484548	2.863322e-34	0.0119891881747219	8.85054345185185e-34	ha0	index to household schedule
hv127_06	1	-1.63458912729239	0.231160786486266	4.139602e-11	0.0116614241999291	9.54362860457774e-11	hv127	grade of education during previous school year
sh20b_06	1	-1.51541930220251	0.205374217549823	7.419848e-12	0.010535403680239	1.71331035636364e-11	sh20b	grade attended last year
hv108_08	1	-15.2301990446402	0.612680218962301	7.150663e-61	0.00996237252397814	3.19374413195719e-60	hv108	education in single years
v150_101	1	-16.8053552952968	0.188539175202899	1.062626e-268	0.00984133789365538	3.103930546e-265	v150	relationship to household head
hv101_3	1	-2.96987116750666	0.997336425443946	0.00307725767431603	0.00800129256099669	0.00691436128205933	hv101	relationship to head
v012	1	0.0543778448330723	0.0115400040954031	3.37316407910076e-6	0.007295947472574	7.75217330846052e-6	v012	current age - respondent
v536_0	1	-2.69390772926146	1.02343074976543	0.00880603748543591	0.00685743924447046	0.0192533199812562	v536	recent sexual activity
hv106_10_1	1	-16.5070411737838	0.648888861247649	3.255632e-45	0.00684857173148679	1.17840161982652e-44	hv106_10	highest educational level
hv109_10_1	1	-16.5092828546502	0.650360093369081	3.909512e-45	0.00662706298194571	1.4115802907293e-44	hv109_10	educational attainment
hv122_10_1	1	-16.507477630357	0.651876333904542	4.820528e-45	0.00643305287077167	1.7383657145679e-44	hv122_10	educational level during current school year
v501_0	1	-1.57001103172507	0.512651597484721	0.00234084271654656	0.00641700385926058	0.00527185934852159	v501	current marital status
v502_0	1	-1.57001103172507	0.512651597484721	0.00234084271654656	0.00641700385926058	0.00527185934852159	v502	currently/formerly/never marr.
v513_0	1	-1.57001103172507	0.512651597484721	0.00234084271654656	0.00641700385926058	0.00527185934852159	v513	marital duration (grouped)
hml16	1	0.0493377126267897	0.0111311489554058	1.20072704783449e-5	0.00639587402731834	2.75732995811678e-5	hml16	corrected age from individual questionnaire
v013_1	1	-2.61923255573857	1.02381916433146	0.0108806553943558	0.00631343480093827	0.0235949475923632	v013	age 5-year groups
v743d_5	1	-1.94699010860856	0.753831853712476	0.0101494987688875	0.0062666098434595	0.022091420196662	v743d	final say on visits to family or relatives
hivline	1	-0.575240720444296	0.224263992076048	0.0106755333719623	0.0062344172467832	0.0231845598360609	hivline	line
v535_1	1	2.18502774682681	0.784730314479034	0.00564466669693977	0.00611698536209371	0.0125671276080496	v535	have ever been married
v535_0	1	-1.92538926441954	0.734322525157557	0.00911170919518834	0.00610288186274099	0.0198769996707581	v535	have ever been married
hv128_08	1	-15.3097788720028	0.60707879849247	9.117078e-62	0.00596002130873508	4.10971988240741e-61	hv128	education in single years - previous school year
v743e_5	1	-1.69103119082297	0.620562825560015	0.00670824943019169	0.00575261751437828	0.0148670687295826	v743e	final say on food to be cooked each day
sm460d_0	1	1.31351016143593	0.421622227635823	0.00196754292333267	0.00574245776714943	0.00444485141458216	sm460d	buying a condom is embarrassing
v743c_5	1	-1.6494688754577	0.621983217322029	0.00831633190012351	0.00542123502135206	0.0182372413515471	v743c	final say on making household purchases for daily needs
v743b_5	1	-1.64033109749543	0.622044376485311	0.00868532062015089	0.00534999237612754	0.0190178572199856	v743b	final say on making large household purchases
sh12_02_1	1	15.6943315115006	0.672627482837861	6.997443e-41	0.00528731901382529	2.36295156104046e-40	sh12_02	father alive
hv126_10_1	1	-16.4328823795309	0.668767643804064	6.335048e-44	0.00526336226048429	2.26772980490196e-43	hv126_10	educational level during previous school year
v150_1	1	1.40558704118239	0.547471504131656	0.010603117174527	0.00518066589463295	0.0230444235616022	v150	relationship to household head
