name	estimate	se	p.value	Nag.r2	adj.p.val
hv003	-0.359447046767883	0.286825340241266	0.210857292443281	0.00072824355536083	0.340176759285609
hv008	-0.366089046452708	0.21871636468234	0.0949386574072398	0.00147269199376199	0.170889583333032
hv010	-0.105718546216998	0.166675728824923	0.526257413586336	0.000163163079302864	0.680283973660386
hv011	-1.01400926203931	0.452917898760343	0.0257076336791921	0.00552758725098512	0.0509099799135025
hv012	-0.206033523576261	0.0679273492911097	0.0025755845537522	0.0050931233091317	0.00548869917560595
hv013	-0.18464876331406	0.0679090875270425	0.00682763100421048	0.00409084512380531	0.0142010755334669
hv014	-0.364988988488936	0.229171480622873	0.112017899437473	0.00156329397459232	0.199003866039757
hv016	0.0168533781582433	0.0220354142715612	0.444816232124338	0.000386869276673418	0.608311377870594
hv017	0.0560106080833346	0.37446923956181	0.881175529083317	9.20717647823199e-06	0.930200643931639
hv018	-0.000714460478827088	0.00384741354522858	0.852773626633266	1.59187091293145e-05	0.914005153211287
hv019	-0.00520233693931261	0.0405390072655569	0.897952027936557	9.2962334422575e-06	0.93793383356001
hv022	-0.00046606624099539	0.00331796087732197	0.888360154979232	1.20448336003998e-05	0.933488744692671
hv028	-4.82854646584826e-07	2.53830437170233e-07	0.0578429108177221	0.000736122974530962	0.108626253779738
hv032	-0.403816480691864	0.831982002777996	0.627677949563896	0.000154836428951755	0.765734992178973
hv035	-0.356140022190087	0.25091745399664	0.156563906366818	0.00122753234089834	0.267993959343202
hv041	-0.128962795510119	0.158581012337106	0.416562989853095	0.000251019387206508	0.577617866743972
hv220	-0.0129299388303347	0.00915796055923538	0.158751329972657	0.000536469254991401	0.270928030042781
hv271	-5.27360212380602e-07	1.61858704859082e-06	0.744732060361693	4.99982267461174e-05	0.848496479599986
hml1	-0.199365901027692	0.220877181099987	0.367268222170243	0.000268599731483965	0.530510319578285
hml1a	-0.193135595176389	0.243072131106873	0.427333211041763	0.000218392623629882	0.589126999037344
hml2	0.0741973446150097	0.424761925883218	0.861418284520555	1.34407641585454e-05	0.917479289688995
shdist	-0.0142957552255973	0.0435786294770537	0.743046681060393	5.75563450205818e-05	0.84792647575552
shointd	0.0176356886520795	0.0209812394949702	0.401097278133652	0.000441862703399076	0.563544629365985
shointc	-0.136597664027124	0.214007172081725	0.523647740079674	0.000202679200615563	0.67956678260053
hv107	0.0453554539471379	0.104558597373272	0.664686048246278	0.000139847918221969	0.795954589991986
hv108	0.0277566635530589	0.011401081602485	0.0153397535303196	0.00208293588816488	0.0312028248783047
hv123	-0.623575829290722	0.0551966554713436	1.623642e-23	0.00241264237847294	4.20911540217391e-23
hv124	-0.233561623046882	0.128967642683386	0.0708783391346631	0.00330656634482984	0.130117900322903
hv127	-1.66308052412534	0.207853745156526	6.591204e-14	0.00713090008114181	1.473752019375e-13
hv128	-0.279069701873957	0.144725809136737	0.0545191845647319	0.00399591364702578	0.102924740253471
hml16	0.0522026699786727	0.00990230687359498	2.20017606238065e-07	0.00743551869150905	4.88132084537474e-07
sh15b	0.219847968927994	0.135302380500481	0.104993205577596	0.00177210320800703	0.187689290670256
sh18b	-0.400451017506773	0.0498426380657183	6.265011e-14	0.000780368927975394	1.40191254745895e-13
sh20b	-1.34724808668459	0.15366731898911	4.648054e-16	0.00452204634224052	1.05409909255151e-15
hmlidx	-16.319972120019	0.557073258899843	8.978707e-54	0.0103962160835012	3.52497385925926e-53
hml4	0.00469836327075812	0.012743812977975	0.713076379414882	0.000999075502329139	0.827400659645858
v004	0.00257713681375433	0.00141618730000681	0.0695301293839872	0.00156492225494265	0.127888965486485
v005	-4.11873415301723e-07	2.55429490530763e-07	0.107635842145925	0.000601988054324099	0.19205347894117
v006	-0.114005650773322	0.201198859596012	0.571277537928091	0.000141476041684019	0.717025079808232
v008	-0.114005650773577	0.201198859595965	0.571277537927141	0.000141476041683686	0.717025079808232
v012	0.05212849500828	0.00989972950173568	2.26989791153041e-07	0.00742224857252805	5.03210520743612e-07
v016	0.00963671527891045	0.0207667197504512	0.642863427528398	0.000130250459693726	0.779938588209527
v021	0.00257713681375433	0.00141618730000681	0.0695301293839872	0.00156492225494265	0.127888965486485
v022	-0.000464299288218399	0.00331438073397464	0.888661284967351	1.19892894555607e-05	0.933488744692671
v027	0.191805141355179	0.33952494863049	0.572438763582469	0.000177363937041486	0.717105684602637
v028	-0.000573050574284499	0.00384010631755536	0.881447989637528	1.02676963693593e-05	0.930200643931639
v029	-0.00540358433980229	0.0405233231477454	0.893986572642488	1.0054461107023e-05	0.935556625289327
v032	-0.405538250769058	0.831469163107703	0.625999430563521	0.000156630297325711	0.764338895167576
v107	-0.00422169800605643	0.119840470979678	0.971916010463512	1.22821753212321e-06	0.98151856808277
v133	0.0225001461259537	0.0332920557353323	0.499526185073993	0.000205290897663968	0.657609908777262
v136	-0.194469120745585	0.0655608922249691	0.00319279751770891	0.0046854347329357	0.00677877336474993
v152	-0.0128165726529522	0.00917030484241863	0.162991347103816	0.000527796623682519	0.277502222136301
v201	0.0591839811608723	0.0263860425582601	0.0254353552972679	0.000886712209957619	0.0504476693421904
v202	0.0453937480236229	0.11651864604922	0.697048790526052	5.1066084282847e-05	0.820813754546861
v203	0.0541453890888278	0.144316940549488	0.707719640373708	6.8095212090391e-05	0.827400659645858
v204	0.236904138637819	0.095708961691157	0.0137213530421732	0.00220873260123977	0.0280103512173322
v205	0.148978837954532	0.0950508359547605	0.117809702885585	0.000591415766563408	0.208516616981165
v206	0.00394708136169519	0.258554273505802	0.987827491476489	7.61607370503015e-08	0.991291122232017
v207	0.0852106326777637	0.274558263073927	0.756449979516229	3.40471785115204e-05	0.853688747447218
v212	-0.0166160777232596	0.037327304458276	0.656469487235734	0.00022025325960362	0.790082284469584
v218	0.0735954230158802	0.0312760407942484	0.019094210369455	0.00108815536947415	0.0384842465333664
v507	-0.0333965841947997	0.0473190366026973	0.480755014146341	0.000349716632251917	0.639384875733598
v508	-0.0139451833978653	0.0162818540925445	0.392261667834284	0.000500493611311215	0.555493762168095
v509	-0.00119222650650703	0.00135770415928016	0.380426536279541	0.000526104771634506	0.542400838604482
v511	0.00253100266443089	0.0346198512103371	0.941757806818809	4.74654697224519e-06	0.965369213150226
v512	0.0147490624865242	0.0163253071248232	0.36685321360596	0.00056008534026053	0.530269645121342
v527	-3.94861077818864e-05	0.00191847386465089	0.983589784760499	3.45505192234086e-07	0.989634550622625
v616	-0.00141171088205324	0.000824303383337397	0.0879113443619887	0.000103773924673534	0.15924194149621
v768a	0.0016027823653503	0.00414121329927684	0.699189662596793	0.000409726680536182	0.821609374866544
v801	0.00014825073942135	0.000108802281349986	0.173773358129347	0.000206727120601768	0.292552559391877
v802	6.26407594042178e-05	8.23114475864291e-05	0.447086155412571	5.26053886646949e-05	0.609526740988436
v191	-5.30706415636736e-07	1.61770201533363e-06	0.743033968351545	5.07789491218658e-05	0.84792647575552
sdist	-0.0144005761595922	0.0436214616901184	0.741475075219395	5.84973083951335e-05	0.847146373364435
s109	0.10991657351391	0.132054801030528	0.405711112569102	0.000461456332396248	0.568074953117793
mv138	-1.0126466753785	0.453252153727757	0.0260149755050829	0.00551227046107483	0.0514191021378089
mv167	0.0219756651685614	0.00908101192273513	0.0159605557827886	0.00120829212273987	0.0323735723957059
mv245	0.027854291575556	0.00837072229455603	0.000955895451856476	0.000364525716100572	0.00207727622111863
mv3b11	0.0159475934033796	0.0121546317791087	0.190243414587896	0.00092586270398054	0.314362963366373
mv3b19	-0.00287954109838633	0.00193120916853912	0.136944316455921	0.000302351130903045	0.237646729286099
mv505	-0.296568188124051	0.517518431232394	0.566948735292888	0.000342890205657809	0.715126685344195
mv505a	-0.122740300251105	0.410138905415307	0.764903495216426	9.92843396087073e-05	0.860854818446485
mv505b	-0.129764578420872	0.591098352234784	0.826355661352303	5.27089266765257e-05	0.898226320847053
mv538	0.0185236428978127	0.00678381240963739	0.00659798916269646	0.000248490123097467	0.0137534195073833
mv603	-0.00141171088205324	0.000824303383337397	0.0879113443619887	0.000103773924673534	0.15924194149621
mv733	0.00364730555817972	0.00683630094893205	0.593969766310815	1.89082946929764e-05	0.734852714910914
mv766a	-0.263620916816318	0.320529835709548	0.411301549881188	0.00037713779382742	0.573181023365925
mv766b	0.00491815164148353	0.00841127799055312	0.559068046065314	8.44921771836482e-06	0.709872558934751
hv105_01	-0.0129299388303347	0.00915796055923538	0.158751329972657	0.000536469254991401	0.270928030042781
hv105_02	-0.0173519277622479	0.00901542353603997	0.0549802142140016	0.000760425943262089	0.103726679683898
hv105_03	-0.0229364803634988	0.0194176529856717	0.2382304745031	0.000514447873789847	0.377737184502976
hv105_04	-0.0375517051005713	0.0334170984792642	0.261836273231079	0.0011489229570516	0.408824557549017
hv105_05	-0.0901387469342899	0.0583367855019943	0.123180311648582	0.00416800411969764	0.216549171952237
hv105_06	0.0380640025517677	0.0114897685059267	0.00102854908393194	0.0040755395243447	0.0022300814228888
hv105_07	-0.187408729234546	0.0544416142487241	0.000668467117744698	0.00638493425081932	0.00145708521781061
hv105_08	-0.314288004063028	0.0967869955749846	0.00138132192834618	0.0116301622281659	0.00297691517991473
hv105_09	0.0233995677758313	0.0306712305238245	0.446864631631724	0.00228270530773744	0.609526740988436
hv105_10	0.0545990129143593	0.0120255625349092	1.73495591927326e-05	0.0186263745109554	3.83728272098924e-05
hv107_01	0.0574704084878464	0.103659437040117	0.579618039018267	0.000284632394999984	0.724079802562322
hv107_02	-0.149489383210931	0.117213231009484	0.203034064975997	0.00115875378862629	0.330714853026467
hv107_03	-0.0907987925759208	0.17246825921134	0.598881153070571	0.000326355922170896	0.738792181072403
hv107_04	-0.103358308053538	0.0844627685396648	0.221914870596697	0.000483992766518226	0.355014175320149
hv107_05	0.0428568746210605	0.167853741497611	0.798659310489647	5.23580294919945e-05	0.879632430880644
hv107_06	-0.63582378307177	0.267706404897855	0.0184119924937215	0.00875027058455091	0.0371353928943136
hv107_07	-18.6784709266455	1.05612928020028	7.562038e-40	0.0127710192400127	2.55520103376623e-39
hv108_01	0.0231257634493355	0.00933621111733748	0.0136556151629096	0.00200246651180647	0.0278960532450016
hv108_02	-0.0354370004470374	0.0346691058805629	0.307331151198311	0.000604270667578177	0.467365438219748
hv108_03	-0.0505698113750751	0.0631992119252187	0.424098488318988	0.000584126559473486	0.586079127749369
hv108_04	-0.0546550846535124	0.0771574446651234	0.479156182862104	0.000665969078471829	0.638957405369898
hv108_05	-0.101340062733627	0.103657013850709	0.328897789399086	0.00138142324587998	0.491286781451036
hv108_06	0.0105699996120055	0.0137437275546925	0.442410703936877	6.15188005894662e-05	0.606698339562694
hv108_07	-15.8879639625166	0.485768301558895	9.908639e-96	0.00731576997075201	6.688331325e-95
hv108_08	-14.9109005911212	0.667974104872808	1.248188e-54	0.00637076666738345	4.93413543646409e-54
hv108_09	-15.5929536652288	0.683781959467865	8.536465e-48	0.00980583675368207	3.14027799871465e-47
hv108_10	-15.1168792811619	1.07484902172625	1.92599e-24	0.00432202606685683	5.15157325233645e-24
hv123_03	-0.283429436583401	0.29015909329015	0.329454340338733	0.00273367461229346	0.491307905321514
hv123_04	-0.0280441078121873	0.107750053582227	0.794838310834426	2.75401671573361e-05	0.878081559602755
hv123_05	-0.0587606220891137	0.265454449836099	0.824992496287912	6.94747415191932e-05	0.898106456279698
hv123_06	-0.14093841138207	0.046424449541052	0.00273312073487448	0.00016354541142094	0.00582008299346039
hv123_07	0.00241586684435694	0.0661271162584778	0.970910790913058	-5.478284e-12	0.980849517682023
hv124_02	-0.084795766579987	0.107695749517559	0.431537383742752	0.000449287322609626	0.594064450347165
hv124_03	-0.0324869254012004	0.0483660260310754	0.502176374169424	0.000253618535436706	0.660357138615325
hv124_04	-0.0865685331052268	0.062361812453285	0.165897717151791	0.00099550415977856	0.281279186308309
hv124_05	-0.156431208113172	0.109631687438529	0.154471824997116	0.0019507501378585	0.264571132939405
hv124_06	-0.287017792663507	0.213497772880131	0.179778423285762	0.00222069926193846	0.300006933036554
hv124_07	-14.7228498851017	0.549109014943664	5.862092e-78	0.0054218349598022	3.34876393293413e-77
hv124_08	-14.8963012644539	0.639359334271885	3.425141e-57	0.0050747537893886	1.39710772307692e-56
hv124_09	-15.4953765072733	0.809437979482739	4.904519e-40	0.00770406585350358	1.65918834255319e-39
hv124_10	-14.4816127404381	1.11362142128428	2.229614e-22	0.00366590151671509	5.41693995585738e-22
hv127_03	0.0878616077911663	0.200747295486762	0.661937457406776	0.000378923129883302	0.793992038180299
hv127_04	-0.352014301431338	0.140566980927269	0.0128320438581197	0.00390535188150931	0.0262698923619017
hv127_05	-0.176192130607498	0.253316868722678	0.4873679009251	0.000544501633140126	0.646244210175368
hv127_06	-0.481003476846772	0.0571391652012447	1.330507e-14	0.0014485976877433	2.98425629623824e-14
hv128_01	-2.942044093907	0.323257593883724	4.06542e-18	0.000349402935643117	9.31563814251401e-18
hv128_02	-0.113037127727722	0.124692233025715	0.365204408427101	0.000609427036939114	0.528687413716926
hv128_03	-0.017854490892899	0.0347311290260998	0.607486762794145	0.000110226836286698	0.747475113979726
hv128_04	-0.130132900909478	0.068713545434475	0.059002658842152	0.00165511137056262	0.11073154728278
hv128_05	-0.305061464814026	0.16531018040917	0.0657930945482465	0.00399056986262591	0.121955852718317
hv128_06	-0.373678280163343	0.244635139207121	0.127620322027831	0.00257778059897218	0.223121173881278
hv128_07	-14.9150772479362	0.491978060695406	9.467324e-89	0.00488878381462343	5.95505083252747e-88
hv128_08	-14.946324347387	0.656953824384254	9.242862e-56	0.00439328507950476	3.72054445063291e-55
hv128_09	-15.4375467521247	0.694757273839171	1.319375e-46	0.00618210929236562	4.82254310344828e-46
hv128_10	-14.696402480924	1.06978154129872	8.203211e-24	0.00312615137444472	2.17183995208141e-23
hml16_01	-0.0120819452429123	0.00882999914372695	0.171979962010975	0.000468960880110503	0.289874352930159
hml16_02	-0.0154791992890154	0.00977968560768625	0.114263366549166	0.000615603200048942	0.202741323660083
hml16_03	-0.0228961435803549	0.0194209157477624	0.239134322953003	0.000514720487917231	0.378541168302818
hml16_04	-0.0371082699992697	0.0330727834961376	0.26256125067122	0.00113485379978717	0.409732987688676
hml16_05	-0.0802869886903367	0.0615381285544223	0.192829276098907	0.00351693427048649	0.317170912755788
hml16_06	0.0380781342393218	0.0114690828658048	0.00100322207102526	0.00408497415801445	0.00217846856394104
hml16_07	-0.186177704971813	0.0541137335062159	0.000672955841650414	0.00631916537707422	0.00146575313455364
hml16_08	-0.319867666343232	0.101099286054281	0.00181720873805101	0.0117113590743952	0.00389576884517003
hml16_09	0.023292009300089	0.0307588490491144	0.450242086044706	0.00225876948535308	0.61215812363893
hml16_10	0.0545914436865259	0.012014747061492	1.71197627024569e-05	0.0186432015794659	3.7893859902886e-05
sh15b_01	0.20843762763965	0.176364819237725	0.237996541715501	0.00144394868066744	0.377575444783683
sh15b_02	0.0114350370684254	0.175890823904063	0.948201779563562	4.28174460220809e-06	0.969197676111041
sh15b_03	0.0588752558480643	0.22531173873184	0.79400290116663	0.000101498359119545	0.87806657771982
sh15b_04	-0.0115508259158107	0.0390841532603595	0.767765455126196	1.54811246844133e-05	0.863057632588835
sh15b_05	0.184559797588147	0.21007209355964	0.380388145821246	0.000765242916349052	0.542400838604482
sh15b_06	-0.592979418097915	0.279273741208868	0.0348568421185681	0.00700112030161326	0.0676340895887064
sh15b_07	-17.9146265065216	1.05445914713487	5.439544e-38	0.0127710191417325	1.74138422013423e-37
sh18b_03	-0.184123205365383	0.312155273223925	0.555740083423192	0.0010296277113252	0.708059348790511
sh18b_04	0.0606728225025594	0.108171699803448	0.575298695864252	0.000126959298560103	0.720255847578079
sh18b_05	0.0144183655568173	0.270018395719607	0.957457331208028	4.02768527352215e-06	0.97423617761008
sh18b_06	-0.025019593582847	0.0501322712097188	0.618303259401558	5.63259482022627e-06	0.756879353467604
sh18b_07	0.00101095280026738	0.0645909625576464	0.987535436340631	-5.478284e-12	0.991291122232017
sh20b_03	0.197524261756907	0.201564753899598	0.327895614403457	0.00187241380642833	0.490045560534044
sh20b_04	-0.276397898096967	0.14661773350414	0.0604290098866697	0.00224651233766648	0.112963962309372
sh20b_05	-0.1064574829279	0.272065047767503	0.695915739083054	0.000180716891500565	0.820813754546861
sh20b_06	-0.388458811428321	0.0649876918758733	1.240824e-08	0.00101712004080345	2.75717258385093e-08
shvwt_01	1.15573458390123e-07	1.9492670780604e-07	0.553578279916608	9.70960241214458e-05	0.706349102595333
shvwt_02	-1.60352561289794e-07	2.49358729419289e-07	0.520564202564216	0.000156905072496882	0.677811579164525
shvwt_03	-7.03758608070732e-08	2.95188211337774e-07	0.811706632187402	1.74969042124884e-05	0.889056403107671
shvwt_04	-1.0699462456877e-07	3.74407133304091e-07	0.775281218646367	5.07488050390803e-05	0.869457228748394
shvwt_05	1.5147299363878e-07	1.86531169068629e-07	0.417968347582958	6.7340012727346e-05	0.578725404345634
shvwt_06	-9.72904990968153e-08	2.68387254302291e-07	0.717615744015611	9.23249751718647e-05	0.828295926746749
