var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hv003	-0.18183060622854	0.292915027905699	0.535104348633909	2.68449959513362e-4	0.692534978635099	hv003	respondent's line number
hv008	-0.770522869090828	0.204448390672861	1.88355072837783e-4	0.00600734873637521	4.31517778634639e-4	hv008	date of interview (cmc)
hv010	-0.397480285623071	0.193416118145664	0.0405132276603871	0.00192991608509119	0.0812768804917519	hv010	number of eligible women in hh
hv011	-0.160043190471766	0.349566570126369	0.64731718668645	3.02060981898444e-4	0.777792473184336	hv011	number of eligible men in hh
hv012	-0.102048265633343	0.0639253784208914	0.111185255139206	0.0014494619551545	0.203491309687732	hv012	number of de jure members
hv013	-0.100340247555063	0.0697293698576691	0.150922283356382	0.00138846753525002	0.26477116497537	hv013	number of de facto members
hv014	0.0111367094101827	0.168230759901579	0.947251971647262	1.85608918734648e-6	0.971975172105635	hv014	number of children 5 and under
hv016	0.0413885854667054	0.0220069815877354	0.0607279245721915	0.0020427147006008	0.118100045056838	hv016	day of interview
hv017	-15.0698819465356	0.207474428195302	9.61935e-235	0.00281985347380775	2.55437466818182e-232	hv017	number of visits
hv018	0.00104750119233276	0.00394026577341017	0.790493286423512	3.04823023160594e-5	0.874964338629435	hv018	interviewer identification
hv019	-0.0318409167982813	0.041709383469285	0.445668623095631	3.02557009340232e-4	0.613476931226361	hv019	keyer identification
hv022	0.0050092668338515	0.00341845880383323	0.143597173818199	0.00136352236326176	0.254056538293737	hv022	sample stratum number
hv028	-2.93169424216656e-7	3.27561380571729e-7	0.371314132228748	3.05102608332164e-4	0.538534548282112	hv028	sample weight for male subsamp
hv032	0.342867592103044	0.541389902283909	0.526887855750046	1.91016886722406e-4	0.684321665916356	hv032	office editor
hv035	0.0819530087717182	0.187574245125133	0.662409109271211	8.43217369094207e-5	0.790076361037651	hv035	number of eligible children for height & weight
hv041	-0.3858799455508	0.18257827067996	0.0351671021253027	0.00187885509321173	0.0712859856405338	hv041	total adults measured
hv220	-0.0272246030319965	0.0111268756270551	0.0148385401567362	0.00202366056652359	0.0317533888628765	hv220	age of head of household
hv271	6.93622244754522e-7	1.61975188471571e-6	0.668712600160759	9.76935188257144e-5	0.794028254093324	hv271	wealth index factor score (5 decimals)
hml1	-1.54621385415861	0.579888994391516	0.00797324506249808	0.00428867196363047	0.0175227555635627	hml1	number of mosquito nets
hml1a	-1.55072495224076	0.575895380850819	0.00738060763162396	0.00428621087302339	0.0162830475014906	hml1a	number of mosquito nets with specific information
hml2	-1.66780227197741	0.886004694805286	0.0604986156205025	0.00144822211251583	0.117732482496661	hml2	number of children under bednet previous night
shdist	0.0538865667120274	0.0471759540958696	0.254024765203376	8.16836603837134e-4	0.401912372448744	shdist	district
shointd	0.0345594409192167	0.0209143406875608	0.0992204286037218	0.00152168555352294	0.184483050255551	shointd	original date of interview
shointc	-0.638931059268815	0.22012151189779	0.00390218619119476	0.0038588432549318	0.00873431867009954	shointc	original cmc of interview (for anemia);
hv107	0.179780840591283	0.0944781611606058	0.0577772285086443	0.00240531292332857	0.112812355931651	hv107	highest year of education
hv108	-0.0109028244888414	0.0293570683071446	0.710543265123551	6.25304317614095e-5	0.821910380993934	hv108	education in single years
hv123	17.3255301428257	1.00891902457899	1.944026e-42	0.00682330379737894	6.68845694464075e-42	hv123	grade of education during current school year
hv124	-0.315213222387236	0.133347416041656	0.0185562465628898	0.00488132042047695	0.039334394927577	hv124	education in single years - current school year
hv127	0.655879949194731	0.0488508477735985	1.057363e-30	0.00190249763087702	3.06100824876115e-30	hv127	grade of education during previous school year
hv128	-0.376035528966665	0.152660665853466	0.0141838276266884	0.00562657493968688	0.0304192074137715	hv128	education in single years - previous school year
hml16	0.0493377126267897	0.0111311489554058	1.20072704783449e-5	0.00639587402731834	2.75732995811678e-5	hml16	corrected age from individual questionnaire
sh15b	0.372465770471493	0.144038076624106	0.0100673991365611	0.00458296521738633	0.0219290625487658	sh15b	highest grade completed
sh18b	16.6714048085734	1.04880482470724	2.400154e-38	0.0102753001618769	7.85969712331839e-38	sh18b	grade attending
sh20b	0.772322698981983	0.0520789936380824	2.523175e-35	0.00336052819767518	7.91642768528464e-35	sh20b	grade attended last year
hmlidx	0.00655103437615985	0.133534574810118	0.960954066247946	-5.759171e-12	0.98026640809916	hmlidx	net number
hml4	-1.6259354319941e-4	0.0020472058241768	0.936829124427246	-5.759393e-12	0.966293368590776	hml4	months ago obtained mosquito net
v004	-0.00121315846299532	0.00165105832881057	0.462899950555465	3.3200561984259e-4	0.629483591979755	v004	ultimate area unit
v005	-2.63968835710144e-7	3.18276998963985e-7	0.407383412612739	2.59215670108115e-4	0.573754555565	v005	sample weight
v006	-0.564363431265557	0.204125014580028	0.00595554364241417	0.00287542416987274	0.0132189536318327	v006	month of interview
v008	-0.564363431265672	0.204125014579904	0.00595554364237421	0.00287542416987285	0.0132189536318327	v008	date of interview (cmc)
v012	0.0543778448330723	0.0115400040954031	3.37316407910076e-6	0.007295947472574	7.75217330846052e-6	v012	current age - respondent
v016	0.0255759307903371	0.0205476705178129	0.213955666163491	7.86134398960914e-4	0.351696398910274	v016	day of interview
v021	-0.00121315846299532	0.00165105832881057	0.462899950555465	3.3200561984259e-4	0.629483591979755	v021	primary sampling unit
v022	0.00492103030584343	0.00358590390522587	0.170719551051432	0.00123973939019395	0.292304694385248	v022	sample stratum number
v027	-1.44423134746413	0.890173943848519	0.105490790301978	0.00201566446315349	0.194531943479847	v027	number of visits
v028	0.0014191234286379	0.00405386259996215	0.726469963869135	5.2609027674011e-5	0.83002405054581	v028	interviewer identification
v029	-0.0295430168114095	0.0432375041234738	0.494824112961117	2.46555777688284e-4	0.66029293465483	v029	keyer identification
v032	0.413373370121033	0.544311723639596	0.448028705901713	2.70639540262296e-4	0.615275905001835	v032	office editor
v107	0.15799538270087	0.0992374825422013	0.112157508682853	0.00175293757768469	0.204590796448258	v107	highest year of education
v133	-0.011085193334282	0.0375191613758676	0.76779798420997	4.34201180126159e-5	0.858300004545474	v133	education in single years
v136	-0.0981632153490892	0.0696966225764964	0.159767386737991	0.00129150624367069	0.276674120527974	v136	number of household members
v152	-0.0267359212615635	0.0105022578640973	0.0112736597024935	0.00183998731810153	0.0243928592525804	v152	age of household head
