var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
v70412	1	16.8758680092516	1.323049882883	3.2655e-31	0.037993933818097	1.25078355704698e-30	v70412	NA
hml34_0699994	1	-16.1234479683348	1.01104316240265	1.8514e-36	0.0266450463770609	7.5166087398374e-36	hml34	NA
v535_0	1	-1.52862128786635	0.460954886523726	0.00100593285798985	0.0158566197403267	0.00319705788995183	v535	ever been married or in union
hv113_04_0	1	2.22920714116135	0.453159866305346	1.26904227152337e-6	0.0157094367750304	4.12516181833675e-6	hv113_04	father alive
hv113_04_1	1	-2.18672119853455	0.451429728072593	1.81951637401976e-6	0.0152502609399729	5.90973001155199e-6	hv113_04	father alive
v535_1	1	1.37232051637311	0.502089474177351	0.00658319592875711	0.0111538024644581	0.0194430444857636	v535	ever been married or in union
hv122_08_0	1	17.6021710100975	0.582527300959401	6.3495e-69	0.00984075336426682	3.78036549925484e-68	hv122_08	educational level during current school year
hv124_08	1	-15.0658590999508	0.640567740010166	2.0217e-54	0.0098407532071173	1.03150593869732e-53	hv124	education in single years - current school year
s1042_7	1	2.81786211498591	0.959464122675209	0.003520693530671	0.00928837320111764	0.0107122396458725	s1042	service received most recently
v013_1	1	-3.14285314534917	1.01678974859027	0.00212668559204984	0.00922395324639946	0.00667933092786094	v013	age in 5-year groups
hv012	1	-0.244521913505794	0.0694753130317264	4.79078701768438e-4	0.00857195332478833	0.00153358927368983	hv012	number of de jure members
v501_3	1	1.95529740140768	0.528537799841791	2.44505683109579e-4	0.00849765431634686	7.85840872101986e-4	v501	current marital status
hv009	1	-0.239142922944899	0.0734838521925359	0.00122752574503604	0.0084510317269022	0.00388894952531243	hv009	number of household members
v136	1	-0.239142922944899	0.0734838521925359	0.00122752574503604	0.0084510317269022	0.00388894952531243	v136	number of household members (listed)
hv013	1	-0.23381646539025	0.0755014340139678	0.00208579901861604	0.00796443983981865	0.00656123392076463	hv013	number of de facto members
hv115_3	1	1.83691089881782	0.528955852456058	5.68186097631141e-4	0.00772768699116422	0.00181737666936462	hv115	current marital status
b8_01	1	0.0708461278591404	0.0244907182883611	0.00402109427566643	0.0069484830517671	0.012188369978215	b8	NA
v412c_1	1	-16.2700908794654	0.624358163131928	6.2388e-79	0.00664522610052531	4.18188020134228e-78	v412c	gave child soup/clear broth
v412c_0	1	16.2700908818982	0.624358169439989	6.2388e-79	0.0066452261005252	4.18188020134228e-78	v412c	gave child soup/clear broth
b2_01	1	-0.067786111545163	0.0221674948980483	0.00237317735399837	0.00649285443082426	0.00740112687683332	b2	NA
b3_01	1	-0.00552302544176995	0.00187873683664946	0.00346830219539284	0.00624188452668262	0.0105608744440506	b3	NA
v222	1	0.0055169912464523	0.00187373254395661	0.00341787954238001	0.00621755849480032	0.010415277476589	v222	last birth to interview (months)
hv122_08_1	1	-16.4295057452536	0.587824137607852	2.8806e-64	0.00609471544101137	1.64165435092725e-63	hv122_08	educational level during current school year
v701_0	1	-1.31776372977686	0.463219656719155	0.0046645734784837	0.00596976775753966	0.0140112564259717	v701	husband/partner's education level
v729_0	1	-1.31776372977686	0.463219656719155	0.0046645734784837	0.00596976775753966	0.0140112564259717	v729	husband/partner's educational attainment
b2_02	1	-0.0618595397433552	0.0211304423290919	0.00361208859520837	0.00572039245054545	0.010973607557306	b2	NA
hv101_04_11	1	1.78552472903026	0.552388791286456	0.00132638538608002	0.00568098838907238	0.0041888613576203	hv101_04	relationship to head
b3_02	1	-0.00508404726584443	0.00179333656071208	0.00481557511267863	0.00557250226989903	0.0144539613637499	b3	NA
v3a08i_1	1	-15.5355002285542	0.296381887945482	1.6619e-167	0.00500726111783656	5.14673682170543e-166	v3a08i	reason not using: respondent opposed
v3a08i_0	1	15.5355002289096	0.296381888350587	1.6619e-167	0.00500726111783645	5.14673682170543e-166	v3a08i	reason not using: respondent opposed
v452a_1	1	-2.60030411992331	1.01683779827704	0.0108975412408953	0.00498300402944118	0.0311860152273472	v452a	under age 18 (from household questionnaire)
v452a_2	1	2.60030411992331	1.01683779827704	0.0108975412408953	0.00498300402944118	0.0311860152273472	v452a	under age 18 (from household questionnaire)
ha32	1	-0.00341976611943066	0.0011174160365369	0.00235066144230983	0.00493163847831257	0.0073366347359592	ha32	date of birth (cmc)
hb33_2_3	1	-15.1766482983715	0.447275852218831	3.6715e-89	0.00492993098640959	2.8480859223301e-88	hb33_2	completeness of hb32 information
ha1	1	0.0402450041927421	0.0135158850837169	0.00307167469179682	0.0047399382240837	0.00943223704360361	ha1	woman's age in years
hml16	1	0.0402450041927421	0.0135158850837169	0.00307167469179682	0.0047399382240837	0.00943223704360361	hml16	corrected age from individual file
