name	estimate	se	p.value	Nag.r2	adj.p.val
hb62_299994	0.679025686054448	1.05491688190895	0.520837971541464	0.0331501227761433	0.745424394377135
hb62_3?	-14.8307394872559	1.01212211843346	5.0084e-38	0.00215290102457688	2.1782737527115e-37
hb62_499995	-13.265104136357	1.00814633662964	3.816e-33	0.000411061821650516	1.58900934579439e-32
hml34_0299995	-15.054365194652	1.00826313502561	5.3544e-39	0.00221127123590037	2.35946637362637e-38
hml34_0399994	-15.773417138316	0.484549032894502	2.1162e-49	0.0379803012964481	1.05284888337469e-48
hml34_0499994	-15.9741224497055	0.742290470389348	4.3872e-33	0.0206712403962793	1.82496597510373e-32
hml34_0599993	-15.9301052801751	1.01281547224388	3.1327e-30	0.0393137119803868	1.27147034412955e-29
hml34_0699994	-15.8900709837902	0.77766374514165	1.9299e-48	0.015010442908875	9.47233659730722e-48
hml34_0799996	-16.1533798420098	0.865825444066246	7.145e-49	0.0118625376588841	3.53285450061652e-48
hv008	-0.0028852955871801	0.196815259016345	0.988310424746907	1.96949723085815e-07	0.995009993280215
hv009	-0.110922503050684	0.0519759062745468	0.0334093003577313	0.00172369202393408	0.0955572713512857
hv010	-0.163835702129387	0.176937022223372	0.354998641428853	0.000372329527085657	0.603708461462977
hv011	-0.00244752174335807	0.200093515571941	0.990246388188355	9.05869768086376e-08	0.995709131553486
hv012	-0.114805893643654	0.051783841247151	0.0271538899181077	0.00177603895049683	0.0800640430673617
hv013	-0.104284260604277	0.052069850359194	0.0458404884292946	0.0015207971183544	0.127653026806577
hv014	-0.249328916829823	0.149947768818922	0.0971006228483933	0.00118248699074774	0.239909733593381
hv016	-0.0196454069329076	0.0178533927456937	0.271796539957365	0.000727515754391561	0.514348336587557
hv017	0.162579617932677	0.424570029755845	0.701966191561041	9.59434065349596e-05	0.854808511436312
hv028	4.52728708318102e-08	1.63506913952072e-07	0.782002765343401	4.46881454039261e-05	0.906056586537598
hv031	-0.00487126771212119	0.00194176028756729	0.0124921038877303	0.0023495799385771	0.0387450430089851
hv035	-0.233367563310451	0.17907082183312	0.193212374612925	0.00090991857863465	0.410858544319555
hv040	-0.000999146556242341	0.00178558338308067	0.576077190488572	0.000279904049429569	0.77571173064445
hv041	-0.113174937653653	0.106914599208487	0.290408219941479	0.000431993105600048	0.537395921534532
hv204	0.000344653350819047	0.000380114095357279	0.365077466530087	0.000441746408794796	0.616145050835711
hv216	-0.17296560231582	0.15036806860042	0.250679373184848	0.00086913170052727	0.487027270577151
hv238	-0.00620003764666507	0.00428493367504218	0.148809015368109	0.00197489054849698	0.33904781342393
hv245	-0.000749180558320712	0.00287684568365158	0.794707789373639	4.61884201190532e-05	0.909037025379467
hv246a	-0.0708128262624664	0.0720968795968545	0.326569066960198	0.000197831760307188	0.575622838905668
hv246b	-0.137090081622129	0.157694402442283	0.385155260385151	0.000169544176341074	0.639268457841248
hv246c	-12.703424752656	0.33904252731262	2.6034e-136	0.000454261022651226	5.49454421052632e-135
hv246d	-0.0894988607633334	0.0691775484635531	0.196457399607562	0.00110959332698002	0.414793385475894
hv246e	-0.0824424033101154	0.0649044435663012	0.204709010722211	0.000744554793019381	0.428212380279638
hv246f	-0.00910319065477402	0.0122789054504892	0.458882547813021	0.000226794904882532	0.700730775601757
hv246g	-0.40586931269298	0.302001273633691	0.179692321880247	0.000689244282172541	0.388864657711706
hv246h	-10.5467271943736	0.746333130410919	2.135e-37	0.000395234259319643	9.20575268817204e-37
hv246i	-9.78976814292963	1.01063722897916	3.5989e-20	6.42870886931046e-05	1.26815369068541e-19
hv246j	-0.172595713258673	0.120878332171428	0.154075622582193	0.00159801293241679	0.348473348310544
hv246k	-0.130852721708541	0.184165519268152	0.477776101236795	0.000105725722318373	0.717419032825019
