var	concordance	Estimate.x	SE.x	P.Val.x	Nag.R2.x	FDR.x	varOrig.x	varlabel.x
v715	1	0.087529742483599	0.0333727013857328	0.00918706494795165	0.00492874886115535	0.0271729163109544	v715	husbands education-single yrs
v222	1	0.0103744146986365	0.00326314316839676	0.0016379467470067	0.0128298118934089	0.00502084789784014	v222	last birth to interview
b0_04_0	1	14.1856820072697	0.381389892055171	1.3055e-107	7.77265111153724e-4	2.19122337398374e-106	b0_04	child is twin
hv217_3	1	-13.6101278060477	0.281233476186611	6.3291e-141	6.7409855015399e-4	3.18693340243902e-139	hv217	relationship structure
b0_04_2	1	-13.1699430128751	0.539314318363914	5.3432e-70	1.59972683806298e-4	3.70169006711409e-69	b0_04	child is twin
v151_1	1	-1.43320300725345	0.406122595189218	4.84900199773771e-4	0.00749577434924475	0.00150991924952192	v151	sex of household head
v151_2	1	1.43320300725345	0.406122595189221	4.84900199773812e-4	0.00749577434924509	0.00150991924952192	v151	sex of household head
v155_0	1	-1.17361747698297	0.370986587786	0.00172432372025215	0.00513566312131919	0.00527387603031195	v155	literacy
hv121_2	1	-10.5305036142457	0.753374202812531	2.7028e-34	3.2046518405382e-5	1.08770576998051e-33	hv121	member attended school during current school year
v155_3	1	-11.8455886481008	0.756982536173617	1.948e-40	6.67946081863713e-5	8.56580617678381e-40	v155	literacy
sh18a_1	1	-17.1224439938169	1.01209967677778	1.0742e-30	0.00233625945368476	4.14908493919551e-30	sh18a	level of education attending
hv126_1	1	-14.6659352971547	0.272268973409541	4.5633e-153	0.00158825408547381	5.09239613513514e-151	hv126	educational level during previous school year
hv110_9	1	-11.5561136598574	0.493610833873368	8.5535e-69	8.64368155981676e-5	5.85694883913765e-68	hv110	member still in school
v161_7	1	-10.5090271092611	0.733917896224381	1.5313e-35	3.07100479132183e-5	6.31011746506986e-35	v161	type of cooking fuel
hv226_7	1	-10.4879999840258	0.733885410386601	1.9392e-35	2.9463047879652e-5	7.98300777666999e-35	hv226	type of cooking fuel
ha35_9	1	-13.6515300900028	0.35530569294001	8.5972e-116	3.58662740724158e-4	1.7660616318408e-114	ha35	smoking
b0_05_1	1	-13.2559259688892	0.545587709068301	7.1448e-68	2.23018410794862e-4	4.78134184764992e-67	b0_05	child is twin
hv213_21	1	-12.5457340612001	0.456262172551757	8.9448e-83	1.50374545342835e-4	8.11716026373626e-82	hv213	main floor material
b0_06_1	1	-14.095581717279	0.508741465781821	1.2765e-74	6.72487546046985e-4	9.53104611211573e-74	b0_06	child is twin
hv109_9	1	-12.6880055387709	0.449734863915054	3.9253e-85	2.60670379409023e-4	3.76920086046512e-84	hv109	educational attainment
b0_04_1	1	-14.1760795108499	0.401080738089312	1.0875e-102	6.13217405881494e-4	1.67548041044776e-101	b0_04	child is twin
sw43_4	1	-11.7894724974235	0.65652827128451	5.3619e-49	8.6098229480136e-5	2.62624971530249e-48	sw43	result of measuring
ha55_9	1	-12.6563000010263	0.46472476048088	6.6769e-82	1.42396811290135e-4	5.87823456289979e-81	ha55	result of measuring (hemoglobin)
hv226_1	1	-10.4840050694961	1.01792076458282	2.0986e-21	1.46439841886004e-5	7.13766013179572e-21	hv226	type of cooking fuel
h0m_1	1	-0.788665285781642	0.0567871116562306	3.804e-31	0.0131990452243712	1.47619511278195e-30	h0m	NA
hv209_9	1	-12.6656025307355	0.462182579362909	1.8183e-82	1.33252442460763e-4	1.621546587473e-81	hv209	has refrigerator
v106_2	1	1.11379857505684	0.424029027907555	0.00907985722016534	0.00343063577179359	0.0269136614946609	v106	highest educational level
hv129_3	1	-12.9168319485923	0.522417464719577	5.1939e-70	2.00131396349779e-4	3.60430472268908e-69	hv129	school attendance status
v141_1	1	1.35045375442863	0.535825550788934	0.0122614965143573	0.00341557103867474	0.0358046104015426	v141	de jure place of residence
s539	1	0.44012975633129803	0.131246980506838	9.04597154510764e-4	0.00898429296385261	0.00279154084527275	s539	number of sex. partners in life
hv108_02	1	0.122213450827189	0.0343191787558154	4.31508204365421e-4	0.00577336482172841	0.00134977073926123	hv108	education in single years
sw43_1	1	13.6971688401243	0.309776407105507	6.5951e-131	5.54306979665964e-4	2.23206294262295e-129	sw43	result of measuring
b2_01	1	-0.124483199032779	0.0398498036608164	0.00196782941750026	0.0125879760849694	0.00601418776081316	b2	NA
