var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
v715	0.087529742483599	0.0333727013857328	0.00918706494795165	0.00492874886115535	0.0271729163109544	v715	husbands education-single yrs
m6_1	-0.00100822320523086	0.00601258390453858	0.866952613286622	2.14499714825678e-5	0.95304774767318	m6	NA
hv108_05	0.0315091450692437	0.0800070911827848	0.694001481025438	1.36575755508961e-4	0.852329599986328	hv108	education in single years
hv217_4	0.373220507762923	0.415719721983094	0.370053149386562	4.81186120175447e-4	0.584622952444127	hv217	relationship structure
hivnumb	-0.0147596838077836	0.0265758208117397	0.579062814387399	1.78638960677158e-4	0.779064959467439	hivnumb	household
hv124_04	-0.0319965885556547	0.0767587562357456	0.677101499193029	1.49760290703238e-4	0.840613009192447	hv124	education in single years - current school year
hml8_8	2.27010520392159	1.34927318608076	0.0949552187282239	0.0147128215558582	0.211130909062378	hml8	bednet treated since receiving
v141_7	-0.199717453429963	1.01849094256483	0.844675856852198	1.75464912985923e-5	0.945277519947378	v141	de jure place of residence
v804	0.608148403227123	0.617161863334912	0.325251340976611	6.38001582680348e-4	0.536541265238684	v804	number of visits
v222	0.0103744146986365	0.00326314316839676	0.0016379467470067	0.0128298118934089	0.00502084789784014	v222	last birth to interview
hc30_1	-0.0965684560448292	0.0632204077939166	0.127748576830851	0.00142028269699446	0.26680519662852	hc30	month of birth of child
ha1_02	-4.25863902115485e-4	0.0183833799692469	0.981535145018652	2.62904316983281e-7	0.995887636959087	ha1	women's age in years
hv017	1.19112688716994	1.00837128090033	0.238475837350704	7.71385435178185e-4	0.429797788049348	hv017	number of visits
h3d_1	-0.0969818627939029	0.132826107529352	0.466188968433355	0.00366825613030008	0.688046805842778	h3d	NA
ha56_03	0.00707925155029659	0.0183846739038561	0.700658582056526	2.20170926364838e-4	0.858564444537164	ha56	hemoglobin level adjusted by altitud (g/dl - 1 decimal)
sh20b_06	-0.390437340007807	0.288901348765485	0.178625634324272	0.00512759073521352	0.346753758403817	sh20b	grade attended last year
hc63_3	-0.253791404329578	0.0442647326119378	9.36487777320577e-8	0.0158912115527149	2.9767190396895e-7	hc63	preceding birth interval
b0_04_0	14.1856820072697	0.381389892055171	1.3055e-107	7.77265111153724e-4	2.19122337398374e-106	b0_04	child is twin
hv206_1	-0.301858647550013	0.505747435550881	0.551068855831198	2.51377071878278e-4	0.757444509230032	hv206	has electricity
hml16_09	-0.0614122354837709	0.0633733390870262	0.333810991377051	0.00235615707219905	0.546005773416233	hml16	corrected age from individual questionnaire
