var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hc10_3	1	-5.25212801226706	0.499318643180738	1.460082e-17	0.0673533062520845	3.55151548254252e-17	hc10	wt/ht percentile
hml16	1	0.257885118630766	0.0766438085008291	9.77475301596355e-4	0.0391480851076454	0.0022796569909333	hml16	corrected age from individual questionnaire
hv01810	1	18.7674709426152	0.81275427399143	1.374326e-62	0.0327840366669	7.30732630528376e-62	hv01810	NA
s861_0	1	18.3912122415772	0.987943541967451	8.071193e-29	0.0292149766556501	2.4285084585825e-28	s861	partner sought treatment
hv101_14_3	1	-17.4001842455912	0.698193251440543	1.321976e-38	0.0179271762705798	4.80188341176471e-38	hv101_14	relationship to head
hv125_13_1	1	-16.3899625599045	0.616140270816274	2.015389e-47	0.0150794397902417	8.43730649152542e-47	hv125_13	member attended school during previous school year
hv125_13_0	1	16.3899625603592	0.616140270606992	2.015389e-47	0.0150794397902416	8.43730649152542e-47	hv125_13	member attended school during previous school year
hv128_13	1	-14.4308664153166	0.748671593577439	1.285291e-35	0.0144381132347871	4.31660772187886e-35	hv128	education in single years - previous school year
hv126_13_0	1	16.370057148879	0.622890848203547	5.877794e-47	0.0144381131488344	2.43816279358779e-46	hv126_13	educational level during previous school year
s861_8	1	-17.7007997152634	1.0056440679448	2.06196e-27	0.01180013851877	6.0895057826087e-27	s861	partner sought treatment
mv539_1	1	1.94507569372825	0.543536435530425	4.08461928226343e-4	0.0112201316800091	9.54248545993959e-4	mv539	other regular sexual partners
hv106_13_2	1	-16.3627863497093	0.647481783237451	1.830113e-45	0.0104720282682726	7.37747332492582e-45	hv106_13	highest educational level
s861_1	1	-16.597050515826002	1.00993695705068	9.999103e-26	0.00968616123550259	2.88403002664544e-25	s861	partner sought treatment
hv109_13_3	1	-16.3679198838451	0.662809395072717	1.365551e-44	0.00943600701915726	5.40845782361516e-44	hv109_13	educational attainment
hv101_14_5	1	-16.3760332417542	0.714889251900339	4.064518e-36	0.00887964832834298	1.38041192575e-35	hv101_14	relationship to head
hv117_14_0	1	16.2397549051769	0.700716853093634	1.852039e-36	0.00792858397987495	6.33751884508816e-36	hv117_14	eligibility for female interview
hv117_14_1	1	-16.2397549054886	0.70071684796275	1.852038e-36	0.00792858397987473	6.33751884508816e-36	hv117_14	eligibility for female interview
hv126_13_2	1	-16.3748280710555	0.750339670896591	5.114664e-40	0.00772012719227022	1.89843471147541e-39	hv126_13	educational level during previous school year
hv122_14_2	1	-16.5136272446819	0.893823996500919	7.852641e-30	0.00768261700303119	2.39188627769058e-29	hv122_14	educational level during current school year
hv126_14_2	1	-16.5136272446819	0.893823996500919	7.852641e-30	0.00768261700303119	2.39188627769058e-29	hv126_14	educational level during previous school year
ha52_04_1	1	15.7182519419242	0.990709227406335	2.219247e-24	0.007243675515063	6.2354644250258504e-24	ha52_04	read consent statement
ha55_04_0	1	15.7182519419242	0.990709227406335	2.219247e-24	0.007243675515063	6.2354644250258504e-24	ha55_04	result of measuring (hemoglobin)
sw49_04_1	1	15.7182519419242	0.990709227406335	2.219247e-24	0.007243675515063	6.2354644250258504e-24	sw49_04	result of measuring (hemoglobin)
ha54_04_0	1	15.4348866127352	0.848652882529018	1.532328e-26	0.00708970403772746	4.45753230835118e-26	ha54_04	currently pregnant
ha54_04_1	1	-15.4348866115761	0.848652876105331	1.532327e-26	0.00708970403772735	4.45753230835118e-26	ha54_04	currently pregnant
hv122_13_2	1	-16.3765563284218	0.753547179357783	7.237139e-40	0.00666805254419733	2.67892461348774e-39	hv122_13	educational level during current school year
ha52_04_3	1	-15.7783777643713	1.09764668811859	3.755032e-22	0.00607504269403714	1.00417538818898e-21	ha52_04	read consent statement
hv101_11_5	1	-16.026869618515	0.570331085503586	2.547731e-60	0.00605061566250065	1.2866515105948e-59	hv101_11	relationship to head
hv126_13_1	1	-16.0882539647968	0.612489962731016	6.156854e-47	0.00584722471516652	2.5500262679878e-46	hv126_13	educational level during previous school year
hv117_13_0	1	16.1248444328562	0.614856458100507	7.080436e-47	0.00574597214018879	2.92363899878419e-46	hv117_13	eligibility for female interview
hv117_13_1	1	-16.1248444283887	0.6148564315417	7.080409e-47	0.00574597214018857	2.92363899878419e-46	hv117_13	eligibility for female interview
sw43_04_1	1	15.6252634388061	0.896455934927119	1.368538e-26	0.00450942558873746	3.98961131545064e-26	sw43_04	result of measuring
ha13_04_0	1	15.6252634388061	0.896455934927119	1.368538e-26	0.00450942558873746	3.98961131545064e-26	ha13_04	result of measurement of resp.
