var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hml34_0699991	1	-15.5468592776127	0.901528689555779	3.3223e-12	0.0246849322999182	1.09317835880933e-11	hml34	NA
hc6_3	1	-0.00161263187307819	5.59148005930499e-4	0.00455107035863035	0.0178713526950608	0.0140694465357507	hc6	height/age percent of ref. median
hc5_3	1	-0.0064943614762723	0.00223836976559168	0.00432098849140715	0.017291694782968402	0.0133885173711025	hc5	height/age standard deviation
hml34_1199991	1	-15.3111419844604	1.01400850270308	9.9148e-35	0.0165164734235979	4.19788115942029e-34	hml34	NA
hc70_3	1	-0.00568680581175501	0.00188204501840708	0.00297313678006553	0.0150763567948174	0.00934675590351116	hc70	height/age standard deviation (new who)
hml32_08_0	1	17.7901763007819	0.687364072683617	3.2269e-55	0.0135957783402811	2.04938214285714e-54	hml32_08	final result of malaria from blood smear test
v535_1	1	1.90978968174216	0.618828371183384	0.00227420320955681	0.0135869589947207	0.00722165460177589	v535	ever been married or in union
hml32_08_1	1	-17.7803715524283	0.687577544336248	3.566e-55	0.0133094068099041	2.26123100775194e-54	hml32_08	final result of malaria from blood smear test
hml34_0899991	1	-15.5808051193412	0.730381441320266	1.5994e-40	0.01314594585219	7.7050011778563e-40	hml34	NA
hml34_07?	1	-15.7611131847574	1.01204453147036	2.8104e-23	0.0128015508119862	1.07828667917448e-22	hml34	NA
v535_0	1	-1.82177821246218	0.61720131783219	0.00348490901793302	0.0125185945055416	0.010897001439867	v535	ever been married or in union
ha62_05?	1	-14.4523208374356	0.854469326713754	2.9986e-43	0.0115239262743466	1.49200413625304e-42	ha62	NA
hml34_05?	1	-15.461463255785	1.01305222629895	2.8237e-18	0.0108197597360226	9.55246732837055e-18	hml34	NA
hv140_04_1	1	18.3656132954812	0.721749534113706	6.0775e-58	0.0105394960746219	4.01566639741519e-57	hv140_04	member has a birth certificate
m3g_2_1	1	-16.7219221844162	0.408368074849943	2.9388e-106	0.00993823842265718	5.6166785046729e-105	m3g_2	assistance: traditional birth attendant
m3g_2_0	1	16.7219221869802	0.408368080154934	2.9388e-106	0.00993823842265706	5.6166785046729e-105	m3g_2	assistance: traditional birth attendant
hb62_04?	1	-14.7441356963183	0.499501764302681	1.7051e-79	0.00923136660521928	1.62940630841121e-78	hb62	NA
v770_1	1	1.69027305009436	0.655982185784957	0.0105586715899685	0.00876820629179687	0.031248167006492	v770	sought advice/treatment for last sti infection
v770_0	1	-1.69027305009436	0.655982185784959	0.0105586715899687	0.00876820629179675	0.031248167006492	v770	sought advice/treatment for last sti infection
h1_2_0	1	-16.8040992437376	0.394923446413469	3.3356e-105	0.0085180718208433	6.14531711711712e-104	h1_2	has health card
sh218_08_3	1	-16.5365385386586	0.696513760227406	6.1429e-51	0.00714891031414866	3.45116222527473e-50	sh218_08	result of malaria rapid test
h2_2_0	1	-16.7327771741225	0.39018031000086	7.6287e-106	0.00647127025319161	1.44450847222222e-104	h2_2	received bcg
hv140_04_0	1	-16.9029383731225	0.724340788289275	3.2098e-53	0.00562985991129061	1.93060029411765e-52	hv140_04	member has a birth certificate
