name	estimate	se	p.value	Nag.r2	adj.p.val
ha62_05?	-14.4523208374356	0.854469326713754	2.9986e-43	0.0115239262743466	1.49200413625304e-42
hb62_03?	-15.6245753017937	0.426313936818935	1.7575e-63	0.0228415172633833	1.28131461675579e-62
hb62_04?	-14.7441356963183	0.499501764302681	1.7051e-79	0.00923136660521928	1.62940630841121e-78
hml34_0399994	-15.4798713863831	0.754151407012634	2.9515e-40	0.0112561926368532	1.41852350176263e-39
hml34_0499991	3.11953707131507	1.42266443700857	0.0317003984407737	0.00928095466717715	0.0858639931276586
hml34_05?	-15.461463255785	1.01305222629895	2.8237e-18	0.0108197597360226	9.55246732837055e-18
hml34_0699991	-15.5468592776127	0.901528689555779	3.3223e-12	0.0246849322999182	1.09317835880933e-11
hml34_07?	-15.7611131847574	1.01204453147036	2.8104e-23	0.0128015508119862	1.07828667917448e-22
hml34_0899991	-15.5808051193412	0.730381441320266	1.5994e-40	0.01314594585219	7.7050011778563e-40
hml34_1199991	-15.3111419844604	1.01400850270308	9.9148e-35	0.0165164734235979	4.19788115942029e-34
hml34_1299991	-14.5922428440103	1.00967863010358	1.4309e-33	0.00629281152478511	5.94754166666667e-33
hv008	-0.222473660857762	0.129894235169517	0.0878060162857034	0.00120957548666556	0.204864008333444
hv010	0.0792108384458572	0.10416653765536	0.447603835551795	0.000255093502870563	0.665523912047586
hv011	-0.0218353619197648	0.0981089022108549	0.824029006871426	1.44116714394515e-05	0.912765517546267
hv012	-0.0151549963521544	0.0261899907869018	0.563259833930391	8.35521407446249e-05	0.748937815596651
hv013	-0.0151152045068882	0.0248699059952134	0.543803885420158	8.54621113638432e-05	0.73927135548077
hv014	-0.220506861923951	0.120534999343644	0.068341986151065	0.00141676355516218	0.165987877541272
hv016	-0.0194818312212405	0.0226606650184345	0.390636706057026	0.000522875100503528	0.611903123444137
hv017	0.705792269198629	0.462563334794273	0.128116775392238	0.000643751158819428	0.280362552891521
hv019	-0.0291434333426778	0.055440905107247	0.599512105482296	0.000106562075497973	0.766730616454844
hv028	-1.04022462835918e-06	3.69963531793693e-07	0.00525609972814984	0.00603612338243587	0.0161634946527315
hv031	-0.00777140979465884	0.0042952363489007	0.0714139565446294	0.00209261633174795	0.171712570410073
hv032	-0.233441723572982	0.141242000639779	0.0994326437579493	0.00142689947669716	0.226941692505587
hv035	-0.285044732152785	0.15148711384163	0.0608622917585533	0.00187035201652119	0.150318099814301
hv040	-0.000576857379629698	0.000611792114461462	0.346499577700128	0.000503264348202248	0.569857190306902
hv041	0.0311966442101738	0.052741624665686	0.554635729379501	0.000109243551009053	0.748271524177602
hv204	0.000733995229101152	0.000318941786130264	0.0220643163147497	0.00211577465126922	0.0615153740472572
hv216	-0.0510832374090606	0.0556805052890886	0.359659195389439	0.000188370797965631	0.582495710108516
hv220	-0.019255832197162	0.0101589398186037	0.0590026719827801	0.00134595973782459	0.145813249794302
hv238	0.00471095112476241	0.00659987283233457	0.476020277899962	0.000415531895242571	0.687743601102127
hv245	-0.00813046040747508	0.00676253996981503	0.230366304513983	0.000872820151536113	0.428077321881958
hv246b	-0.102736976606271	0.0505108985395579	0.0428444473773887	0.00167920968715241	0.111345823646325
hv246c	-11.8974882607287	0.647747486635009	7.2124e-51	0.000226492085199426	4.04646310013717e-50
hv246d	-0.0988185481470089	0.0870259349194425	0.257078494024912	0.00075714346728839	0.461567620966589
hv246e	-0.107378837394843	0.0730239406258494	0.142495615476872	0.000788223845813452	0.300773053001792
hv246f	-0.024521257988522	0.0240729366874072	0.309210800805525	0.000351601065439078	0.529849223089946
hv246g	-11.1134219269261	0.631460506996086	5.4678e-48	0.00104793142587711	2.92330745098039e-47
hv246h	0.000677765370016746	0.0723799028895814	0.992535005273435	3.27773838071366e-08	0.996095593480466
hv246i	-11.8815302681715	0.465755474806941	8.128e-77	0.000283095111281995	7.45370403587444e-76
hv271	4.21862031670822e-06	1.52066008747131e-06	0.00588421164581294	0.0037548041730564	0.018000318348074
hml1a	-0.113109400426388	0.13013231300054	0.385446361427357	0.000362555055091751	0.606103659453245
hml2	-0.303603270568482	0.277053218817277	0.27404090259525	0.000725856755203536	0.483949607778313
