var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hml33_07_0	1	-5.30269714374981	1.49944988916189	5.75783617109722e-4	0.088152692923957	0.00143788299272747	hml33_07	result of malaria measurement
hml33_07_4	1	5.30269714374981	1.49944988916189	5.75783617109722e-4	0.0881526929239569	0.00143788299272747	hml33_07	result of malaria measurement
hml31_07_1	1	-5.30797047764115	1.49943565999897	5.67277853754175e-4	0.0878695967314371	0.00141923170541607	hml31_07	read consent statement for malaria
hml31_07_2	1	5.30797047764115	1.49943565999897	5.67277853754171e-4	0.0878695967314371	0.00141923170541607	hml31_07	read consent statement for malaria
hml34_0699991	1	-16.1321681155839	1.02438473377685	1.176871e-26	0.0466382920125381	3.58696651113586e-26	hml34	NA
ha62_03?	1	-16.2761285216134	0.611355432858732	2.774081e-35	0.0387673561606351	9.84780764850843e-35	ha62	NA
chl6_02	1	-0.155952165279995	0.0626682901681995	0.0141319977040156	0.0244573792546924	0.0328905422754173	chl6	hours spent working for family member
ha41_04	1	-0.00668070534612764	0.00237872014510323	0.0063225683226259	0.0179744170209598	0.0151002351649451	ha41	rohrer's index
mv245	1	0.87687377903983	0.190005902212923	5.87125810715459e-6	0.016667759754298	1.50464732577548e-5	mv245	number of women fathered children with
ha12b_04	1	-7.35418053796994e-4	2.46076511906635e-4	0.00377352647657786	0.0161898034341964	0.00921332914040464	ha12b	weight/height percent ref. median (who)
hb62_03?	1	-16.7877824552338	0.62214377475293	1.034579e-37	0.0161609045585508	3.87365625581395e-37	hb62	NA
ha40_04	1	-0.00436420358188661	0.00124257142925105	7.51517785168224e-4	0.015586423119885	0.00187331892350221	ha40	body mass index
ha12_04	1	-9.04014556069439e-4	2.63719188596233e-4	9.84998652467196e-4	0.0128135848985447	0.00245308581601703	ha12	weight/height percent ref. median (dhs)
sh03_1	1	2.27414946711566	0.546321740064567	4.13255076566607e-5	0.0120495937641976	1.05314631709758e-4	sh03	relationship to head
v150_1	1	2.27414946711566	0.546321740064567	4.13255076566607e-5	0.0120495937641976	1.05314631709758e-4	v150	relationship to household head
ha12a_04	1	-7.18727584233582e-4	1.9102288141185e-4	3.28935861411775e-4	0.0117655444902749	8.24448216743616e-4	ha12a	weight/height percent ref. median (fog)
ha11_04	1	-0.0108694900374771	0.00318945994599139	0.0010496950094295	0.0115896952314554	0.00261183203709867	ha11	weight/height standard deviation (dhs)
hml17_13_0	1	-17.4257157199565	0.732267290167906	4.914498e-46	0.00988402173816183	2.20147123355155e-45	hml17_13	flag for age from individual file
hml17_13_1	1	17.4257157192253	0.732267294080888	4.914501e-46	0.00988402173816172	2.20147123355155e-45	hml17_13	flag for age from individual file
