var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
ha62_03?	-16.2761285216134	0.611355432858732	2.774081e-35	0.0387673561606351	9.84780764850843e-35	ha62	
ha62_05?	-14.4337829049684	1.01633154827814	2.644398e-34	0.00134641437940841	9.16166750126582e-34	ha62	
hb62_03?	-16.7877824552338	0.62214377475293	1.034579e-37	0.0161609045585508	3.87365625581395e-37	hb62	
hb62_04?	-15.5124932811233	0.508779783106275	7.059753e-79	0.00649503988690459	6.07627168584906e-78	hb62	
hml34_0399991	-15.5232095943042	0.650589854480607	3.072827e-52	0.00467565174394302	1.56325789944238e-51	hml34	
hml34_04?	-15.590209968063	1.01971842720805	1.148324e-29	0.0143229571235193	3.67597986900585e-29	hml34	
hml34_0599991	-15.3576844734638	1.02415406500982	1.011022e-25	0.0279405643997882	3.04418835423542e-25	hml34	
hml34_0699991	-16.1321681155839	1.02438473377685	1.176871e-26	0.0466382920125381	3.58696651113586e-26	hml34	
hml34_07?	-15.3043234909846	0.74628433220905	2.394421e-41	0.0303748560249841	9.6802515169867e-41	hml34	
hml34_0899991	-15.4781490517553	1.04861639096753	1.31491e-32	0.00552978734945742	4.38356719853837e-32	hml34	
hml34_1199994	-15.3530932602619	1.01903574514771	1.130284e-35	0.0104738459162192	4.04919804712042e-35	hml34	
hml34_1299995	-14.4986122089294	1.05261038864169	3.907614e-32	0.00557830567710416	1.29168351666667e-31	hml34	
hv008	-0.23889900532475	0.152635530145379	0.118617479876005	0.00124812372934213	0.226083595000436	hv008	date of interview (cmc)
hv010	-0.00121338289234134	0.158548321714892	0.993898958480888	3.723049568638e-8	0.995144595710527	hv010	number of eligible women in household
hv011	-0.299207680910673	0.161444500499487	0.064835421811184707	0.00167748963281711	0.13515197981509	hv011	number of eligible men in household
hv012	-0.0415403027164041	0.033191332150382	0.211728785598288	5.05973281411443e-4	0.367470948752387	hv012	number of de jure members
hv013	-0.0614165188120644	0.0415207195693101	0.140159870035902	0.00103084758926197	0.260964329447798	hv013	number of de facto members
hv014	-0.0604136636775992	0.138466281827503	0.662933895750673	9.34146778155398e-5	0.816484596935951	hv014	number of children 5 and under (de jure)
hv016	0.0307334596479393	0.0183544475752716	0.0951035239041964	0.00118870536490967	0.187534830638174	hv016	day of interview
hv017	-14.0598669663451	0.404255385296689	2.196676e-106	6.18825543479473e-4	3.98165709403973e-105	hv017	number of visits
hv019	0.0750581597479893	0.0578596949899367	0.195560732089815	6.45246840448532e-4	0.343549245012724	hv019	keyer identification
hv028	-1.14031800384412e-7	4.03504859939868e-7	0.777679141882188	9.17365363113376e-5	0.891708341571658	hv028	household weight for male subsample (6 decimals)
hv031	-0.00184854418714343	0.0049062142965701	0.70661088759203	1.01413102171488e-4	0.843433929062096	hv031	field editor
hv032	0.1460631837809	0.19095450756929	0.444936070895057	4.76034209376586e-4	0.629666830247389	hv032	office editor
hv035	-0.0146868356551755	0.146069788990275	0.919978606019514	4.76824475170723e-6	0.958136013955635	hv035	number of eligible children for height and weight
hv040	8.166548056746e-4	7.83495855032406e-4	0.298115945803506	8.90614286698121e-4	0.484814820953176	hv040	cluster altitude in meters
hv041	-0.0815412649692065	0.061143513816608	0.183362282185672	4.83864327588068e-4	0.326520862942215	hv041	total adults measured
hv204	5.21474373486889e-4	4.32654055089776e-4	0.22905661786225	9.26439962561254e-4	0.392566038252335	hv204	time to get to water source (minutes)
hv216	-0.212809886383169	0.09902830747135	0.0324494741284438	0.00175756931472171	0.0722066753573583	hv216	number of rooms used for sleeping
hv220	-0.0149314447600623	0.0097375938931051	0.126253643227706	7.02390040227541e-4	0.238643799388281	hv220	age of head of household
hv238	0.00124324159669254	0.00931608787601102	0.893950408645254	2.38679209583204e-5	0.9494537324261	hv238	number of households sharing toilet
hv245	0.00232282638352361	0.00147267849274353	0.115995600350736	0.00187129872391423	0.22201395675522	hv245	hectares of agricultural land (1 decimal)
hv246b	-0.0336785343762607	0.0247538041361112	0.174697792464422	3.85989829026712e-4	0.314157593938977	hv246b	owns cows/ bulls
hv246c	-11.5915904084824	1.01481155637695	2.887111e-25	1.91024274831531e-4	8.61725496946565e-25	hv246c	owns horses/ donkeys/ mules
hv246d	-0.0691295841568797	0.0742523370081713	0.352610242790418	4.20497657985131e-4	0.542938875258011	hv246d	owns goats
hv246e	-0.0717244619688882	0.122900955547155	0.559938316161862	4.08613092487409e-4	0.737860345233683	hv246e	owns sheep
hv246f	0.0216921063492883	0.0251382369976061	0.388886392333374	3.93151212441212e-4	0.573172889508048	hv246f	owns chickens
hv246g	-0.0513807218479739	0.0562009597224137	0.361341523037075	1.47772184103667e-4	0.550854153218936	hv246g	owns pigs
hv246h	-0.00170132908529568	0.0587214772448571	0.976905827367534	2.14294693767769e-7	0.987151675600395	hv246h	owns duck
hv246i	-12.0982334120227	0.445731659697354	3.452729e-82	3.25035389041051e-4	3.28129141423611e-81	hv246i	owns donkey
hv271	-1.4570237772055e-7	2.18721379720418e-6	0.946932916450682	3.62980271395585e-6	0.973663302254997	hv271	wealth index factor score (5 decimals)
hml1a	-0.137060759356225	0.155428727974186	0.378590006794953	4.52332395808885e-4	0.564369701237588	hml1a	number of mosquito bed nets with specific information
hml2	-0.697734476915863	0.383683672184277	0.0699994205442283	0.00205928108575026	0.144268384058398	hml2	number of children under mosquito bed net previous night
sh136e	-8.91437980098071e-6	5.6051742792458e-6	0.112822949017637	0.00168651889288174	0.217003802854021	sh136e	cost of impregnation of a mousquito net
sh140	3.02261868851542e-4	4.56125773658326e-4	0.508057926961568	2.95183885325789e-4	0.690101511709088	sh140	last crisis of malaria
chl0	-0.145498664401065	0.14746158439054	0.3246066376575	0.00110745355351161	0.512960951078855	chl0	number of de-jure children 5-14 for child labor module
hv107	0.0393864153116641	0.189721993098267	0.835706468115074	6.43570354920131e-5	0.921835546932507	hv107	highest year of education completed
hv108	-0.0351765814451318	0.0461357308738565	0.44639559298289	5.13856363924758e-4	0.63108715805484	hv108	education completed in single years
hv123	0.169236270028045	0.0312245998678702	2.01518079080643e-7	1.77479344716236e-4	5.20334889097849e-7	hv123	grade of education during current school year
hv124	-0.381011149300978	0.152604139803859	0.0130798491595581	0.00576517786393871	0.0305717738255427	hv124	education in single years - current school year
hb0	-0.644268390917658	0.257830193856331	0.0130049462979388	0.0110980165803489	0.0304226820662038	hb0	index to household schedule
hb1	0.0639670557818641	0.0137569183893297	5.01903449730658e-6	0.0103119714744785	1.28986830226555e-5	hb1	man's age in years
hb32	-0.00537933337076319	0.0011523109963793	4.61632855220729e-6	0.0104542338068957	1.18972610615738e-5	hb32	date of birth (cmc)
hb53	-0.0322973927994638	0.00785614416803085	5.10956149008446e-5	0.00861101881497117	1.2985023025405e-4	hb53	hemoglobin level (g/dl - 1 decimal)
hb56	-0.0325095702133101	0.0078969058460079	4.99265471557158e-5	0.00873931922673843	1.26997174317095e-4	hb56	hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)
hb67	0.0232014020165736	0.181494264239355	0.898380741431779	2.29442066695951e-5	0.949570986397167	hb67	man's highest year of education
hb69	-6.32519184142935e-8	3.9916316866357e-7	0.874201726381707	3.20342800887996e-5	0.940522847919313	hb69	hiv weight (6 decimals)
hb70	-0.00169012137297693	0.00493886306696151	0.732437595509405	8.47024511796413e-5	0.864086939185018	hb70	interviewer that took blood for hiv testing
hmlidx	0.0605158677983485	0.301491968999803	0.841123558144707	4.39760062276306e-5	0.922894968045359	hmlidx	mosquito bed net designation number
hml4	0.0246889827905938	0.0123574688446704	0.0471030945814159	0.0128926113637063	0.101592726453377	hml4	months ago net obtained
hmlb	-0.0877119413853381	0.437676470296285	0.841427648455023	5.01816821686929e-4	0.922894968045359	hmlb	line number of person who slept in this net
hmlc	0.00756378294823247	0.03212541809358	0.814349379285883	-5.76672e-12	0.913849220775528	hmlc	line number of person who slept in this net
hml16	0.0639670557818641	0.0137569183893297	5.01903449730658e-6	0.0103119714744785	1.28986830226555e-5	hml16	corrected age from individual file
v004	-0.00102126596232889	0.00197575843930245	0.605614535207281	1.30424104537452e-4	0.77601450508536	v004	ultimate area unit
v006	-0.244672940056346	0.151511710015775	0.107406108117947	0.0013202633456868	0.207606297965567	v006	month of interview
v008	-0.244672940056326	0.151511710015829	0.107406108118101	0.00132026334568658	0.207606297965567	v008	date of interview (cmc)
v016	0.0325413057541229	0.0186897246311873	0.082702696964074	0.00131223930745972	0.166807134554658	v016	day of interview
v021	-0.00102126596232889	0.00197575843930245	0.605614535207281	1.30424104537452e-4	0.77601450508536	v021	primary sampling unit
v027	-14.8459507480209	0.254821955720586	7.247903e-164	0.00133726323060013	1.9837510511e-161	v027	number of visits
v028	-0.00180028495856225	0.0049429084006492	0.715957844000623	9.55414944407984e-5	0.852731339873675	v028	interviewer identification
v029	0.0750581597479893	0.0578596949899367	0.195560732089815	6.45246840448532e-4	0.343549245012724	v029	keyer identification
v030	-0.00184854418714343	0.00490621429657009	0.706610887592029	1.01413102171377e-4	0.843433929062096	v030	field supervisor
v031	-0.00184854418714343	0.0049062142965701	0.70661088759203	1.01413102171488e-4	0.843433929062096	v031	field editor
v032	0.127384722274073	0.191844808681043	0.507209700822933	3.63524212005584e-4	0.689633855515334	v032	office editor
v152	-0.0149314447600623	0.0097375938931051	0.126253643227706	7.02390040227541e-4	0.238643799388281	v152	age of household head
v191	-1.4570237772055e-7	2.18721379720418e-6	0.946932916450682	3.62980271395585e-6	0.973663302254997	v191	wealth index factor score (5 decimals)
v201	0.122312130344188	0.0324204863586965	1.95175500918828e-4	0.00772097882953648	4.92345941027495e-4	v201	total children ever born
v202	0.196372374991457	0.0742315153362286	0.00859667148271349	0.00207195790227843	0.0203891593138534	v202	sons at home
v203	0.461481766692189	0.111739086388157	4.72839067356421e-5	0.00936994353804022	1.20387025800421e-4	v203	daughters at home
v204	0.317820737825109	0.113928619178166	0.00562000269877517	0.00415957558779634	0.0134929363039892	v204	sons elsewhere
v205	0.0887904236322405	0.195777634004939	0.65050281257314	1.65046690284276e-4	0.8128306922381	v205	daughters elsewhere
v206	0.43429876622677	0.137302703408495	0.00172389218335426	0.00609592261723679	0.00425454725504113	v206	sons who have died
v207	0.350123434023788	0.16280982323128	0.0323276338626329	0.00186245695356846	0.0719940877803305	v207	daughters who have died
v212	0.0204241931973912	0.0421705074338685	0.628523978127426	3.14793355822185e-4	0.793116702690071	v212	age of respondent at 1st birth
v218	0.149857075163049	0.0397018770202998	1.9377824939329e-4	0.00666655748494893	4.89272203495789e-4	v218	number of living children
v507	-0.0531194766494221	0.0544490274897274	0.33008766787015	5.28643428396536e-4	0.518627983329851	v507	month of first cohabitation
v508	-0.0518663762012348	0.0186044313515988	0.00565771774044987	0.006248830755191	0.0135715805921221	v508	year of first cohabitation
v509	-0.00434534754272086	0.00155063350648805	0.00541680669522891	0.00632789909789466	0.0130165056407739	v509	date of first cohabitation (cmc)
v511	-0.0294193238625753	0.0445343725031106	0.509396266807695	5.80297075301495e-4	0.690300973235947	v511	age at first cohabitation
v512	0.0527926209005161	0.018569205425846	0.00478740013048762	0.00650537791370431	0.0115956762452607	v512	years since first cohabitation
v527	0.00360948150133529	0.00259404234573537	0.165201290179443	0.00220866809576059	0.300236342112308	v527	time since last sex
v529	0.0311113691794131	0.0180883619665412	0.0864909360159155	0.00105148270915223	0.173552560026071	v529	time since last sex (in months)
v603	1.07338075235082	0.571023979031375	0.061374557170587	0.012682593717058	0.128919541808056	v603	preferred waiting time for birth of a/another child
v766a	-0.683866349890577	0.401178952469349	0.0893141233275184	0.00193339794990988	0.178172562352345	v766a	number of sex partners, excluding spouse, in last 12 months
v766b	0.245737263352049	0.154949651990275	0.113829478476193	0.00109702348315621	0.218786013054312	v766b	number of sex partners, including spouse, in last 12 months
v834a	0.0560052274865484	0.0195543240672307	0.0044875098553177	0.00582873401171113	0.0109079169396133	v834a	age of most recent partner
v836	0.0279504270274233	0.0154602129143436	0.0716448392450098	5.09092392847021e-4	0.147216159920114	v836	total lifetime number of sex partners
v852a	0.035060289297891	0.0148335672590191	0.0187705092999323	0.0102342022980639	0.0432084810377752	v852a	how long ago first had sex with most recent partner
v853a	0.00966273237676519	0.00567075792733416	0.0894564557850231	0.00218790488697851	0.178326525479686	v853a	times in last 12 months had sex with most recent partner
