var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
v535_0	1	-1.93737369925763	0.305279370750574	8.2959e-10	0.0932269594475169	3.60818471153846e-9	v535	have ever been married
s502_0	1	-1.93737369925763	0.305279370750574	8.2959e-10	0.0932269594475169	3.60818471153846e-9	s502	have ever been married or lived with a man
s502_2	1	1.79259821804677	0.30150517259324	7.7759000000000008e-09	0.0744693066520724	3.37480691897655e-8	s502	have ever been married or lived with a man
v535_1	1	1.75325302504527	0.296717088775406	9.4917e-9	0.0737813938025857	4.11509166134185e-8	v535	have ever been married
v502_2	1	1.71515483330753	0.217139822892751	3.0444e-14	0.0447122738605256	1.3326615483871e-13	v502	currently/formerly/never marr.
v131_7	1	1.57618086736652	0.20797086004038	2.6781e-13	0.0372897452308978	1.17105747583244e-12	v131	ethnicity
slangr_7	1	1.53700671526981	0.208099754500164	9.6352e-13	0.0350722032891027	4.20868017167382e-12	slangr	home language of respondent
hv129_2	1	-2.82380371827823	0.88828165436551	0.0016268798554223	0.0340729341560225	0.00633782573342027	hv129	school attendance status
slangi_7	1	1.46529154506625	0.224472278973551	2.1342e-10	0.0242249085441067	9.30227858672377e-10	slangi	language of interview
hv110_1	1	-3.12739881807089	0.881293532678072	4.3557588001363e-4	0.0233232787752035	0.00174530453497587	hv110	member still in school
hv121_1	1	-3.12739881807089	0.881293532678072	4.3557588001363e-4	0.0233232787752035	0.00174530453497587	hv121	member attended school during current school year
v023_5	1	1.19827682610362	0.230996068187483	3.47163858588204e-7	0.022446763453303	1.50032279014074e-6	v023	sample domain
v024_5	1	1.19827682610362	0.230996068187483	3.47163858588204e-7	0.022446763453303	1.50032279014074e-6	v024	region
slangq_7	1	1.46792912251218	0.240256035480709	2.4649e-9	0.0223043631611932	1.07092933831377e-8	slangq	language of questionnaire
hv024_5	1	1.18049831020781	0.22773213933202	3.53696392762132e-7	0.0218129689469594	1.52693320777798e-6	hv024	region
v139_5	1	1.18815299427438	0.236223105202655	7.57765388360483e-7	0.0212950802891715	3.26440518096881e-6	v139	de jure region of residence
hv121_0	1	2.31140657648061	0.618634058755588	2.1532506638132e-4	0.0207481245647827	8.85442772968034e-4	hv121	member attended school during current school year
sh18a_0	1	2.31140657648061	0.618634058755588	2.1532506638132e-4	0.0207481245647827	8.85442772968034e-4	sh18a	level of education attending
hv110_0	1	2.40088328508482	0.690027239418815	5.60646013990629e-4	0.0204462382870589	0.00223325824163978	hv110	member still in school
