var	concordance	Estimate.x	SE.x	P.Val.x	Nag.R2.x	FDR.x	varOrig.x	varlabel.x
hv009	1	-0.153928554301079	0.0522181322161104	0.00340018075173964	0.00843896659947874	0.0118598770398864	hv009	number of household members
hv011	1	-0.343145960050236	0.132022890186347	0.00971363088430896	0.00567524262234587	0.032069150909785	hv011	number of eligible men in hh
hv012	1	-0.152892204407674	0.0549369013326911	0.00565679369586905	0.00795831988010509	0.0192048145974754	hv012	number of de jure members
hv013	1	-0.148637801484334	0.052352131372257	0.00476841124169861	0.0078879655241213	0.0163247961333447	hv013	number of de facto members
hv018	1	-0.00148152515208644	5.05661366749599e-4	0.00359784802000015	0.00609307107744872	0.0125278913106672	hv018	interviewer identification
hv031	1	0.065423803531285	0.0218264079588076	0.00290319955622383	0.00694009835797915	0.0102138471433989	hv031	field editor
hv271	1	2.36133195734037e-6	8.48658244351517e-7	0.00566741386536028	0.0038837761220768	0.0192248493650939	hv271	wealth index factor score (5 decimals)
v028	1	-0.00145126474918348	5.03271954239687e-4	0.00415692871102799	0.00581886079632454	0.014339820125934	v028	interviewer identification
v030	1	0.0706748834361871	0.0217607106275093	0.00126748081826557	0.00794561149160322	0.00455756121236887	v030	field supervisor
v031	1	0.0675665953031886	0.0219851653714641	0.00227160465551395	0.00736429755314183	0.00806142627749463	v031	field editor
v136	1	-0.151601056273626	0.0523968060331114	0.0040338274991791	0.0081574583432622	0.0139387728852041	v136	number of household members
v202	1	-0.281327738959623	0.0793278549621629	4.39868320817066e-4	0.00601754373291663	0.00162911230818975	v202	sons at home
v205	1	0.355892533664436	0.126823184180889	0.00527358357428239	0.00682805416583443	0.0179337057442625	v205	daughters elsewhere
v805	1	-0.00145126474918348	5.03271954239687e-4	0.00415692871102799	0.00581886079632454	0.014339820125934	v805	interviewer identification
v191	1	2.39492697138535e-6	8.50197113734365e-7	0.00510465370125474	0.00399411199570299	0.0173882601830366	v191	wealth index factor score (5 decimals)
hv105_02	1	-0.0219345984521161	0.00821351751404696	0.00790239263366982	0.00556432678786745	0.0263671970430556	hv105	age of household members
hml16_02	1	-0.0225085224591485	0.00820085752387186	0.00634878432840632	0.00589677548341305	0.0213759895487003	hml16	corrected age from individual questionnaire
hv024_5	1	0.82833181576191	0.253807558852906	0.00120072546849868	0.0073383086487947	0.00432133883274172	hv024	region
hv024_8	1	-13.8820481688392	0.305574808010464	9.1667e-155	0.00286171784456579	9.57567584615385e-153	hv024	region
hv201_71	1	-11.9046690329342	0.461117849489809	2.7944e-85	3.07972342831975e-4	4.34518534351145e-84	hv201	source of drinking water
hv201_99	1	-11.0334648725794	1.00393768787867	1.4907e-24	9.19881829553049e-5	6.7423210031348e-24	hv201	source of drinking water
hv208_9	1	-12.0786979103039	0.673333609296752	1.9735e-52	3.66817674186781e-4	1.531436e-51	hv208	has television
hv209_9	1	-11.985425439473	0.666857543741751	1.4146e-52	3.37759857503173e-4	1.10192741873805e-51	hv209	has refrigerator
hv211_9	1	-11.0507418728245	1.00385030237346	1.28e-24	9.61003827856244e-5	6.08485414235706e-24	hv211	has motorcycle/scooter
hv212_9	1	-11.0507418728245	1.00385030237346	1.28e-24	9.61003827856244e-5	6.08485414235706e-24	hv212	has car/truck
hv213_99	1	-12.0806465379227	1.00223270967277	1.6314e-28	2.06390881106855e-4	8.75668458498024e-28	hv213	main floor material
hv215_12	1	-13.1365502170612	0.45344353112803	8.1072e-98	6.64367037179647e-4	1.58791984615385e-96	hv215	main roof material
hv215_99	1	-12.16419126517	0.819644606612777	1.5247e-39	2.08421619520727e-4	8.83588591749644e-39	hv215	main roof material
hv217_1	1	0.921391871894788	0.252139733847261	2.9454205951661e-4	0.0070692622061469	0.0010968595525326	hv217	relationship structure
hv225_9	1	-12.1088131552805	0.750235424390963	7.0701e-44	3.79760253639394e-4	4.69879076672104e-43	hv225	share toilet with other households
hv226_1	1	-13.0890782837897	0.543603912639871	3.5568e-78	6.59354222661168e-4	4.84628869565217e-77	hv226	type of cooking fuel
hv226_3	1	-10.9468776896878	1.0028308618375	2.7746e-24	7.2073299066e-5	1.16054624229979e-23	hv226	type of cooking fuel
hv226_8	1	-12.0780746928598	0.595721566250947	2.7514e-62	3.00706139329421e-4	2.64992992907801e-61	hv226	type of cooking fuel
shseclas_1	1	-14.2880985835591	0.661505789006156	5.133e-24	0.00380890170858117	2.11658319838057e-23	shseclas	socio-economic class in nairobi (cbs)
sh25b_9	1	-13.0336928943312	0.445454560866365	6.1096e-99	6.68839827971057e-4	1.22012305882353e-97	sh25b	solar power
sh27b_9	1	-10.9468776896879	1.0028308618375	2.7746e-24	7.2073299066e-5	1.16054624229979e-23	sh27b	state of repair of dwelling
sh28a_1	1	-0.683174229130712	0.201458343429902	7.69875854182934e-4	0.0069576944828591	0.00280440693668345	sh28a	household own structure
sh28a_2	1	0.724889457444901	0.20471483584492	4.48705013030843e-4	0.00726560390581665	0.00166033081116045	sh28a	household own structure
sh28b_1	1	-0.615626382071069	0.194194197437869	0.00164849066278909	0.00607858189874955	0.00589118505280943	sh28b	household own land which structure sits
