var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hv003	-0.213704124737188	0.142837289794192	0.135456885717475	0.0014707239956242	0.304103700652498	hv003	respondent's line number
hv008	0.0278919606565812	0.0885506384250617	0.752949161100519	7.1682132476325e-5	0.872479101908465	hv008	date of interview (cmc)
hv009	-0.153928554301079	0.0522181322161104	0.00340018075173964	0.00843896659947874	0.0118598770398864	hv009	number of household members
hv010	-0.0756525410454805	0.103061079042235	0.46337246524538	3.32264189289e-4	0.676534535922523	hv010	number of eligible women in hh
hv011	-0.343145960050236	0.132022890186347	0.00971363088430896	0.00567524262234587	0.032069150909785	hv011	number of eligible men in hh
hv012	-0.152892204407674	0.0549369013326911	0.00565679369586905	0.00795831988010509	0.0192048145974754	hv012	number of de jure members
hv013	-0.148637801484334	0.052352131372257	0.00476841124169861	0.0078879655241213	0.0163247961333447	hv013	number of de facto members
hv014	-0.100091663002059	0.107964760230136	0.354481167266286	6.05329985055247e-4	0.581617509239971	hv014	number of children 5 and under
hv016	0.00880292974558533	0.0128406562600818	0.493418491520388	4.00880853315133e-4	0.698213341093341	hv016	day of interview
hv017	0.284188454173472	0.232995680059921	0.223337242703604	8.82289291688543e-4	0.436182131723146	hv017	number of visits
hv018	-0.00148152515208644	5.05661366749599e-4	0.00359784802000015	0.00609307107744872	0.0125278913106672	hv018	interviewer identification
hv019	0.0602825451262406	0.0309137820867468	0.0519163826474803	0.00253641137924587	0.143882546194445	hv019	keyer identification
hv022	-4.24619254680029e-4	0.00174133163822952	0.807481974694027	4.32092646905913e-5	0.901776744765205	hv022	sample stratum number
hv028	7.9555e-9	2.15088796488397e-7	0.970514924522793	1.18873940957442e-6	0.980867725751888	hv028	sample weight for male subsamp
hv031	0.065423803531285	0.0218264079588076	0.00290319955622383	0.00694009835797915	0.0102138471433989	hv031	field editor
hv032	-0.0370702856969438	0.221199620136621	0.866997924035562	2.30146849716784e-5	0.934183957291954	hv032	office editor
hv035	-0.143526022161527	0.112144917892964	0.201395301041555	0.00108621362621719	0.405377695871193	hv035	number of eligible children for height & weight
hv041	-0.0932845581328323	0.103249354896185	0.366845392808332	5.06319331677552e-4	0.595148965713406	hv041	total adults measured
hv220	-0.0127555735659062	0.0081606944096396	0.118882058371511	0.00173198268209218	0.278508053942229	hv220	age of head of household
hv271	2.36133195734037e-6	8.48658244351517e-7	0.00566741386536028	0.0038837761220768	0.0192248493650939	hv271	wealth index factor score (5 decimals)
shdomvio	-0.0391215306447501	0.0724360483606028	0.589459027608878	2.62642778996458e-4	0.771180500474813	shdomvio	line number of woman selected for domestic violence module
sh25a	-0.306061718103851	0.104475641605834	0.00360207076341512	0.00714049740658673	0.0125318841077312	sh25a	rooms used for sleeping
hml1a	0.12184874270502	0.0821698850079849	0.138941816389087	0.00110600593586907	0.309654792105657	hml1a	number of mosquito nets with specific information
hml2	-0.0081190221357503	0.209994083713558	0.969179513353982	9.20274082827355e-7	0.980839993760072	hml2	number of children under bednet previous night
hv107	0.0484282093804488	0.0433262151842522	0.264448250384821	9.78484238609689e-4	0.482257015249669	hv107	highest year of education
hv108	0.0103199956324513	0.0103934294403855	0.321380383541816	2.63954193437166e-4	0.549665693765474	hv108	education in single years
hv123	-0.0105857109879551	0.0299921470482851	0.724668818358506	-5.4514e-12	0.857728287621311	hv123	grade of education during current school year
hv124	0.00608426555011923	0.0133698284839738	0.64931842264655	2.38869477096615e-4	0.812945068795957	hv124	education in single years - current school year
hv127	0.472524448325021	0.0578810407081756	1.3052e-13	0.00114463314584579	5.02113767705382e-13	hv127	grade of education during previous school year
hv128	0.00281020035135018	0.0132551915410265	0.832216039368789	5.66368070195056e-5	0.915594962027666	hv128	education in single years - previous school year
sh15b	0.052417942517649	0.0439346099047368	0.233653981062726	0.00113446484986324	0.446904375046735	sh15b	highest grade completed
sh18b	-0.0102514408015994	0.0283946798942122	0.718630260723663	-5.4514e-12	0.853020478127497	sh18b	grade attending
sh20b	0.544958510602461	0.0503743426996029	1.8415e-20	0.00135490820958961	7.16549283667622e-20	sh20b	grade attended last year
hml16	0.0190168931565007	0.00817995748126023	0.0206136035208504	0.00213765426286816	0.064057834282185	hml16	corrected age from individual questionnaire
ha0	0.00965819170702134	0.0662080641087723	0.884097162706888	1.92348181766722e-5	0.941896401900591	ha0	index to household schedule
ha1	0.0190842124517532	0.00817562584313515	0.020106942906914	0.00215555710364013	0.0628187771493617	ha1	women's age in years
ha2	2.18905575499243e-5	5.94781668670417e-5	0.713047841137023	8.45832663590729e-5	0.851949670503617	ha2	respondent's weight (kilos-1d)
ha3	2.38338908662351e-5	6.42253335297423e-5	0.710773564059101	8.26253394570209e-5	0.850423348010801	ha3	respondent's height (cms-1d)
ha4	5.84779120353189e-5	3.07376838708957e-5	0.0578718318174522	0.00219681946977246	0.157650273740294	ha4	ht/a percentile (resp.)
ha5	1.45938836721781e-5	5.30205831614675e-5	0.783275829233606	4.55671647106026e-5	0.888628718545728	ha5	ht/a standard deviations (resp
ha6	1.36332189681154e-6	6.08666662072294e-6	0.822890645039188	3.14542711133958e-5	0.910498774549063	ha6	ht/a percent ref. median (resp
ha11	3.68078479826119e-6	5.94116810935263e-5	0.950632470231408	2.70796772006143e-6	0.976478960393628	ha11	wt/ht std deviations(resp) dhs
ha12	-1.23574895753245e-7	6.83304103407181e-6	0.985580712866632	2.43170863778452e-7	0.99093184210727	ha12	wt/ht percent ref. median (dhs
