name	estimate	se	p.value	Nag.r2	adj.p.val
hv003	-0.0794827869269023	0.114937542563602	0.489654647825583	0.000203113340517702	0.659849091442066
hv008	-0.079398485574367	0.127973902668409	0.535348495231127	0.000376611234702895	0.697043420765417
hv009	-0.0876953934580845	0.0384256021746707	0.0230288525774904	0.00272135536443996	0.0559913011183695
hv010	-0.0634371943426644	0.116237365630012	0.585554166737475	0.000149655703129969	0.736438325824818
hv011	-0.614121785844476	0.173952846224855	0.000465869232259607	0.0106890093564681	0.00133156298555336
hv012	-0.0864157781997927	0.0367652809924115	0.019260136702857	0.00258794698212772	0.0475337272111
hv013	-0.0897292208619782	0.0397643747608813	0.0246055015738135	0.00283049331397245	0.0591118420027179
hv014	0.146156139241592	0.110799741972553	0.187929391240617	0.0010449387038296	0.323628734849972
hv016	0.0178032440157138	0.0173573905782323	0.305691770451687	0.00101984665135324	0.466638398575347
hv017	0.316288262672239	0.31051963521198	0.309051718626541	0.00086607141427808	0.469851829768077
hv018	-0.00176029459035849	0.000747500186964542	0.0190351017663758	0.00587702605767737	0.0471167255517832
hv019	0.0771433961003099	0.0498858803873075	0.122840994445969	0.00273734735630304	0.230800176661566
hv022	-0.00336609158330216	0.002261511946232	0.137468152824914	0.00190921612438888	0.253686886897615
hv028	5.91191393889342e-07	2.87945805228734e-07	0.0407436818795117	0.00518897800626517	0.092439447366762
hv031	0.0989045339333426	0.0292780974332376	0.000805349748459452	0.0102979038264813	0.0022783708704892
hv032	-0.203213642037984	0.30571783166767	0.506639291310176	0.00047941304872634	0.673068761093346
hv035	0.111517830544928	0.128406443756884	0.385682320598224	0.000476313840623632	0.554206887219268
hv041	-0.0402426691458392	0.112274823762341	0.720220554954347	6.13392075861086e-05	0.838604209033915
hv218	-12.1225388500659	0.693381147197158	1.212332e-50	0.000740575463165194	6.66147205870021e-50
hv220	-0.021107244361668	0.00911936548811003	0.0211712919237398	0.00324102380188518	0.0517630187799646
hv271	1.59241769821258e-06	1.46985700486942e-06	0.279325506900588	0.00109005305547272	0.437672410905576
shdomvio	-0.0322046521327413	0.0626834225375349	0.607741196702093	0.000137029512923048	0.754566402916241
sh25a	-0.319547954351272	0.105001557984911	0.00250297787152036	0.00585086206680097	0.00690558421184723
hml1a	0.00566804247334305	0.108337074944062	0.95830233654062	1.36523257943111e-06	0.978080383205983
hml2	0.267854536201891	0.315505555036391	0.396432861061898	0.000527137252883336	0.564394638154935
hv107	-0.0171801475872823	0.0619610895961851	0.781727328793874	7.85313557642997e-05	0.884397072398824
hv108	-0.0110525989388607	0.0287751638045316	0.701117661943069	0.000127005974762229	0.825529825675105
hv123	-0.141620267364436	0.266503236869696	0.595891493327607	0.00110831805088296	0.744608808163819
hv124	-0.249315236057578	0.0833145711612396	0.00294812442551435	0.0120655602956419	0.00808267167287982
hv127	0.442978402737933	0.26313326804198	0.0941403495697533	0.00511573096000095	0.186360918596921
hv128	-0.295164681119906	0.094686231267431	0.00196413938035461	0.0142517712094967	0.00544762890572427
sh15b	-0.0314018077948519	0.0664379199097201	0.636746200185127	0.000249933206706743	0.775516631359302
sh18b	-0.10999637179799	0.27100102223488	0.685376703376124	0.000653878308905176	0.813511710633673
sh20b	0.526381872674319	0.363211744804046	0.149133961902024	0.00599917150370421	0.270416300185418
hml16	0.0461861549566153	0.0080510597621068	1.97370664989016e-08	0.0129498669104515	5.85190625493451e-08
hmlidx	-0.163173652397614	0.402866533205691	0.686141158633491	0.000914352539102992	0.813511710633673
hml4	-0.00889813381412804	0.00827780171848386	0.284472460311874	0.00818705148644594	0.442493957553366
hmlb	-1.39425713870711	0.465955611941023	0.00352002875370039	0.0383769027086738	0.00957053460938664
v004	0.000708018055597694	0.00110877913486222	0.523496186988089	0.000315495651696307	0.689142896080252
v005	6.26814704979907e-07	2.99601187834664e-07	0.037086969345543	0.00516804294576534	0.0851873714693282
v006	-0.0809047536746961	0.129558063435076	0.532695581606183	0.00040521055943632	0.69479942924317
v008	-0.0809047536747633	0.129558063435079	0.532695581605852	0.000405210559436209	0.69479942924317
v012	0.0460234295777274	0.00803173433125481	2.04411337324554e-08	0.012987075528098	6.05380921048199e-08
v016	0.02901645428756	0.0173867633628773	0.0959644248320423	0.00269638944801931	0.18939966678071
v021	0.000708018055597694	0.00110877913486222	0.523496186988089	0.000315495651696307	0.689142896080252
v022	-0.00333375795580337	0.00225214607182246	0.13963291010415	0.00189423728884919	0.257368394784091
v027	0.30358484234341	0.208643352345258	0.146483183806842	0.00241645711160143	0.26699055963681
v028	-0.00175958459844367	0.000734653449964834	0.0170982412142055	0.00616237901034478	0.0426804668785073
v029	0.0774883795863521	0.0498877107940888	0.121194440508843	0.00277883241191612	0.22819729064201
v030	0.103321113321749	0.0291736225349736	0.000447137341153434	0.0111160557999972	0.00128081636192694
v031	0.0998562573380589	0.0294574626736999	0.000772616716380465	0.0105036462861899	0.00219158919224372
v104	-0.0058098997795054	0.00390356172581145	0.13748571733164	0.00286871380827169	0.253686886897615
v107	-0.0167320603196621	0.0487665323652352	0.731716697879423	9.83576642251682e-05	0.846723825669743
v133	-0.0100491715832906	0.036359932076468	0.782406186431632	8.00839790454644e-05	0.884679298808157
v136	-0.0868542786672056	0.0382206451261491	0.0236176802497507	0.0027044862195672	0.0571051106407718
v152	-0.0210712202549505	0.00909161700622276	0.0210000754925132	0.00326318523193858	0.0513923416114632
v201	0.0908939287012599	0.0242588647683419	0.000206875667616322	0.00637423890667654	0.000599802129228296
v202	0.169609339936984	0.0760393528247336	0.0262943618579051	0.00286279290373725	0.0627664138702817
v203	0.193145899735626	0.0706583380926167	0.00655912711965064	0.00364512872731526	0.0172778614880446
v204	0.190936595435695	0.0976191867836534	0.0512053535084855	0.00184322225043776	0.112497260306572
v205	0.013260010882676	0.131535677695587	0.919755063052721	8.20516280342076e-06	0.962453386540029
v206	0.534255338846552	0.167094922119417	0.00150334902359368	0.00742497562717648	0.00420969849448615
v207	0.518547484366286	0.175062267060309	0.00324781980596398	0.00608549310762274	0.00886722469940791
v212	0.017691039171788	0.0171463192123146	0.302915909105393	0.0020568956031024	0.464293916821775
v218	0.0819590051255986	0.0260907999614786	0.00181380073339917	0.00375714901529678	0.00504667911065735
v464	-0.0584299337648212	0.0338946730036672	0.0862319837328302	0.00517672946491865	0.173456661061971
v507	-0.0162190626985517	0.0411483585104858	0.693708110708965	0.000255652757083169	0.819212094438389
v508	0.00571985110404745	0.0154127471008706	0.710784100708614	0.00018965412453098	0.831680860695213
v509	0.000458063723553384	0.00128656553531297	0.722033082522113	0.000175084168626993	0.83977610079917
v511	-0.0136072362331096	0.042562160863738	0.749388947691829	0.000255489609195858	0.859583558818505
v512	-0.00552416079377123	0.0155247750244846	0.722188222510999	0.00017720214015049	0.83977610079917
v527	-0.00155510934093443	0.00141633069522467	0.273023983125165	0.00128114002314916	0.432323925838358
v616	-0.00255805420227598	0.00434259551564543	0.556438680466909	0.000645336305747812	0.714449814378044
v768a	0.00208997874499127	0.00160586144473697	0.194945794933116	0.00581258521184291	0.332868357341822
v801	-0.000708283465006467	0.00045194666620046	0.117904069754077	0.00216572530002934	0.222612709483614
v802	-0.000626502604098658	0.000440792577230356	0.156046973150158	0.00215447720775397	0.278989847630671
s109	-0.0291480806603342	0.0567290573764622	0.607694214477769	0.000256645833803471	0.754566402916241
v191	1.61104354355516e-06	1.47087946807967e-06	0.274082135271053	0.00112181653190691	0.432858842530431
mv138	-0.61627266193751	0.174105592557737	0.000450337985013046	0.0108465630538617	0.00128857626497729
mv167	0.0252925794924125	0.00699744810649048	0.000341378545047846	0.00678864771038445	0.000980014421216215
mv245	0.019064937762181	0.0136058344285914	0.161960702892842	0.000385968588260899	0.286436573739635
mv3b11	0.00881860512040553	0.00958255553326882	0.358013414228518	0.000878820024029059	0.52613067177765
mv3b19	-0.00659082027021164	0.0380773229227726	0.862743188997666	0.000187088557477399	0.933413303452353
mv505	0.305914245032175	0.290204769020455	0.292588850970699	0.00146052455263235	0.452167086317336
mv505a	0.450469059568155	0.276708178867675	0.104482540516685	0.00336785709528042	0.200768870010434
mv505b	-14.957167733705	0.322482051358575	4.055125e-147	0.00477229119530553	1.51835466071429e-145
mv538	0.0220786198711179	0.0110865823272844	0.0471444740396947	0.000682117044824015	0.105072845627585
mv603	-3.9966439727383e-06	0.000603851104872112	0.99472440280515	1.22784201028736e-07	0.996786982514806
