name	estimate	se	p.value	Nag.r2	adj.p.val
hv003	-0.414616017002526	0.220911176988577	0.0613094329293874	0.00314122769329106	0.137933022232179
hv008	-0.133270381299174	0.143566887955695	0.353854311127247	0.000931015129977952	0.533950006160814
hv009	-0.209326303683583	0.0724315434038806	0.00407475558601844	0.0119215250012106	0.0118258462118668
hv010	-0.329534649919392	0.161170587210604	0.0415833234729905	0.00349242852394549	0.101509944777057
hv011	-0.316485361430782	0.156725579653792	0.0441551399463568	0.00358132371229714	0.106888994939651
hv012	-0.225788948566322	0.0757818322227963	0.00307407783037897	0.013066142443428	0.00908313494677587
hv013	-0.208730082837914	0.0741117036816996	0.00511079522452275	0.011659728106118	0.0146374968491814
hv014	-0.0633858409623767	0.152531989920336	0.67796949085696	0.000160989968023606	0.807135966325606
hv016	-0.0134107571044929	0.0155336465858436	0.388500175816467	0.000571254668241927	0.574936237525559
hv017	0.934386052934938	0.206100095629559	7.791726501036e-06	0.0120713683139245	2.51881059662203e-05
hv018	-0.00208633574023281	0.000759235961949449	0.00628443873089722	0.00718096517579325	0.0178812134696117
hv019	0.0368154426196615	0.0431830833107763	0.394452537286877	0.000605822480816309	0.581111126561378
hv022	0.0017126910470328	0.00211954480919746	0.419571959593648	0.000423873706885125	0.604711083138625
hv028	-2.78619386192829e-07	2.93922614249795e-07	0.343768412595781	0.000799761044101066	0.52265604988369
hv031	0.0720186824771478	0.0333459536158316	0.0314208255545388	0.0051145120576892	0.0792958418825656
hv032	0.163872244418523	0.302999930049171	0.588941513002341	0.00027818871782137	0.743147455054162
hv035	-0.0819021973820158	0.163903723639942	0.617579189333108	0.000221238674838475	0.761982448057666
hv041	-0.337616677467028	0.153079565158244	0.0280204589816358	0.00371461148684704	0.0712652763973055
hv218	-12.010286954815	0.591932205419906	1.9085e-62	0.000281721234066667	1.48806029850746e-61
hv220	-0.00118248196306153	0.0105929087320938	0.911176367244775	1.05525564013664e-05	0.957423689490439
hv271	4.6509470103289e-06	1.06676635387712e-06	1.68004410145526e-05	0.0101614247053575	5.41762369506313e-05
shdomvio	-0.0991794386025873	0.0840944782760152	0.239047511102793	0.000875668389324846	0.403191488710947
sh25a	-0.460096776349205	0.156473125966308	0.00347923397510843	0.00977196467456543	0.0101652786834264
hml1a	0.0943158864105381	0.086141835077065	0.274261713297093	0.000460930423010431	0.446615707688284
hml2	0.395085483469768	0.271196982876641	0.145995934680027	0.00130542529508448	0.275934429366303
hv107	0.00798298602185636	0.0285425853729957	0.779878386521585	2.92400907306867e-05	0.873992555777185
hv108	0.0203728367485147	0.00767296990416784	0.00826269184978029	0.00191197624448169	0.0231069521388597
hv123	0.895227020605341	0.151261544408985	1.59545564530784e-08	0.00656468292588541	5.23533937882422e-08
hv124	-0.0334777160242553	0.0845977402660924	0.692528764234199	0.00107708233573445	0.817021288247393
hv127	-0.0849060298295005	0.317039508452221	0.789132346238447	0.000216920734426029	0.880860550587531
hv128	-0.0362572571276807	0.0830982296112634	0.662855086978598	0.0014106022415542	0.796401788035004
sh15b	0.00577778204799684	0.0311981171223966	0.853179207981969	1.40651965394589e-05	0.919349872627435
sh18b	-0.163896199440435	0.0278267741645424	1.84451075063608e-08	0.000688257790900981	6.04499633709089e-08
sh20b	-0.496715529869117	0.0985710452028393	1.07159707589062e-06	0.00686584185843253	3.48569310364421e-06
hml16	0.0416847165755133	0.00979490040319115	2.63061603726397e-05	0.00978667284396606	8.42055035457536e-05
hmlidx	-1.14664944903525	0.598919918201344	0.0579738582594199	0.0210670243546419	0.131766475375224
hml4	0.00249015160582451	0.00646663957048595	0.700879799560058	0.000715100215208486	0.823155591929349
hmlb	-0.393068891400119	0.221119065937394	0.0788417264481772	0.0148408952684514	0.169214946164863
v004	-0.000476884613043696	0.00124840023204664	0.70267970782842	0.000122994877130189	0.823321287949889
v005	-3.42906476348345e-07	2.97771834670038e-07	0.250227648623342	0.000996358330077829	0.416833302426128
v006	-0.0885760658238143	0.138878854847926	0.523996153705656	0.000400073954535785	0.688234934787727
v008	-0.0885760658237804	0.138878854847938	0.52399615370585	0.000400073954535562	0.688234934787727
v012	0.0439065403069574	0.00988013142807591	1.16374684792675e-05	0.0104722349459024	3.75736312334323e-05
v016	-0.0148323071663946	0.016128498353627	0.358353918539222	0.000683094604675194	0.539804172563119
v021	-0.000476884613043696	0.00124840023204664	0.70267970782842	0.000122994877130189	0.823321287949889
v022	0.00149812319025782	0.00218268914052411	0.492905496124725	0.000313858198542794	0.665015059854226
v027	0.463560490522373	0.181348593778844	0.0109750121605667	0.0051577046314929	0.0302711000669485
v028	-0.00232656801279509	0.000912417636278991	0.0111715276393486	0.00815402072252169	0.0307481877702619
v029	0.0284704920366981	0.0452257188463112	0.529391030151527	0.000346581469900964	0.691730550653221
v030	0.0843571781485154	0.032983359884105	0.0109322218796058	0.00661938782888916	0.0301849508980236
v031	0.0844679630790974	0.0329015435343534	0.0106354728756249	0.00665660152900627	0.0294278126600977
v104	-0.0094539274498372	0.003182582395056	0.00316386436389905	0.00648750232060979	0.00932732925339088
v107	0.0127342055671397	0.0165084685038245	0.440994033481177	0.000132383249266566	0.617904748077534
v133	0.0310698567751946	0.0158575212522917	0.0508146097549047	0.00163344499268048	0.118295686880402
v136	-0.249383213207236	0.0654797235097823	0.000163199277345995	0.0153710882453254	0.000514205684472544
v152	-0.00407162911102207	0.0108953562551519	0.708835793074215	0.00011883657116285	0.829363141306033
v201	0.0831863135970859	0.029269343669924	0.0047261087832431	0.00359386591693311	0.0135953702002544
v202	-0.0720845677390903	0.117879791481116	0.541232123224196	0.000273494841394717	0.703332490478408
v203	0.131805602859951	0.107487883000107	0.220876948102733	0.000997836676051911	0.380561074171727
v204	0.497263962689513	0.108643813384754	6.41810673141284e-06	0.0121025572671436	2.07733516511157e-05
v205	0.0457870823853825	0.103190476109058	0.657504433258496	7.53748654211961e-05	0.793575216525911
v206	0.593125306963515	0.148246489697673	7.59957644949257e-05	0.00731822163256657	0.000241779460244514
v207	0.252110425945987	0.157405492206348	0.11007009218299	0.00111859413034121	0.221838796899668
v212	-0.0280624230996833	0.0359772940055671	0.435959873907073	0.00101559065747259	0.614531673310995
v218	0.0782048849963255	0.0356148836394561	0.0287130614167692	0.00213403146333813	0.0728140936122341
v464	-0.068980344925207	0.05756326397341	0.232202865876102	0.00672790907366383	0.394608904143382
v507	-0.0385275030179311	0.0434539457332163	0.375926625477885	0.001094953840862	0.562382786797386
v508	0.000661253952283092	0.0174722415106086	0.969833444223296	2.03489411632063e-06	0.983387017201572
v509	1.25369039911739e-05	0.00145733520679817	0.993141399272345	1.05060799615586e-07	0.998391136232843
v511	0.0533293217437388	0.0268392267349374	0.0477523509186055	0.00310894221088076	0.11389430850176
v512	-0.000792772961306372	0.0173925186837706	0.963671657733324	2.90192957796975e-06	0.98286230769209
v527	-0.00230437626353419	0.00140644177703624	0.102243347365208	0.00342986281492952	0.209294375641006
v616	0.00258394235797638	0.00165320485983066	0.119553546566724	0.000813364884738932	0.236750465225385
v768a	0.00186343584812153	0.000919918995182317	0.04432817277987	0.00267501672947135	0.107208506760204
v801	-0.000114053917139293	0.000401708199038845	0.77662620375179	5.76247655452722e-05	0.872493610408463
v802	-0.000232113427153863	0.00022624160580196	0.305572949150517	0.000579686769221266	0.481107018192375
s109	0.013537086245526	0.0167079164565203	0.418352045122401	0.000151344779539042	0.604711083138625
v191	4.64598414010555e-06	1.1020784570814e-06	3.12281989723725e-05	0.0098009363483641	9.98385014881726e-05
