var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
v535_0	1	-2.90881482384901	0.41160536532477	9.655e-12	0.136695144388689	4.22959017175572e-11	v535	have ever been married
v535_1	1	2.20933681932251	0.384563085895848	2.10857285219825e-8	0.0900302216661056	9.16710034511569e-8	v535	have ever been married
v501_3	1	2.49836853492046	0.418783185542	5.5212e-9	0.0548446113992838	2.40720125356125e-8	v501	current marital status
v502_2	1	1.97508102363853	0.313433731965611	8.073e-10	0.0520481629051784	3.52982314285714e-9	v502	currently/formerly/never marr.
hv115_3	1	2.34011167723979	0.415219269351656	3.37141791889809e-8	0.0504143418332209	1.46296594193394e-7	hv115	current marital status
v327_6	1	2.02938933065157	0.46152258510213	1.61859294134589e-5	0.0437207613058221	6.94482261095232e-5	v327	"last source for users by type ** modified home delivery/cbd"""
v634_0	1	2.4076151198629	0.654329499681764	2.90555325942534e-4	0.0423143356159235	0.00120174729856052	v634	husband knows that respondent is using contraception
hv116_2	1	1.74704112628659	0.334321383756237	2.85074515039537e-7	0.0396503521760585	1.23469537598728e-6	hv116	currently, formerly, never m.
srsplng_7	1	1.63443938564891	0.231150070354452	7.293e-12	0.0351499400816829	3.19791432664756e-11	srsplng	respondent language
v131_7	1	1.63170188096666	0.23863459684882	3.1704e-11	0.0349264164271914	1.38754112488084e-10	v131	ethnicity
v634_1	1	-2.04644159890866	0.652523834828949	0.00193281962487775	0.0328505635705383	0.00738848867428289	v634	husband knows that respondent is using contraception
sh25_1	1	-2.14197045832551	0.64297167433513	9.64381007074327e-4	0.029812592360528	0.00382668384051706	sh25	attended school in 2008
v761_1	1	1.58188807114052	0.276092614485015	2.05857317707768e-8	0.0282580506134374	8.96670726372261e-8	v761	last intercourse used condom
v761_0	1	-1.58124320092422	0.276075169864516	2.08072364711044e-8	0.028239591254599	9.05459930225974e-8	v761	last intercourse used condom
s916b1_5	1	6.06401806003699	1.0896858789391	4.92151302255871e-8	0.0278635360418444	2.13358510732456e-7	s916b1	do you think your chances of getting aids are small, moderate, great or no risk
v326_33	1	1.78908098719328	0.577601360405096	0.00217298717845609	0.0258142122360044	0.0082447802779272	v326	last source for current users
sh27_1	1	-1.78942888268173	0.579919082831638	0.00220669050838255	0.025796852209198	0.00836574411559396	sh27	attended school in 2007
mm3_04	1	0.0517483958784443	0.0179712072375652	0.00421194957361387	0.0254233070098572	0.0152983073516308	mm3	NA
v536_0	1	-3.40708882613909	1.00057433362545	7.30903543382451e-4	0.0249952113739346	0.00294348962076213	v536	recent sexual activity
hw13_2_1	1	1.58607908387849	0.592545175444431	0.00796988447614231	0.0247063806464243	0.0273465916516961	hw13_2	reason not measured
hv115_01_3	1	1.34584786645735	0.365421291786672	2.63463411575179e-4	0.0237676663421066	0.00109660972125263	hv115_01	current marital status
sintlng_7	1	1.52865278833033	0.255084689163713	4.7458e-9	0.0227108238392091	2.07109960076046e-8	sintlng	interview language
v624_0	1	-3.30424944668003	1.00125086330556	0.00105657588943876	0.0224711003498475	0.0041780705498823	v624	unmet need
v626_0	1	-3.29373641878254	1.00133448009129	0.00109670575416262	0.0222251273126504	0.00432558085683899	v626	unmet need (definition 2)
hv122_0	1	2.33746496199642	0.549882715351346	2.67531920356044e-5	0.0215591348367594	1.14574537906213e-4	hv122	educational level during current school year
hv121_0	1	2.33746496199642	0.549882715351346	2.67531920356044e-5	0.0215591348367594	1.14574537906213e-4	hv121	member attended school during current school year
hv125_0	1	2.01675330675398	0.504398339062078	7.64783759472932e-5	0.0204976715265179	3.23605736381588e-4	hv125	member attended school during previous school year
hv126_0	1	2.01212822038213	0.504473970418488	7.95648945257843e-5	0.0203730658290783	3.3635582943635e-4	hv126	educational level during previous school year
hv121_2	1	-2.36485345291986	0.599676352220563	9.53822126027429e-5	0.0203659548730571	4.0248137689264e-4	hv121	member attended school during current school year
hv116_01_2	1	1.16064441407052	0.331331141063357	5.14131471024638e-4	0.0200487390305721	0.00209811340753255	hv116_01	currently, formerly, never m.
v161_5	1	1.76326858904719	0.611009734407617	0.00412368909550746	0.0194539704900387	0.0150014711865886	v161	type of cooking fuel
hv012	1	-0.232980031622005	0.0752062333490531	0.00209208521411409	0.0194537924768345	0.00796414860530496	hv012	number of de jure members
v3a00y_0	1	1.44960059828117	0.39772942919162	3.06218932715237e-4	0.0194151680634224	0.0012631187062854	v3a00y	source of fp for non-users:  no source
v3a00z_1	1	1.44960059828117	0.39772942919162	3.06218932715237e-4	0.0194151680634224	0.0012631187062854	v3a00z	source of fp for non-users:  any source
hw13_2_0	1	-1.28523708737058	0.526750266866653	0.0154465252934425	0.0194102527802212	0.0496951630148525	hw13_2	reason not measured
hv226_5	1	1.75632856182574	0.610557057986969	0.00424353887798392	0.0193399244983875	0.0154008592797029	hv226	type of cooking fuel ** modified code 2 to be 2 & 3
v3a00z_0	1	-1.43888297463192	0.397732314773945	3.38724806287015e-4	0.0190804984231681	0.00139095311776716	v3a00z	source of fp for non-users:  any source
v3a00y_1	1	-1.43888297463192	0.397732314773945	3.38724806287015e-4	0.0190804984231681	0.00139095311776716	v3a00y	source of fp for non-users:  no source
b5_02_0	1	1.36866377735079	0.361362634801164	1.78344838677402e-4	0.0190389730407956	7.47063097051056e-4	b5_02	child is alive
b5_02_1	1	-1.36866377735079	0.361362634801164	1.78344838677403e-4	0.0190389730407955	7.47063097051056e-4	b5_02	child is alive
hv125_1	1	-2.00183107174475	0.533966187444803	2.04796492742119e-4	0.0189821405076751	8.55523838197514e-4	hv125	member attended school during previous school year
v207	1	0.899975379117858	0.200218996957866	9.21865614737817e-6	0.0189088992009638	3.96281370530086e-5	v207	daughters who have died
mm4_04	1	-0.00353361642113979	0.00130690162033577	0.00716536811343175	0.0184840610948045	0.0249025018991409	mm4	NA
v136	1	-0.21986357938584	0.0735197712097138	0.00296389007297486	0.0180708570717132	0.0110179913562976	v136	number of household members
hv009	1	-0.21986357938584	0.0735197712097138	0.00296389007297486	0.0180708570717132	0.0110179913562976	hv009	number of household members
v781_1	1	1.12392856786401	0.268393128780235	3.49737747652318e-5	0.0178196906349796	1.49223605898865e-4	v781	ever been tested for aids
v781_0	1	-1.12094004809437	0.268399839780404	3.66673326921668e-5	0.0177181784525462	1.56159299062837e-4	v781	ever been tested for aids
sqstlng_7	1	1.46640631604941	0.256353328193158	2.13864909152148e-8	0.0170489516060749	9.28906147509472e-8	sqstlng	questionnaire language
hv013	1	-0.21269447820722	0.0740940635283287	0.00432315685515621	0.0168544390242158	0.0156650458737349	hv013	number of de facto members
v304_11_1	1	1.18669845900883	0.286396973225917	4.20746348832926e-5	0.0163807768531555	1.78690701895649e-4	v304_11	knows method
v304_11_0	1	-1.18387134847965	0.286472296067522	4.40423308514095e-5	0.0162943098596354	1.86874621939761e-4	v304_11	knows method
m47_1_1	1	1.0983581462484	0.316634873608259	5.89301737922047e-4	0.01480524532101	0.00239211695738295	m47_1	during pregnancy, had difficulty with daylight vision
sintlng_2	1	-15.5119517902496	0.338378432604991	4.9655e-158	0.0143733269533091	1.19982160526316e-155	sintlng	interview language
hv217_1	1	1.11624261555807	0.419737239918807	0.00815520958111614	0.0143568995233206	0.0278368529270663	hv217	relationship structure
v304_03_1	1	2.59123112082971	0.617696240437547	3.39037246625633e-5	0.0143314491663782	1.44792558070538e-4	v304_03	knows method
v763a_1	1	2.01446125776889	0.432411124142696	4.3906212392873e-6	0.0142204588871102	1.88916046012821e-5	v763a	had any std in last 12 months
v013_1	1	-1.4757610345312	0.354570898037413	3.89315078384843e-5	0.0141821880419563	1.65648334093125e-4	v013	age 5-year groups
v536_3	1	0.897303730290329	0.256923931335487	5.34094854638909e-4	0.0141547967470566	0.00217764607251086	v536	recent sexual activity
v304_03_0	1	-2.58076511258823	0.617927044603756	3.66508235864215e-5	0.0141532689502629	1.56159299062837e-4	v304_03	knows method
hv116_01_1	1	-0.917422217089423	0.281684909764554	0.0012262217690914	0.0135459219451276	0.00480750140213375	hv116_01	currently, formerly, never m.
hv115_01_1	1	-0.917422217089423	0.281684909764554	0.0012262217690914	0.0135459219451276	0.00480750140213375	hv115_01	current marital status
v312_5	1	1.63000341918627	0.392050833225406	3.96675991368092e-5	0.0132058867241973	1.68624025589899e-4	v312	current contraceptive method
v416_2	1	0.957346816486642	0.258928414920969	2.49507186107875e-4	0.0131154298259686	0.00103946233341312	v416	heard of oral rehydration
v714_1	1	0.89494397693845	0.276078026787955	0.00129200098305813	0.0128144078954363	0.00505245018161829	v714	respondent currently working
b5_01_0	1	1.3750227343601	0.423102537994948	0.00125897295991073	0.0127941463895984	0.00492748922331642	b5_01	child is alive
b5_01_1	1	-1.3750227343601	0.423102537994946	0.00125897295991059	0.0127941463895983	0.00492748922331642	b5_01	child is alive
v714_0	1	-0.895425966341297	0.27740436317708	0.00135404682511182	0.0127255675603156	0.00529057785028797	v714	respondent currently working
hv225_1	1	0.887274986544062	0.275550250093196	0.00139913630445315	0.0126496045932127	0.00545746369901819	hv225	share toilet with other households
v160_0	1	-0.884580392956957	0.27795775798669	0.00158787970500414	0.0125347002608517	0.00616747523322674	v160	toilet facilities shared
hv225_0	1	-0.882832041957607	0.275611313317462	0.00148110015772103	0.0125223808625529	0.00577226725305369	hv225	share toilet with other households
v503_2	1	1.13343785629317	0.303012908861249	2.12395844296926e-4	0.0125108377518923	8.86463019242898e-4	v503	number of unions
v503_1	1	-1.12616422117766	0.302672935663006	2.29137690649926e-4	0.0123771104440733	9.55468789985296e-4	v503	number of unions
v717_0	1	-0.891034458482271	0.284802105430716	0.00189009788975704	0.0123115506596424	0.00723723053534159	v717	respondent's occupation
v731_0	1	-0.891034458482271	0.284802105430716	0.00189009788975704	0.0123115506596424	0.00723723053534159	v731	worked in last 12 months
hv241_2	1	-0.821021379757336	0.225181016615299	3.02894130582071e-4	0.0119612056914472	0.00125165342349441	hv241	food cooked in the house / in separate building / outdoors
v160_1	1	0.849869235882083	0.265755346014558	0.00150715147573178	0.0118642182391262	0.00586384103820729	v160	toilet facilities shared
v304_01_1	1	1.87417360377141	0.60573942545972	0.00211878953236621	0.0115305618089401	0.00805245260189886	v304_01	knows method
v304_01_0	1	-1.87417360377141	0.605739425459722	0.00211878953236633	0.0115305618089397	0.00805245260189886	v304_01	knows method
v731_2	1	0.83337197684259	0.261179853496495	0.00153520006938072	0.0115210162347272	0.00596791153135215	v731	worked in last 12 months
mm4_02	1	-0.00264975493059851	0.00102372473796307	0.0100118028355712	0.0115139008917724	0.0335015938907488	mm4	NA
v763a_0	1	-1.73158736034738	0.439933865851399	9.83039839309929e-5	0.0114522123111952	4.14429375782542e-4	v763a	had any std in last 12 months
v3a00b_1	1	0.810672547751307	0.281370262897611	0.00419432142843985	0.0114467816815463	0.015246341787781	v3a00b	source of fp for non-users:  govt health cntr
v3a00b_0	1	-0.798792181009566	0.281241980227206	0.00475865112785883	0.0111326817661775	0.0170679432249999	v3a00b	source of fp for non-users:  govt health cntr
b5_03_1	1	-1.08170153861303	0.40616316866875	0.00812999461350866	0.0109042241186996	0.02777143249302	b5_03	child is alive
b5_03_0	1	1.08170153861302	0.40616316866875	0.00812999461350881	0.0109042241186995	0.02777143249302	b5_03	child is alive
s916b2b_1	1	1.41541965213544	0.463756463435983	0.0024341495530389	0.0105320290103296	0.00918626540848972	s916b2b	no/small risk: uses condom
s916b2b_0	1	-1.41541965213544	0.463756463435982	0.00243414955303885	0.0105320290103296	0.00918626540848972	s916b2b	no/small risk: uses condom
hml16	1	0.0377141343336342	0.0132801044589471	0.00475231097095997	0.010457898227462	0.0170679432249999	hml16	corrected age from individual questionnaire
v447a	1	0.0377141343336342	0.0132801044589471	0.00475231097095997	0.010457898227462	0.0170679432249999	v447a	women's age in years from household report
ha1	1	0.0377141343336342	0.0132801044589471	0.00475231097095997	0.010457898227462	0.0170679432249999	ha1	women's age in years
v012	1	0.0377131224159108	0.0132807787406952	0.00475552652025135	0.0104567269479697	0.0170679432249999	v012	current age - respondent
hw13_1_1	1	1.4585145022398	0.519138378675778	0.00524652537384898	0.0104227873669996	0.0186430325010377	hw13_1	reason not measured
b9_03_4	1	0.892373855423055	0.354701103959498	0.0123780965921827	0.0102458568197237	0.0403893684823818	b9_03	child lives with whom
b9_03_0	1	-0.892373855423054	0.354701103959498	0.0123780965921828	0.0102458568197235	0.0403893684823818	b9_03	child lives with whom
ha32	1	-0.0031104326560835	0.00109881982514067	0.0048881566085211	0.0102344474906311	0.0174642233383038	ha32	date of birth (cmc)
v024_5	1	0.864731870441582	0.274096356677829	0.00173202522067763	0.0100774378990987	0.00666532086180302	v024	region
shbsprov_6	1	0.864731870441582	0.274096356677829	0.00173202522067763	0.0100774378990987	0.00666532086180302	shbsprov	knbs region of residence
hv023_5	1	0.864731870441582	0.274096356677829	0.00173202522067763	0.0100774378990987	0.00666532086180302	hv023	sample domain
hv024_5	1	0.864731870441582	0.274096356677829	0.00173202522067763	0.0100774378990987	0.00666532086180302	hv024	region
v023_5	1	0.864731870441582	0.274096356677829	0.00173202522067763	0.0100774378990987	0.00666532086180302	v023	sample domain
sbsprov_6	1	0.864731870441582	0.274096356677829	0.00173202522067763	0.0100774378990987	0.00666532086180302	sbsprov	knbs region of residence
hv105	1	0.0367882791446302	0.0134653629012383	0.00658367057353592	0.0098765243355694	0.0230202830183575	hv105	age of household members
v769_1	1	0.851040886710168	0.277443159794144	0.00232335286596593	0.00979360172815047	0.0087862545367789	v769	could get a condom
v754cp_1	1	0.976515222010414	0.337845378858093	0.00406518535923058	0.00956640553654908	0.0148121158604981	v754cp	reduce chances of aids by always using condoms during sex
v150_1	1	0.77270580523035	0.305833309937847	0.0119185183808995	0.00953064991247299	0.0390006542314395	v150	relationship to household head
hv101_1	1	0.77270580523035	0.305833309937847	0.0119185183808995	0.00953064991247299	0.0390006542314395	hv101	relationship to head
s648b_1	1	0.850342340250105	0.276941025273304	0.00228877645062602	0.00936215714984845	0.00866263205673871	s648b	acceptable to advertise condoms: tv
v605_2	1	-0.874934528984516	0.33141608028414	0.00862799833618157	0.00920033096493911	0.0292549042551031	v605	desire for more children
