var	concordance	Estimate.x	SE.x	P.Val.x	Nag.R2.x	FDR.x	varOrig.x	varlabel.x
hv125_1	1	-1.5211369789608	0.42441943029115	3.81654697078645e-4	0.0142126623447354	0.0015077636158865	hv125	member attended school during previous school year
mm4_04	1	-0.00220719379891147	9.04162318531331e-4	0.0151011796920752	0.00776159679685373	0.0491360315166302	mm4	NA
hv022_6	1	-1.07822897818425	0.408206241602678	0.00859231939800999	0.00692730825297549	0.0294975406128574	hv022	sample stratum number
v136	1	-0.210614907486755	0.0635996173047607	0.00101518205124491	0.0156998067844194	0.00388483032481344	v136	number of household members
hv213_32	1	-13.3547922398273	0.541207133450687	2.2597e-81	8.39715152567533e-4	6.39054182926829e-80	hv213	main floor material
hv116_9	1	-13.1939383985897	0.43496094192347	3.2363e-104	6.53217468874923e-4	1.94934537662338e-102	hv116	currently, formerly, never m.
hv022_10	1	1.19824185780492	0.23649666884058201	6.29014150784865e-7	0.0182101185781881	2.55685156120964e-6	hv022	sample stratum number
v525	1	0.0352769553773786	0.0125999226001441	0.00537621229696888	0.0049606684250334	0.019077943866367	v525	age at first intercourse
ha64_3	1	-12.1856685438294	0.532672056247666	8.0399e-74	4.60627372294797e-4	1.68728761085973e-72	ha64	consent for additional tests
hv129_1	1	-12.7676395315667	0.729129856803546	8.8424e-49	4.81625653079742e-4	8.0099709375e-48	hv129	school attendance status
sh125a_8	1	-3.18672365369864	1.09112545329773	0.00369887067799401	0.00116442825511931	0.013319380593584	sh125a	sprayed interior walls for mosquitoes
hv219_1	1	-0.853261877385325	0.245991140136692	5.82007547047261e-4	0.0128003337280255	0.00226265800771601	hv219	sex of head of household
hv122_3	1	-14.2216758020045	0.330858584169831	3.1713e-149	0.00175535402949523	6.39499539130435e-147	hv122	educational level during current school year
v121_9	1	-12.2368609135409	0.992717355536213	1.1452e-29	5.20146555275214e-4	6.65593684210526e-29	v121	has television
b0_05_0	1	14.2413879286937	0.583032266466639	1.0249e-67	0.00347245075557345	1.5844954e-66	b0_05	child is twin
v161_5	1	1.06309404350299	0.435933028654175	0.0151916691977037	0.00590074268967822	0.0493755863622633	v161	type of cooking fuel
b2_01	1	-0.0422870203327063	0.0170671668234949	0.0136565901582993	0.00501118198940143	0.0450492639787995	b2	NA
hv246_1	1	-0.739977333981674	0.253198648280314	0.00367649146071557	0.00921878926854791	0.0132490811148399	hv246	livestock, herds or farm animals
sh28a_5	1	-12.5886749227332	0.698914244304069	1.383e-43	2.04105506241281e-4	1.11748327526132e-42	sh28a	level attended school year 2007
hv101_11	1	-11.9061766828316	0.597818773750917	3.22e-61	1.68501584519309e-4	4.1255138121547e-60	hv101	relationship to head
v103_9	1	-9.89831324457289	0.885651299468284	2.5807e-25	5.64435871059921e-5	1.29678078006501e-24	v103	childhood place of residence
