name	estimate	se	p.value	Nag.r2	adj.p.val
hv109_1	0.0331828357067798	0.223586258271011	0.882095500308187	1.71423103720869e-05	0.942448322530809
hv123_07	-0.158416583656856	0.143567700373793	0.271944397195698	0.00757176619065414	0.493519753829111
hv205_21	-0.221456941299175	0.331414224450823	0.504394864228836	0.000491031352629845	0.718039324550259
sh27_0	1.8501381007895	0.553270233828424	0.000922896831244911	0.0287691643317092	0.00366524165419151
hc19_2	0.632483192674991	0.491507635775885	0.199411544433271	0.00390631851261869	0.405087787828826
sh121a_2	0.646271142281598	0.232670957631339	0.0057437766939881	0.00687261294210495	0.0202376660031461
v206	0.369982025017755	0.171998687631989	0.0320920284137897	0.00382211912296915	0.0937242381982879
hv214_35	-13.1138770395779	0.405653408969568	9.3456e-112	0.000931179660602077	6.40382829850746e-110
b2_03	-0.00294054646167232	0.0201962876759744	0.884329842071654	2.09592867485009e-05	0.943518081559601
hv213_99	-11.3559034963689	1.00487862272836	9.0934e-26	0.000140484584487344	5.01776435096154e-25
v310	0.0260608627373514	0.0104819068521641	0.0133942732468587	0.0108127194577012	0.0434580271917514
v113_21	0.769051073022142	0.44081148444211	0.0818479968381891	0.00626620467013694	0.205898166292672
hv237b_1	0.833910225183092	0.349503657171377	0.0175160449559573	0.0104120362010124	0.0552015326598908
sh134a_1_0	-1.50853637411098	0.629405587903708	0.0178608425760697	0.030475614541064	0.0561637864840658
hml7_31	-0.129435648078107	1.16517402532039	0.911616378844429	8.14049688235841e-06	0.957061695695123
v215	-0.0015218497582682	0.00147567826855974	0.303072074125303	0.00111863075138319	0.529640918431717
hv205_43	-12.3619639091978	0.519928697887919	1.524e-77	0.000547295531069247	3.68246526315789e-76
hv246c	-0.184026587163384	0.169233124743832	0.277533872552185	0.000725617564002912	0.498301919783763
v166_995	-0.147539162621145	0.755271524285241	0.845225252315174	3.92062605946153e-05	0.930678998503922
hv215_31	-1.95470513634563	1.10812509887913	0.0785291949624825	0.00158277766273773	0.19922058871917
shqno	5.5094465570971e-07	1.61083822972049e-06	0.732519770487465	4.57655822883041e-05	0.87783823187365
v026_0	0.520844272718005	0.362136490883602	0.151174347683187	0.00247773579475541	0.332395320983483
hc62_2	-0.041832030717152	0.0819552860966825	0.610336999992518	0.000497376156902374	0.797980136823037
h8d_1	-0.00989637908004214	0.0305789145847912	0.746486730748018	0.000456629298635103	0.885560873608308
v123_7	0.0887066718559343	0.585235579851737	0.879602098884333	1.52705557932009e-05	0.941848803472793
m4_1	-0.00202392956650913	0.00772849697379235	0.793623834510431	0.000151827071856903	0.907252745079031
v044_2	1.3778864525809	0.900709348300897	0.126892576203334	0.00119066833527615	0.293187628258433
hv237x_1	-9.84035682966875	0.716219818693882	3.108e-35	4.34960826172226e-05	2.21565652173913e-34
ha41_2	8.16411117960419e-05	7.13626433172935e-05	0.253550751214711	0.00120926764661256	0.474939853373782
hv243b_0	0.16083596534288	0.278659236483949	0.564156600484321	0.000478722937868103	0.763799160372611
hv214_31	0.106374194632293	0.311535176886829	0.732949892672675	9.58253431130318e-05	0.878124466925953
b0_01_0	1.02129813647803	0.763547369364779	0.181847266222425	0.000989118119046561	0.3808671529321
m9_1	0.0119112205939823	0.00980862551293323	0.225444969063273	0.0019228501446501	0.438938868943803
