name	estimate	se	p.value	Nag.r2	adj.p.val
hv221_1	0.393540574634257	0.689292024988479	0.568377161321839	0.000116279733755387	0.713905082558431
hv025_2	0.378267086509678	0.449535496092079	0.400611447213821	0.00105775972606703	0.579078554924962
v130_4	1.11297841895276	0.81203982886682	0.17129952449297	0.00480152063452421	0.326554465424615
v022_12	0.392501482196312	0.534825077323056	0.463463936785655	0.0013247278131916	0.63814473557557
hv024_3	-0.885077088911989	0.523483099454385	0.0916946195416825	0.00151223361005937	0.204356446772445
hv023_3	-0.885077088911989	0.523483099454385	0.0916946195416825	0.00151223361005937	0.204356446772445
hml7_21	0.579258462828745	1.12923519103569	0.608364778093081	0.000355649846053296	0.741503172946565
hc70_1	0.000120478747719431	8.09694213344568e-05	0.137744786388966	0.00492626440769317	0.277091256340594
hv234_995	0.477958562827635	0.800314213285956	0.550715814330364	0.000413461293401474	0.701751547427107
v218	0.070950097935496	0.0308798357236684	0.022119117508052	0.00220805888719666	0.0624849534204385
hc3_2	-0.000379146536723718	0.000299468070424862	0.207201306283542	0.00374617964641955	0.371680963208162
hv237_1	0.394184635768428	0.38671003470979	0.308687046240332	0.00177370666933263	0.49077871567676
hv206_1	-0.445716921801171	0.532777654139645	0.403341531058389	0.00126196337767459	0.581181341993556
hv202_43	0.0523846346029387	0.372221527092588	0.888152816572462	2.15821743946298e-05	0.932627843805984
ha67_2	0.402714434278452	0.154251247658534	0.00972159242704618	0.0248615373483134	0.0297669998208671
ha12a_2	-1.74774398895416e-05	1.4763028625039e-05	0.237811021213856	0.00111834660656585	0.406333893037008
hv115_0	-1.07889542667095	0.318947818400611	0.000791474773046672	0.0113029977804149	0.00273508385991659
hv214_22	-1.80847087683337	1.03191088903995	0.0804760357230358	0.00220869729743756	0.185631389067803
hv206_0	0.445716921801171	0.532777654139644	0.403341531058387	0.00126196337767448	0.581181341993556
v029	0.0191374111720964	0.0330531491395443	0.562935147800338	0.000683670981580398	0.712810836738946
hmlidx	-1.92776627349381	0.626384553274868	0.002285500244389	0.0409299645716795	0.00754924185736128
sh26a_4	-14.279287034803	0.660882906765545	5.88576e-55	0.00100630105671029	5.30676992833876e-54
mv034b_1	-0.0126655028635861	0.0255103763691287	0.619867988299137	0.000575792038260969	0.748006301460208
mv766b	-0.0427391671564282	0.0980734050491745	0.663235123588333	0.000285861833786316	0.771359168946431
hv105_06	-0.00246679574757464	0.0150033964102056	0.869529621594035	2.07494209899517e-05	0.921461712317109
hv102_0	-13.6397329924326	0.325566975401184	1.736885e-145	0.00138864807833616	1.09265919272727e-143
hv006	-0.0136572258954035	0.0352406425484525	0.698569223046968	0.000211752201777382	0.797377158512993
hc63_1	0.000148994551049135	0.000749474125161169	0.842569203292343	0.000160211746131678	0.904316229047385
hv022_15	-1.25197799960171	0.552595455005231	0.0240286915623094	0.00323695923483525	0.0662562048629926
hc18_2	-0.0345779245411327	0.0893004973325008	0.699080438873379	0.00097925528935694	0.797631762078118
sh25_1	-0.897050292915184	0.705300259361924	0.204459782740027	0.0031912608166883	0.367496544561295
v157_9	-10.8551087804456	1.01458371682901	1.456229e-23	0.000111632695313002	6.54357446753247e-23
hv202_41	-0.52347078698477	0.602270943013946	0.385300252586915	0.000822282912439021	0.566389325098556
v031	0.0547219153493298	0.0265738869950182	0.0401436308635571	0.00545393850798437	0.103945341656058
v130_2	-0.308834729096499	0.335651174254241	0.358093399913582	0.00107748089480997	0.539283205092924
v024_6	0.248858621130018	0.522995601370888	0.634463165407574	0.00055999353310221	0.754054977178259
hv128_03	-0.0394635809126116	0.0726423520041351	0.587288929400823	0.00134747578569383	0.72701956913304
v024_3	-0.885077088911989	0.523483099454385	0.0916946195416825	0.00151223361005937	0.204356446772445
hv204	-0.00140390960623651	0.00471218204938907	0.765972936165563	6.82005295929988e-05	0.849104159914409
v021	-0.00243919567924359	0.00183087490173504	0.183563833011745	0.00359652288256063	0.342619480631497
hv105_01	-0.00759706693241693	0.01392268547407	0.585614968051339	0.000509876146922106	0.726572044628465
hv235_1	0.161159694808469	0.779431043253504	0.836328060404972	4.34565499753958e-05	0.900499598899255
ha0_2	0.1438905624726	0.0823897821904452	0.0821860558856839	0.00361348060622557	0.188810266930363
hv213_31	0.421628824241474	0.756228721406445	0.577481592333793	7.20716744647687e-05	0.718933012773349
hml16_01	-0.00686592044796891	0.0137685995792222	0.618300092107016	0.000423669057466269	0.748006301460208
hv270_4	0.298586881117058	0.452952638885056	0.510160717608864	0.000827703138006286	0.67857994538267
hv022_4	-0.767916042471116	0.729386806885356	0.293081909998846	0.000463099504207864	0.472986670273253
hc62_1	0.175355115511535	0.17588194667923	0.319664955566574	0.00691122932391075	0.502460304945075
hc5_2	-0.000156382424469744	5.13451801017171e-05	0.0027006917980596	0.00325286997891439	0.00880508232865603
hv237b_0	-0.977937290583737	0.387899900276729	0.0121016434230438	0.00926924223252279	0.0364101619510709
hv024_2	-0.307175980250383	0.483809392973431	0.525863490824164	0.000383218288781961	0.688949486880585
hv202_96	-13.9147065389244	0.54483195626084	7.104846e-85	0.000893183695973576	1.17060796e-83
hb69	7.86145133157717e-08	9.95449891844166e-08	0.430166598951244	0.00150010486681429	0.608517154161605
hml16_08	-0.0396579306877969	0.0305441200614793	0.196072316761019	0.00552293638268275	0.356354676818451
hv101_1	0.878819488779559	0.433072409805368	0.0431186089790603	0.00799110824576788	0.110103606691918
hv108_09	-0.19469185123173	0.304479478244103	0.524023204843876	0.00974742217383395	0.688949486880585
v159_2	0.530236979872808	0.478323066134675	0.268323631241382	0.00230578736423992	0.442622056779586
hb0	-0.346136298158964	0.159910173751202	0.0310348840333698	0.0101669038242704	0.0830943815301398
hv207_0	-0.356346396898818	0.388319098562642	0.359369383661831	0.000853297493982774	0.540450882760962
hml16	0.0429715266007836	0.013883036391049	0.00211025036374349	0.011410918836785	0.00700970510117584
hml6_4	1.01769574584786	1.36533851936765	0.456643768501893	0.000527390108080228	0.635127447199699
sh28b_06	-0.087019015889904	0.289163295225161	0.763806595042656	0.00113513113887009	0.848654878318782
hv109_9	3.29223528789331	1.43913136443585	0.0226992596764101	0.00169273346410004	0.0634021703171576
hml1a	0.0850774938878867	0.0769660684336998	0.269681081446431	0.000729912780697006	0.444067360763665
hml16_03	-0.0213529308640473	0.0336142379555931	0.525680015331985	0.00146372462322408	0.688949486880585
hv237a_1	-0.245403258351418	0.376397557892854	0.514803827102483	0.000508125041456031	0.682787251279192
hv026_3	0.378267086509678	0.449535496092079	0.400611447213821	0.00105775972606703	0.579078554924962
hv202_12	0.66025431478575	0.532683648544265	0.215920312528631	0.00332644723887754	0.380518871446223
shbsprov_6	1.11985873579045	0.356000790273931	0.00178590512655359	0.0111559951926299	0.00600654360911341
v023_8	-1.12822072561512	1.00269142864526	0.261208498282732	0.000680601920449608	0.433728328282305
hv004	-0.00243919567924359	0.00183087490173504	0.183563833011745	0.00359652288256063	0.342619480631497
