var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hv221_1	0.393540574634257	0.689292024988479	0.568377161321839	1.16279733755387e-4	0.713905082558431	hv221	has telephone
hv025_2	0.378267086509678	0.449535496092079	0.400611447213821	0.00105775972606703	0.579078554924962	hv025	type of place of residence
v130_4	1.11297841895276	0.81203982886682	0.17129952449297	0.00480152063452421	0.326554465424615	v130	religion
v022_12	0.392501482196312	0.534825077323056	0.463463936785655	0.0013247278131916	0.63814473557557	v022	sample stratum number
hv024_3	-0.885077088911989	0.523483099454385	0.0916946195416825	0.00151223361005937	0.204356446772445	hv024	region
hv023_3	-0.885077088911989	0.523483099454385	0.0916946195416825	0.00151223361005937	0.204356446772445	hv023	sample domain
hml7_21	0.579258462828745	1.12923519103569	0.608364778093081	3.55649846053296e-4	0.741503172946565	hml7	brand of bednet
hc70_1	1.20478747719431e-4	8.09694213344568e-5	0.137744786388966	0.00492626440769317	0.277091256340594	hc70	ht/a standard deviations (according to who)
hv234_995	0.477958562827635	0.800314213285956	0.550715814330364	4.13461293401474e-4	0.701751547427107	hv234	test salt for iodine
v218	0.070950097935496	0.0308798357236684	0.022119117508052	0.00220805888719666	0.0624849534204385	v218	number of living children
hc3_2	-3.79146536723718e-4	2.99468070424862e-4	0.207201306283542	0.00374617964641955	0.371680963208162	hc3	height in centimeters (1 dec.)
hv237_1	0.394184635768428	0.38671003470979	0.308687046240332	0.00177370666933263	0.49077871567676	hv237	anything done to water to make safe to drink
hv206_1	-0.445716921801171	0.532777654139645	0.403341531058389	0.00126196337767459	0.581181341993556	hv206	has electricity
hv202_43	0.0523846346029387	0.372221527092588	0.888152816572462	2.15821743946298e-5	0.932627843805984	hv202	source of non-drinking water
ha67_2	0.402714434278452	0.154251247658534	0.00972159242704618	0.0248615373483134	0.0297669998208671	ha67	woman's highest year of education
ha12a_2	-1.74774398895416e-5	1.4763028625039e-5	0.237811021213856	0.00111834660656585	0.406333893037008	ha12a	wt/ht percent ref. median (fog
hv115_0	-1.07889542667095	0.318947818400611	7.91474773046672e-4	0.0113029977804149	0.00273508385991659	hv115	current marital status
hv214_22	-1.80847087683337	1.03191088903995	0.0804760357230358	0.00220869729743756	0.185631389067803	hv214	main wall material
hv206_0	0.445716921801171	0.532777654139644	0.403341531058387	0.00126196337767448	0.581181341993556	hv206	has electricity
v029	0.0191374111720964	0.0330531491395443	0.562935147800338	6.83670981580398e-4	0.712810836738946	v029	keyer identification
hmlidx	-1.92776627349381	0.626384553274868	0.002285500244389	0.0409299645716795	0.00754924185736128	hmlidx	net number
sh26a_4	-14.279287034803	0.660882906765545	5.88576e-55	0.00100630105671029	5.30676992833876e-54	sh26a	level attended school year 2008
mv034b_1	-0.0126655028635861	0.0255103763691287	0.619867988299137	5.75792038260969e-4	0.748006301460208	mv034b	NA
mv766b	-0.0427391671564282	0.0980734050491745	0.663235123588333	2.85861833786316e-4	0.771359168946431	mv766b	no. had sex including wife in last 12 months
hv105_06	-0.00246679574757464	0.0150033964102056	0.869529621594035	2.07494209899517e-5	0.921461712317109	hv105	age of household members
hv102_0	-13.6397329924326	0.325566975401184	1.736885e-145	0.00138864807833616	1.09265919272727e-143	hv102	usual resident
hv006	-0.0136572258954035	0.0352406425484525	0.698569223046968	2.11752201777382e-4	0.797377158512993	hv006	month of interview
hc63_1	1.48994551049135e-4	7.49474125161169e-4	0.842569203292343	1.60211746131678e-4	0.904316229047385	hc63	preceding birth interval
hv022_15	-1.25197799960171	0.552595455005231	0.0240286915623094	0.00323695923483525	0.0662562048629926	hv022	sample stratum number
hc18_2	-0.0345779245411327	0.0893004973325008	0.699080438873379	9.7925528935694e-4	0.797631762078118	hc18	date measured (month)
sh25_1	-0.897050292915184	0.705300259361924	0.204459782740027	0.0031912608166883	0.367496544561295	sh25	attended school in 2008
v157_9	-10.8551087804456	1.01458371682901	1.456229e-23	1.11632695313002e-4	6.54357446753247e-23	v157	frequency of reading newspaper or magazine
hv202_41	-0.52347078698477	0.602270943013946	0.385300252586915	8.22282912439021e-4	0.566389325098556	hv202	source of non-drinking water
v031	0.0547219153493298	0.0265738869950182	0.0401436308635571	0.00545393850798437	0.103945341656058	v031	field editor
v130_2	-0.308834729096499	0.335651174254241	0.358093399913582	0.00107748089480997	0.539283205092924	v130	religion
v024_6	0.248858621130018	0.522995601370888	0.634463165407574	5.5999353310221e-4	0.754054977178259	v024	region
hv128_03	-0.0394635809126116	0.0726423520041351	0.587288929400823	0.00134747578569383	0.72701956913304	hv128	education in single years - previous school year
v024_3	-0.885077088911989	0.523483099454385	0.0916946195416825	0.00151223361005937	0.204356446772445	v024	region
hv204	-0.00140390960623651	0.00471218204938907	0.765972936165563	6.82005295929988e-5	0.849104159914409	hv204	time to get to water source
v021	-0.00243919567924359	0.00183087490173504	0.183563833011745	0.00359652288256063	0.342619480631497	v021	primary sampling unit
hv105_01	-0.00759706693241693	0.01392268547407	0.585614968051339	5.09876146922106e-4	0.726572044628465	hv105	age of household members
hv235_1	0.161159694808469	0.779431043253504	0.836328060404972	4.34565499753958e-5	0.900499598899255	hv235	location of source for water
ha0_2	0.1438905624726	0.0823897821904452	0.0821860558856839	0.00361348060622557	0.188810266930363	ha0	index to household schedule
hv213_31	0.421628824241474	0.756228721406445	0.577481592333793	7.20716744647687e-5	0.718933012773349	hv213	main floor material
hml16_01	-0.00686592044796891	0.0137685995792222	0.618300092107016	4.23669057466269e-4	0.748006301460208	hml16	corrected age from individual questionnaire
hv270_4	0.298586881117058	0.452952638885056	0.510160717608864	8.27703138006286e-4	0.67857994538267	hv270	wealth index
hv022_4	-0.767916042471116	0.729386806885356	0.293081909998846	4.63099504207864e-4	0.472986670273253	hv022	sample stratum number
hc62_1	0.175355115511535	0.17588194667923	0.319664955566574	0.00691122932391075	0.502460304945075	hc62	mother's highest year of education
hc5_2	-1.56382424469744e-4	5.13451801017171e-5	0.0027006917980596	0.00325286997891439	0.00880508232865603	hc5	ht/a standard deviations
hv237b_0	-0.977937290583737	0.387899900276729	0.0121016434230438	0.00926924223252279	0.0364101619510709	hv237b	water usually treated by: add bleach/chlorine
hv024_2	-0.307175980250383	0.483809392973431	0.525863490824164	3.83218288781961e-4	0.688949486880585	hv024	region
hv202_96	-13.9147065389244	0.54483195626084	7.104846e-85	8.93183695973576e-4	1.17060796e-83	hv202	source of non-drinking water
hb69	7.86145133157717e-8	9.95449891844166e-8	0.430166598951244	0.00150010486681429	0.608517154161605	hb69	hiv weight (6 decimals)
hml16_08	-0.0396579306877969	0.0305441200614793	0.196072316761019	0.00552293638268275	0.356354676818451	hml16	corrected age from individual questionnaire
hv101_1	0.878819488779559	0.433072409805368	0.0431186089790603	0.00799110824576788	0.110103606691918	hv101	relationship to head
hv108_09	-0.19469185123173	0.304479478244103	0.524023204843876	0.00974742217383395	0.688949486880585	hv108	education in single years
v159_2	0.530236979872808	0.478323066134675	0.268323631241382	0.00230578736423992	0.442622056779586	v159	frequency of watching television
hb0	-0.346136298158964	0.159910173751202	0.0310348840333698	0.0101669038242704	0.0830943815301398	hb0	index to household schedule
hv207_0	-0.356346396898818	0.388319098562642	0.359369383661831	8.53297493982774e-4	0.540450882760962	hv207	has radio
hml16	0.0429715266007836	0.013883036391049	0.00211025036374349	0.011410918836785	0.00700970510117584	hml16	corrected age from individual questionnaire
hml6_4	1.01769574584786	1.36533851936765	0.456643768501893	5.27390108080228e-4	0.635127447199699	hml6	mosquito net treated with insecticide
sh28b_06	-0.087019015889904	0.289163295225161	0.763806595042656	0.00113513113887009	0.848654878318782	sh28b	grade at level in 2007
hv109_9	3.29223528789331	1.43913136443585	0.0226992596764101	0.00169273346410004	0.0634021703171576	hv109	educational attainment
hml1a	0.0850774938878867	0.0769660684336998	0.269681081446431	7.29912780697006e-4	0.444067360763665	hml1a	number of mosquito nets with specific information
hml16_03	-0.0213529308640473	0.0336142379555931	0.525680015331985	0.00146372462322408	0.688949486880585	hml16	corrected age from individual questionnaire
hv237a_1	-0.245403258351418	0.376397557892854	0.514803827102483	5.08125041456031e-4	0.682787251279192	hv237a	water usually treated by: boil
hv026_3	0.378267086509678	0.449535496092079	0.400611447213821	0.00105775972606703	0.579078554924962	hv026	place of residence
hv202_12	0.66025431478575	0.532683648544265	0.215920312528631	0.00332644723887754	0.380518871446223	hv202	source of non-drinking water
shbsprov_6	1.11985873579045	0.356000790273931	0.00178590512655359	0.0111559951926299	0.00600654360911341	shbsprov	knbs region of residence
v023_8	-1.12822072561512	1.00269142864526	0.261208498282732	6.80601920449608e-4	0.433728328282305	v023	sample domain
hv004	-0.00243919567924359	0.00183087490173504	0.183563833011745	0.00359652288256063	0.342619480631497	hv004	ultimate area unit
hml4_3	-0.0035075287910445	0.00920386552629417	0.703586166513713	0.00073583487067141505	0.800134144991766	hml4	months ago obtained mosquito net
v150_11	-13.6881188419188	0.369280376138884	4.482537e-129	8.65430439648929e-4	1.6996797830137e-127	v150	relationship to household head
hv216	-0.0804300553788104	0.267826020345803	0.764105005973577	3.89822956099795e-4	0.848654878318782	hv216	rooms used for sleeping
hc70_2	-1.5035917823021e-4	4.99130146099155e-5	0.0029951428315018	0.00323153875869087	0.00973069877652228	hc70	ht/a standard deviations (according to who)
sh28b_05	0.260641143782648	0.142000287134524	0.0677011225021339	0.0105669502257558	0.16085554256301	sh28b	grade at level in 2007
hmlb_1	-0.0251440071439682	0.166737325451815	0.880243155182498	1.65756757397717e-4	0.929612000589529	hmlb	person who slept in mosquito net
hv124_07	0.0181412328850763	0.0697488325756728	0.795030402375745	1.09402338967057e-4	0.8697034816454	hv124	education in single years - current school year
v131_10	-0.87952370312795	0.741458061947774	0.236271566618443	7.73421513951877e-4	0.404202531767522	v131	ethnicity
hv237e_0	-0.711794679910693	1.24004312453399	0.566297570660102	1.11757934306511e-4	0.713803130959546	hv237e	water usually treated by: solar disinfection
sh134a_1_1	-1.27183789135856	0.784743879826731	0.107621309474595	0.0260407158734969	0.230213125676723	sh134a_1	k-o tab 1-2-3 binding agent added last time net treated
sh24b_01	0.216772244612655	0.0728368924469014	0.0031147392229693	0.0103704117918573	0.0101073835512064	sh24b	highest grade completed at that level
hv242_9	-12.7399441838944	0.655201184922855	1.534934e-52	4.24914846558822e-4	1.3402830637224e-51	hv242	household has separate room used as kitchen
v025_1	-0.378267086509677	0.449535496092078	0.400611447213821	0.00105775972606714	0.579078554924962	v025	type of place of residence
v013_4	0.29114293949185	0.421957812633587	0.490621732378738	4.9567956955765e-4	0.660550055943687	v013	age 5-year groups
hb66_2	-0.670278261961447	1.0622334093894	0.528409412161095	2.22692930401669e-4	0.689833686446394	hb66	man's highest educational level
hb69_02	3.07244567717652e-7	4.489140513362e-7	0.494288038840098	0.00387716784880754	0.663203728312841	hb69	hiv weight (6 decimals)
sh26b_03	-0.0940928833737442	0.0915652125977523	0.304980296570848	0.00170231981008662	0.486281947527712	sh26b	grade at level in 2008
hv108_07	0.0305497332676288	0.0218348350891784	0.163157717665694	0.00169777136681903	0.314718162019959	hv108	education in single years
