var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
v135_1	0.723649446768073	0.562733474791444	0.199237993031341	0.00165799978649062	0.474850124441838	v135	usual resident or visitor
sh18b_01	-0.0136148350754745	0.04209359301573	0.74654886754004	1.3696791154183e-4	0.914113749635667	sh18b	highest grade completed
hv105	0.0297895382319107	0.00636672659980501	4.00923994747488e-6	0.0168848022512111	3.51338684565872e-5	hv105	age of household members
v438	-3.6178366834573e-4	0.00112200974727904	0.747294325672075	1.18257910027619e-4	0.914469559976486	v438	respondent's height (cms-1d)
hc8_2	3.80079181989114e-4	0.00161710797573282	0.814516738005491	4.37691840356469e-4	0.933982772419612	hc8	wt/a standard deviations
ha11_1	-6.88823335324878e-4	4.81804656253754e-4	0.153638905235492	0.00176358118199349	0.410529762914191	ha11	wt/ht std deviations(resp) dhs
v002	-2.73981376933267e-4	5.49057138765528e-4	0.618064226566847	2.70864136218907e-4	0.840145821747247	v002	household number
v715	0.0499431015990225	0.0186393591431999	0.00771594139279838	0.00819386883120221	0.0443698514141249	v715	husbands education-single yrs
h2d_1	0.00414982552169494	0.0137232722123465	0.762623193805097	2.42291687380325e-4	0.917879772241774	h2d	NA
ha6	-1.16775482037869e-4	1.85094726538364e-4	0.528486936355025	4.56434106949621e-4	0.788210859561108	ha6	ht/a percent ref. median (resp
mm4_01	-0.0017196847540183	4.11305047763835e-4	3.60340506232414e-5	0.0134778198758942	2.88853599350822e-4	mm4	NA
h9m_1	-0.00222721417015904	0.0483002216173673	0.96327219314971	8.28643914974059e-6	0.988898850211108	h9m	NA
v152	-0.00898143834933217	0.0055049966323443	0.103607557612299	0.00307971821845254	0.319548486642897	v152	age of household head
b4_04_2	0.38378292822602	0.255189479505345	0.134024898313983	0.00613976959226448	0.380010286254561	b4_04	sex of child
sh28g_1	0.139789115174709	0.171522031842912	0.415584597678838	5.35970030823618e-4	0.71732314136462	sh28g	sofa or mattress
hv024_6	-0.282109025275702	0.214899605457473	0.190055989846248	0.00133028652018785	0.464003360473752	hv024	district
hv022	-0.00150491700347378	0.00127551382895804	0.238793475790791	0.00136793974965699	0.529334891883457	hv022	sample stratum number
