name	estimate	se	p.value	Nag.r2	adj.p.val
sh03_13	0.465840960195252	0.724656433917311	0.520751164381529	0.000280497850252415	0.804331514892535
v013_9	-0.436115864398172	0.415909974895268	0.295102265818191	0.00113930991142019	0.607737613787617
mv505a	0.328419801777855	0.558412863281716	0.556939779076698	0.000755784334721898	0.817662532992952
hc12_2	0.000221756259734997	0.000148353713828072	0.138590153993655	0.0159249325175895	0.394071252749183
ha32_1	0.00243827189102641	0.000810491888383944	0.00284673989495979	0.0131828244095658	0.017669648324762
sh35_96	12.6482016135105	1.00358435238913	3.13058e-30	0.000400760642037201	4.46819145454545e-29
hv105_06	-0.00415813639838891	0.0109852871813003	0.705362747107366	0.000321812893197659	0.886770217630504
sh18a_6	-14.4544286769054	0.398316084500342	2.406053e-116	0.00892343257411476	7.13528384111111e-114
hv124_05	-0.015233605482267	0.0318600955869718	0.632912863821421	0.000454195311884953	0.857049433556252
hv123_03	-0.155742536614854	0.0844215091930974	0.0665063165435196	0.0105101698371002	0.236358666916982
hc62_1	0.00611575093845646	0.0793229162277225	0.93861452501862	2.56373116275244e-05	0.97768290776268
v150_11	-12.2744378870216	0.717436904578709	5.531216e-48	0.00100936670739549	1.41950149076923e-46
sh57b_3	-12.6130606653371	1.27495363451966	1.415152e-17	0.00024519640302334	1.3206435972028e-16
hv109_4	0.762557078191347	0.373593451189373	0.0419951357958195	0.0058795433231269	0.168548898404575
v151_1	0.309452652778952	0.233220028072807	0.185426686948431	0.00262172727774057	0.46821554159448
sh03_5	-1.75178598203928	0.575934018747293	0.00253256855710951	0.0143994760438053	0.0159420412238804
ha4_3	6.56731491222279e-05	0.000189178672429237	0.730255209173639	0.00103853372542617	0.901824207530265
hc5_1	-0.00108461741800056	0.000986368886085264	0.272694701292606	0.00312825320144827	0.588557232155332
ha1_3	0.0960197209400476	0.0472082741361448	0.0468806195680175	0.037017166280737	0.183198204431975
hv102_0	0.846404439976576	0.522855157051356	0.106398753103834	0.00428257845453162	0.32754125955494
hc32_2	0.0236814388589854	0.0170409219824882	0.167681581332458	0.016289058096941	0.446203529986371
hv107_02	0.0734146630244851	0.0459886497016167	0.111367409885597	0.00316086977366403	0.337772292028021
ha12_3	0.00047256503162245	0.00019158501403914	0.0179094702865445	0.0801870558308219	0.0858175515166737
hv226_6	0.191255442993008	0.869633016354344	0.826058007105505	2.62673685407222e-05	0.939964747618432
ha41_2	-0.000137072937716607	0.000650216461562206	0.833316921217604	0.000146894010680909	0.940967836163373
v207	0.413879572639627	0.19806887417613	0.0373860211616365	0.00354055288173927	0.156155384163393
v021	-0.000107692490548664	0.000713399357738391	0.880097756705613	2.60297733745141e-05	0.956030672680479
sh03_3	-0.473381947919588	0.197639365319226	0.017143306036871	0.00819635023872423	0.0833433220626752
hc53_1	-0.00849528702186212	0.00864974411163832	0.327098458605091	0.00276184826101233	0.643759093687826
hv101_4	0.707908823049801	1.21129152468894	0.559315393636858	0.000328766121578394	0.817662532992952
v007	0.0664590682350184	0.250329590756554	0.790792997064472	4.92401975636936e-05	0.927950339696213
sh23b	-0.103790207855815	0.170582449694532	0.54371347142859	0.000857033585932698	0.81274198591533
v030	-0.0104392867495492	0.0038409500363803	0.0069006411735445	0.00590542946112216	0.0386928808659459
hv128_05	-0.018411082920278	0.0365379886361615	0.614723422911508	0.000554869677538927	0.846215792057291
sm111	0.0366822380561317	0.048912175076627	0.453822240319018	0.000753811538409477	0.758454326494339
hv012	-0.0612512792724995	0.0378640269104354	0.106646233594013	0.00375704239824848	0.327924881869148
v150_10	-0.109288831410212	0.417046225101792	0.793435382562026	6.88416609632148e-05	0.928555040828585
hv124_07	-0.0528372382574399	0.0656630500553815	0.421881486481696	0.00238516261718014	0.734568692870697
v150_16	-1.75467987903282	0.57596134652055	0.0024928847196196	0.0145437108028682	0.0157666097551297
hv108_06	0.0220964047267871	0.0437957985359938	0.614326345301432	0.000744040978199467	0.846215792057291
hv127_06	-0.223961114692053	0.122297084542595	0.0690822391790683	0.0198737780335798	0.242532968454634
hv124	-0.342577733807968	0.116300714555514	0.00344135422560947	0.0642929444165256	0.0208206208537858
hv225_0	-0.741365762473785	0.310218109960718	0.0176010821822369	0.0159000843637764	0.0849498885070349
v768b	0.00640467254237191	0.00183788890223468	0.000667467598554482	0.0837634256705662	0.00467577695680292
v205	0.166482579047607	0.104592158528047	0.112358330876657	0.00314271509970276	0.340004971779816
v159_3	0.358034093256383	0.425453311226733	0.400629208609819	0.00133827362269234	0.716979001140917
sh21a_6	-15.108750882991	0.754207117006532	1.839131e-45	0.00189509431543611	4.161599e-44
hv212_0	-0.316813097547525	0.420138220582423	0.451320816896202	0.000884734202884929	0.755693387889563
sh63w_04	-0.135832430162598	0.346135139922505	0.695296844263939	0.000891574124382455	0.881171546695372
ha6_1	0.000206589301497174	0.000309088155904124	0.50442255119376	0.00100151484695954	0.796320241409214
hv226_7	-0.193170567200127	0.185016087839607	0.297179852896104	0.00140673417965675	0.609664125580093
