name	estimate	se	p.value	Nag.r2	adj.p.val
hb62_299995	-16.7827639875206	1.00234248477708	5.6644e-36	0.124315992509515	1.07462679545455e-34
hv003	-0.222227335791433	0.0660588214956638	0.000844083971842272	0.00982624114662889	0.00526803062052588
hv006	-0.0262492789719066	0.021003440091385	0.212136341867498	0.00176504181701098	0.459950159412712
hv007	0.244227431639726	0.217406373921426	0.261972129008633	0.00145123397324731	0.525360323579475
hv008	0.0224419393143441	0.0759311138725398	0.76772604008355	9.00591182649846e-05	0.901832407000241
hv009	-0.121228486302203	0.0271329877058594	1.03618952934321e-05	0.0203810308294706	8.15999254357778e-05
hv010	-0.269700435426934	0.0949661316260361	0.00474822521247591	0.00930211381901402	0.0248500375931929
hv011	-0.155431095580444	0.0799070327998817	0.0524753412959748	0.00309143077470275	0.178937771019678
hv012	-0.143354455910151	0.0339206583113861	2.96314315873943e-05	0.0201876638121065	0.00021937771634215
hv013	-0.121621462256215	0.032003625899623	0.000167657823749201	0.0157422211827514	0.0011378241331272
hv014	-0.3181147906999	0.0750460178553268	2.80667452337951e-05	0.0136760219840188	0.000209148823841093
hv016	0.0117466112553222	0.00810236765686352	0.147924902333059	0.00198270979238635	0.371369360067732
hv017	0.00997916511846985	0.122883953722373	0.93531816291285	3.87717066974158e-06	0.977049294331391
hv028	-1.87519000424401e-08	1.12070744895789e-07	0.867203426434447	6.99992309640685e-05	0.952131070249128
hv030	0.000957379618942821	0.00271366720328107	0.72442957688197	0.000130635805437707	0.885490189802998
hv035	-0.22160660636576	0.0692045842259363	0.00147576549889031	0.0066171373817322	0.00855482812637976
hv040	-0.000269786892998566	0.000213080546519566	0.206223604250387	0.00117982167006425	0.450347033742343
hv041	-0.199141857155221	0.0623782588628793	0.00152495303258961	0.0115208966463994	0.00879415919830174
hv204	0.000138972004996414	0.000174982642952023	0.427559369398417	0.000632880268548242	0.684710184374731
hv216	-0.120436482348377	0.0610222247522525	0.0491270662950132	0.0038710233212832	0.17212515672513
hv238	0.000147721195867745	0.00318536630407784	0.963068522256961	6.74696842650757e-06	0.984293172885214
hv245	-0.0128812080452422	0.018125624217328	0.47786040127184	0.000486097239376759	0.729700265693354
hv246a	-0.0276950827160923	0.0256164070471433	0.280300132308581	0.0010891015277622	0.544454581261881
hv246b	-0.0755790805401873	0.0842852880083794	0.370429262073465	0.000885896626593996	0.636859545224918
hv246c	-0.062464964014907	0.0510321064220031	0.221678845041692	0.00120304745007871	0.472962085363712
hv246d	-8.8840451427033e-05	0.00671851207891257	0.989456455542264	7.78886695140812e-08	0.996704342525631
hv246e	-0.0190901352968803	0.00737788375939682	0.0100289414172	0.00350221740015744	0.047904238338557
