name	estimate	se	p.value	Nag.r2	adj.p.val
hv003	-0.170399888323997	0.072691682315577	0.0195705843105785	0.00484175441476375	0.0798737169353887
hv006	-0.00602513298982915	0.0193928899815297	0.756203577716826	6.62149770321863e-05	0.902318785955484
hv007	-0.00397285660516017	0.202205607420172	0.984334507154302	2.69782951534125e-07	0.99530437307201
hv008	-0.0881077964229178	0.0767041275429555	0.251393942306322	0.00103196684068341	0.527880895270115
hv009	-0.118398608940203	0.0300807129277575	9.80474315645482e-05	0.0154643922284454	0.000647882047789269
hv010	-0.0934689172075308	0.0758954775327514	0.218858191493406	0.00105023313212715	0.483414301248076
hv011	-0.385414572316241	0.121331013026059	0.00160867823793047	0.0115390182506726	0.00895016972471221
hv012	-0.143957777419832	0.0342833246065465	3.32185170964938e-05	0.0165183925568975	0.000232529619675457
hv013	-0.139457530879267	0.0349799247996736	7.9924970076271e-05	0.0157576093448953	0.000535633535255464
hv014	-0.139459241324072	0.0965477941266178	0.149411010775849	0.00181543413071539	0.384485126364063
hv016	0.0116773703494495	0.00912501745289679	0.201406164475277	0.00146838957731144	0.457283101055995
hv017	-0.233071363541753	0.232185465091897	0.316088371935513	0.00106015184401165	0.59178767412371
hv028	2.35758615360124e-07	1.50153099430409e-07	0.11719569750709	0.00316662318178018	0.322972722452366
hv030	0.00224229104381501	0.00270512635938251	0.407664240196605	0.000548065183940127	0.683496760926646
hv035	-0.0808266297032408	0.100807760211217	0.423161590756906	0.000596475036606647	0.688440132824511
hv040	-0.000471273103253228	0.000251553302982618	0.0617517025133288	0.00265187964538249	0.206920832711566
hv041	-0.185944203276295	0.0637800833474721	0.00375686981685362	0.00778509778742575	0.0196072033140657
hv204	0.00046883127168661	0.000195613108083342	0.01701223199602	0.00590049416137317	0.0709043379480763
hv216	-0.205621335705904	0.0817454763255674	0.0122902911607114	0.00735544822106426	0.0552243749487966
hv238	0.00497406354105306	0.00468796605525265	0.290585766079835	0.00542734840657499	0.565121040546027
hv245	-0.0345301254558982	0.0320024971157203	0.281471140343254	0.00371295848633157	0.557919755225635
hv246a	-0.0417703916880773	0.0268079555298919	0.120010452333217	0.00267905705704652	0.325292960397634
hv246b	-0.0467429190637592	0.0591336766205226	0.429737217440238	0.000425010707468254	0.691507568855062
hv246c	-0.158109016437454	0.0517904000073753	0.0024216261655998	0.00618481002604598	0.0131627099646312
hv246d	-0.0168061766261839	0.010752543970634	0.11886265004165	0.00199124860729039	0.325091548455497
hv246e	-0.0172879219541397	0.00835632241412626	0.0392175048898388	0.00329577081971744	0.144870257898746
hv246f	-0.00397819215620851	0.0132439874944997	0.764049078387947	6.49249475037639e-05	0.903454524269257
hv246g	-0.083835355163315	0.0614291744749929	0.17311704970478	0.00284095520092031	0.416717469646506
hv246h	0.0258686586400939	0.101956673818381	0.799843641870061	5.02453395553326e-05	0.91998841828034
hv246i	-11.8543614241408	1.00713574235396	1.385967e-27	0.00199210026512486	1.53497471971831e-26
hv246j	-0.201552534055868	0.223270720454248	0.367226518762622	0.00167735171536076	0.646601733188795
hv271	5.12236933237467e-07	7.57847010303519e-07	0.499496894016789	0.000424709796675748	0.738754340429847
sh129h	-0.0259669796661158	0.0167897498805296	0.122771455636553	0.00213411406983577	0.330237016928881
sh129m	0.000993468762146489	0.00423539866052434	0.81467085247894	3.49698867293524e-05	0.927513774612847
hv105	0.0511241579029504	0.00531712493001968	8.717272e-20	0.0608701838139291	7.97055994108527e-19
hv107	-0.00350891253637844	0.0423679953755617	0.93403836492576	7.49913998387974e-06	0.973981597982939
hv108	-0.0281990135930141	0.020807368246385	0.176126958391876	0.00201642233174015	0.420955921830228
hv123	-0.304063007432656	0.109665785262444	0.00608334888537689	0.00566616424412203	0.0303395772105795
hv124	-0.303079100413059	0.0765651737693487	8.96099813812724e-05	0.0573334784237228	0.000598838374159835
hb0	-0.369981686066507	0.0796122965634196	4.60434026127064e-06	0.0473721095554981	3.39426208635545e-05
hb1	0.0514325193164896	0.00526959600019477	2.770021e-20	0.0611058949931579	2.54259904241245e-19
hb2	0.00141474649489779	0.000603986197357537	0.0196637075411235	0.00394931759140149	0.0800388614697771
hb3	0.00387499049805526	0.00108180573774539	0.000384023956263982	0.0107223848211557	0.00239659394927707
hb4	7.84454701837647e-05	2.80896532226752e-05	0.00548410412475836	0.00702806131543565	0.0277618060736158
hb5	0.0021892287610045	0.000667683172663148	0.00113569009211833	0.00920138353619626	0.00651847427568647
hb6	0.00059800660514998	0.000181038743428132	0.00104396502885893	0.00930930078434589	0.00608077408167461
hb11	-0.0019798235768964	0.000848378283354373	0.0201197800605742	0.00507111015635986	0.0816911551857049
hb12	-0.00013171526032979	6.26425395199256e-05	0.0361352545373906	0.00435871816498568	0.134665190290212
hb12a	3.88021810802164e-05	4.29325503528373e-05	0.36666113744349	0.000609892381489785	0.646601733188795
hb12b	-3.35339857923219e-06	4.40797663868222e-05	0.93939779158683	4.72329045275721e-06	0.976659052601733
hb32	-0.00429695019730641	0.000439438428572948	2.400739e-20	0.0617319666073256	2.22091894156863e-19
hb35	0.0508172123809958	0.0173062702810135	0.0035194110621594	0.0071980271323715	0.0184906251573141
hb40	0.000183338942148269	0.000209268698537486	0.381517118151016	0.000578297950159623	0.661680473112951
hb41	-1.84432085652599e-05	0.000368511099541687	0.960109769280855	2.03439977575215e-06	0.981750735038378
hb53	-0.00241022800971981	0.00592448963522746	0.684359432637323	0.00111767008806174	0.860692281460197
hb56	-0.0022328873032755	0.00542931945057869	0.681103790094431	0.00101372612578587	0.859635924911641
hb67	-0.0271490068703059	0.0404148641777456	0.502142780163214	0.000457913771225948	0.740346761503139
hb69	2.41307619588826e-07	1.36737852453286e-07	0.0783870717134272	0.00403403278432568	0.245245493596783
v004	0.000898346422304248	0.000673277511942101	0.182885885403749	0.00164533282974666	0.431778980463841
v005	2.43326069956269e-07	1.47851052916955e-07	0.100618521918681	0.00355529863436421	0.290881241674226
v006	-0.00379798298085073	0.0197535528065348	0.847631827127341	2.58013900596987e-05	0.935211236005614
v007	-0.0305989985857501	0.206424939747411	0.882235263504205	1.56091345439036e-05	0.953363713516454
v008	-0.0983206608570854	0.0773892990541194	0.204673257803483	0.00126400949820693	0.462032741778389
v012	0.0514325193164896	0.00526959600019477	2.770021e-20	0.0611058949931579	2.54259904241245e-19
v016	0.0123752789383799	0.00927202003201284	0.182754265754928	0.00167445297072022	0.431778980463841
v021	0.000898346422304248	0.000673277511942101	0.182885885403749	0.00164533282974666	0.431778980463841
v027	-0.018210155910345	0.267147506281983	0.94568899478979	4.16081697107717e-06	0.978027329552439
v028	0.00219007312141615	0.00271093242299588	0.419658301108782	0.000522627229977313	0.688188738798676
v030	0.0279709909700141	0.027450406783703	0.308849868862144	0.000798958297597463	0.584732616890688
v107	-0.0271490068703059	0.0404148641777456	0.502142780163214	0.000457913771225948	0.740346761503139
v133	-0.0282791302344341	0.0208012462473891	0.174774197514759	0.00200815010823141	0.418570895367834
v136	-0.118398608940203	0.0300807129277575	9.80474315645482e-05	0.0154643922284454	0.000647882047789269
v152	-0.0121266256913313	0.0054611774604773	0.0269564085526363	0.00496983946272167	0.104761396665023
v191	5.12236933237467e-07	7.57847010303519e-07	0.499496894016789	0.000424709796675748	0.738754340429847
v201	0.224956751713279	0.0366361753184612	2.025797e-09	0.0349076594926675	1.69462947624113e-08
v202	0.269697504377446	0.0773551870369221	0.000544956610214014	0.00809777223919117	0.00335653431721895
v203	0.324842716707378	0.090103328680172	0.000352225804216435	0.01179775137911	0.00220984221315577
v204	0.461394783539526	0.115110966661083	7.32575470203772e-05	0.0137171581635193	0.000492349155045783
v205	0.55321406622901	0.112877337337044	1.39943849909549e-06	0.0232118088754957	1.05472058126718e-05
v206	0.503480395943546	0.193479281392952	0.00961354683484228	0.00519689671691337	0.0449967400464146
v207	0.875989988214086	0.262128741299726	0.000912456709832602	0.00902129799980134	0.00534115478534766
v212	0.013291162946777	0.0194383246943552	0.4945961423495	0.000821692325806866	0.733345254432728
v218	0.236246591902559	0.0389068537331704	2.991336e-09	0.0320067427185043	2.49348467279152e-08
v464	0.00767248330389323	0.00516808802997084	0.138720624925596	0.00524992380463651	0.361593319557438
v477	0.158102699029497	0.105531421787133	0.134899180305961	0.00735129875350615	0.35476830138435
v478	0.0396742296266639	0.0441917659215295	0.370892508852298	0.00444903474489822	0.650993622308461
v507	0.0134851950629797	0.0258306770965581	0.601962721892567	0.000502582713944433	0.808212897521096
v508	0.00239924036354135	0.00886860197822087	0.786912794299942	0.000129831011669634	0.915957272136261
v509	0.00021106083729568	0.000743550736163313	0.776691526747313	0.000144904164981918	0.913314353135394
v511	0.0333603424472322	0.0201567236292082	0.0988241458911366	0.00560236515034807	0.288880000194785
v512	-0.00274855952911068	0.00895721089046676	0.759139324762565	0.000170432450506075	0.903448361079139
v525	0.0822995871932328	0.0139993948277733	8.932292e-09	0.0356767165999657	7.26595752689655e-08
v527	-0.00176781160728261	0.00101157262631906	0.081400105727496	0.00532074128124116	0.253998478057094
v528	-0.025238730727953	0.00596161797166627	2.87500416333848e-05	0.0176178246644512	0.000201849250634389
v529	0.00163553829970546	0.00388888891322363	0.674304136014381	0.000199698223927625	0.855206159601035
v531	0.0821565749262565	0.0139566868618853	8.556778e-09	0.0356543260426346	6.9845810733564e-08
v603	-0.00536604121634938	0.00611418743222825	0.381401232907219	0.00450967352050691	0.661680473112951
v616	-0.00418108530833403	0.00672995931631766	0.53528812079319	0.00234116508711413	0.762891570936043
v768a	0.00477692128427839	0.00169589809730099	0.00510710821484049	0.0116724952692122	0.0259089640404489
v768b	0.00224582351559547	0.00338681344686458	0.508064992778944	0.00251071129244063	0.74501721180191
v832b	-0.00228323667994929	0.00223086032271918	0.307440297914317	0.00461089016880867	0.582531456048091
v836	0.0187540743960409	0.00564323973018394	0.000975347272077727	0.0137985770154906	0.00569515894760237
v801	1.59714670737129e-05	0.00014373147230688	0.911578063497519	1.03693608881628e-05	0.963446528580039
v802	0.000177573034962221	0.000141247042213769	0.209438686428739	0.00129491117344349	0.467537884533223
v803	0.0215833656459804	0.00408207714796208	2.07158515950584e-07	0.0268104312353292	1.61816867260738e-06
s102b	0.0650448930802348	0.0194239264087988	0.000890756087887302	0.00872474114326827	0.00522709853563718
sbp1s	-0.00379414805201457	0.0053554194053617	0.47907627503484	0.000444929799943594	0.726311653475056
sbp1d	0.0166457204339332	0.00706574568666216	0.0189741416403858	0.00448551823776444	0.0779790943025611
sbp2s	-0.000388415023043574	0.0027935896008579	0.889491912901527	9.7144954671613e-06	0.957034037370223
sbp2d	6.56870254582229e-06	0.00109772965430032	0.995228628096299	7.999733e-09	0.997977647546049
sbp3s	0.00237057765617485	0.00152401837265544	0.120641190173224	0.00201003995629112	0.325993777340934
sbp3d	0.00334196830697556	0.00161674118911049	0.039382203984992	0.00378221305945459	0.144870257898746
sbpaves	-0.00281798382666167	0.00528960974012455	0.59451657864435	0.000299479063860741	0.802226489239768
sbpaved	0.00154732243865274	0.00224669024585816	0.491412988602556	0.000195430120873308	0.730745210481504
s1001f	0.00437848436123522	0.00253188024798119	0.0860170687590618	0.0210872431413828	0.263725537822498
sconc1	0.331582879301119	0.210341526833993	0.116410212997922	0.0100940095569187	0.322314193030631
sconc2	0.331582879301119	0.210341526833993	0.116410212997922	0.0100940095569187	0.322314193030631
sconc3	0.578769885102832	0.406777988583218	0.156245832662944	0.0100782040691573	0.392528135518514
sconc4	0.407716198251256	0.395514468975342	0.303774677069067	0.00483538660127758	0.578373255210597
mv034b_1	-0.00591712666036629	0.00894683260325177	0.50884365300219	0.000800209164184773	0.74501721180191
mv138	-0.385414572316241	0.121331013026059	0.00160867823793047	0.0115390182506726	0.00895016972471221
mv167	0.0230198667133439	0.0119208350945719	0.0541980083034791	0.00315605938566876	0.18677651152532
mv245	0.977606116961268	0.138587853779951	7.944048e-12	0.0630570333444702	6.88970927647059e-11
mv247	0.00118174210071595	0.012199511839462	0.922889508723178	1.36104657556535e-05	0.968426774066365
mv505	0.602855234527383	0.632766883709183	0.3414311939458	0.00168237804195825	0.624853519408954
mv766a	-0.16157223546487	0.0969240349094608	0.0963154162973581	0.00236898940681818	0.284365540732751
mv766b	0.254242301763446	0.0917261680188643	0.00584199022889426	0.00643997944957253	0.0293218190424714
sm805a	0.00586153361504509	0.00842814812999927	0.487235165179184	0.000512476446547061	0.729709189528988
sm813b	0.00653631970879722	0.00327880027516686	0.0470260639327925	0.00579177823874844	0.16859344197182
sm813e	-0.00324427025995962	0.00751317307806676	0.666227322563358	0.000324610980720119	0.848612448124709
sm903y	-0.0177792905935439	0.0136464270373618	0.193517082836598	0.00289744010676418	0.442712969251676
hv105_01	-0.0121266256913313	0.0054611774604773	0.0269564085526363	0.00496983946272167	0.104761396665023
hv105_02	-0.00431235850766321	0.0054520568863752	0.429449346355797	0.000557040071563986	0.691507568855062
hv105_03	-0.015652641327666	0.00839059000530313	0.0628757747145335	0.00485996523255738	0.210388585179553
hv105_04	-0.0219797987344277	0.0118467883311994	0.0643345632446782	0.00548839648442045	0.214357676121746
hv105_05	-0.00799379600353662	0.00946413839796247	0.39889683812509	0.000930556130602	0.677888473320123
hv105_06	-0.00340042237344063	0.00836777812375919	0.684745962058321	0.000230639203588234	0.860692281460197
hv105_07	-0.0111463238688217	0.0104271653235108	0.286070959996944	0.0021578344546852	0.563306673316186
hv105_08	-0.00777223131065317	0.012159643975679	0.523435615643175	0.00105880701387173	0.755219949420336
hv105_09	0.00216656003729059	0.00942715029548912	0.818539608743694	0.000133497160412333	0.927896618528431
