var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
srecent_3	1	-53.2999470670301	0.106907336721102	0	0.714419690797038	0	srecent	final recent status
sprelim_3	1	-28.8436722583375	0.632273022424679	4.3019e-159	0.70854253084689	2.2843089e-156	sprelim	preliminary recent status
srecent_2	1	24.7469785553364	0.297979309585092	2.4344e-251	0.678871946901829	1.9389996e-248	srecent	final recent status
sprelim_2	1	24.0219644927706	0.201176161964531	6.5242e-311	0.648186593309792	1.03930506000003e-307	sprelim	preliminary recent status
v535_0	1	-1.88965021571165	0.22647062301081	2.0432e-15	0.145638952897085	1.76892260869565e-14	v535	ever been married or in union
v7041	1	-15.870684241162	1.01223350741193	1.6258e-40	0.127161856825881	3.139272e-39	v7041	NA
v535_1	1	1.80401610576801	0.244850219421072	1.4264e-12	0.125270546540087	1.19278488188976e-11	v535	ever been married or in union
s124_1	1	1.4350811217051	0.361766259710709	1.04034935969954e-4	0.105035145256225	6.43602535922861e-4	s124	reason for visit of 3+ months
v013_1	1	-2.31542664576091	0.250174714646461	1.3999e-18	0.10462196313352	1.21860147540984e-17	v013	age in 5-year groups
v834b	1	0.0703048520405855	0.0270363862850803	0.0111596297674946	0.101475048336258	0.0466595543822018	v834b	age of 2nd to most recent partner
s124_2	1	-2.18220652593839	0.645663620159506	8.84760335989388e-4	0.0897126005967073	0.00486008005252102	s124	reason for visit of 3+ months
ha1	1	0.0677313994394908	0.00636194507018727	1.9964e-23	0.0854719137728255	1.78166117647059e-22	ha1	woman's age in years
v012	1	0.0677313994394908	0.00636194507018727	1.9964e-23	0.0854719137728255	1.78166117647059e-22	v012	respondent's current age
v447a	1	0.0677313994394908	0.00636194507018727	1.9964e-23	0.0854719137728255	1.78166117647059e-22	v447a	women's age in years (from household questionnaire)
ha32	1	-0.00564285040852243	5.29525529506848e-4	1.8353e-23	0.0853713408317123	1.65177e-22	ha32	date of birth (cmc)
hv105	1	0.0679634043626127	0.00637443405951493	1.7538e-23	0.084960629043725	1.58289144475921e-22	hv105	age of household members
hv121_2	1	-2.32128848339814	0.333914948128795	1.5101e-11	0.077430878063299	1.24641932642487e-10	hv121	member attended school during current school year
hv121_0	1	2.32128848339813	0.333914948128793	1.5101e-11	0.0774308780632987	1.24641932642487e-10	hv121	member attended school during current school year
sh21a_0	1	2.32128848339813	0.333914948128793	1.5101e-11	0.0774308780632987	1.24641932642487e-10	sh21a	level of education attended in current school year
mm3_01	1	0.0504727885008973	0.00719550775679217	1.0753e-11	0.0731473072024424	8.94492375979112e-11	mm3	NA
v836	1	0.262351051272688	0.0438277598034726	4.92e-9	0.0715650093384332	3.90900748129676e-8	v836	total lifetime number of sex partners
hv124	1	-0.238291414891738	0.0467222666708789	5.28960407340963e-7	0.0692647482482746	3.95602783518382e-6	hv124	education in single years - current school year
mm4_01	1	-0.00387615350759699	4.73436104799981e-4	3.7976e-15	0.0672568194596392	3.27890341463415e-14	mm4	NA
s1001g_0	1	-1.3576854084105	0.342894941655926	1.0724347168213e-4	0.066428136157794	6.60885301313861e-4	s1001g	told had tb during first visit by health professional
s1001g_1	1	1.3576854084105	0.342894941655926	1.07243471682129e-4	0.0664281361577939	6.60885301313861e-4	s1001g	told had tb during first visit by health professional
v626_0	1	-2.7279269883791	0.457870535755506	5.6821e-9	0.0657690063134653	4.49210188585608e-8	v626	unmet need (definition 2)
v626a_0	1	-2.7279269883791	0.457870535755506	5.6821e-9	0.0657690063134653	4.49210188585608e-8	v626a	unmet need for contraception (definition 3)
v536_0	1	-2.54876824983812	0.403566907077709	7.2875e-10	0.0653821155636702	5.81904135338346e-9	v536	recent sexual activity
v624_0	1	-2.71875774581516	0.45801207842435	6.4224e-9	0.0653353883014284	5.052288e-8	v624	unmet need
mm3_02	1	0.0471110962595109	0.00722025832708628	2.2288e-10	0.0628793451399896	1.80685923664122e-9	mm3	NA
sh21a_3	1	-2.46989282454962	0.363921236416549	4.2361e-11	0.0617940626049761	3.46946390745501e-10	sh21a	level of education attended in current school year
mm4_02	1	-0.00355439610883965	4.74408060998895e-4	4.6618e-13	0.0597638084389325	3.93965379310345e-12	mm4	NA
v452a_1	1	-2.17210412265948	0.318734114073896	3.5623e-11	0.0592026972960635	2.92512572164948e-10	v452a	under age 18 (from household questionnaire)
v452a_2	1	2.1721041226595	0.318734114073903	3.5623e-11	0.0592026972960635	2.92512572164948e-10	v452a	under age 18 (from household questionnaire)
hv116_2	1	1.55903234655077	0.187092836014183	1.3346e-15	0.0570488717309965	1.15859280653951e-14	hv116	currently, formerly, never married
mm3_04	1	0.0453403911431832	0.00808879938494046	4.43159495472984e-8	0.0559947653099109	3.44367354287055e-7	mm3	NA
mm3_03	1	0.042937309266521	0.00790501319898479	1.02981880711645e-7	0.0547213608450268	7.88702576796397e-7	mm3	NA
v502_2	1	1.47379866467091	0.190430060664645	8.5323e-14	0.0543616101460395	7.24904208e-13	v502	currently/formerly/never in union
v605_2	1	-1.25513095592742	0.16989295569037	9.0365e-13	0.0530697533228413	7.59638232189974e-12	v605	desire for more children
sprelim_1	1	17.489689318215	0.201775190762373	2.899e-258	0.0509976180382495	3.078738e-255	sprelim	preliminary recent status
mm4_03	1	-0.00328235804572563	5.35982101894394e-4	2.3049e-9	0.0509498449194011	1.83585285e-8	mm4	NA
v525	1	0.0865770381541138	0.0117379733934942	9.9453e-13	0.0485241018839153	8.33834889473684e-12	v525	age at first sex
s1001e_11	1	1.06556688821754	0.314907310534112	8.73750274602705e-4	0.048448684077349403	0.00481620826104536	s1001e	source of advice or treatment for last std
m4_1_95	1	-1.05561930817908	0.258077218697269	5.48805167600653e-5	0.0483207890963366	3.46236289896174e-4	m4_1	duration of breastfeeding
hv115_3	1	1.83786880991982	0.23364639361014	3.576e-14	0.0470964975504432	3.04629304812834e-13	hv115	current marital status
v531	1	0.0858808792976355	0.0115691864670787	7.178e-13	0.0469859215466676	6.05002857142857e-12	v531	age at first sex (imputed)
s1001c_0	1	-0.918574832031005	0.293826399357368	0.00197153657364413	0.0454661428091975	0.010196940785114	s1001c	sought consultation or treatment for symptoms
s1001c_1	1	0.918574832031006	0.293826399357368	0.00197153657364413	0.0454661428091975	0.010196940785114	s1001c	sought consultation or treatment for symptoms
