var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
srecent_3	1	-53.2921188963008	0.0879776582349566	0	0.691196956049969	0	srecent	final recent status
sprelim_3	1	-53.2921188963008	0.0879776582349566	0	0.691196956049969	0	sprelim	preliminary recent status
srecent_2	1	24.9695664551287	0.264974409172856	6.4859e-271	0.657474431903312	5.0914315e-268	srecent	final recent status
sprelim_2	1	24.0963506791269	0.201345319887845	3.9206e-310	0.619937372682199	4.10356133333332e-307	sprelim	preliminary recent status
v834b	1	0.122247820242141	0.0367438033152383	0.00126278750344652	0.193601571090007	0.00679696168175027	v834b	age of 2nd to most recent partner
v535_0	1	-2.28938314422589	0.230245673290458	1.6087e-20	0.188000161327204	1.36154123989218e-19	v535	ever been married or in union
v535_1	1	2.26205457884872	0.230560702016405	4.4362e-20	0.174682769851933	3.68509735449735e-19	v535	ever been married or in union
s124_1	1	1.64796658573727	0.362920351082836	1.03288970581273e-5	0.115872820914489	7.0353008161648e-5	s124	reason for visit of 3+ months
v7041	1	-15.8480851697977	1.01362238074922	2.5515e-40	0.113517128393923	4.68521052631579e-39	v7041	NA
s1001c_0	1	-1.46633436162818	0.249011598327285	1.1248e-8	0.0964382948547091	8.49007692307692e-8	s1001c	sought consultation or treatment for symptoms
s1001c_1	1	1.46633436162818	0.249011598327286	1.1248e-8	0.0964382948547089	8.49007692307692e-8	s1001c	sought consultation or treatment for symptoms
v013_1	1	-2.31721261720825	0.264722836175592	6.2968e-17	0.0876144132001188	5.2031452631579e-16	v013	age in 5-year groups
s124_2	1	-2.36017397478938	0.74895624180152	0.001909163564789	0.0821327363190765	0.0100414968064279	s124	reason for visit of 3+ months
s1001g_1	1	1.39955081100583	0.336655744128385	4.71592869911097e-5	0.08170714879616	2.97349721188925e-4	s1001g	told had tb during first visit by health professional
s1001g_0	1	-1.39955081100583	0.336655744128385	4.71592869911097e-5	0.08170714879616	2.97349721188925e-4	s1001g	told had tb during first visit by health professional
v604_0	1	1.70284289152596	0.259354666151566	1.9181e-10	0.079304675439847	1.48345665024631e-9	v604	preferred waiting time for birth of a/another child (grouped)
mm3_02	1	0.0541016690370439	0.00620652169459653	9.5191e-17	0.0766750125843663	7.8451375328084e-16	mm3	NA
hv121_0	1	2.49044564783877	0.309645353589133	1.057e-14	0.0755331848053684	8.46678571428571e-14	hv121	member attended school during current school year
sh21a_0	1	2.49044564783877	0.309645353589133	1.057e-14	0.0755331848053684	8.46678571428571e-14	sh21a	level of education attended in current school year
hv121_2	1	-2.49044564783877	0.309645353589133	1.057e-14	0.0755331848053684	8.46678571428571e-14	hv121	member attended school during current school year
hv124	1	-0.27723777001525	0.0383196954611284	2.4802e-12	0.0723566712378584	1.9518365914787e-11	hv124	education in single years - current school year
s120_2	1	-16.8532644985661	0.274372310704768	7.8758e-127	0.0712487166269965	1.54562575e-124	s120	reason for visit
v843_0	1	1.31096461337631	0.304947996203958	2.40732410644207e-5	0.0689989290073137	1.56500987458142e-4	v843	tested for hiv since antenatal visit test
v843_1	1	-1.31096461337631	0.304947996203958	2.40732410644212e-5	0.0689989290073135	1.56500987458142e-4	v843	tested for hiv since antenatal visit test
v012	1	0.0622638262292698	0.00636129489523321	2.2238e-20	0.0670905886568113	1.86704064171123e-19	v012	respondent's current age
ha1	1	0.0622694650094475	0.00636319545156387	2.2601e-20	0.0670898818330837	1.88742393617021e-19	ha1	woman's age in years
v447a	1	0.0622694650094475	0.00636319545156387	2.2601e-20	0.0670898818330837	1.88742393617021e-19	v447a	women's age in years (from household questionnaire)
ha32	1	-0.00518362873972199	5.28686571204219e-4	1.9457e-20	0.0670816419648778	1.63793512064343e-19	ha32	date of birth (cmc)
hv105	1	0.0613993649590797	0.00629116809957291	2.7838e-20	0.065407115060549	2.31860265251989e-19	hv105	age of household members
