var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
srecent_3	1	-53.3057907539043	0.11435678590851	0	0.638670827925363	0	srecent	final recent status
sprelim_3	1	-33.1427618164923	1.01082685683872	1.722195e-113	0.637540923938736	1.78042159285714e-111	sprelim	preliminary recent status
srecent_2	1	25.0628258954093	0.335213778828304	2.391322e-231	0.598541274637328	1.73052002066667e-228	srecent	final recent status
sprelim_2	1	24.5979803479052	0.264613505399448	7.667911e-266	0.578697626352734	8.3235173905e-263	sprelim	preliminary recent status
hb62_299992	1	-18.3356782295835	1.00433626520887	1.73961165151439e-6	0.238330657455961	1.10429733784729e-5	hb62	NA
v834b	1	0.124514686807315	0.022462881801344	9.88762663111945e-8	0.15174285009441	6.48520767859829e-7	v834b	age of 2nd to most recent partner
v535_0	1	-2.42764811786388	0.265923546920027	5.932713e-18	0.117698368075246	4.23681576414474e-17	v535	ever been married or in union
v535_1	1	2.48313050378094	0.289077864590713	3.050313e-16	0.11466282423011501	2.16412729509804e-15	v535	ever been married or in union
v513_0	1	-1.8481123185517	0.189091030302466	2.668473e-20	0.11147384691845	1.931084961e-19	v513	cohabitation duration (grouped)
v502_0	1	-1.8481123185517	0.189091030302466	2.668473e-20	0.11147384691845	1.931084961e-19	v502	currently/formerly/never in union
v501_0	1	-1.8481123185517	0.189091030302466	2.668473e-20	0.11147384691845	1.931084961e-19	v501	current marital status
hv115_0	1	-1.71373290598321	0.184159149214769	1.025622e-18	0.0993102823267797	7.34859855445545e-18	hv115	current marital status
hv116_0	1	-1.71373290598321	0.184159149214769	1.025622e-18	0.0993102823267797	7.34859855445545e-18	hv116	currently, formerly, never married
mv245	1	1.18462341724516	0.131742603900349	1.114004e-17	0.0978861216349134	7.92951699672131e-17	mv245	number of women fathered children with
mv010	1	-0.0590434335569928	0.00585223388473493	2.151476e-21	0.0820013040809757	1.61621259377163e-20	mv010	year of birth
hb32	1	-0.00489184482754078	4.86990067311712e-4	3.064942e-21	0.0817113164349541	2.2944789937931e-20	hb32	date of birth (cmc)
mv012	1	0.0587442829659238	0.0058716214359238	4.234891e-21	0.0817111982069899	3.15943242646048e-20	mv012	current age
hb1	1	0.0587073163972189	0.00587004688267773	4.35938e-21	0.081622490094073	3.24116917123288e-20	hb1	man's age in years
hv105	1	0.0589064250738719	0.005918374855694	6.403058e-21	0.081429538797804707	4.74438188327645e-20	hv105	age of household members
s1001g_1	1	1.38015236587375	0.359976745933421	1.72993917726676e-4	0.0810167339076967	9.7297874451973e-4	s1001g	told had tb during first visit by health professional
s1001g_0	1	-1.38015236587375	0.359976745933421	1.72993917726677e-4	0.0810167339076967	9.7297874451973e-4	s1001g	told had tb during first visit by health professional
v605_8	1	-1.96128681809752	0.3627539725989	1.25564781533945e-7	0.0700144517800979	8.18622044174759e-7	v605	desire for more children
v013_1	1	-1.95933401027931	0.300536317702096	2.217627e-10	0.0641035545207284	1.55305426354839e-9	v013	age in 5-year groups
v834a	1	0.051201806563556	0.00752532185913482	4.261224e-11	0.0495127896252198	2.99388909514563e-10	v834a	age of most recent partner
v502_3	1	1.11773983975676	0.187951408317026	6.134735e-9	0.0483305122002147	4.1882105927673e-8	v502	currently/formerly/never in union
sprelim_1	1	17.0639305339242	0.258724402377503	6.766745e-212	0.0482477923895742	3.67265084875e-209	sprelim	preliminary recent status
hv116_1	1	1.08569172621964	0.190862839994564	2.54193477162686e-8	0.045723281827646	1.68248182597619e-7	hv116	currently, formerly, never married
hv115_1	1	1.08569172621964	0.190862839994564	2.54193477162686e-8	0.045723281827646	1.68248182597619e-7	hv115	current marital status
hv101_1	1	1.07837409318141	0.175818697831864	2.13483e-9	0.0450841514477719	1.46668225632911e-8	hv101	relationship to head
v150_1	1	1.07837409318141	0.175818697831864	2.13483e-9	0.0450841514477719	1.46668225632911e-8	v150	relationship to household head
s1001c_1	1	0.966519070227983	0.251039449218586	1.48978654972789e-4	0.0445798700397649	8.46682355879385e-4	s1001c	sought consultation or treatment for symptoms
s1001c_0	1	-0.966519070227985	0.251039449218586	1.48978654972785e-4	0.0445798700397647	8.46682355879385e-4	s1001c	sought consultation or treatment for symptoms
v767a_97	1	-1.0190830221388	0.220501244395597	5.29765422705584e-6	0.0427024217135811	3.3336832831705e-5	v767a	relationship with most recent sex partner
