var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hb62_299992	-18.0796037360497	1.00381333778442	5.960679e-9	0.246956685917397	3.94644343577982e-8	hb62	
hb62_3A4O6Y	1.42935235249561	0.0795847737438387	9.331525e-50	0.0500373143456327	1.87062515046296e-48	hb62	
hv008	0.211493344030449	0.113683625240598	0.0635977929389047	0.00387744774972654	0.195303860585431	hv008	date of interview (cmc)
hv009	-0.104279025878112	0.0386962994091584	0.00735229259374371	0.00985453910511247	0.0313958845472488	hv009	number of household members
hv010	0.00306760339123643	0.117364154486329	0.979161258996969	8.53021282609667e-7	0.989675128724761	hv010	number of eligible women in household
hv011	-0.243079294392116	0.126456492379045	0.0553155567074553	0.00439689550226097	0.174320495300787	hv011	number of eligible men in household
hv012	-0.090402116761841	0.0438512642889364	0.0399219795158269	0.00573516555037612	0.133587458503501	hv012	number of de jure members
hv013	-0.0983228969043064	0.043758475094001	0.0252109005491286	0.00677712541423536	0.0921986481230801	hv013	number of de facto members
hv014	-0.151629088938899	0.127554390203248	0.235276347005342	0.00163247712454384	0.504752920648216	hv014	number of children 5 and under (de jure)
hv016	-0.00575693601488092	0.0085084198181079	0.499056751428784	4.57471766204476e-4	0.766147320165627	hv016	day of interview
hv017	-0.0107258964041457	0.163439281075	0.947709593784228	3.87941118085156e-6	0.976578424818112	hv017	number of visits
hv028	8.37620598848693e-8	9.81402058048694e-8	0.393917585791888	8.22268418680938e-4	0.674471138702621	hv028	household weight for male subsample (6 decimals)
hv030	0.00373072885299335	0.00188052824300834	0.0479816726725474	0.0035730702000859	0.155509463077942	hv030	field supervisor
hv035	-0.225217181755483	0.139019472337315	0.106044456500603	0.00305746443878641	0.286982810404757	hv035	number of eligible children for height and weight
hv040	-6.41788697834435e-4	2.57438661743442e-4	0.013088073691432	0.00438527378263343	0.0522119513035089	hv040	cluster altitude in meters
hv041	-0.0934423475502173	0.085324219814141	0.274139755153831	0.00174303126620312	0.558335559444388	hv041	total adults measured
hv204	2.25064343440637e-4	1.86784047888762e-4	0.228970809275821	0.00146960370164484	0.492275870985256	hv204	time to get to water source (minutes)
hv216	-0.175851027972965	0.0958389507088033	0.0672998672623021	0.00354465754107891	0.202086286578203	hv216	number of rooms used for sleeping
hv238	0.00353116938562167	0.00671078489086918	0.599482593791499	0.00155449022985366	0.833042243619124	hv238	number of households sharing toilet
hv245	1.29430160192382e-4	0.00364137868656851	0.971669701300298	2.6565453058458e-6	0.988519021792329	hv245	hectares of agricultural land (1 decimal)
hv246a	-0.0499241801066783	0.0270790295640127	0.0660048765984605	0.00286683643221786	0.200421539741468	hv246a	owns cattle
hv246b	-0.195953377272187	0.177206838058616	0.269510146862954	0.00112078132865057	0.551799800020743	hv246b	owns cows/ bulls
hv246c	-0.0518512664159238	0.0867588119159941	0.55042682494811	5.3882733989552e-4	0.796573580222365	hv246c	owns horses/ donkeys/ mules
hv246d	-0.00395133155139514	0.00957999422791535	0.6802355807655	1.54646408294323e-4	0.877145261102878	hv246d	owns goats
hv246e	-0.00277184148175411	0.0072789211162911	0.703559899023116	1.12758833443083e-4	0.888685636747402	hv246e	owns sheep
hv246f	-0.0451746035248791	0.0234841172494013	0.0551407394292203	0.00382238085199071	0.174320495300787	hv246f	owns chickens
hv246g	-0.56555697153071	0.288953769454223	0.0510412603242121	0.00264902184214755	0.163953009795132	hv246g	owns bulls (cs)
hv246h	-0.0879744852826192	0.259391434621208	0.734676670074258	1.19239132292615e-4	0.900242525751841	hv246h	owns cows(cs)
hv246i	0.00918245020510107	0.00304728161241801	0.00275535162791773	7.51878758030067e-4	0.0130818777948287	hv246i	owns improved chickens(cs)
hv246j	-0.321584186267439	0.220062423818332	0.144742234081797	0.00375035572200899	0.355694593401919	hv246j	ordinary pigs (cs)
hv246k	0.0728404624255095	0.0510456553204076	0.154402017840793	0.00127569839191244	0.370188669573994	hv246k	improved pigs (cs)
hv271	5.30842187720966e-7	8.41338225831739e-7	0.528448695976073	4.08429067271565e-4	0.78094977937761	hv271	wealth index factor score (5 decimals)
sh122k	-4.71949679336103	0.33460790542653	1.078492e-36	0.00305404462701242	1.24198679787234e-35	sh122k	owns rabbits
sh126h	0.00410787859367317	0.00466199112593745	0.378791857349072	3.49494135317152e-4	0.665652898669433	sh126h	time taken to nearest health facility in hours
sh126m	0.00792705331758074	0.00508185913794259	0.119613706689032	0.0024154857887948	0.313136245443476	sh126m	time taken to nearest health facility in minutes
hv105	0.0560128245855775	0.00561119837721258	5.133756e-21	0.0709171552663223	3.75492626351351e-20	hv105	age of household members
hv107	0.0889960909886219	0.0417585141841833	0.0337235731704206	0.00489523603558617	0.117760541796711	hv107	highest year of education completed
hv108	-0.0720898225923412	0.0212194648516139	7.51590426305429e-4	0.0106434162407224	0.00391152229074821	hv108	education completed in single years
hv123	0.154374922626356	0.246396971615723	0.531866310774574	0.00335996949117379	0.783326913487723	hv123	grade of education during current school year
hv124	-0.259745158682735	0.0553057088073117	3.69015794886539e-6	0.0467281278197619	2.22540165997035e-5	hv124	education in single years - current school year
hb0	-0.332977691559524	0.102430786933566	0.00125259954541099	0.0307353654855755	0.00624856685671611	hb0	index to household schedule
hb1	0.0558451151025392	0.0056669281938681	1.421947e-20	0.0706935666573771	1.01601163531353e-19	hb1	man's age in years
hb2	5.72313919945986e-4	7.00718804705105e-4	0.414576219783081	6.85180691929688e-4	0.69264334783724	hb2	man's weight in kilograms (1 decimal)
hb3	7.00532983988079e-4	9.96841491174903e-4	0.482635719884588	4.28306604192685e-4	0.748536023663151	hb3	man's height in centimeters (1 decimal)
hb4	1.37673075114683e-5	2.92189274936071e-5	0.637781395243811	2.33584945050547e-4	0.855815985825121	hb4	height/age percentile
hb5	1.97090734152857e-4	6.7214325581762e-4	0.769506838234046	8.1271531360283e-5	0.913868516059632	hb5	height/age standard deviation
hb6	5.30773359347365e-5	1.79833398957591e-4	0.768040896748563	8.10091633683951e-5	0.913631066736615	hb6	height/age percent ref. median
hb11	-0.00191435055168297	9.54539367491193e-4	0.0456083370828692	0.00524305926346769	0.148932201786443	hb11	weight/height standard deviation (dhs)
hb12	-1.25857904734994e-4	7.38737856815192e-5	0.0892483684861236	0.00449242150497697	0.251264912577968	hb12	weight/height percent ref. median (dhs)
hb12a	3.52294145463722e-5	5.06557489512213e-5	0.487183177810159	5.67270710921441e-4	0.753932508905643	hb12a	weight/height percent ref. median (fog)
hb12b	2.96584814649031e-5	5.02242043450631e-5	0.555188325114621	4.37459599803014e-4	0.799843194302247	hb12b	weight/height percent ref. median (who)
hb32	-0.00465570555028176	4.70743765480636e-4	1.071852e-20	0.070800639071279	7.6839721192053e-20	hb32	date of birth (cmc)
hb35	0.0201939706870435	0.0178683482809027	0.259126397172418	0.00158738406436132	0.537364607163108	hb35	smoking (cigarettes in last 24 hours)
hb40	1.50420456158141e-4	2.45620050355034e-4	0.540628241241171	4.41747407054938e-4	0.788719772430684	hb40	body mass index
hb41	1.41710429094679e-4	3.92585529973233e-4	0.718322599849616	1.54622753113953e-4	0.894369807006892	hb41	rohrer's index
hb53	-0.0292531598124937	0.00466558438877978	9.722972e-10	0.046558330017480803	6.51710042724458e-9	hb53	hemoglobin level (g/dl - 1 decimal)
hb56	-0.0283945778255143	0.00469754766573706	3.549565e-9	0.0439080560891625	2.35730313650307e-8	hb56	hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)
hb67	0.0560786593413567	0.0423707227415358	0.186474062620699	0.00196037520998582	0.425412376790109	hb67	man's highest year of education
hb69	8.21743245662434e-8	9.08539607427496e-8	0.366315402910041	8.92343858934219e-4	0.653811085985358	hb69	hiv weight (6 decimals)
hb70	-0.00839836229261966	0.00371001282166775	0.0241498456800557	0.00511568314248168	0.0889190746553071	hb70	interviewer that took blood for hiv testing
v004	3.0417216858053e-4	6.45536898220696e-4	0.637770821903165	1.99993381460373e-4	0.855815985825121	v004	ultimate area unit
v006	0.20065440762913	0.113458296048972	0.0777662006315279	0.00349368734904598	0.22690542367555	v006	month of interview
v008	0.200654407629278	0.11345829604897	0.0777662006313032	0.00349368734904587	0.22690542367555	v008	date of interview (cmc)
v016	-0.00202398450861057	0.00857603934107634	0.813554946019252	5.66264025375629e-5	0.930944216771501	v016	day of interview
v021	3.0417216858053e-4	6.45536898220696e-4	0.637770821903165	1.99993381460373e-4	0.855815985825121	v021	primary sampling unit
v027	-2.25239566771328	0.792421990101197	0.00471628132461408	0.0070681360805529	0.0207958229486548	v027	number of visits
v028	0.00378964700696206	0.00188047834343347	0.0445740731813487	0.00369068524533611	0.146438343607921	v028	interviewer identification
v152	-0.00952956268353921	0.00474419269811113	0.0452707365296963	0.00304983192261399	0.148277071992122	v152	age of household head
v191	5.30842187720966e-7	8.41338225831739e-7	0.528448695976073	4.08429067271565e-4	0.78094977937761	v191	wealth index factor score (5 decimals)
v201	0.219768109366875	0.0321216004955026	3.100863e-11	0.0324349247269856	2.15863935530547e-10	v201	total children ever born
v202	0.247716946425324	0.0823939531555233	0.00281653956544568	0.00659095019376388	0.0133076022063869	v202	sons at home
v203	0.290485252399842	0.0808357000748072	3.68685308816649e-4	0.0102901683373616	0.00203126574555708	v203	daughters at home
v204	0.38617005148675	0.101640304805144	1.68600898393808e-4	0.0111062587792369	9.60581434269985e-4	v204	sons elsewhere
v205	0.512901669772599	0.101131938061004	6.15142994097198e-7	0.0219980563383054	3.94019107165809e-6	v205	daughters elsewhere
v206	1.04770134504258	0.278765631587292	1.97610249126615e-4	0.0138237830192313	0.00111996384648985	v206	sons who have died
v207	0.307816794970912	0.24798397970498	0.215261175654978	0.00127680671660624	0.469325725370622	v207	daughters who have died
v212	-0.00257179418531928	0.0204850976435861	0.90016930191467	3.45328902815467e-5	0.96431256513542	v212	age of respondent at 1st birth
v218	0.224943030974481	0.034415166987098	2.011521e-10	0.0295242327924969	1.36518588244514e-9	v218	number of living children
v464	-0.00202838026139986	0.00753234264156783	0.787896501368076	7.97273013618538e-5	0.919543512862581	v464	number of cigarettes in last 24 hours
v507	-0.0242859971269591	0.0288361313181667	0.400274637249468	0.00145531245193187	0.680749874033856	v507	month of first cohabitation
v508	-0.020520391222791	0.00813106760901429	0.0120759517764366	0.00958027278856388	0.0488681039177294	v508	year of first cohabitation
v509	-0.00171301947438527	6.75708000451534e-4	0.0116957813318259	0.00969888674372732	0.0475072543778669	v509	date of first cohabitation (cmc)
v511	0.0184771753653325	0.0186115055388705	0.321534682413435	0.0021654482842592398	0.620983574866268	v511	age at first cohabitation
v512	0.0206650775498967	0.00811416128678566	0.0113199994569314	0.00976896391403004	0.0461540467500122	v512	years since first cohabitation
