name	estimate	se	p.value	Nag.r2	adj.p.val
hv003	0.121333201263598	0.112189171992924	0.280355629035396	0.00023231486250197	0.446865877713073
hv006	0.0737990707124979	0.0447125884077893	0.0999006053272462	0.00067712930420849	0.210338210048029
hv007	-0.153434105329294	0.683391541707806	0.822509231982976	1.99560460222292e-05	0.899463062257245
hv008	0.366764463857798	0.188911641749983	0.0531544939102116	0.00252945535219196	0.125413201441325
hv010	0.148776868699314	0.118840643936816	0.211597182179282	0.000473854182256317	0.368734806763331
hv011	0.251229100798069	0.140493938862207	0.0747724146550463	0.00128000372573955	0.166478789313064
hv012	-0.0661549850989333	0.0490827879257113	0.17874894693682	0.000588237564100313	0.325908817987846
hv013	-0.0516735862346501	0.0530538895866791	0.330862949582445	0.000371453985179016	0.501409663228772
hv014	-0.291561079502485	0.145594253779959	0.0461395777207317	0.00153911016423058	0.111235326276979
hv016	-0.00928588220553507	0.0213801773900893	0.664372100985415	0.000112919121301847	0.798616742349525
hv017	0.898253815298756	0.282655509386913	0.00164086616045341	0.00388715032178566	0.00516950748724292
hv019	-0.04679153804994	0.0382242317066537	0.221878842633346	0.000623940952944047	0.379824849278855
hv022	0.00390195929364292	0.00368352007145674	0.290328938408351	0.000411952177361341	0.459518793157878
hv031	-0.00554252506171539	0.00417589110348249	0.185446453514301	0.00109353719163063	0.334368109682814
hv032	-0.129339700351839	0.0711138107224793	0.0699602936864663	0.00126830990312321	0.158393042871249
hv035	-0.265273476808923	0.16419810736291	0.10725632938744	0.00108450825572615	0.223260882552137
hv041	0.129506156541242	0.0729680784086415	0.0769566155654787	0.000952343560490565	0.170299580776762
hv204	0.000671336312814954	0.000422952778076605	0.113524847739339	0.0009435876229964	0.232604593016517
hv216	-0.214424541574741	0.159873362475901	0.180882354276305	0.00110139772210804	0.328059202709659
hv218	-0.189309140920544	0.490246710047218	0.699663365720302	7.32942051162588e-06	0.822695773269265
hv220	-0.0145432234088348	0.0102178082910724	0.155699771167727	0.000536082366584867	0.295278201284045
hv238	-0.0132704997512103	0.00573420041135433	0.0216149400934431	0.00593267358319161	0.0569836409676162
hv246d	-0.438937300803029	0.264448802342397	0.0980133502992823	0.000537363193760965	0.206815841409396
hv246e	-12.5647766299288	0.369547528659048	4.6467e-104	0.000619175134322081	5.50582887362637e-103
hv246f	-0.0994109347845038	0.036514437218308	0.0068644241763759	0.00204581213404653	0.0200313000491944
hv246g	-13.5065632051244	0.361853709908504	9.1314e-114	0.00138165244318533	1.55054048031496e-112
hv271	4.23385865288966e-06	9.40970218736696e-07	9.81179692303773e-06	0.00376195884359987	3.24775749263712e-05
hml1	-0.126614827898354	0.174209765355642	0.467927725796722	0.000153393969064997	0.633042686424126
shdv	0.00612709427190415	0.0711390564311506	0.931422762112182	2.21360350871613e-06	0.963825905227889
shcd	-0.0994250830719514	0.0778570298355188	0.202598960985786	0.00106653983176941	0.356158990351051
hv105	-0.00134491228918516	0.0140166555744487	0.923624627829749	2.58119264151535e-06	0.959654096329279
hv107	-0.050636491236453	0.108639263039504	0.641514666737172	0.00017323428389715	0.780979404755063
hv108	0.105225826416546	0.0323752016091601	0.00128669229205101	0.00348539295103623	0.00411684262286054
hv123	0.535519491290381	0.210812297681469	0.0118363115350866	0.00689585861589948	0.0332002738525374
hv124	-0.00476468281758112	0.0700103607766928	0.945786504627366	2.47524659491294e-06	0.972322388068362
hv127	0.189416526365881	0.131770341895352	0.152138102976922	0.00119740471404572	0.290213019964381
hv128	0.0184527560700971	0.0657621312687387	0.779215040932479	3.48840246106041e-05	0.869985625560907
ha0	0.0778721504691408	0.0607194203056415	0.200677047598737	0.000427360340978788	0.353995953494214
ha1	-0.00262962122899864	0.0138872012560164	0.84994422831628	1.00490993197866e-05	0.91599436699853
ha2	-0.000896609458453723	0.00127020082907243	0.480819775355643	0.000151573384340686	0.645432832589134
ha3	0.00192493458409294	0.00213518802600577	0.368042399514124	0.000322797390895468	0.543246704005618
ha4	1.04066652243732e-05	7.11277859574483e-05	0.883777057856395	9.20074733368192e-06	0.935840220984894
ha5	0.000829499802252701	0.00159276542166642	0.602902215454862	0.000114562811016405	0.750995139567074
ha6	0.000245001219776996	0.00042731655575624	0.566845692497563	0.000135994927324079	0.719695458269647
ha11	-0.000907364847779927	0.00141615802285027	0.522200141564551	0.000139284730446554	0.681673489881328
ha12	-6.22625576682716e-05	9.31272722349212e-05	0.504289488076403	0.00013679237727271	0.666973493429477
ha12a	-5.5307376250068e-05	8.2314643904766e-05	0.502171920922178	0.000159983005390774	0.664580391205079
