var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hv115_07_0	1	-18.828029319198	0.583131508170943	1.271287e-57	0.0164185555267327	6.69757700419287e-57	hv115_07	current marital status
hv116_07_0	1	-18.828029319198	0.583131508170943	1.271287e-57	0.0164185555267327	6.69757700419287e-57	hv116_07	currently, formerly, never m.
v71610	1	-16.7286599087045	1.06208256877044	2.309204e-38	0.0159310673542945	8.72636037894737e-38	v71610	NA
v770_1	1	17.1990087947653	0.47214811359836	8.657512e-86	0.0149937713029228	8.2410332030303e-85	v770	seek advice for last disease
v770_0	1	-17.1109411355217	0.488999424397892	5.41337e-83	0.0119036962301322	4.72354125347222e-82	v770	seek advice for last disease
hb50_3_1	1	-16.9642317068907	0.359572487501698	7.693367e-99	0.0113388859105559	9.96571342474227e-98	hb50_3	under age 18
hb50_3_2	1	16.9642317062154	0.359572493631018	7.693388e-99	0.0113388859105558	9.96571342474227e-98	hb50_3	under age 18
hv106_11_0	1	17.0963810048964	0.679658160632023	2.744435e-45	0.00642569274139948	1.18501119501718e-44	hv106_11	highest educational level
hv109_11_0	1	17.0963810048964	0.679658160632023	2.744435e-45	0.00642569274139948	1.18501119501718e-44	hv109_11	educational attainment
hv108_11	1	-14.8529099186565	0.750034688962527	1.478588e-36	0.00610601073543227	5.4642524176470597e-36	hv108	education in single years
hv129_06_1	1	2.79487302697204	1.02555282384684	0.00687412134096062	0.00495262969933563	0.0183579593154775	hv129_06	school attendance status
sh112_95	1	2.41932753624089	0.663965514337404	3.17379613791799e-4	0.00465447161509014	8.98170010651792e-4	sh112	type of cooking fuel
hv024_1	1	1.09887973255004	0.348587990423121	0.0017861743921877	0.00463330582082078	0.00496532770748638	hv024	region
hv026_0	1	1.09887973255004	0.348587990423121	0.0017861743921877	0.00463330582082078	0.00496532770748638	hv026	place of residence
v024_1	1	1.08574135887774	0.348932002372966	0.00204293777119862	0.00462592263858896	0.00565407777425345	v024	region
v026_0	1	1.08574135887774	0.348932002372966	0.00204293777119862	0.00462592263858896	0.00565407777425345	v026	de facto place of residence
hb0_1	1	-0.777288445545228	0.306896187932326	0.0118358243996867	0.00442824098403827	0.0305060786835002	hb0	index to household schedule
shcty_30	1	1.06735534637501	0.352596530286522	0.00268678648264929	0.00439047753054489	0.00737911959660947	shcty	county
v150_1	1	1.12001925785563	0.417933987977156	0.00777831429914202	0.00437631745827771	0.0206626890420126	v150	relationship to household head
scty_30	1	1.05192528506947	0.352996548135479	0.00312243710199006	0.0043606145906151	0.0085197442315972	scty	county
v305_07_0	1	15.9873738231205	0.422552972433813	1.882308e-88	0.00426043366508688	1.89969478072289e-87	v305_07	ever used method
hv101_1	1	1.11561666544452	0.418570056099005	0.00811553604530159	0.00425002035905919	0.0215357360948711	hv101	relationship to head
hv118_01_0	1	-1.30496924554986	0.524105126977906	0.013328454702197	0.0042370136370562	0.0340390311652653	hv118_01	eligibility for male interview
hv118_01_1	1	1.30496924554986	0.524105126977907	0.0133284547021969	0.0042370136370562	0.0340390311652653	hv118_01	eligibility for male interview
hv101_11_5	1	-16.8424578987044	0.693792714689475	3.511402e-44	0.00421801641981601	1.48554768114478e-43	hv101_11	relationship to head
v025_2	1	-0.973208642975711	0.36567610048732	0.00820809460083233	0.00370011100162959	0.0216215322137229	v025	type of place of residence
v026_2	1	-0.973208642975711	0.36567610048732	0.00820809460083233	0.00370011100162959	0.0216215322137229	v026	de facto place of residence
v025_1	1	0.973208642975713	0.365676100487319	0.00820809460083204	0.00370011100162937	0.0216215322137229	v025	type of place of residence
hv025_2	1	-0.980453101388684	0.365278579113741	0.00768295643090083	0.00367453426460984	0.0204309730273586	hv025	type of place of residence
hv026_2	1	-0.980453101388684	0.365278579113741	0.00768295643090083	0.00367453426460984	0.0204309730273586	hv026	place of residence
hv025_1	1	0.980453101388684	0.365278579113741	0.00768295643090086	0.00367453426460973	0.0204309730273586	hv025	type of place of residence
hv213_11	1	-0.98229985983869	0.391450389646482	0.0126299737376843	0.00349259190871354	0.032419942801635	hv213	main floor material
hv106_11_1	1	-16.8708464646604	0.699467849060607	1.04875e-43	0.00345907873008866	4.39251458333333e-43	hv106_11	highest educational level
hv214_31	1	0.952446688409221	0.36352390964742	0.00924703578735033	0.0034563804501816	0.0241557182262073	hv214	main wall material
v770s_0	1	14.9930901982152	0.475763587994333	7.490411e-76	0.00342384286785458	5.56905409556213e-75	v770s	seek advice its: other private
hiv02	1	1.29196901882941e-4	5.35649745649623e-5	0.0164772073150398	0.0031256206678576	0.0417411511922329	hiv02	lab number
v754jp_8	1	-1.59249171118099	0.55743848696825	0.00458453102439247	0.00310263133932731	0.0124281838881319	v754jp	get aids from mosquito bites
v770n_0	1	14.9781039257536	0.485580216062246	2.03631e-74	0.00298142721665484	1.45790513675214e-73	v770n	seek advice its: mobile clinic
v305_07_9	1	-14.9846936477949	0.448336893000962	7.735634e-80	0.00295646825381968	6.39462113223684e-79	v305_07	ever used method
mv213_1	1	-2.71602197213454	1.04349644605017	0.009723420987036	0.00295425197559918	0.0253474657058314	mv213	partner currently pregnant
hv125_11_0	1	16.7670879283767	0.707683687003166	2.895116e-43	0.00286283295333045	1.20255232826446e-42	hv125_11	member attended school during previous school year
hv125_11_1	1	-16.7670879296817	0.707683702647736	2.895122e-43	0.00286283295333034	1.20255232826446e-42	hv125_11	member attended school during previous school year
ha54_1_1	1	-15.3727690004897	0.250925109080274	8.102798e-170	0.00284229384811963	1.6968642985e-167	ha54_1	currently pregnant
ha54_1_0	1	15.372769001282	0.250925110897545	8.102814e-170	0.00284229384811951	1.6968642985e-167	ha54_1	currently pregnant
