name	estimate	se	p.value	Nag.r2	adj.p.val
hv003	-0.0636214285206553	0.154952011405426	0.681672762281424	4.16033638288571e-05	0.810933157820426
hv006	0.105906856445345	0.0365747842297191	0.0040668358038312	0.00206343692243938	0.0110486036486787
hv007	-0.665592020330801	0.449706959606712	0.139925120714043	0.000666311209825632	0.272582812677822
hv008	0.320084674522092	0.172746930977116	0.0648936658575169	0.00207882230280088	0.14317627945561
hv010	-0.603933375001911	0.264627419931501	0.0231892488166363	0.0039149650314706	0.0574105678526866
hv011	-0.0915990408857034	0.218210926847968	0.674956887914143	0.00014638327822547	0.80748666745596
hv012	-0.274440038151403	0.100552843631195	0.00672789903841213	0.00759733457549061	0.018024845597761
hv013	-0.256609761394105	0.0941055504006051	0.00677744274197509	0.00703527067747356	0.0181381401603657
hv014	-0.536047441262376	0.202679526055609	0.0086115991591059	0.00396071944683229	0.0225897167921014
hv016	0.0156156519586884	0.0222388204727195	0.483120652357607	0.000341820603724341	0.656615575648819
hv017	0.561195923204606	0.343053046717305	0.102929736758878	0.0011555661651429	0.215014487510441
hv019	-0.0127395941521984	0.0400597131403907	0.750698475299539	4.72279456124047e-05	0.856723555144297
hv022	0.00512057574708222	0.00393957947351298	0.194692045476659	0.000723295999953688	0.353257119337794
hv031	0.00196297243429281	0.00349849479308568	0.575161741727118	0.0001350835448517	0.729990634828408
hv032	0.00390749828613703	0.0761374506984903	0.959103963465577	1.20120276081437e-06	0.971866233947176
hv035	-0.576943527558416	0.221453106616955	0.00964590864779542	0.00376673803468719	0.0251715144671961
hv041	-0.249658924260069	0.167758961235769	0.137766261041605	0.0019903349709357	0.269421489492259
hv204	-0.000453373125735195	0.000700493129272395	0.517992911502897	0.000200332141148896	0.682957075869245
hv216	-0.185615199676639	0.230158073659002	0.420622520660874	0.000950908894432057	0.602636484846509
hv218	-11.4422046156674	0.658861337968219	4.998431e-47	3.45267426681284e-05	2.22321062513274e-46
hv220	-0.0535788622980562	0.0189056316292393	0.00491387005282758	0.0054117039660595	0.0132923094109319
hv238	0.00806629516953667	0.00651469189185556	0.217022450216498	0.00212146363704002	0.384339265253037
hv246d	-13.6390144475633	0.325097102020013	2.267992e-126	0.00208585144823459	5.42806085333333e-125
hv246e	-13.0065021109842	0.439612910364421	2.828681e-90	0.00085746874826087	2.97425746987448e-89
hv246f	-0.00501560815659473	0.0268780412482363	0.852097696164737	1.32866777257101e-05	0.915094662590591
hv246g	-0.121646333670044	0.161515238087342	0.451956202712627	0.000199660053581519	0.631682946282999
hv271	2.91604108939701e-06	1.34639888319975e-06	0.0311269049668579	0.00185072949859277	0.0747803682178007
hml1	-0.204046547772228	0.193163926919297	0.29167775650869	0.000343354038378041	0.474424726282419
shdv	-0.391564188712136	0.155540196272703	0.0123506521010673	0.00483194210591731	0.0317353667995727
shcd	-0.260886971431995	0.0875003282889337	0.00310697531957719	0.00715126510109687	0.00848677062836682
hv105	0.0193082060627588	0.0152084130665156	0.205237020108028	0.000598276474373938	0.366047289944268
hv107	0.174733245011095	0.116046102475438	0.133215659296897	0.00156463191220191	0.262771547733989
hv108	0.0624204449519027	0.0395298985692311	0.115391821368896	0.00121871756556469	0.234628117518512
hv123	0.865765413523847	0.414681259218885	0.0379787960789326	0.00778294489753373	0.0890305173007067
hv124	-0.145744268617815	0.0911098727324845	0.110745768208835	0.00211969686840141	0.226909017384249
hv127	0.346677177678234	0.210060307165919	0.100287762447145	0.00178612799807054	0.209844418842361
hv128	-0.170171973496492	0.101140046709809	0.0935226250341348	0.00231440051184195	0.197497778748555
