var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hv003	-0.778144664018557	0.564352983523596	0.168989413363881	0.00113423358916698	0.279787495357913	hv003	respondent's line number
hv006	0.00921573215612356	0.0429906980439371	0.830409468009802	4.88153104338807e-6	0.897788397654102	hv006	month of interview
hv007	2.04608520824211	1.05934121805245	0.054379516821797	6.50879584825903e-4	0.105925886188648	hv007	year of interview
hv008	0.586444310655109	0.208043927546902	0.00514452089626135	0.00342901666404383	0.0117368167988476	hv008	date of interview (cmc)
hv010	-0.266487485520763	0.339866437093037	0.433611524639771	5.32164904745058e-4	0.579825450244865	hv010	number of eligible women in hh
hv011	-0.217270558219566	0.218532691305282	0.320925627115257	3.7856413335402e-4	0.457291635906552	hv011	number of eligible men in hh
hv012	-0.100050718131714	0.111252951488118	0.369219395086446	7.46932966890657e-4	0.508910598989716	hv012	number of de jure members
hv013	-0.122734847976771	0.116298632413347	0.292129486900302	0.00110513756514119	0.4256055033663	hv013	number of de facto members
hv014	-0.41917818874083	0.299961699297235	0.163328118839788	0.00144414564913886	0.27167127336897	hv014	number of children 5 and under
hv016	0.0179308806185243	0.0274773805369511	0.514540786626513	2.45642139239499e-4	0.649987226676457	hv016	day of interview
hv017	-15.0824788783068	0.28095267698605503	1.322519e-154	0.0016732362759776	1.104303365e-152	hv017	number of visits
hv019	-0.0634900377982539	0.0489685475050088	0.195796855608002	5.69122713537928e-4	0.315415513374949	hv019	keyer identification
hv022	0.0060775312761748	0.00525858399766535	0.24872145696273	5.23589894777854e-4	0.379352371157071	hv022	sample stratum number
hv031	-0.00929106458654605	0.00499300889155702	0.0637617547313078	0.0015846431514227	0.121278052848843	hv031	field editor
hv032	-0.0121983712051279	0.0945803199767206	0.897466071430321	6.40049842504098e-6	0.937120679004983	hv032	office editor
hv035	-0.376376451131416	0.322248604633165	0.243759075709916	0.00100690003449899	0.374381658279178	hv035	number of eligible children for height & weight
hv041	-0.190668883176567	0.171062411007626	0.265919233063635	6.76325301321445e-4	0.394859323547366	hv041	total adults measured
hv204	-4.1084197591876e-4	8.13237767914071e-4	0.613799269257079	1.14779207633364e-4	0.730088874401226	hv204	time to get to water source
hv216	0.0430068882772354	0.203400033293076	0.832689506246226	3.78877918170151e-5	0.899216465498208	hv216	rooms used for sleeping
hv218	-10.1837586498121	0.685450122389237	1.088045e-37	1.92566660448534e-5	3.65355593163539e-37	hv218	line number of head of househ.
hv220	-0.0246870595737292	0.0153472121252738	0.10877649679121	7.54438146879477e-4	0.192423491537409	hv220	age of head of household
hv238	-4.04180133735299e-4	0.00742481173992955	0.956640480781452	4.49727847517956e-6	0.974536154679763	hv238	number of households sharing toilet
hv246d	-0.54916229566516	0.493439305087976	0.266642453156945	3.07417829751411e-4	0.39546438434467	hv246d	goats own
hv246e	-11.3531824985888	0.620394467246455	1.446861e-50	2.69596640669056e-4	6.39221658730159e-50	hv246e	sheep own
hv246f	-0.0497058111809501	0.0449387809213434	0.269590766153758	4.13496144629821e-4	0.398186833263658	hv246f	chickens own
hv246g	-13.9479408489996	0.387852816100814	4.837433e-110	8.56477646783316e-4	7.52656500931677e-109	hv246g	cs: own pigs
hv271	5.06084935646789e-6	1.59288088962044e-6	0.00164438501300267	0.00303596025446551	0.00388236046896483	hv271	wealth index factor score (5 decimals)
hml1	-0.493442781908273	0.338789632722502	0.146317879314257	8.58894351978057e-4	0.247988016023149	hml1	number of mosquito nets
shdv	-0.136666158856959	0.16563770463441	0.409984436966221	4.60360753909428e-4	0.554841174824626	shdv	line number of woman eligible for domestic violence
shcd	-0.119109189454942	0.100106949508407	0.235070848905068	9.47868653387918e-4	0.36192530824044	shcd	line number of child eligible for child discipline
hv105	0.061115957423167	0.025111728268176	0.0155343745336958	0.00308279332310268	0.0337791737907187	hv105	age of household members
hv107	0.168804734044434	0.185354972842164	0.363193951434929	8.44859808375675e-4	0.503720330402947	hv107	highest year of education
hv108	0.168955900703048	0.0555097045353842	0.00254654867901875	0.00456805031082885	0.0059285357257825	hv108	education in single years
hv123	-1.56377520465822	0.857357049937955	0.0694575063521029	0.00535697818333669	0.130831995654682	hv123	grade of education during current school year
hv124	-0.185670473140842	0.116794476876011	0.112965485312352	0.00156322550887666	0.198581432075398	hv124	education in single years - current school year
hv127	0.407909066923023	0.637789614187553	0.523077242932692	0.00107792423929531	0.658777523150525	hv127	grade of education during previous school year
hv128	-0.213165223191796	0.130807527560763	0.104247682412053	0.00164933241892162	0.186130038804129	hv128	education in single years - previous school year
hb0	-0.249595438123789	0.268109247943583	0.352639742023836	0.00142514011779238	0.492418735734552	hb0	index to household schedule
hb1	0.0582636875970562	0.0252108008633105	0.0215164909843683	0.00281144534272815	0.0454458768261742	hb1	men's age in years
hb32	-0.00481179025357574	0.00207611029187211	0.0211477141582094	0.00276355282137652	0.0447424188904684	hb32	date of birth (cmc)
hb35	-1.15960825599494	0.494113658724872	0.019592174400439	0.00248647051447803	0.0415566442617271	hb35	smoking
hb67	0.154292436744797	0.0909056255801235	0.0907017100949179	0.00262141436699403	0.165724131136229	hb67	man's highest year of education
hb69	-4.28422407066232e-7	3.31915454502519e-7	0.197794977793191	8.54357562938723e-4	0.317206414450668	hb69	hiv weight (6 decimals)
sh303	-0.0619538300348532	0.123066227573615	0.615049530703131	1.37738608590121e-4	0.731228796588203	sh303	selected child's line number
sh3mom	0.00350161896211041	0.0117540849812881	0.765993071541693	3.97592332285202e-5	0.850410016389913	sh3mom	mother's line number in hh roster
sh3ed2	0.197891710400839	0.100266730494751	0.0496079616457908	0.00482021433331925	0.097771789081594	sh3ed2	mother's highest grade at that level
v004	-5.06930752088798e-4	0.00304962723450165	0.868091703045464	1.5956860137889e-5	0.914453202745537	v004	ultimate area unit
v005	-5.66971554404663e-7	3.23249794129083e-7	0.0804699406596808	0.0015672818205279	0.149470200601742	v005	sample weight
