name	estimate	se	p.value	Nag.r2	adj.p.val
hb62_3?	-14.6117414120212	1.02751620201721	1.3783e-31	0.0234621652066028	4.5919789897511e-31
hb62_499994	-13.790853291392	0.576291176181666	1.1403e-69	0.00671945634067339	1.02559393280632e-68
hv008	0.23306711766104	0.130793695291134	0.0757064406320187	0.00178828039570056	0.145130586064161
hv009	-0.0246055109829995	0.0621623277416924	0.692496629641591	0.000176162928094414	0.797457530743644
hv010	-0.14024104304351	0.211682920549918	0.5081243481655	0.000565013401589542	0.648842286335912
hv011	-0.197712462593643	0.205487592576445	0.336694446588187	0.00084326280762681	0.492066932056146
hv012	-0.0180334883842174	0.0611942785624627	0.768419959651718	9.43681025410426e-05	0.854655547802416
hv013	-0.0403550895138064	0.0692231142462708	0.560323204975606	0.000435834082690212	0.695969133691043
hv014	-0.112333473734704	0.18000231895344	0.533028337351736	0.000417352911988744	0.670298967473819
hv016	0.0408063850361399	0.0314979985840105	0.196073592564753	0.00318096879149676	0.326263590406651
hv017	-0.0777793970245359	0.41444648220928	0.851253864265671	3.91542459280414e-05	0.912616333633232
hv019	0.066266939232807	0.0569821405331829	0.245719421254947	0.00209638413474089	0.38815310174636
hv028	1.92375091422144e-07	1.12447703871747e-07	0.088087891355234	0.00269165092087231	0.166067934365232
hv031	-0.00258821672310989	0.00405002572514885	0.523239896879381	0.000370539460914587	0.663304950055173
hv032	0.128426806304365	0.127887906950401	0.316034294794084	0.000272208193203727	0.470330959976415
hv035	-0.0979204684002329	0.203918999985029	0.631418271614139	0.000277266188550174	0.751579461579251
hv040	-0.00618500603619863	0.00221113636847609	0.00546669978384774	0.00893590887437923	0.0126097063944709
hv041	-0.0760243154876186	0.127131445439101	0.550264427682835	0.000390844411002789	0.686857687869146
hv204	-0.000612233809317487	0.000984663874146728	0.534536262734211	0.000590284417112286	0.671453086310625
hv216	-0.107746525902345	0.230882165415523	0.641051239246959	0.000692081815579115	0.758572507882335
hv238	0.0214620675098235	0.00706036451035904	0.00265425481110692	0.0252204444937419	0.00635095354644984
hv246b	-10.8740195127055	0.660103264963576	1.3916e-44	0.000218096791612998	6.32684475524475e-44
hv246d	-0.322243579614804	0.205024097167671	0.11700018179524	0.0013156814200771	0.211969676492889
hv246e	-0.424809003237874	0.316973549187115	0.181130042511685	0.000842169711801066	0.304402815166425
hv246f	-0.0852638196979917	0.0491575702742848	0.0837922995695973	0.00334517720075866	0.158560813031699
hv246g	0.00951336503419262	0.089193029313082	0.915125227019789	3.09466372072631e-06	0.955652801323327
hv271	3.91612702692216e-06	1.16166106970233e-06	0.000840280884963492	0.00531123730984284	0.00206485869733739
hml1a	-0.309574944150861	0.186769409252835	0.0983933833253029	0.00305487745640398	0.182696159736211
hml2	-0.593911045034632	0.446975035719031	0.184882363379265	0.00296426201045885	0.309907784802591
sh127	-0.00448954168501594	0.00319912847347407	0.161477923940679	0.00147182096299059	0.278788327713972
sh302	-0.206333251590229	0.141510088035514	0.146038991371305	0.00754602046015695	0.255526124463979
sh304	3.48644495839037e-06	1.64915742261894e-05	0.83273938034917	4.18234219751179e-05	0.900189292154174
sh311	-0.000633971272441046	0.000357307757626984	0.0769642486357882	0.00211163733331277	0.147169872076249
hv105	0.0261885668625466	0.018018976624467	0.147095980667928	0.00160478118181018	0.257079035337842
hv107	0.16197936852551	0.178614718497422	0.36518503396197	0.0018343397435977	0.521971447726421
hv108	-0.0108168187274619	0.0655500679111129	0.869035476608371	5.41493330318277e-05	0.926008066973706
hv123	0.150457175062933	0.0465510278509758	0.0014511581166013	2.28936906946364e-05	0.00352413051689035
hv124	-0.922078291628521	0.311631756044069	0.00331791258367575	0.0117219532649865	0.00782374101984888
ha0	0.0455475341522132	0.0904332609963779	0.614847501143938	0.000285923100625363	0.738578290782398
