name	estimate	se	p.value	Nag.r2	adj.p.val
hb62_3?	-15.5796628578353	0.931139535530069	1.1049e-39	0.0100863075628854	4.13741990049751e-39
hb62_499994	-13.6860993433388	0.661580437351451	9.3169e-59	0.00153979051557263	5.16893371007371e-58
hv008	0.0191540646681346	0.133096992354815	0.88566166996266	1.13621279562715e-05	0.929428251678727
hv009	-0.0384294831501977	0.0661374664758922	0.561612629688131	0.000357388341295395	0.69353093674367
hv010	-0.158189843973177	0.180754813472152	0.382141859604565	0.000542150514720618	0.53678153591733
hv011	-0.416210086150114	0.315568654014381	0.18813861916704	0.00283478114448188	0.310198614150549
hv012	-0.0475268894406903	0.0637232947145333	0.456316255822754	0.000528308303008984	0.609141061571255
hv013	-0.04041973355741	0.062808186154627	0.520333106602891	0.000386842537304921	0.660619710266701
hv014	0.0915809958942685	0.156275905899239	0.558274358623695	0.000290699966801533	0.691488481498795
hv016	0.00871950750509226	0.0189856307717033	0.646352987496287	0.000128404253323944	0.755884667840231
hv017	0.351196435912827	0.404242821693948	0.385620810402291	0.000931861408923207	0.540323791429335
hv019	-0.0307111291128036	0.0462003900644828	0.50669719003845	0.000381644036435258	0.650665035449761
hv028	2.36206046380897e-07	1.30599796930441e-07	0.0714478160409971	0.00347616765496828	0.136719634424213
hv031	0.000657516234966624	0.00451394928243929	0.884278994741182	2.18393707125397e-05	0.929000242847366
hv032	-0.0891415713719565	0.0518043748257795	0.0862656609052306	0.000376954157498277	0.160319228250215
hv035	0.0069693099489698	0.1951735632939	0.971537241754707	1.27531862392782e-06	0.982161906009682
hv040	-0.0011602445858331	0.00159090303334228	0.46635201107785	0.000543911249779261	0.617624786742735
hv041	-0.246738646939576	0.133860224543748	0.0662162833948129	0.00271132761678428	0.127791767440588
hv204	-0.000212223713223183	0.000805028474566233	0.792240405565067	7.32663420643931e-05	0.869020566318155
hv216	-0.155540394663745	0.138877648333045	0.263561543396074	0.000974519251530137	0.406226597261662
hv238	-0.0201870406094319	0.00880406900521686	0.0227887896114831	0.0141092366272649	0.0488671291004073
hv246b	-0.0386923190305165	0.212427387347947	0.85558525191757	3.26766304514781e-06	0.911493983878213
hv246d	-0.0901070911496793	0.198263298237073	0.649790111001223	0.000274141615155932	0.758648433630177
hv246e	-13.7692533136839	0.453767020045785	3.5178e-96	0.00160843830378155	5.02733696202532e-95
hv246f	0.0417167439615163	0.0241404377356316	0.084937568735398	0.00369853428428291	0.158270515206091
hv246g	-12.7280638414892	0.405474794915201	1.0389e-99	0.00129488095781205	1.62341605536332e-98
hv271	1.39788015717939e-06	1.02435242109212e-06	0.173322624575867	0.000610007620584163	0.291084035918414
hml1a	-0.374970888301817	0.191844757244028	0.051506297378402	0.00380493550800876	0.102242830312467
hml2	-0.459105690070814	0.301362292668643	0.12863766155691	0.00172346987316507	0.226050785671856
sh127	-0.00473664687293284	0.00393027810774892	0.229028775992705	0.00149975872940633	0.363292571964544
sh302	-0.137015710741577	0.0874561388572689	0.118469916677234	0.0025749348362788	0.211550076597228
sh304	1.091024207578e-05	1.26793946059941e-05	0.3903815391022	0.000408928179137957	0.543956504346046
sh311	-0.000474794703728603	0.000340433727275593	0.164080990696743	0.00127341918362034	0.278044935829828
hv105	0.0496344861116294	0.0242165607115143	0.0412174173388918	0.00525561777679007	0.0839214863401422
hv107	-0.111023713579837	0.156540257511887	0.478726286357772	0.00083152136170439	0.62737315995116
hv108	-0.0300994461914871	0.0551119628744943	0.585342795823627	0.000349471630467946	0.712125017763874
hv123	0.0281003723450771	0.0120024002203149	0.0203531925794583	0.000540393122165361	0.0439154408451188
hv124	-0.0519010409879076	0.102922942831719	0.614418077162982	0.000605498804674087	0.731342128747503
ha0	0.010151154404262	0.101996835501777	0.920784385586475	9.35982954075598e-06	0.95152315751125
ha1	0.0445490849838139	0.0221008642405928	0.0446651383102203	0.00438973672629484	0.0900753012856422
ha2	6.12212786453853e-05	0.000116869586148205	0.600750565125835	1.32690623814158e-05	0.721731724423589
ha3	0.000215529584787598	0.000103863089350078	0.0387730311582388	0.000121140567278855	0.0794460112117089
ha4	0.000110483715958602	6.56763277086192e-05	0.0934966955221815	0.00195079613265381	0.171988218728379
ha5	2.91394276529312e-05	7.33340837588967e-05	0.691372986240662	6.20948243423847e-06	0.789840730043721
ha6	-6.25194094846362e-06	7.96691880529498e-06	0.433187970636501	1.30210086347615e-05	0.588491754451948
ha11	-0.000263724478698611	0.000400881393560505	0.511100017601908	0.000107103415623144	0.652416196549704
ha12	-3.83938212970316e-05	5.30925267380794e-05	0.470116418338492	0.000190254454462191	0.619867370866169
ha12a	-1.1091895044889e-05	2.15803950524356e-05	0.607620593535884	4.23437355970835e-05	0.727276596980666
ha12b	-3.65318008511331e-05	4.99759527104362e-05	0.465321628535428	0.000250456723949299	0.617511746831029
ha32	-0.00362709226427953	0.00185794249658807	0.0517851885558984	0.00421637549822451	0.102661067391763
ha40	-2.77245558538788e-05	0.00015688186505716	0.859838159218431	5.48456045990076e-06	0.913868940228391
ha41	-0.000235685080310151	0.00032915526698027	0.47449494064158	0.000165823522876751	0.624364554760307
ha67	-0.118273528418014	0.154286674926183	0.443932336245716	0.000933173188393588	0.598811262929464
ha69	2.42423623258126e-07	1.38135289874873e-07	0.0802209813249077	0.0034400810415639	0.15101206822146
ha70	0.000718038657182258	0.00452006700110357	0.873882728395648	2.62509394772792e-05	0.923795505953826
hmlidx	-0.235321983488637	0.502043129763371	0.639636326000728	0.000223239661100494	0.750675064506052
hml4	-0.0689727005001092	0.0365373411840478	0.0601186131589618	0.00471623541103539	0.117276741695841
hmlb	-0.0236594997397452	0.123196699783589	0.847850644174834	2.77334995854028e-05	0.905175770471288
hmlc	0.0753245185177902	0.213548868965191	0.724626043226979	0.000335927416330373	0.815655835297367
hml16	0.0445490849838139	0.0221008642405928	0.0446651383102203	0.00438973672629484	0.0900753012856422
v004	0.00151689827367765	0.00250629367396322	0.545451403849148	0.000435615383960086	0.678583619774863
v005	2.53596798608805e-07	1.39030732587202e-07	0.0690794397627542	0.00349827821851068	0.13246825901002
v006	0.00912821436638039	0.131729197313763	0.944797847420183	2.6045524957885e-06	0.966750843371676
v008	0.00912821436640004	0.131729197313829	0.944797847420092	2.6045524957885e-06	0.966750843371676
v012	0.04454568054317	0.0221005804791984	0.0446786259698491	0.00438910940509951	0.0900753012856422
v016	0.00876205445430505	0.0192080863091154	0.648580845078552	0.000128378590002809	0.757432401441619
v018	-0.00912821436637978	0.131729197313761	0.944797847420186	2.60455249567748e-06	0.966750843371676
v019	0.00912821436637985	0.131729197313768	0.944797847420189	2.6045524957885e-06	0.966750843371676
v021	0.00151689827367765	0.00250629367396322	0.545451403849148	0.000435615383960086	0.678583619774863
v027	-15.0555196495313	0.34755641405689	6.7771e-136	0.00266944063880614	3.60063336470588e-134
v028	0.000548833904911763	0.00449257404994509	0.902845274776058	1.52072161935246e-05	0.94075894344455
v029	-0.0307111291128036	0.0462003900644828	0.50669719003845	0.000381644036435258	0.650665035449761
v030	0.000657516234966631	0.00451394928243928	0.88427899474118	2.18393707125397e-05	0.929000242847366
v031	0.000657516234966624	0.00451394928243929	0.884278994741182	2.18393707125397e-05	0.929000242847366
v032	-0.0890076498993537	0.051872198639735	0.0871477031075219	0.00037539606248127	0.161758745266572
v040	-0.0011602445858331	0.00159090303334228	0.46635201107785	0.000543911249779261	0.617624786742735
v115	-0.000214121598850869	0.000803350296093721	0.789998272790181	7.60139914217639e-05	0.866982308607645
v133	-0.0317392222037865	0.0563672296195804	0.573775167558162	0.000363046977671533	0.702213728100992
v136	-0.0384294831501977	0.0661374664758922	0.561612629688131	0.000357388341295395	0.69353093674367
v137	0.0915809958942685	0.156275905899239	0.558274358623695	0.000290699966801533	0.691488481498795
v138	-0.158189843973177	0.180754813472152	0.382141859604565	0.000542150514720618	0.53678153591733
v191	1.39788015717939e-06	1.02435242109212e-06	0.173322624575867	0.000610007620584163	0.291084035918414
bord_01	0.0532147733922842	0.0801271169831614	0.507085736746426	0.00055759118257992	0.650752823855317
bord_02	-0.00367912711682361	0.109578404057947	0.973237088570955	2.36667775244115e-06	0.982812766544372
bord_03	0.0729969610461543	0.0775703205852365	0.347418213408965	0.000775896016126598	0.4995035503836
bord_04	0.0294882348361892	0.0994318207840828	0.767003402900382	0.000109655153912591	0.847513424883319
bord_05	-0.0513226620994919	0.113294045471777	0.650905640593513	0.000281488927953433	0.759654029484408
bord_06	-0.111802751051478	0.0731042068898857	0.127508462214585	0.00110853745864559	0.224669611923943
b1_01	-0.0118669671005541	0.0551989858897286	0.829915773937528	4.4339986872366e-05	0.896608323272698
b1_02	0.0733345997561356	0.0812163399503083	0.367240394799054	0.00177215821198728	0.520708829799852
b1_03	0.103445997048767	0.076069328402053	0.174855788657272	0.00331881594130456	0.293113861015679
b1_04	0.101614049986373	0.115535803669009	0.379837436019723	0.00353254170627793	0.533876707458783
b1_05	-0.002794310026669	0.105307473083042	0.978850183392569	2.98462565018198e-06	0.986699071293365
b1_06	-0.0231543701448379	0.103884502013923	0.823816439384415	0.000209433370533585	0.89281378455964
b2_01	-0.0259504756057691	0.0304104798847467	0.394109134009703	0.000453116747960225	0.547800780300187
b2_02	-0.0189657090431704	0.0410096772891036	0.644064231748197	0.000328174939012715	0.754694880792646
b2_03	-0.0109282112273534	0.0389423981390323	0.779185818064059	0.000106681705621003	0.857826219984712
b2_04	-0.024127560647645	0.0434109005812323	0.578768050456587	0.000563487371057936	0.706409869151878
b2_05	-0.0481790232512014	0.0384867656815295	0.211702028838313	0.00263235184428934	0.342423482175437
b2_06	-0.0221901792935475	0.0560582512964364	0.692578108511925	0.000538796923077123	0.790629573808203
b3_01	-0.00220559109457933	0.00256098593579053	0.3897576993087	0.000471091291836423	0.543588520462343
b3_02	-0.00141373386121523	0.00348634370684338	0.685380770784323	0.000257926648304263	0.78617718081331
b3_03	-0.000665218254674262	0.00326745139631365	0.838808437049514	5.5975489778981e-05	0.901035939969373
b3_04	-0.00177259450411677	0.00359192055872494	0.622026431004676	0.000432340013541421	0.738257913907258
b3_05	-0.00404249339984281	0.00326253046243866	0.216384949743554	0.00265558027120893	0.347756025993555
b3_06	-0.00189624173319849	0.00473558656078408	0.689205080538706	0.000569726510829538	0.788960746188288
b8_01	0.0425911599231397	0.034305203368471	0.215325502464438	0.00112698268365419	0.346793854896363
b8_02	-0.00573523662727456	0.0517858969755715	0.911886590192342	2.15504273516354e-05	0.946685020990487
b8_03	0.0255486672904187	0.036249355864193	0.481474019687008	0.000632939467729465	0.629205898859845
b8_04	0.046527632964726	0.035550079953907	0.191678243051932	0.00233834274252809	0.314541768031441
b8_05	0.0278790689367667	0.0490136225675741	0.570015522163633	0.000823181832872	0.6987486694058
b11_01	-0.00126015033915202	0.0145297544253295	0.930942068371651	3.35643287010523e-05	0.958534970534969
b11_02	-0.00603468554516987	0.0113706428594385	0.595990514339493	0.00043129961271049	0.717599719700445
b11_03	0.00131584102607784	0.0109695889532616	0.904600781827348	2.39848115604069e-05	0.941936161109593
b11_04	-0.00145765765372204	0.0187219772881338	0.937997959774947	2.30752885646002e-05	0.963478820213626
b11_05	-0.000148127301919349	0.011745834821109	0.98994875941929	2.62244831850111e-07	0.993247855484895
b12_02	-2.23376634068586e-05	0.0140705507276992	0.998734326033701	1.081e-08	0.999398230970129
b12_03	-0.00655474904176898	0.0116034931854394	0.572555418297651	0.000503698426694399	0.70110094062695
b12_04	0.00103137521528601	0.0109921812531024	0.925308782095611	1.46585057828608e-05	0.954693730853045
b12_05	-0.00114274978467076	0.0182106195035715	0.950010039877951	1.45083581265526e-05	0.969841989031761
b12_06	-7.24506870952033e-05	0.0117155954269645	0.995071017126252	6.20907023574091e-08	0.99727934162054
v201	0.122245470706961	0.0612232003136883	0.0467025802704888	0.00303598497811153	0.0937789473105947
v202	0.134286882028795	0.182892743171557	0.463341085012881	0.000480962833354193	0.61560704322394
v203	-0.210550924696267	0.202498959382014	0.299234991973851	0.000750014490892514	0.448396057830943
v204	0.562303186139599	0.146768595401043	0.00015346140476172	0.0129437201479961	0.000368633885055281
v205	0.00511808809766251	0.198604922355418	0.979456695614698	3.8702028670734e-07	0.986699071293365
v206	0.177243997571314	0.145648722598217	0.224528377156822	0.000505230573819015	0.358419989833937
v207	0.244426763554472	0.252292598545452	0.333365395094457	0.000544198476895241	0.485638104595667
v210	-11.8310102262903	0.545820816790381	9.5338e-65	9.92691067871476e-05	5.9222339477304e-64
v211	-0.00186146076601495	0.0021013687335447	0.376372964632132	0.00120340461670976	0.530990411833398
v212	0.00341031283105642	0.0464026286940241	0.941458969525663	3.89235199516058e-06	0.965840233161721
v215	-0.00434200164988296	0.00331557669149056	0.191305711722039	0.00424928737975494	0.314044563481181
v218	0.157789142095991	0.0825395788114767	0.0568103948643951	0.00311643619095525	0.111691660081675
v219	0.159146160213091	0.0803248408275245	0.0484153090410817	0.00317405978070495	0.0968583907572014
v222	0.00222804834349414	0.00254942499617061	0.382805490276532	0.000482303404003237	0.53737941998409
v224	0.122245470706961	0.0612232003136883	0.0467025802704888	0.00303598497811153	0.0937789473105947
v226	-0.000345132913738119	0.000722210162194036	0.633059839824191	0.000164793436183364	0.746811299589903
v229	0.247098321202565	0.136893629872517	0.0724942141008257	0.0191568440833405	0.138194964491063
v230	-7.44198700405646e-05	0.000134556284945172	0.580796781857409	6.0737708919012e-06	0.708131577097691
v231	0.000231514329614574	0.000148993863447292	0.121718474162935	0.000354910904812433	0.216069429764078
v238	-0.372201017217338	0.392176458382692	0.343303657316752	0.000909605381655632	0.495480765881257
v315	0.00881624776338173	0.0597638508025276	0.882863985450736	2.4653784146178e-05	0.928508094619358
v316	0.00210926036551099	0.0970001478463018	0.982671981386016	4.12316125908418e-07	0.987922232399655
v317	0.000408066878100948	0.00819212471706754	0.960319250416185	2.09113056848231e-06	0.974562187613369
m1_1	-0.203986370248684	0.181911743846384	0.262991163911391	0.00125723784575948	0.405485864193869
m6_1	-0.00743100873307601	0.00598692134932458	0.215449880329833	0.00133927593659866	0.346870466869706
m6_2	0.0159986581796422	0.00836698323891411	0.057061750875114	0.00332029069822759	0.111942166356218
m7_1	0.0123800736878632	0.013880978760946	0.373139487095578	0.000331638869808359	0.527252166371599
m7_2	0.0160580221518682	0.00616097269791741	0.00972710147292229	0.00168460354316369	0.0218981008233884
m8_1	-0.00704097971302536	0.00610533714528635	0.249679372533109	0.00144862533228718	0.388275498057686
m8_2	0.0299281460857225	0.0131666971228594	0.0239172307900259	0.0135622443900506	0.0509482142678099
m9_1	0.0188883844173102	0.0101475277265873	0.0636191968853467	0.00140499658296067	0.1235602910088
m9_2	0.0199365615954236	0.00962363869894047	0.0393781534475423	0.00364997825137914	0.080612756558976
m13_1	0.00271938891219379	0.0322642965798426	0.932883389133405	1.8300341614319e-06	0.959892508838386
m14_1	-0.00461979300431751	0.0278447741502919	0.8683319966188	2.25975131092904e-05	0.920081486797396
m19_1	0.000242450634688989	0.000122437064729452	0.0486253311082162	0.00625315820232875	0.0971536693130044
m34_1	-0.00977205883929527	0.00625515034973543	0.119288739594693	0.0056786897486174	0.212843914662044
m39_1	0.146058545501197	0.154691185019776	0.345878576246813	0.00053276203733732	0.497765344273616
m46_1	-0.00250297635785332	0.00328120308788919	0.446166512746199	0.000704575186735168	0.600026197606264
m51_1	0.0087284558615613	0.00648292891214432	0.179425792620787	0.00421213557974187	0.298448206068315
m61_1	8.92408385136971e-05	0.00621994357559024	0.988564943708315	4.49677525660164e-07	0.992773991248719
m71_1	0.00125734818263113	0.0058307631002505	0.829448197905206	0.000351383777180025	0.896335980315844
v417	-0.00899943706193692	0.253679705092607	0.971722629772201	1.0453209782213e-06	0.982161906009682
v418	-0.00899943706193692	0.253679705092607	0.971722629772201	1.0453209782213e-06	0.982161906009682
v419	-0.00899943706193692	0.253679705092607	0.971722629772201	1.0453209782213e-06	0.982161906009682
v437	6.12212786453853e-05	0.000116869586148205	0.600750565125835	1.32690623814158e-05	0.721731724423589
v438	0.000215529584787598	0.000103863089350078	0.0387730311582388	0.000121140567278855	0.0794460112117089
v439	0.000110483715958602	6.56763277086192e-05	0.0934966955221815	0.00195079613265381	0.171988218728379
v440	2.91394276529312e-05	7.33340837588967e-05	0.691372986240662	6.20948243423847e-06	0.789840730043721
v441	-6.25194094846362e-06	7.96691880529498e-06	0.433187970636501	1.30210086347615e-05	0.588491754451948
v442	-3.83938212970316e-05	5.30925267380794e-05	0.470116418338492	0.000190254454462191	0.619867370866169
