name	estimate	se	p.value	Nag.r2	adj.p.val
hb62_3?	-16.1447254827462	1.05586770244029	1.063271e-27	0.0178946069816504	2.88971938142471e-27
hb62_499993	-15.0767248003368	1.04390236694521	6.36679e-35	0.00309454451899072	2.12038729944751e-34
hv008	0.365124267523812	0.1892035042617	0.0545241318521913	0.00224191069149771	0.0991766646967439
hv009	-0.0139737342941992	0.0582721863094632	0.810639439639744	3.11045063906557e-05	0.878129445800323
hv010	0.208478512411409	0.17813584597137	0.24274549778409	0.000737329493294858	0.365269560819395
hv011	-0.172879617570391	0.213192366785253	0.418026300439489	0.000416987089746246	0.560073390743586
hv012	-0.00308843252340608	0.058171318406851	0.95769203507786	1.50007581001255e-06	0.969498730708277
hv013	-0.0114930875801825	0.0573785193078319	0.841372084116895	2.0455807469455e-05	0.895559615806204
hv014	-0.526265957961404	0.308877465724723	0.0893981188272581	0.00298607947474483	0.154943030560872
hv016	0.0169877611284608	0.0328592651377984	0.605526842604202	0.000317403065380528	0.727404505224816
hv017	0.317505185545284	0.389331512306684	0.415390633066865	0.000520190309480029	0.558483660009677
hv019	0.0470213279038856	0.0619110968288625	0.448119379058823	0.000573323765310718	0.589797023827765
hv028	1.77708271202439e-07	1.79279362969967e-07	0.322326052100944	0.00110050249316818	0.462413285553724
hv031	-0.00694085547146467	0.00609644116247941	0.255767518865393	0.0014267322089685	0.381625396960542
hv032	0.45653929034525	0.669554796751187	0.495828508195718	0.000727231378371496	0.632822076478526
hv035	-0.541902435655988	0.339921239417726	0.111887764843692	0.00254989404896966	0.187662617272614
hv040	-0.0071338193642155	0.00277951820863933	0.010729969796217	0.00542272235108654	0.021459939592434
hv041	0.0201067522631639	0.117186141522506	0.863877515928619	1.75910017532477e-05	0.906215365056927
hv204	-0.00110473072629661	0.000837675134433841	0.188186011340546	0.000903573099128585	0.295566773413447
hv216	-0.355713031939714	0.237363003917209	0.134971661351591	0.00267505292008441	0.222540802688017
hv238	-0.0156298030681369	0.00834151617593632	0.0623826804818956	0.00661768771598092	0.111784422694669
hv246b	-0.0594217679143331	0.209919432024185	0.777308396519613	5.0569699172609e-06	0.861333317697867
hv246d	-0.165102152101873	0.135487421255539	0.223910041348858	0.000483214476066696	0.341000138561389
hv246e	0.0518369557344971	0.0816667738582324	0.52605753220452	4.26050919409837e-05	0.65899310143991
hv246f	-0.354721450251581	0.16144322580338	0.0287301433931872	0.00575794678543284	0.0551545555331632
hv246g	-13.3160285955371	0.526855018309933	5.85292e-78	0.0010507776638472	5.6002225015873e-77
hv271	3.78500963466314e-06	1.64068254382393e-06	0.0217005876380011	0.00304507230034645	0.0423885749455187
hml1a	0.113940679031346	0.226775061812464	0.615707460371172	0.000333857193744902	0.737576425102827
hml2	-0.71357391040328	0.465127253602512	0.12599072926862	0.00149588192260919	0.209220968603648
sh127	0.000129841375841458	0.00247773251579817	0.958240450822813	1.27371383806807e-06	0.969498730708277
sh302	0.0473133557305001	0.0201778218297583	0.0198660140776061	0.000857184207985862	0.0389311875356988
sh304	-0.00029297918892259	0.000100801773930488	0.00401222692791375	0.00157978064566666	0.00833415021415027
sh311	-0.00014591052148075	0.00049172282540095	0.766865096612748	0.000305260996266488	0.8528980826974
hv105	0.0188965593685572	0.0308255272190332	0.540304922414626	0.000512716086675025	0.671537746869148
hv107	0.109446128843371	0.15796396498197	0.48891101834176	0.000702591264772567	0.62892778885278
hv108	0.0527273387316078	0.0269383428533908	0.0511854418558399	0.00302072590078473	0.0937259548927712
hv123	0.24485206431202	0.494254872996924	0.620843326154463	0.000996188765614914	0.741371547159093
hv124	-0.0783258383122017	0.0966302504783196	0.418219233477132	0.000990771176187843	0.560073390743586
hb0	0.0889164351962911	0.108453660970523	0.412913942291494	0.000755017129150493	0.55608696249623
hb1	0.0204653871015459	0.0312053152751279	0.512409108216504	0.000592373841615923	0.647276216330487
hb2	0.00222460636842551	0.00257452127703912	0.388194298593381	0.00073036251230385	0.533037638250775
hb3	1.88496464776671e-05	0.000142264347852108	0.894674995494821	1.06946414479836e-06	0.925519886622936
hb4	0.00013447365764488	9.33942637870763e-05	0.150896865832941	0.0020022998770135	0.245044802597244
hb5	2.74851880359329e-05	0.000113033246238974	0.808038557485797	4.06956135245995e-06	0.877631788202592
hb6	-6.7599605873805e-06	1.2429250160515e-05	0.586909674310397	1.11076248805464e-05	0.709280576732773
hb11	-0.000176401347752031	0.00039476909268392	0.655290728308779	5.05612873257233e-05	0.769538636273407
hb12	-1.74578128233234e-05	5.09030117933503e-05	0.731854156828113	4.7792281152037e-05	0.826764778365792
hb12a	-1.10099542290575e-05	4.34105419732122e-05	0.799950485794076	2.63601919798795e-05	0.875154542353301
hb12b	-3.83616057007855e-05	0.000181185746331964	0.832457411152294	0.000119752453270672	0.890838155228175
hb32	-0.00169896662308833	0.00253173184243516	0.50266527675076	0.000589257695723155	0.638984877320452
hb35	0.0339938032620264	0.0216693935579263	0.117704442050561	0.000633866365346458	0.196761613056235
hb40	-4.21486641747549e-05	0.000454475736596107	0.926167680152046	5.94846956702977e-06	0.94786736433897
hb41	-0.000397745770056145	0.00157428702087603	0.800701378598359	0.000150052764043451	0.875598561533828
hb69	1.84669470426866e-07	1.7495022437639e-07	0.29197566573397	0.00126506932363724	0.426363690175477
hb70	-0.00685429225277228	0.00613347480620959	0.264617484144935	0.00139322217298787	0.393660956176127
hmlidx	0.657508144882129	0.433482544439026	0.130594898964993	0.00635296355470316	0.215796614846759
hml4	-0.0117141906058962	0.00767533557894122	0.12825219887817	0.00104764577686489	0.212508041461685
hmlb	0.200692540440495	0.158895605489688	0.207868258448018	0.00526606594125845	0.320467995377149
hmlc	-0.171778531055212	0.289847926640961	0.554131030816299	0.00163517962671589	0.683706421412736
hml16	0.0204653871015459	0.0312053152751279	0.512409108216504	0.000592373841615923	0.647276216330487
v004	-0.000661302346010393	0.00191071600254668	0.729495765634781	5.13264686414772e-05	0.825028231753557
v006	0.455280799554814	0.230461799111576	0.049076760247389	0.00339024020917633	0.0904693305111411
v008	0.455280799554804	0.2304617991116	0.0490767602474173	0.00339024020917633	0.0904693305111411
v016	-0.0267138043611877	0.0338936014424326	0.431188244707343	0.000777178283627111	0.57280629802416
v021	-0.000661302346010393	0.00191071600254668	0.729495765634781	5.13264686414772e-05	0.825028231753557
v027	0.442454255691821	0.574218964470637	0.441558083533835	0.000919934554340363	0.582941771253166
v028	-0.00690878904751354	0.00609611663153406	0.257940547054952	0.00141189542562747	0.384677292837024
v029	0.0470213279038856	0.0619110968288625	0.448119379058823	0.000573323765310718	0.589797023827765
v030	-0.0069408554714647	0.00609644116247945	0.255767518865393	0.00142673220896838	0.381625396960542
v031	-0.00694092763994589	0.00609643169726851	0.255761849584876	0.0014267639400708	0.381625396960542
v032	0.45653929034525	0.669554796751187	0.495828508195718	0.000727231378371496	0.632822076478526
v191	3.78500963466314e-06	1.64068254382393e-06	0.0217005876380011	0.00304507230034645	0.0423885749455187
v201	-0.0316075806115037	0.0778068756384363	0.684846822926461	0.000112725390560509	0.793285289892526
v202	0.194030186698483	0.152048424044358	0.20285157840281	0.000583699359817946	0.314354950142081
v203	-0.729163763271392	0.334878785670402	0.0301882131480818	0.00272338501945701	0.0578064005262507
v204	-0.261957062775337	0.323281720632695	0.418372304150413	0.000535738536446617	0.560073390743586
v205	-0.0588435532004406	0.202584653325468	0.771651198048371	3.94252678759255e-05	0.8565101792656
v206	0.167316611212306	0.340601677279619	0.623597792052978	0.000157292026757738	0.743482494164429
v207	0.0684195014175523	0.397538147954699	0.863462434535873	2.32932938420971e-05	0.906215365056927
v212	0.0494845229320968	0.0255771940316289	0.0539322225325146	0.00140743219442907	0.098396924160411
v218	-0.0670504639412316	0.096644879180099	0.48832708431128	0.000314743266899842	0.628444847187958
v477	-0.0489343175860475	0.133992216978579	0.715241856351081	0.000313811564622068	0.813486398129116
v478	-0.048806215530258	0.133062557804887	0.714058677301544	0.000316311023921045	0.812447283271746
v507	-0.0581904422732691	0.126672351612537	0.646291339372604	0.000592989394700205	0.761204414563903
v508	0.0446949204974331	0.0301630891635459	0.139435878656654	0.00155935127046569	0.228402031669106
v509	0.00364082388175457	0.00263137033673873	0.167489109413881	0.00148975081690739	0.268089312678405
v511	0.087453779342619	0.0470954027802611	0.0642854583627578	0.00526250990074906	0.114784580275682
v512	-0.0435046891226683	0.0328351545236278	0.186185273033882	0.00147215743176665	0.293188303513125
v525	-0.00428602196295412	0.166145915582243	0.979435698473031	1.9873729439901e-06	0.984991389789028
v527	-0.00858280180165143	0.00438404616385659	0.0511817251768875	0.00618632539185349	0.0937259548927712
v531	-0.00108587124827735	0.167292171845672	0.994825156573837	1.26096325381297e-07	0.996147183359982
v603	-0.00699611067392181	0.0101079681301293	0.489597370398551	0.000666261320153128	0.629185372898906
v613	-0.209626798796111	0.134887778454848	0.121162397513619	0.0025571439919686	0.201870351634078
v614	-0.248119296122306	0.196735598491688	0.208170805530764	0.00171800160463009	0.320770351671637
v627	-0.208751381140392	0.211747092959797	0.324957397253384	0.00136290421478213	0.465062485907739
v628	-0.291138113546294	0.204383062210001	0.155293333543965	0.00173454203697898	0.2515067744769
v629	-0.0385458012821078	0.151289905390288	0.799057416670214	3.71088797856967e-05	0.87449493603632
v766a	-0.073297411047648	0.19337117222534	0.704904236392855	7.34992158764047e-05	0.808686605795071
v766b	0.0191427381632161	0.0460488680193669	0.677907247142837	9.25491370840081e-06	0.787668636425794
v834a	-0.0404444302229091	0.0301534004035032	0.180792827742902	0.00168284913301608	0.286342397696851
v834b	-0.000555501761822554	0.0232745764363185	0.980983228628875	1.46445992399435e-06	0.986218629448775
v836	-0.00740812838770858	0.0212751617985806	0.727920679849849	0.000149544675030477	0.82417465404487
v852a	0.00449085414523845	0.00107134409349085	3.5997222382805e-05	0.00240324194247155	7.73863254363582e-05
v853a	0.005695402747549	0.00702112749763359	0.417872485956517	0.000677285541376804	0.560073390743586
v801	0.000581938282475623	0.000386488251233345	0.13313802381082	0.00133791184393228	0.219637659422995
v802	8.31233979275742e-05	0.000101787067626356	0.414747420116121	9.2594736126772e-05	0.558057466174102
s1010	0.0193734886512155	0.0127671787320199	0.130228946409215	0.000541281204496147	0.215309953086876
mv005	1.75632337802508e-07	1.77132329683827e-07	0.32218220199509	0.00108876248176171	0.462413285553724
mv009	0.0211796160725742	0.0872477004393438	0.808353960093567	7.18456707778925e-05	0.877658082032425
mv010	-0.0205826014529439	0.0298044177617501	0.490329228708208	0.000600782511580245	0.629408984380979
mv012	0.0204653871015459	0.0312053152751279	0.512409108216504	0.000592373841615923	0.647276216330487
mv034b_1	-0.054642602235992	0.0262260060050126	0.038046657441846	0.00262292978887235	0.0715362604677005
mv133	0.0471123831990501	0.0131615022833882	0.000398048538890793	0.0030760414684291	0.000846660759503776
mv136	-0.0139737342941992	0.0582721863094632	0.810639439639744	3.11045063906557e-05	0.878129445800323
mv138	-0.172879617570391	0.213192366785253	0.418026300439489	0.000416987089746246	0.560073390743586
mv245	0.10278480295814	0.266989079707031	0.700512211871128	0.000164705178047453	0.80585641472503
mv247	0.0369698957005254	0.017280671648347	0.0331832884866726	0.00113185226965629	0.0630210658467746
mv505	-0.574596463461649	0.789234258890715	0.467153247170689	0.000286827777807419	0.606395504625936
mv616	-0.00699611067392181	0.0101079681301293	0.489597370398551	0.000666261320153128	0.629185372898906
hv105_02	0.00408404887690957	0.0136992247508219	0.765806115650752	5.28073717592781e-05	0.852655941105049
hv105_03	0.0190827398622669	0.0227078837977802	0.401347413776881	0.00126295656414854	0.54562972716442
hv105_04	-0.0160214412663501	0.0229315050120022	0.485285177460098	0.000352749073725733	0.62533113504264
hv105_05	-0.0125903767553598	0.0138976734167031	0.365695318424804	0.000280153638688385	0.511227128818349
hv105_06	0.0173317190315328	0.0134589997334422	0.198895299733605	0.000818892270708194	0.309964029677914
hv105_07	0.00654039209720961	0.0184598541021444	0.723406515130894	0.00013140274639234	0.820296176299667
hv105_08	-0.0706606544060399	0.0805325139012277	0.381248369413443	0.00330819471719279	0.526108827696364
hv105_09	-0.0299248839148977	0.0174906474321993	0.0889774493840325	0.000343625594556918	0.154302665387499
hv105_10	-0.0640943493980876	0.0493054383173948	0.196090783255694	0.00208247106847048	0.306544409093704
hv105_11	0.0256873086356995	0.027882174234516	0.359394493306403	0.00117984306260033	0.503820931546744
hv107_01	0.12768842484938	0.150871201572565	0.398013498750372	0.00108835812509323	0.542825289381869
hv107_02	0.0054945422084677	0.0321121436371934	0.864259457101897	6.29686874376034e-06	0.906215365056927
hv107_03	-0.196719843638724	0.165709435878786	0.236155139530546	0.00206913502631667	0.356242037309843
hv107_04	-0.11376316324237	0.126481632704539	0.369194557896697	0.000671667701871992	0.513973393764732
hv107_05	0.0974168600278662	0.22094179288544	0.659647098866888	0.000816208223304749	0.772107322712544
hv107_06	0.364744117413423	0.251053749355858	0.147715833716036	0.00824300518367926	0.240401591325113
hv107_07	-0.188755753454056	0.107515060793152	0.0809541262399569	0.00183577088058107	0.141693226763781
hv107_08	-0.281971927497243	0.0652363673952952	3.12089610813043e-05	0.00148683815787065	6.71404773012499e-05
hv107_09	-0.23809523941702	0.0726398564832429	0.00141165394146274	0.000632175407695112	0.00296496514255658
hv108_01	0.105561876548486	0.0473854721425327	0.0266002990556463	0.00382804532607228	0.0511793261707895
hv108_02	0.0120840544994857	0.0307885605904327	0.69496518290872	9.9668984217427e-05	0.801003847528444
hv108_03	-0.0792991864385199	0.0783465589123438	0.312241257913597	0.00167597804342334	0.451148202948984
hv108_04	2.08897503778787e-05	0.0303791545385702	0.999451789489759	2.129397e-10	0.999451789489759
