name	estimate	se	p.value	Nag.r2	adj.p.val
b0_04_1	0.51982682409221	0.673551868788135	0.440804908500097	0.000814107392343888	0.70279273147657
hv106_1	0.14513872641079	0.17349474909992	0.403283096491937	0.000555775125103741	0.671856469184157
v217_1	0.748996189869831	0.390535193957999	0.0557599548237643	0.00270249604865735	0.174382958725908
m34_1	-0.000384276181554895	0.00232422428532119	0.868769692820616	4.21700791003454e-05	0.942605820794976
hw10_1	7.3148912300129e-06	3.65935216598231e-05	0.841670429773138	4.93150733928971e-05	0.927200898840106
slinterv_1	0.513503646921969	0.260516476838956	0.0493235752323726	0.00273560748770352	0.160154957456258
hv106_3	-14.1050474708153	0.675698874904562	3.2731e-68	0.00231502836420938	6.31316951086957e-67
v149_1	-0.0968237135695991	0.159553269936834	0.544261446410988	0.000269016597014837	0.769138376441582
hc19_2	0.0938718272660849	0.446443389516475	0.83362609574745	0.000118952497030977	0.923192667373007
hw6_2	0.000296692288725934	0.000309231059172375	0.338445145138248	0.00208131351978136	0.606602187648652
hv101_2	-0.0308525369763979	0.157099597927411	0.84439464512154	2.6128972745787e-05	0.927518201566225
ha3_2	-0.00272091318019078	0.00272154805041297	0.318619524909586	0.00229004492895235	0.588905019658145
hv127_04	-0.110109309063664	0.0870474025514391	0.206957744048372	0.00469539785194639	0.460932796042108
v456	-0.0189446185009152	0.0040173340321884	3.2602345880878e-06	0.0194674207546356	2.14269862094881e-05
b4_01_2	0.152001794177378	0.176054963558449	0.388411563117809	0.000706533719132985	0.658296388493369
shdist2_202	0.343633396265413	0.570460963857506	0.547224982261294	0.000253395956885671	0.769557138724262
ha32_2	-0.00411722450605814	0.00186523082942477	0.0283517746856734	0.0118553173343051	0.103306415153444
b1_04	-0.00480098421940371	0.0393013787708208	0.902848341245144	3.11183213403954e-05	0.95539689993659
v141_1	0.377691870361041	0.317231100370012	0.234442625231236	0.00117500869065867	0.494173085719009
v013_6	0.142521472515226	0.284736492336895	0.616940920018268	0.000190589573223043	0.818246777492839
v222	0.00438206630096508	0.00136329289478615	0.00140602888957605	0.00765566558691255	0.00756060080167485
slquest_1	0.611704376529461	0.263753510838859	0.020828626838778	0.00375990445433505	0.0823171454908943
v238	-0.450934748826592	0.144819429756929	0.00196497185621376	0.00794073205135604	0.0102573484145549
v212	0.0145449796074863	0.0328595051660006	0.658247659693085	0.000233714153081044	0.837954021452196
hv031	0.00737824243330487	0.00147842421955681	8.61107247467274e-07	0.022382947824612	5.73371411118453e-06
s514c	-0.0328853971678532	0.0427292592078616	0.442268296572361	0.00170902000558582	0.703861069298345
hv111_1	-0.801618739941081	1.05569009984539	0.449083870922158	0.0026028271683346	0.709932587039083
v702	0.0263054440964024	0.0412303110823146	0.523823612517013	0.000454031629446461	0.759828251534445
ha41_2	0.000494448165566312	0.000627280772277895	0.4314800306377	0.00129442595429141	0.696461805759037
shiv01	-0.906022142926132	1.07700676281977	0.401806694710707	0.00408842478393878	0.670748805046237
hv013	-0.125368971157142	0.0401247039530878	0.00189603746007816	0.00913486012681242	0.00997837761621713
mm3_03	0.0328178256581653	0.00951121766484366	0.000618966132668528	0.0143144709224305	0.00357770489387721
hv016	-0.00696537506036397	0.0118602697167908	0.557305267850716	0.000381562360345367	0.775049357714895
hv113_1	0.737954381618675	1.19079759810646	0.536582938444025	0.00160545637586873	0.766948388456643
v023_5	0.919828461587846	0.272554351987519	0.000802535677213972	0.00652384541147211	0.00449952467366886
b5_06_1	-0.192739115281718	0.366689786137784	0.599675221357062	0.000945502118881336	0.808631722723821
hv023_7	1.1069377940396	0.205798344035233	1.20692041591209e-07	0.00963730046459099	8.11242529559092e-07
sh29ed	0.23291049485292	0.096727910688135	0.016445336116949	0.0041841524623768	0.0689073174487037
v139_97	0.151601069263505	0.553590971009334	0.78432529824549	5.26288468082337e-05	0.899428612772188
v130_4	0.0701005472709126	0.32221669197184	0.827872779255957	3.03462654666076e-05	0.920500792369779
m37o_1	0.0605087241783353	0.123523558952072	0.624528671036185	0.00041055937963852	0.819997134112993
hv270_2	-0.254421197137272	0.216359215107797	0.240247072281118	0.00110236343098735	0.501256237228505
slrespond_4	0.649171470660736	0.174574064400484	0.000225560493833251	0.0117983153946321	0.0013778213298007
hw2_1	0.000150290537866081	0.00220615435337949	0.94572211995858	4.18066400476036e-06	0.975404767141238
m39_2	0.0573914702687935	0.146981229503047	0.696558289297829	0.000217784278193189	0.865790864337148
v106_1	0.0873170844802671	0.171139686306342	0.610154895087885	0.000203884332676929	0.814944757087809
hv105_03	-0.010112605019855	0.00877426407104687	0.249729007578782	0.00107746993905311	0.516600248315207
v019	-0.0411285469867473	0.0837739899953098	0.623703618639113	0.000259079359044456	0.819216929145602
shdist2_102	-0.22250129894583	0.392282413466486	0.57086273440228	0.000129836260630789	0.786487517233576
hv205_22	0.477911493683006	0.583251705317406	0.412995867907683	0.000359514436578778	0.678111987054201
v018	0.0411285469867501	0.0837739899953095	0.623703618639088	0.000259079359044456	0.819216929145602
v160_0	-0.644320973117605	0.183396771498176	0.000490464063827606	0.0118350436360829	0.00287237122528742
b2_02	-0.0487354877695658	0.0173360652717026	0.00517160246117405	0.00676280576988197	0.0247893261129135
mmc1	0.0684961509226626	0.0340633743937565	0.0449405104072583	0.00375162098362392	0.150041271340884
hv270_5	0.475129513107105	0.215663907944746	0.0280925170776854	0.00457424664905859	0.102678005261283
b2_04	-0.0401481086576367	0.0256086841380371	0.117899897383572	0.00488096211806455	0.310405590366689
ha6_1	0.000222537406654454	0.00020888158963014	0.287278428379739	0.000814251869963201	0.558046602254895
m9_2	0.0100504687934721	0.012798598752453	0.432994258677372	0.000956798910478396	0.696914568728342
v469l	-0.0928556968302182	0.191151144431213	0.627417803854291	0.000443812880698391	0.821359566904788
hc12_2	3.530427427049e-05	9.93725808117362e-05	0.722707386123976	0.000204861533464884	0.875388571110577
v025_2	-0.0558343056394681	0.254892108632354	0.826709837331728	4.95231430618359e-05	0.920500792369779
shdist_7	0.959010560363495	0.272697666108522	0.00048109998798106	0.00715909856586472	0.00282218819395832
v226	-0.00014168460987787	0.000457262455606582	0.756829013152946	8.65021844143055e-05	0.891083041543254
b9_04_0	-0.502362888154919	0.301228327367415	0.096437117682624	0.00639248015081506	0.26510869919104
v004	0.000200486123989401	0.000592112620590271	0.73507309358948	0.000107400546308756	0.881045055437036
hc60_2	-0.00345516254863166	0.000817455587860315	3.32652400417235e-05	0.00173284474648594	0.000213873798746516
m37p_1	-0.272954778527847	0.290523095838893	0.348075640093179	0.00190622087753189	0.617660223345346
b10_05_1	0.256257875853452	0.837246937931208	0.759784797082782	0.00021831447754983	0.892880008640463
hv221_0	0.153034856463253	0.335402969423304	0.648414795797834	0.000132254329834325	0.833776851553084
hv101_10	-0.529684960219287	0.640409290588291	0.408615622302195	0.000701288079665296	0.675233628763767
