var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
b0_04_1	0.51982682409221	0.673551868788135	0.440804908500097	8.14107392343888e-4	0.70279273147657	b0_04	child is twin
hv106_1	0.14513872641079	0.17349474909992	0.403283096491937	5.55775125103741e-4	0.671856469184157	hv106	highest educational level
v217_1	0.748996189869831	0.390535193957999	0.0557599548237643	0.00270249604865735	0.174382958725908	v217	knowledge of ovulatory cycle
m34_1	-3.84276181554895e-4	0.00232422428532119	0.868769692820616	4.21700791003454e-5	0.942605820794976	m34	NA
hw10_1	7.3148912300129e-6	3.65935216598231e-5	0.841670429773138	4.93150733928971e-5	0.927200898840106	hw10	NA
slinterv_1	0.513503646921969	0.260516476838956	0.0493235752323726	0.00273560748770352	0.160154957456258	slinterv	language of interview
hv106_3	-14.1050474708153	0.675698874904562	3.2731e-68	0.00231502836420938	6.31316951086957e-67	hv106	highest educational level
v149_1	-0.0968237135695991	0.159553269936834	0.544261446410988	2.69016597014837e-4	0.769138376441582	v149	educational attainment
hc19_2	0.0938718272660849	0.446443389516475	0.83362609574745	1.18952497030977e-4	0.923192667373007	hc19	date measured (year)
hw6_2	2.96692288725934e-4	3.09231059172375e-4	0.338445145138248	0.00208131351978136	0.606602187648652	hw6	NA
hv101_2	-0.0308525369763979	0.157099597927411	0.84439464512154	2.6128972745787e-5	0.927518201566225	hv101	relationship to head
ha3_2	-0.00272091318019078	0.00272154805041297	0.318619524909586	0.00229004492895235	0.588905019658145	ha3	respondent's height (cms-1d)
hv127_04	-0.110109309063664	0.0870474025514391	0.206957744048372	0.00469539785194639	0.460932796042108	hv127	grade of education during previous school year
v456	-0.0189446185009152	0.0040173340321884	3.2602345880878e-6	0.0194674207546356	2.14269862094881e-5	v456	hemoglobin level adjusted by altitude (g/dl - 1 decimal)
b4_01_2	0.152001794177378	0.176054963558449	0.388411563117809	7.06533719132985e-4	0.658296388493369	b4_01	sex of child
shdist2_202	0.343633396265413	0.570460963857506	0.547224982261294	2.53395956885671e-4	0.769557138724262	shdist2	original district number
ha32_2	-0.00411722450605814	0.00186523082942477	0.0283517746856734	0.0118553173343051	0.103306415153444	ha32	date of birth (cmc)
b1_04	-0.00480098421940371	0.0393013787708208	0.902848341245144	3.11183213403954e-5	0.95539689993659	b1	NA
v141_1	0.377691870361041	0.317231100370012	0.234442625231236	0.00117500869065867	0.494173085719009	v141	de jure place of residence
v013_6	0.142521472515226	0.284736492336895	0.616940920018268	1.90589573223043e-4	0.818246777492839	v013	age 5-year groups
v222	0.00438206630096508	0.00136329289478615	0.00140602888957605	0.00765566558691255	0.00756060080167485	v222	last birth to interview
slquest_1	0.611704376529461	0.263753510838859	0.020828626838778	0.00375990445433505	0.0823171454908943	slquest	language of questionnaire
v238	-0.450934748826592	0.144819429756929	0.00196497185621376	0.00794073205135604	0.0102573484145549	v238	births in last three years
v212	0.0145449796074863	0.0328595051660006	0.658247659693085	2.33714153081044e-4	0.837954021452196	v212	age of respondent at 1st birth
hv031	0.00737824243330487	0.00147842421955681	8.61107247467274e-7	0.022382947824612	5.73371411118453e-6	hv031	field editor
s514c	-0.0328853971678532	0.0427292592078616	0.442268296572361	0.00170902000558582	0.703861069298345	s514c	age of first partner
hv111_1	-0.801618739941081	1.05569009984539	0.449083870922158	0.0026028271683346	0.709932587039083	hv111	mother alive
v702	0.0263054440964024	0.0412303110823146	0.523823612517013	4.54031629446461e-4	0.759828251534445	v702	highest year of education
ha41_2	4.94448165566312e-4	6.27280772277895e-4	0.4314800306377	0.00129442595429141	0.696461805759037	ha41	rohrer's index for respondent
shiv01	-0.906022142926132	1.07700676281977	0.401806694710707	0.00408842478393878	0.670748805046237	shiv01	line number of parent/responsible adult
hv013	-0.125368971157142	0.0401247039530878	0.00189603746007816	0.00913486012681242	0.00997837761621713	hv013	number of de facto members
mm3_03	0.0328178256581653	0.00951121766484366	6.18966132668528e-4	0.0143144709224305	0.00357770489387721	mm3	NA
hv016	-0.00696537506036397	0.0118602697167908	0.557305267850716	3.81562360345367e-4	0.775049357714895	hv016	day of interview
hv113_1	0.737954381618675	1.19079759810646	0.536582938444025	0.00160545637586873	0.766948388456643	hv113	father alive
v023_5	0.919828461587846	0.272554351987519	8.02535677213972e-4	0.00652384541147211	0.00449952467366886	v023	sample domain
b5_06_1	-0.192739115281718	0.366689786137784	0.599675221357062	9.45502118881336e-4	0.808631722723821	b5_06	child is alive
hv023_7	1.1069377940396	0.205798344035233	1.20692041591209e-7	0.00963730046459099	8.11242529559092e-7	hv023	sample domain
sh29ed	0.23291049485292	0.096727910688135	0.016445336116949	0.0041841524623768	0.0689073174487037	sh29ed	number of sheep owned
v139_97	0.151601069263505	0.553590971009334	0.78432529824549	5.26288468082337e-5	0.899428612772188	v139	de jure region of residence
v130_4	0.0701005472709126	0.32221669197184	0.827872779255957	3.03462654666076e-5	0.920500792369779	v130	religion
m37o_1	0.0605087241783353	0.123523558952072	0.624528671036185	4.1055937963852e-4	0.819997134112993	m37o	NA
hv270_2	-0.254421197137272	0.216359215107797	0.240247072281118	0.00110236343098735	0.501256237228505	hv270	wealth index
