var	concordance	Estimate.x	SE.x	P.Val.x	Nag.R2.x	FDR.x	varOrig.x	varlabel.x
hv031	1	0.00948192302285262	0.00197042596953778	2.04725473731344e-6	0.0321694588923436	1.1548893478565e-5	hv031	field editor
hv035	1	-0.370315022686599	0.118090939606023	0.00182689123609186	0.00859405016220027	0.00869909457185834	hv035	number of eligible children for height & weight
hv105	1	0.054696548719949	0.00872131920803291	8.45512e-10	0.0302318022354902	4.83343490909091e-9	hv105	age of household members
hv124	1	-5.98029448510979	0.286208067916963	4.221447e-68	0.0364992082865065	5.27804309122807e-67	hv124	education in single years - current school year
hv128	1	-12.4569706323945	0.536321679080056	8.422127e-79	0.0402200968852033	1.25045191152778e-77	hv128	education in single years - previous school year
v012	1	0.0518475315969387	0.00871204242836622	5.405869e-9	0.027839766271253	3.08206611253333e-8	v012	current age - respondent
v030	1	0.00918077536844331	0.00191645998288635	2.27179034065043e-6	0.0319873429985433	1.27818098639753e-5	v030	field supervisor
v031	1	0.00916172476111337	0.00191619012337466	2.37368922574394e-6	0.0319337467536381	1.33200723481379e-5	v031	field editor
v201	1	0.115176885688904	0.0268614616468126	2.21525547534399e-5	0.0166129256268132	1.21753629981631e-4	v201	total children ever born
v204	1	0.390328550975051	0.0959875604622005	5.64759029785283e-5	0.0178066454518153	3.06460610578917e-4	v204	sons elsewhere
v205	1	0.289168165005492	0.0834162217812079	5.78461097306229e-4	0.00924237942450035	0.00298731842038821	v205	daughters elsewhere
v218	1	0.138824937062905	0.0334503087452126	3.98319402222842e-5	0.0158807941013351	2.16693863092223e-4	v218	number of living children
v525	1	0.0517228161661885	0.0173076484935609	0.00296401613532592	0.0102882621816167	0.0135407403789035	v525	age at first intercourse
v531	1	0.0549539836549609	0.0191655767071142	0.00433747581042574	0.0090332720032581	0.0190031214809226	v531	age at first intercourse (imp)
mv245	1	0.694481562145789	0.105618015256328	1.368684e-10	0.0436006052975024	7.86625374193548e-10	mv245	women fathered children with
mv538	1	0.674683912983232	0.104859420816852	3.219761e-10	0.0273010339582078	1.84553592975871e-9	mv538	total wives, partners ever (including former)
hv124_01	1	-1.58069988672565	0.0780588598011102	3.875186e-65	0.00134224061044363	4.62857411620112e-64	hv124	education in single years - current school year
hv128_01	1	-11.0988569798305	1.00579904483088	3.383637e-25	0.00192870812730417	2.1466516041543e-24	hv128	education in single years - previous school year
idxh8_01	1	-0.363610709894891	0.127332030991804	0.00453243263843965	0.0118590350725944	0.0197359286781751	idxh8	record in household schedule
hv023_10	1	1.15953895759009	0.329481229518044	4.77160095721703e-4	0.0186215495660745	0.00248821532842195	hv023	sample domain
hv024_2	1	-0.916084615539732	0.281043533800793	0.00120116247581395	0.0161982630599375	0.00594464206780145	hv024	region
hv024_3	1	1.12200085697364	0.253609550744323	1.21842131207924e-5	0.0281751301841738	6.78381449277452e-5	hv024	region
hv201_44	1	-13.4196754037505	0.503224478726479	2.228508e-94	0.00107134528772812	3.8116400832e-93	hv201	source of drinking water
hv201_61	1	-12.4261977528538	0.716411681805374	6.975364e-52	6.52186908554619e-4	7.00156255023474e-51	hv201	source of drinking water
hv213_11	1	-0.60509888343994	0.231072335025529	0.00912825443092149	0.0072362481870567	0.0360077637883951	hv213	main floor material
hv213_35	1	-10.295484021482	1.00561493996314	3.093089e-22	1.04318555176897e-4	1.8733779835694e-21	hv213	main floor material
hv217_0	1	-12.0055183325627	1.00513457894567	1.007178e-28	5.15341803552838e-4	7.25032513131313e-28	hv217	relationship structure
hv226_2	1	-11.434411111419	1.00599780710488	1.826203e-26	1.68371405914414e-4	1.23557658670886e-25	hv226	type of cooking fuel
hv226_5	1	-11.3383433124801	1.00642593089732	4.440274e-26	1.2374276565208e-4	2.88550328632219e-25	hv226	type of cooking fuel
hv226_8	1	-12.4481951280737	0.78707964710596	4.770135e-45	6.95291480212301e-4	4.19693359259259e-44	hv226	type of cooking fuel
shdist_1	1	1.15953895759009	0.329481229518044	4.77160095721703e-4	0.0186215495660745	0.00248821532842195	shdist	program districts
shdist2_106	1	-12.8112832923635	1.00760985842078	8.079767e-32	7.5223463803209e-4	6.16947923071429e-31	shdist2	original district number
shdist2_203	1	-14.514456752822	0.508124426779685	8.725111e-103	0.00376106075592897	1.69584430163636e-101	shdist2	original district number
shdist2_305	1	1.15953895759009	0.329481229518044	4.77160095721703e-4	0.0186215495660745	0.00248821532842195	shdist2	original district number
slinterv_3	1	-11.4377110816489	1.00599301274761	1.80004e-26	1.69392317694084e-4	1.22174143492063e-25	slinterv	language of interview
hv270_2	1	-0.917547295480171	0.369483408202418	0.0133827174629541	0.0097192744505713	0.0495879548280691	hv270	wealth index
hv101_1	1	1.85371654781277	0.359247626978847	3.7241292729338e-7	0.040645091348865	2.11760329402459e-6	hv101	relationship to head
hv101_3	1	-2.2855537296154	0.717945115144818	0.00155707733198309	0.0258559507537105	0.00754882389065725	hv101	relationship to head
hv101_4	1	-13.5473223343632	0.385721459173482	1.686261e-130	0.00169325983412139	5.46246366363636e-129	hv101	relationship to head
hv101_11	1	-13.5061171653339	0.336342140416721	3.234725e-150	0.0024399797705158	1.47145575531915e-148	hv101	relationship to head
hv110_0	1	16.6628384428107	0.164268181133407	3.27485e-310	0.0334915202103623	7.00169985400005e-308	hv110	member still in school
hv110_1	1	-16.6628384440212	0.164268185072322	3.274883e-310	0.0334915202103624	7.00169985400005e-308	hv110	member still in school
hv121_0	1	16.6748616350265	0.1611296082	6.25872e-314	0.0364992084052569	2.2301905599655e-311	hv121	member attended school during current school year
hv121_1	1	-16.6628384440212	0.164268185072322	3.274883e-310	0.0334915202103624	7.00169985400005e-308	hv121	member attended school during current school year
hv121_2	1	-13.4731949029879	0.287784780286116	3.026457e-174	0.00266481942402108	1.96077729272727e-172	hv121	member attended school during current school year
hv122_0	1	16.6748616350265	0.1611296082	6.25872e-314	0.0364992084052569	2.2301905599655e-311	hv122	educational level during current school year
hv122_1	1	-16.6049267959348	0.164964017451118	8.829896e-309	0.0224413742928141	1.71621069527273e-306	hv122	educational level during current school year
hv122_2	1	-15.5590360099487	0.196506953236855	9.119094e-265	0.0128167887354218	1.624718581e-262	hv122	educational level during current school year
hv125_0	1	16.6855499636799	0.157805716347359	6.273784e-318	0.0402200967089739	3.353422004e-315	hv125	member attended school during previous school year
hv125_1	1	-16.6855499676466	0.157805725373778	6.27394e-318	0.0402200967089741	3.353422004e-315	hv125	member attended school during previous school year
hv126_0	1	16.6855499636799	0.157805716347359	6.273784e-318	0.0402200967089739	3.353422004e-315	hv126	educational level during previous school year
hv126_1	1	-16.6373137736822	0.160944824978092	1.005345e-313	0.0285685072760319	3.07061087141e-311	hv126	educational level during previous school year
hv126_2	1	-15.5133155502998	0.205625960582191	4.649398e-256	0.0103668078338877	7.64647148e-254	hv126	educational level during previous school year
hv129_1	1	-11.9290869784139	1.07354310812465	7.629239e-24	1.55699832482981e-4	4.67372864813754e-23	hv129	school attendance status
hv129_4	1	-14.6893949929957	0.443266031094479	8.829033e-97	0.00178816371170132	1.54725184868852e-95	hv129	school attendance status
v013_1	1	-16.7655587813112	0.153873135313193	1.7e-322	0.0495706032138509	3.59146e-319	v013	age 5-year groups
v013_4	1	0.879545721112193	0.252435493364432	5.4253624158112e-4	0.0123037012112468	0.00281539437985542	v013	age 5-year groups
v023_10	1	1.17164220277149	0.328585820790725	4.02278052318647e-4	0.0193470081035658	0.00211319527237658	v023	sample domain
v024_5	1	-0.890034386795991	0.282389630663562	0.00173256060247587	0.0155172240956707	0.00826833608949422	v024	region
v024_6	1	1.13323754203721	0.257638213439842	1.36571164146991e-5	0.0289524100223478	7.56448572399655e-5	v024	region
v101_2	1	-0.890034386795991	0.282389630663562	0.00173256060247587	0.0155172240956707	0.00826833608949422	v101	region
v101_3	1	1.13323754203721	0.257638213439842	1.36571164146991e-5	0.0289524100223478	7.56448572399655e-5	v101	region
v103_2	1	0.981186044362207	0.295094744713157	9.57564458271443e-4	0.0132182488973567	0.00481306653982884	v103	childhood place of residence
v103_3	1	-0.708846746622035	0.260858153954219	0.00683771770679278	0.00849846345865235	0.0280005572332105	v103	childhood place of residence
v130_7	1	-14.817107443883	0.28447654214836	3.117778e-191	0.00678517722990524	2.56377283230769e-189	v130	religion
v131_3	1	0.710665469697236	0.248188779080878	0.00438960043202059	0.00945817079381583	0.01919215894409	v131	ethnicity
v150_1	1	1.85213292853839	0.359960842680059	4.01568713284874e-7	0.0413704860367754	2.27733132361555e-6	v150	relationship to household head
v150_11	1	-13.5207018470488	0.337135362967592	1.067227e-149	0.00253560671000819	4.65659454285714e-148	v150	relationship to household head
v150_14	1	-2.28226123072163	0.718334950545504	0.00159106118022219	0.0263232596888452	0.00769612851428743	v150	relationship to household head
v150_15	1	-13.5697473355666	0.412997881961471	5.976349e-121	0.0015633253907823	1.34499306968421e-119	v150	relationship to household head
v217_6	1	-11.2911487497488	0.718340844972882	1.396811e-44	1.97265821609394e-4	1.18507218968254e-43	v217	knowledge of ovulatory cycle
v762al_0	1	12.3700201439225	0.656414217159548	1.233408e-58	3.43593576804246e-4	1.31195338507463e-57	v762al	source for condoms: private doctor
v754g_8	1	-13.5685656190901	0.407021592879557	6.118093e-123	0.0016655422477333	1.43741569604396e-121	v754g	aids: avoid blood transfusions
v604_7	1	-12.5215312851664	0.732339261942589	1.49798e-45	7.06403317362048e-4	1.3400339916318e-44	v604	preferred waiting time (grpd)
v744a_0	1	1.86376164174715	0.610189500582961	0.00239083476344387	0.00884756832132227	0.0113088600093872	v744a	wife beating justified if she goes out without telling him
v754l_8	1	-13.5685656190901	0.407021592879557	6.118093e-123	0.0016655422477333	1.43741569604396e-121	v754l	aids: limit number of sex partners
