name	estimate	se	p.value	Nag.r2	adj.p.val
hv008	-0.0008799755879688	0.0787332789273815	0.991085172292622	1.04975179548994e-07	0.995686310511251
hv009	-0.103727597710019	0.0355232375194146	0.00359480773374813	0.00637750879986265	0.0129760866319115
hv010	-0.219018356138503	0.0948848636924011	0.0212291316492665	0.00265458509312388	0.0640276528069863
hv011	-0.0889108575072154	0.101707491329682	0.382271105454211	0.000650107326695015	0.565051005603082
hv012	-0.111003489770439	0.0370952475558669	0.00284970979904626	0.00693349942403276	0.0105321870542971
hv013	-0.101649279289131	0.0364962954066966	0.00547098558005078	0.00610447985058682	0.0189313850536155
hv014	-0.322849142882469	0.0817933389057076	8.57678431061787e-05	0.00945120860683035	0.000372320185520102
hv016	-0.0137352908787819	0.00878707973838718	0.118403351207615	0.00156590497749975	0.257175209798407
hv017	-0.00405061756024595	0.168283590275872	0.980802388087168	2.08156921921443e-07	0.990413610742245
hv018	0.00390690913968686	0.000688464127761633	1.91610602393852e-08	0.0148967695665784	1.00520083292193e-07
hv019	0.00995875627722222	0.00570321956498195	0.0811510961056529	0.00170062853939035	0.19329771268314
hv022	-0.000829192873024921	0.00461621883064671	0.857489884249323	1.89425447609803e-05	0.927340384565485
hv028	3.04510838152761e-07	7.84710400502117e-08	0.000112451094565783	0.0135944666370218	0.000485716903473761
hv031	0.00408082781197621	0.000701633724928159	8.5788e-09	0.0159429806289246	4.58383288888889e-08
hv032	-0.0332662035487304	0.0242025617193737	0.169658947180726	0.0011495636290566	0.330015246471093
hv035	-0.494846568841537	0.0926551036787994	1.19497784026779e-07	0.0173663869848446	6.09889633570636e-07
hv040	-0.00053284780519537	0.000200247849331956	0.00794423004200691	0.00380404689310954	0.0264908164496733
hv041	-0.221856438489714	0.0925536940648385	0.0167467706360546	0.00280149474038638	0.0515872052048714
hv204	0.000634013072953328	0.00017831499743519	0.000398406917966784	0.00580796120108229	0.00162670296317004
hv216	-0.0580160807881137	0.0634828472440309	0.361041228172321	0.000392867483334114	0.54677399712953
hv220	-0.00101988243446808	0.00530504128751153	0.847594973298261	2.17217755902332e-05	0.922053776413621
hv238	0.00686975347690259	0.00698337143533768	0.325644687379562	0.000993440909186072	0.509725210480559
hv245	-0.0313157775793362	0.023418803552148	0.181550107004779	0.00243480569100374	0.347215582464288
hv246a	-0.141872930343317	0.0693215946594668	0.0410116826761454	0.00258454085378546	0.112340862419213
hv246d	-0.111039065048438	0.0382028412010039	0.00375111218923432	0.00535970020501408	0.0134840644144569
hv246e	-0.188537560944472	0.234795975449298	0.422212663537995	0.000263164505593383	0.603679024708438
hv246f	-0.0383466723221901	0.0117648645979487	0.00116167007114118	0.00929874708531531	0.00452946672783696
hv246g	-0.157907247194662	0.0650119692861207	0.0153555195950353	0.0028974491278132	0.0479154209137078
hv246k	-0.0399664683654626	0.0587414559158391	0.496453404011617	8.08448477384038e-05	0.67187314964424
hv248	1.11296015413199	0.269377790642219	3.96637462114352e-05	0.00951704351831928	0.000175168054697032
hv251	0.235618616624553	0.0409962276508076	1.2716e-08	0.0144530596829592	6.71156682926829e-08
hv271	2.80681409823876e-06	4.82886190714313e-07	8.758e-09	0.0165220627383345	4.66805714285714e-08
hml1a	0.0962192794730145	0.0497926364374603	0.0536489321913702	0.00172310537279197	0.139120778025315
hml2	-0.195288893607478	0.107996904315069	0.0709230870273729	0.00198748746964195	0.17470410964967
sh123	0.00130107887934164	0.000382550861496444	0.000705634156766171	0.00461452642886662	0.00280955347790615
hv107	-0.015102167312206	0.0293452438418425	0.606945439578169	0.000137482576713088	0.765848356412337
hv108	0.00905740497742051	0.0184713067616225	0.624015392448791	0.000130344122144743	0.777836355074385
hv123	-0.253129672895372	0.125637946983347	0.04463799322126	0.0125606982386083	0.120369616611597
hv124	-0.161592573341991	0.0465597109547337	0.000545887255804834	0.0139135199216099	0.00219981382041278
hv127	-0.157130604931565	0.165131649417558	0.341852509387409	0.00397046867373885	0.52746440664125
hv128	-0.2056951548698	0.0511494589594566	6.30917837835083e-05	0.0202284178480965	0.000275541110206886
ha0	-0.38126646659026	0.136960741087828	0.00549493265337442	0.0183522133531152	0.018964966924884
ha1	0.0620912749044588	0.00597326779073816	7.0132e-24	0.0387065561811463	4.49010792899408e-23
ha2	0.00139961509722037	0.000523670009282436	0.00767155545569427	0.00340895460597956	0.025755486344377
ha3	0.000711567887434845	0.000663963687352249	0.284166545116871	0.000354305041942116	0.471938912995325
ha4	-9.3811637113778e-06	2.59099596529556e-05	0.717393258925917	4.52931599115303e-05	0.842572055530901
ha5	-3.75965973338485e-05	0.000572541660811084	0.947659410307393	1.65112460226435e-06	0.97485863383147
ha6	3.26454799063821e-05	0.00015355045916167	0.831687734698643	1.69952136805929e-05	0.912663416778835
ha11	0.000554862797367255	0.000783778809489254	0.479185201403881	0.000359764187403022	0.655886638733712
ha12	4.8019723755194e-05	5.08087279593066e-05	0.344878237838177	0.000611381236865549	0.530431063739741
ha12a	0.000129395673323284	3.61499050378313e-05	0.00036429601425095	0.0071766395188656	0.00149447691912617
ha12b	0.000109504489370283	3.11976763071447e-05	0.00047214636242703	0.006171927997347	0.00191334218781291
ha32	-0.00519228628040252	0.000501434252570462	1.0161e-23	0.038983483078126	6.45768105726872e-23
ha35	0.840727971244818	0.433308781545991	0.0526862973382525	0.00257698582082566	0.137035032980743
ha40	0.000498178978146001	0.000160226354899425	0.0019396926914437	0.00488092882857927	0.00740952336149014
ha41	0.000714736728861996	0.000231569703657391	0.00209248352172003	0.00420603490345162	0.00794409533509148
ha53	-0.0191616155782913	0.00363009586245767	1.66271875169974e-07	0.0147065950541201	8.45622415670561e-07
ha56	-0.0188371702529837	0.00371296956429842	4.83586697361512e-07	0.0139650295076007	2.41681665840719e-06
ha67	-0.0198999398007795	0.0292001716696919	0.495747800803344	0.000240065613510199	0.671270790086371
ha69	3.15500871479193e-07	7.56330424892759e-08	3.34392812566572e-05	0.0148496925089369	0.000148894248229231
