var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
sm907_1	1	5.85365983292274	0.599897548851188	3.389711e-21	0.17613749981364	2.25272619318801e-20	sm907	result of test
sm907_2	1	-4.93291479932643	0.46673247045872	2.364958e-24	0.166296364991249	1.74791895818182e-23	sm907	result of test
sh540c_01	1	-0.539434042179989	0.0538798971976716	6.348131e-22	0.112941879050206	4.28894501634349e-21	sh540c	hiv status disclosure
sh525c_01	1	-0.396306977968733	0.0641578872036066	1.654215e-9	0.0937931440636943	9.21148489726027e-9	sh525c	hiv status disclosure
sh540c_1	1	4.40440655942498	0.362678815996058	2.501768e-31	0.0877152376121941	2.01379939009901e-30	sh540c	hiv status disclosure
v503_2	1	1.44785657342634	0.177000575398477	1.242129e-15	0.0542743593649248	7.6119412839196e-15	v503	number of unions
v503_1	1	-1.43959150631863	0.176705729665865	1.597464e-15	0.0537535895146772	9.76494911278196e-15	v503	number of unions
hml16	1	0.0665278574589685	0.00672537161631604	7.046189e-22	0.0419852504329835	4.73434021239669e-21	hml16	corrected age from individual questionnaire
hb1	1	0.0665278574589685	0.00672537161631604	7.046189e-22	0.0419852504329835	4.73434021239669e-21	hb1	men's age in years
v012	1	0.0665319135168786	0.00672680453738319	7.141475e-22	0.0419788885489246	4.78518063873626e-21	v012	current age - respondent
hb32	1	-0.0055238831574925	5.62054920240491e-4	1.246758e-21	0.0417274678153052	8.30831355737705e-21	hb32	date of birth (cmc)
v501_0	1	-1.8407977438667	0.294423231049214	6.490024e-10	0.038719267616692	3.63054324220183e-9	v501	current marital status
v513_0	1	-1.8407977438667	0.294423231049214	6.490024e-10	0.038719267616692	3.63054324220183e-9	v513	marital duration (grouped)
v502_0	1	-1.8407977438667	0.294423231049214	6.490024e-10	0.038719267616692	3.63054324220183e-9	v502	currently/formerly/never marr.
v535_0	1	-2.4340672789892	0.404210073918287	2.90354e-9	0.0375430745978915	1.6058353877551e-8	v535	have ever been married
