var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
sm907_1	1	5.19467154733766	0.496842405596218	6.583614e-24	0.174147430686257	4.37520941373626e-23	sm907	result of test
sm907_2	1	-4.58187011736286	0.390424760279312	3.269834e-29	0.168947320830672	2.29933966453488e-28	sm907	result of test
sh540c_01	1	-0.661027810668515	0.0538807872027877	5.217113e-31	0.162485822778837	4.09746634642857e-30	sh540c	hiv status disclosure
sh540c_1	1	4.50811023154979	0.37342480192921	5.357459e-31	0.0974939589693058	4.19407550841424e-30	sh540c	hiv status disclosure
sh525c_01	1	-0.338487701715101	0.0611790907227603	5.74168442524285e-8	0.0837439534838669	2.98691067197042e-7	sh525c	hiv status disclosure
v535_0	1	-2.73328321105267	0.390275946586733	6.470882e-12	0.0527804985477076	3.61502622586605e-11	v535	have ever been married
v535_1	1	2.66733860504701	0.387598121348051	1.44065e-11	0.047770500340599	8.02979804147465e-11	v535	have ever been married
hb32	1	-0.00578618892752675	4.63782040749746e-4	7.878674e-33	0.0432760307157732	6.33173169634552e-32	hb32	date of birth (cmc)
hb1	1	0.069243112060134	0.00554708974301147	7.341931e-33	0.0431359151808023	5.930149472e-32	hb1	men's age in years
hml16	1	0.069243112060134	0.00554708974301147	7.341931e-33	0.0431359151808023	5.930149472e-32	hml16	corrected age from individual questionnaire
v012	1	0.0692250452921842	0.00554571420608946	7.354464e-33	0.0431257948050595	5.930149472e-32	v012	current age - respondent
v501_0	1	-1.97433850787447	0.295417702556461	4.319473e-11	0.0375848985925554	2.38557196050228e-10	v501	current marital status
v513_0	1	-1.97433850787447	0.295417702556461	4.319473e-11	0.0375848985925554	2.38557196050228e-10	v513	marital duration (grouped)
v502_0	1	-1.97433850787447	0.295417702556461	4.319473e-11	0.0375848985925554	2.38557196050228e-10	v502	currently/formerly/never marr.
sh08_4	1	-1.91528966686006	0.293936385846161	1.261124e-10	0.0360403001215881	6.88636333182844e-10	sh08	marital status
hv116_0	1	-1.91528966686006	0.293936385846161	1.261124e-10	0.0360403001215881	6.88636333182844e-10	hv116	currently, formerly, never m.
hv125_0	1	2.69981404876575	0.433850420455763	7.79065e-10	0.032040961836145	4.21601394854586e-9	hv125	member attended school during previous school year
hv125_1	1	-2.69981404876575	0.433850420455765	7.79065e-10	0.0320409618361449	4.21601394854586e-9	hv125	member attended school during previous school year
hv126_0	1	2.69722285594528	0.433832594772706	8.066442e-10	0.0319688648078807	4.35551857098214e-9	hv126	educational level during previous school year
v013_1	1	-2.58664873016965	0.390276078795608	6.177608e-11	0.0315170474150364	3.4040168e-10	v013	age 5-year groups
hv128	1	-0.384645450247491	0.0785259355005574	1.1653659832236e-6	0.0302375872878394	5.84858986186284e-6	hv128	education in single years - previous school year
hv101_1	1	1.57354394596053	0.214663590854588	5.515618e-13	0.0301501312782838	3.08849072731481e-12	hv101	relationship to head
v150_1	1	1.57354394596053	0.214663590854588	5.515618e-13	0.0301501312782838	3.08849072731481e-12	v150	relationship to household head
hv121_2	1	-2.64753902414541	0.466447406852952	1.91555164761431e-8	0.0276928311768986	1.01394298371532e-7	hv121	member attended school during current school year
hv121_0	1	2.6475390241454	0.46644740685295	1.9155516476141e-8	0.0276928311768984	1.01394298371532e-7	hv121	member attended school during current school year
hv122_0	1	2.64691759985196	0.466452995569889	1.93068526149e-8	0.0276769392453768	1.01972219378697e-7	hv122	educational level during current school year
hv124	1	-0.353862235215266	0.0761456173953282	3.92168714709257e-6	0.0272701640162202	1.94396746082314e-5	hv124	education in single years - current school year
v503_2	1	1.0315708734476	0.201689953798217	3.98431476371586e-7	0.0256421097234234	2.03334544587103e-6	v503	number of unions
v503_1	1	-1.00565362214469	0.20176139874361	7.70611292566373e-7	0.0244543222011636	3.90798473106511e-6	v503	number of unions
hb0	1	-0.501232182376416	0.122626420740592	4.79059270087896e-5	0.0242233579394943	2.25018325115072e-4	hb0	index to household schedule
hivline	1	-0.501232182376416	0.122626420740592	4.79059270087896e-5	0.0242233579394943	2.25018325115072e-4	hivline	line
v013_6	1	1.53953737103375	0.246356608829253	6.628359e-10	0.0218807944765373	3.60314616202247e-9	v013	age 5-year groups
v714a_0	1	-1.52060965673857	0.49447961176615	0.00224568690340633	0.0207841588503508	0.00874769181858279	v714a	have a job from which respondent was absent
v714a_1	1	1.49065905354606	0.500124143755667	0.00304967749557368	0.0197311865422125	0.0115088453382102	v714a	have a job from which respondent was absent
v502_1	1	1.18300350118291	0.203800658979477	9.216436e-9	0.0196575289749759	4.92153613333333e-8	v502	currently/formerly/never marr.
v302_3	1	1.06351710621781	0.18343353166885	9.586693e-9	0.0192655973754254	5.10797585176211e-8	v302	ever use of any method
sh08_1	1	1.14121085251092	0.20135288001962	2.00561773396238e-8	0.0184951947402024	1.05469332575109e-7	sh08	marital status
hv116_1	1	1.14121085251092	0.20135288001962	2.00561773396238e-8	0.0184951947402024	1.05469332575109e-7	hv116	currently, formerly, never m.
hv101_3	1	-1.66479402488651	0.281763935794184	5.061317e-9	0.0184628672122633	2.71470639090909e-8	hv101	relationship to head
v150_3	1	-1.66479402488651	0.281763935794184	5.061317e-9	0.0184628672122633	2.71470639090909e-8	v150	relationship to household head
hv126_1	1	-2.29549043359898	0.465583415567201	9.94291417612455e-7	0.0183138104801044	5.00039696300318e-6	hv126	educational level during previous school year
v305_05_0	1	-1.02632750990053	0.183820531512694	3.21018774530515e-8	0.0183023648108317	1.677201761532e-7	v305_05	ever used method
v302_0	1	-1.0965775495001	0.200404560724816	5.92246506632743e-8	0.0178332439578149	3.07434399043907e-7	v302	ever use of any method
v305_05_1	1	1.00301988296001	0.182867898040692	5.51365767696388e-8	0.0176009969508771	2.8744693794344e-7	v305_05	ever used method
hb50_2	1	2.13146905585943	0.412684614985722	3.02318742273817e-7	0.0171807061449565	1.55267311583951e-6	hb50	under age 18
hb50_1	1	-2.13146905585942	0.412684614985722	3.02318742273835e-7	0.0171807061449564	1.55267311583951e-6	hb50	under age 18
