name	estimate	se	p.value	Nag.r2	adj.p.val
hc16_02	0.00942701669482117	0.00899159125735029	0.294992981223745	0.00229123800592701	0.519485834804848
v204	0.426212370803738	0.0711938520396616	3.195073e-09	0.018464765523061	1.76307308755656e-08
hc4_02	1.51414851105718e-05	4.65127928628655e-05	0.744926115699251	0.000202320574835269	0.88606413150169
ha5_02	3.69466672322407e-05	5.24085915338419e-05	0.48121936345497	0.00109307532648806	0.693262863240798
hv215_11	0.180070052212707	0.84947020068595	0.832175647624938	1.96992279649644e-05	0.932755700623724
hb69	1.17565297054087e-07	5.82825609514113e-08	0.0440025700844461	0.00273664183850741	0.128838257426127
hml11_2	-0.0803349561059148	0.0946029311460059	0.396093547880829	0.000746818401724969	0.623810485183458
v131_2	-0.786247572294124	0.330614532913071	0.0176273364453686	0.00258912717751703	0.0591376528064017
hv109_02	0.191209289718746	0.0649664816606823	0.00345439256045293	0.0010819051479849	0.0145765803718766
hv214_35	1.61686165657403	0.700768155053304	0.0212868080487072	0.00245402315226406	0.0687662580540356
hv214_33	0.111042293607662	0.166668807823599	0.505440865703489	0.000238757197502881	0.715846572931202
hv101_1	1.19712301125113	0.203006507927331	5.399361e-09	0.0220095074420715	2.94609429060403e-08
shlquest_1	0.325195470255919	0.270494164622139	0.229620843585506	0.000602568761775224	0.438612401610341
hv017	0.536186036971727	0.198846341956852	0.00715058914679942	0.00450425069997018	0.0279491777709035
ha41_01	4.61917509959245e-05	3.97820472933089e-05	0.245936229324849	0.000581936160667706	0.462866838140275
hv237c_0	-0.390802593785519	0.43312115694639	0.367164415828062	0.000247722491372837	0.599839738826064
shdist_303	0.806719289211116	0.236204875408451	0.00066818576223617	0.00366620612605628	0.00308656264032958
v205	0.437176463943048	0.0661891599519297	7.125809e-11	0.0198067023941162	4.03244736682135e-10
v136	-0.0887798557399623	0.0486486258589627	0.068375006375385	0.00364893531215205	0.183058880954516
hv111_0	2.13220313512197	0.952363875254676	0.025759356839295	0.0252421101935163	0.0807975817119087
hv226_9	0.654454382559371	0.406356178139231	0.107662189941429	0.00109265260826907	0.253836553040539
sh540g_2	1.29688290006975	0.468641743949566	0.0057787308895235	0.0098934912087042	0.0229549261230428
hv236_3	0.779625608155225	0.305046236226324	0.010782154625511	0.0053659942516523	0.0399098924652771
hv214_12	-0.0127428883826031	0.98931192481731	0.98972620468039	3.93598356129843e-08	0.996211638664688
hv236_1	-0.344694511014331	0.222729545888294	0.12212200625515	0.00157569311291095	0.279414233823931
sh139ca_1	0.653031424374773	0.290464004634303	0.0248247902494555	0.00159673075592015	0.0784296158269715
hv114_02	0.445980886903101	0.290577188042873	0.126566962286195	0.00678826740752403	0.28675952447465
sh129b_6	-11.5192157196975	0.83272787442363	5.863031e-38	0.000357189084519205	5.12542387419355e-37
hv035	-0.335670097306611	0.108063526414185	0.00195981864270215	0.0055475848421247	0.00856630406729488
hv107_01	0.0264480747251197	0.0160392782549794	0.0995457057719778	0.00102562757094571	0.245117392531116
v201	0.153816156845955	0.0184610635663218	3.307373e-16	0.0259232444942374	2.03191001183879e-15
hv251	0.163111153237172	0.0499678108127233	0.00114250391897657	0.00483866313457171	0.00514126763539456
sh505_01	0.00331572944301884	0.00528642156138981	0.530710970319957	0.000188906690374302	0.735828286073667
sh08_4	-1.63485117789907	0.268350712679691	1.711161e-09	0.0330946756559022	9.48527654318182e-09
sh139cy_1	0.62934340242128	0.269568118260393	0.0198018039172691	0.00189886815572649	0.0651775975090683
hv215_23	2.36574039574371	0.0952540562402003	4.371445e-102	0.000317353335896109	1.184661595e-100
hml7_12	-0.253253073447813	0.665411920390089	0.703638252718633	0.000152849325510296	0.86174913916166
v131_100	0.995842839077348	0.417551000797668	0.0173061255658976	0.00327406908307593	0.0584621056166541
hb67_02	0.0788678628440011	0.0747157450489266	0.291595752642359	0.00191738241027106	0.516486594549538
sh32_1	-15.1410935125463	0.502448304775891	4.320044e-102	0.00424423956335951	1.1838862152809e-100
hv217_5	0.392426867358855	0.335645449034905	0.242672914893514	0.00107716227031152	0.459890628924072
shltrans_0	-0.631833468409403	0.879824303290627	0.472877019679757	0.000124124481523213	0.684885422208389
hv241_6	-11.3640083787728	1.00312665302186	9.463027e-28	0.000152486235482696	7.25796316132075e-27
v507	-0.0251843857426227	0.0350424730525497	0.47255705552284	0.000799984165500311	0.684828674046469
hb67_01	0.0909102556767105	0.0347697035900033	0.00909713621417349	0.0033416424249314	0.0345606156173974
hmla_3	-0.174701333439893	0.107719483036295	0.106083045687076	0.00648449023270192	0.251934321743699
hivline	-0.303980117355452	0.0866333064672424	0.000474501213225452	0.0135703590959947	0.00223850765775025
hc51_01	-0.0922580823937228	0.11756377991243	0.432855564479253	0.000513874699431538	0.653301189210952
hb69_01	9.69483924864023e-08	5.22155804861035e-08	0.0637113065450689	0.00182245254565749	0.173428433776142
hb64_3	-1.29524588972234	1.12162879430509	0.248511552972592	0.000285707430152771	0.464815703757809
v130_96	-1.97015857544214	1.04918366625169	0.0607613196540403	0.00113139711762722	0.167393444336791
hc0_01	-0.0176410842495423	0.0540971832504376	0.74444074631279	7.95425680318873e-05	0.88606413150169
hv234_994	-0.40340565591155	0.301509690607256	0.181281472333986	0.000947812746024845	0.369691992457801
ha6_01	3.12521019436531e-06	4.11253414726542e-06	0.447522419529849	0.00027992210648875	0.664616407802246
shlreso_14	-13.9063615165931	0.719222525510256	6.33742e-43	0.00198668662038959	6.57743292765958e-42
sh111a2_0	-0.0141729855718319	0.178290687333756	0.936659247310286	3.88901393955088e-06	0.972132725187144
sh08_3	1.59711928610714	0.599252788612561	0.00784591585815489	0.0019653097195671	0.0303749028222854
v106_1	-0.215691816022265	0.168489638818794	0.200853057312824	0.000874991888715759	0.399576351375186
v032	0.00920387975485341	0.0124339467884742	0.459376212543724	0.00015598940253192	0.672075657012626
hv239_3	2.91665411245659	1.24368411659263	0.0192560963266317	0.000755471985672274	0.0638988012798023
sh129b_1	0.0125269041266559	0.221792559305239	0.95497525942197	1.98540875306907e-06	0.978575548614838
hml7_31	0.192175728263167	0.939335583795324	0.837964525170111	8.06804791158022e-05	0.9352196679453
hv245	-0.0128374372490756	0.0206212446382068	0.53378041566379	0.000406295825608693	0.737815886494066
v014_6	-1.16041611811372	1.04568869451221	0.267445732300912	0.000257111535489796	0.489347442672111
v013_8	0.69746164349616	0.321826909087313	0.0305058144358245	0.00234297812903173	0.0941818752012354
v012	0.0665319135168786	0.00672680453738319	7.141475e-22	0.0419788885489246	4.78518063873626e-21
hv114_04	-0.236059911801318	0.253899762094358	0.352803055283985	0.00095139805194322	0.58023375039625
hv246a	-0.0895522812257982	0.062593746012203	0.152898025429259	0.000942885028655471	0.329433113093607
hv124_02	-0.0131374620735073	0.0130281241212987	0.313563192175425	0.000877676011705408	0.54149877889645
shdist_307	1.01379512088511	0.317261315473598	0.00144924782815376	0.00444272874421636	0.00645021068041427
v508	-0.0419807753370354	0.0100464158290724	3.27131123498361e-05	0.0159105953109533	0.000166918997952406
hv125_1	-1.83282498945854	0.438551263180359	3.23781395959452e-05	0.0247254015887171	0.000165903954778386
ha67_01	0.0198754245686523	0.0386771638827651	0.607482686400844	0.000147229543327354	0.791479846224177
hv108_07	0.00156063130631149	0.011059342641907	0.887831605260635	2.1703048289301e-05	0.958879493419092
v152	-0.00520882661261491	0.00492311295762752	0.290349478666395	0.000378298446459868	0.515328330452208
hv109_1	-0.228852337798548	0.154521869246908	0.138979441883172	0.00102283246823709	0.309562428084983
sh138_6	-11.043036421937	0.520821941497669	5.773535e-80	0.000155372550742938	1.04308532333333e-78
v627	0.00150298091304453	0.0150644443851316	0.920551213641487	1.05481884393743e-06	0.969101117552252
hv133_1	0.867366689534641	0.941662769730626	0.357591363358958	0.00480554492074026	0.586132617763776
v106_0	0.530925433784586	0.261027987050473	0.0422735729835493	0.00175257855946331	0.124373033180792
hc3_01	-0.000144670325109402	0.000182724663638055	0.428769445587774	0.000141574118022625	0.649142568459703
hc57_02	0.108897791730085	0.0861814078923186	0.207459868506112	0.00470370913410112	0.407075317205476
hv215_12	-0.518371080824439	0.186150206438859	0.00548071636181798	0.00522767055485052	0.0218892034188001
hv109_4	0.414645205764437	0.296261685335063	0.162012162026051	0.00147624413035885	0.341833868107916
hv213_12	-0.350050374912527	0.631004605220109	0.579215596701356	0.000177379922524201	0.774135140843676
hv113_1	1.8281944736033	1.12391022849388	0.104665430667538	0.00842900656509182	0.250028389224413
hv210_0	0.197501021479041	0.162614946581337	0.224892655499353	0.000761741471014599	0.432694167137377
