var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hiv06_0	1	-15.4265664403689	1.41673332497575	6.3953e-26	0.54258642487728	6.49276847593583e-25	hiv06	assay 1: enzygnost
hiv06_1	1	15.4265664403689	1.41673332497571	6.3953e-26	0.54258642487728	6.49276847593583e-25	hiv06	assay 1: enzygnost
hiv07_0	1	-7.58835978463515	1.03256129635256	9.4768e-13	0.448656877890797	7.34355297959184e-12	hiv07	assay 2: murex
hiv07_1	1	7.58835978463514	1.03256129635254	9.4768e-13	0.448656877890797	7.34355297959184e-12	hiv07	assay 2: murex
hiv08_0	1	-20.8412207458413	0.246853219678436	7.17e-255	0.196889757312533	1.3612245e-251	hiv08	assay 3: inno-lia
hiv08_1	1	19.6745233224578	0.24405056061666	2.2158e-247	0.181784620877846	2.8044642e-244	hiv08	assay 3: inno-lia
hb62_299993	1	-16.8682721411241	0.727432827714803	1.8567e-62	0.114294879040417	4.43389301886792e-61	hb62	NA
v535_0	1	-1.49187569474529	0.200623583216156	3.3133e-13	0.0638167699828345	2.61550937629938e-12	v535	ever been married or in union
v535_1	1	1.39730283699011	0.193994902506789	1.6506e-12	0.0567703501196584	1.27384719512195e-11	v535	ever been married or in union
v858_2	1	3.11830917620461	0.334358389936548	9.4987e-20	0.0429266042043881	7.85763919389978e-19	v858	would be afraid to get hiv from contact with saliva from infected person
b19_02	1	0.00870470895605324	0.00110942685077948	1.3532e-14	0.0393478528859417	1.07943285714286e-13	b19	NA
b8_05	1	0.113865706313942	0.0243315246278246	3.67986755846295e-6	0.0391015717174209	2.49063406764418e-5	b8	NA
b18_02	1	-2.84957909197237e-4	3.65976749245296e-5	2.106e-14	0.03905877650546	1.67641132075472e-13	b18	NA
b3_02	1	-0.0086684565524143	0.00111442463459058	2.2306e-14	0.0390049538568102	1.77188037656904e-13	b3	NA
b8_02	1	0.108665141421055	0.0148988965000272	7.3035e-13	0.0383218973459398	5.69433049281314e-12	b8	NA
b2_02	1	-0.103157666220719	0.0135419620697824	7.2032e-14	0.0381703776280818	5.70992701461378e-13	b2	NA
b19_05	1	0.00860242276711592	0.00174551820175812	1.08897135480941e-6	0.0346127320411629	7.60077984230024e-6	b19	NA
b3_05	1	-0.00858850617976109	0.00174779310026441	1.16847674950159e-6	0.0344784184690099	8.14074535386704e-6	b3	NA
b18_05	1	-2.82038895042505e-4	5.74131853862902e-5	1.17693481724074e-6	0.0344586008266551	8.18465476385181e-6	b18	NA
b2_05	1	-0.101596603192863	0.0209605651674477	1.61801947317481e-6	0.0334904230425054	1.1149945444001401e-05	b2	NA
ha1	1	0.0567252234765875	0.00586327739615167	4.6188e-21	0.0330416660185858	4.0690449187935e-20	ha1	woman's age in years
v447a	1	0.0567252234765875	0.00586327739615167	4.6188e-21	0.0330416660185858	4.0690449187935e-20	v447a	women's age in years (from household questionnaire)
v012	1	0.0567169088917095	0.00586260836676389	4.6316e-21	0.0330381990751171	4.0708762037037e-20	v012	respondent's current age
hml16	1	0.0567112255983446	0.00586267274186515	4.6756e-21	0.0330298852166037	4.10005847575058e-20	hml16	corrected age from individual file
hv105	1	0.0574050274381234	0.00593778929860101	4.9085e-21	0.0329306806866945	4.2943720046083e-20	hv105	age of household members
ha32	1	-0.0047058678652674496	4.8902013600137e-4	7.2652e-21	0.0327743794860889	6.26953736363636e-20	ha32	date of birth (cmc)
b8_04	1	0.100674370331364	0.0208356889882404	1.69105418708932e-6	0.0321136379922486	1.16321245441633e-5	b8	NA
v211	1	-0.00477303144073515	5.87187569967626e-4	1.5682e-15	0.030395280443158	1.27231952991453e-14	v211	date of first birth (cmc)
b2_01	1	-0.0934486954923745	0.0116216822997905	3.0567e-15	0.0277649426774	2.46942338297872e-14	b2	NA
b19_01	1	0.00771987560124263	9.64008952174097e-4	3.9168e-15	0.0275387546471779	3.15755617834395e-14	b19	NA
v222	1	0.00771114383463052	9.63441588901388e-4	4.0474e-15	0.0274620140969963	3.2559275e-14	v222	last birth to interview (months)
b18_01	1	-2.52556236638597e-4	3.18142182414271e-5	6.6119e-15	0.0272935519145288	5.29649457805907e-14	b18	NA
b3_01	1	-0.00768676120788008	9.68240065677726e-4	6.5907e-15	0.0272824726672745	5.29067397463002e-14	b3	NA
v739_1	1	1.01238847343973	0.302123661726586	8.77446536235059e-4	0.0259588110873125	0.00472576524550996	v739	person who usually decides how to spend respondent's earnings
v602_1	1	-0.947013983381598	0.108290735963571	1.2015e-17	0.02430281167782	9.89608568329718e-17	v602	fertility preference
b19_04	1	0.00714474211219004	0.00155269343337394	4.97949606652129e-6	0.0240902043164194	3.33459375036708e-5	b19	NA
b18_04	1	-2.33923075714358e-4	5.10814116414768e-5	5.51848782730557e-6	0.0239170061909172	3.68254802816859e-5	b18	NA
b3_04	1	-0.0071174292451705	0.0015556530727401	5.62742114905519e-6	0.0238901216596326	3.74865229876536e-5	b3	NA
mm4_07	1	-0.00326329295377403	7.37341715387777e-4	1.14041954837074e-5	0.0238264364483247	7.49164883246315e-5	mm4	NA
b2_04	1	-0.0851200692671579	0.0188082350917436	7.07266649128576e-6	0.0236598071409134	4.69491515164546e-5	b2	NA
hv101_07_3	1	-1.01644039767504	0.271520955144197	2.01200882623176e-4	0.0236173690773158	0.00115751477472757	hv101_07	relationship to head
v509	1	-0.00407287510609737	5.54492644855912e-4	4.8821e-13	0.0232158233283206	3.82213065979381e-12	v509	date of first cohabitation (cmc)
v602_3	1	0.912608488124752	0.110600984026983	6.029e-16	0.0230485861413909	4.91247060085837e-15	v602	fertility preference
v605_5	1	0.912608488124752	0.110600984026983	6.029e-16	0.0230485861413909	4.91247060085837e-15	v605	desire for more children
