name	estimate	se	p.value	Nag.r2	adj.p.val
hb62_299993	-16.8934395523973	1.00129337877583	3.0641e-41	0.110036629290103	3.97069453608247e-40
hb62_399994	-0.0110544984301792	1.07398185743192	0.991790585454866	0.0332839833445028	0.995221473589755
hb62_499994	-13.4395642897926	0.471198522373595	2.4215e-124	0.00847931966620996	1.66026845454545e-122
hv009	-0.0822733776646221	0.0279154170995412	0.0032946741995429	0.00349673512475657	0.015146856794582
hv010	-0.0601633952048662	0.082148978157498	0.464146716449204	0.00022554478630088	0.69263841223979
hv011	-0.159538544719569	0.0807738923066253	0.0485798153745663	0.0018961521718569	0.14857622366382
hv012	-0.0773438582891461	0.0276227424339695	0.00522699379499455	0.00303416528146028	0.0231078471288681
hv013	-0.0806707133124057	0.0281720510447252	0.00429382024789257	0.0033547245305805	0.0192075873722454
hv014	-0.186770159061041	0.0898628418830953	0.0379753197595088	0.00268465078646918	0.123240043729008
hv016	-0.00533064980815008	0.00719972864063425	0.459265943735335	0.000236807260274752	0.687423925127425
hv017	-0.0480479206225153	0.212783934616127	0.821406927939752	3.79544560364931e-05	0.924082793932221
hv028	-1.12653109496517e-07	7.24014417692206e-08	0.120095021552449	0.00147253589326424	0.307871057970282
hv030	0.00214650849834083	0.00053817980508581	7.22784161251546e-05	0.00523874655785306	0.000424551257333268
hv035	-0.252090616151528	0.0976662791557911	0.0100152754409984	0.00399638300743088	0.0405670395736248
hv040	-0.00070360864083067	0.000157598992422122	9.11454193083625e-06	0.00618901253123028	5.73805302523932e-05
hv041	-0.0989980337379818	0.0576287898350025	0.0861898833399812	0.00150548231928638	0.241472548347005
hv801	-1.51901406284224e-05	0.000241406332485111	0.949842307232564	1.80779810421416e-06	0.977748428350856
hv802	-0.000100050192774651	0.000244415116019365	0.682390217646795	7.58940486302873e-05	0.849436418175358
hv803	-0.0114735371062493	0.00706569439560978	0.104785735245407	0.00178813687662371	0.27710168836636
hv804	0.156398428732646	0.0957970159441806	0.102926103159246	0.00126538411717769	0.274106168794856
hv807d	-0.0142597254582483	0.00705355454536113	0.0435293914111533	0.00171393733062064	0.136677214830524
hv807m	-0.0166121699167678	0.0132297073870733	0.209582922176328	0.000669089292196223	0.441775963961393
hv807y	0.196370038600045	0.128187437891427	0.125922854052178	0.000939608893160582	0.317204464015206
hv807c	0.115179657646561	0.0500223209616942	0.0215460927506813	0.00195127505218129	0.077677166121242
