name	estimate	se	p.value	Nag.r2	adj.p.val
hb62_299993	-16.8682721411241	0.727432827714803	1.8567e-62	0.114294879040417	4.43389301886792e-61
hb62_399994	-1.41912722905754	1.09260038723778	0.194437914181531	0.0215635214293881	0.438373203505007
hb62_499994	-13.6103065417404	0.712176128826501	2.0821e-67	0.00473318091522879	5.94416067669173e-66
hv009	-0.0692731604187492	0.0290023917576304	0.0171357139768186	0.00230686335841823	0.0689971431282929
hv010	0.0130920468119383	0.0877301443446036	0.881407272396863	1.1091701687227e-05	0.951845318011828
hv011	-0.208247649773842	0.0729636092643598	0.00442165822299848	0.00308970340767922	0.0203750440202976
hv012	-0.0748570946910385	0.0288592754612977	0.00965561067374712	0.00265072447541548	0.0413329805278668
hv013	-0.0716640980947012	0.0294787646635293	0.0152637500018919	0.00244969507448389	0.0625204517337471
hv014	-0.142176451244145	0.0691165623016567	0.0399893752587459	0.00165605267356583	0.140722574474011
hv016	0.0139165410548364	0.00822010580241232	0.0908285272164658	0.00159637861360806	0.261864781959697
hv017	-0.115346591443531	0.207856679607521	0.579088022538653	0.000214965857424643	0.786127000922154
hv028	-5.38605754059361e-08	7.77380394013187e-08	0.488597011160833	0.000314078618794067	0.730970390613744
hv030	0.00170321012813561	0.000583666789769208	0.00361544390854605	0.00331977379523662	0.0170744285083947
hv035	-0.131711803775865	0.0776795173982433	0.0903360976629683	0.00112838703314999	0.260841188461058
hv040	-0.000516838906884475	0.00016471680550456	0.0017619425300355	0.00340869348935902	0.00888458935796121
hv041	-0.103122583904413	0.0562497723301784	0.0671120197449171	0.0015608694714454	0.211355642556652
hv801	-7.07283712544166e-05	0.000237036740215609	0.765482603114288	4.17990062809848e-05	0.891254659348178
hv802	-8.08874728892928e-05	0.000246310629182963	0.742693965591233	5.22993527346527e-05	0.88116134239587
hv803	-0.0147699742783947	0.0060579854373807	0.0149720120072843	0.00280959245721968	0.0613917166216614
hv804	0.0683671742245084	0.095608267014549	0.47476079321711	0.00022570936409716	0.719978518009379
hv807d	0.0136839229552175	0.00781254237206285	0.0802191424105659	0.00155293959663338	0.237964299656755
hv807m	-0.0146870423323725	0.0140127817006142	0.294885928465913	0.00053947527992404	0.561525511727719
hv807y	0.140461590922919	0.138913479851037	0.312238474820353	0.000494573371288998	0.584312217295653
hv807c	0.035736919929921	0.0566770393578107	0.528515384241711	0.000196024121028149	0.756668295429153
hv807a	0.00215606430058723	0.00189276123887359	0.254981785004772	0.00060277617332638	0.518505583805505
hv204	0.000345010930098947	0.000159861022140871	0.0311959094259453	0.00200383902692458	0.114666861655677
hv216	0.0110878073385198	0.0552050985160649	0.840866421523889	1.37690382490119e-05	0.932740228608299
hv220	0.0118520454052181	0.00371109672283997	0.00145707617963973	0.00290071099676681	0.00753749080938972
hv238	0.00838738173542789	0.00615855911428968	0.173723611782781	0.0011500617096325	0.406820858074905
hv245	0.00282042355647301	0.00343760441925485	0.412201571452539	0.000626083192953986	0.668572988810462
hv246a	-0.144520738319264	0.0746714779759431	0.0532739876626784	0.000987768817449663	0.175591433294436
hv246b	-0.0406749722700132	0.0611988160372894	0.506465374242718	9.85927611290016e-05	0.742264210990683
hv246c	-0.209888261420345	0.269985181260212	0.437137802313923	0.000197775890594332	0.69046262703558
hv246d	-0.0126240039435603	0.0681937232065662	0.853179809931531	0.000104259629187253	0.939046985489686
hv246e	0.0309644642070364	0.0143133765935638	0.030797695447215	0.00105430044885924	0.113532863702015
hv246f	-0.0494705979686076	0.0158339113311037	0.00184320419085958	0.0060578499490308	0.00923304262888368
hv246g	0.0213902169307275	0.0115839841628115	0.0651663515238988	0.000970018541830875	0.206886820013582
hv246h	-0.0391221351020412	0.0211511931580421	0.0647162530352832	0.00140256486939183	0.205629801485331
hv271	1.83377274602757e-06	5.84044995047773e-07	0.00174987745892102	0.00485210765106736	0.0088472499487658
hv271a	2.78223865281275e-07	2.07065099980861e-06	0.893145820854852	1.68377867117986e-05	0.956843116720411
hml1a	-0.028602560235785	0.0439263213562385	0.515128686884724	0.000158138496992755	0.749116669514093
hml2	-0.189812471629619	0.0993946422009506	0.0565141383016117	0.00161175040572259	0.184192431872292
smnwght	2.08528581066824e-07	8.08045476361239e-08	0.0100299541483861	0.00373262549386211	0.0427907144959798
hv105	0.0574050274381234	0.00593778929860101	4.9085e-21	0.0329306806866945	4.2943720046083e-20
hv107	-0.0314798777031684	0.0257379448693187	0.221642050437786	0.000608366846264641	0.475148525196563
hv108	-0.0165798641193886	0.0164032487540043	0.312418972448335	0.000441980677945986	0.584361989352871
hv123	-0.053503628777702	0.0847495349604553	0.528215321836514	0.0010207853620291	0.756668295429153
hv124	-0.108245943656908	0.0282342185998636	0.000135573170595007	0.00822303705532756	0.000795628019705165
sh303	-0.154186154882546	0.118889006110412	0.195478825052255	0.00282242125571364	0.439191182676575
sh305	0.0302733216702943	0.263348444446153	0.908543012365091	4.15860345946983e-05	0.963725443303371
ha0	-0.286889642237874	0.0711039455612021	5.96344118490176e-05	0.00954018850053828	0.0003617122392823
ha1	0.0567252234765875	0.00586327739615167	4.6188e-21	0.0330416660185858	4.0690449187935e-20
ha2	3.3720395519774e-06	0.000129614542634634	0.979250831907553	1.02762454767813e-07	0.991332527611132
ha3	-0.00013150168607311	0.000216526492864881	0.543800197940823	4.6190631776355e-05	0.762725104110131
ha4	1.37171447289544e-05	2.94843376612967e-05	0.641883787100048	9.30483123819936e-05	0.822198353930282
ha5	0.000184348988828282	0.000617354567854254	0.765310571489617	3.64490839493969e-05	0.891254659348178
ha6	7.86416294896782e-05	0.000165325473058584	0.634427735546874	9.03410270064464e-05	0.820757107963026
ha11	-0.000509108998491967	0.000631636173383786	0.420461887787794	0.000323821912728395	0.675050227454653
ha12	-2.97919953898405e-05	4.34743250367994e-05	0.493357841676642	0.00024052780536532	0.73480747262042
ha12a	4.47614638954021e-05	3.16531828994676e-05	0.157697030895033	0.000846556244229246	0.384076732718692
ha12b	3.89267180894958e-05	2.81952733301925e-05	0.167766130257383	0.000781614331698322	0.399879470550711
ha21	0.00185875629461739	0.000593391520351065	0.00179377242998842	0.00413208653600072	0.00900750355523209
ha32	-0.00470586786526745	0.00048902013600137	7.2652e-21	0.0327743794860889	6.26953736363636e-20
ha35	-0.239082058383125	0.242904294517846	0.325268920228547	0.000148248856198019	0.592064280972096
ha40	0.000208096222973246	0.000146867459667101	0.156883927129953	0.000829912934854016	0.382587200586019
ha41	0.000284528837731008	0.000198427264340904	0.151967647241871	0.000764975393549028	0.375264270521519
ha53	-0.0199360779782917	0.00318562132460627	6.2043e-10	0.0152023626506685	4.70214113772455e-09
ha56	-0.0194417718129007	0.00321971995825188	2.3359e-09	0.0141079190933208	1.75631926732673e-08
ha67	-0.0232964422678022	0.0245653776975199	0.343229771431451	0.000322247743638537	0.605877936831808
ha69	-3.73811286013107e-08	7.95360355018948e-08	0.638484265825974	0.000146197089528788	0.82180500248855
ha70	0.00186947487722594	0.00059326633499471	0.00168390020090732	0.00418026712913677	0.00854781960273408
hmlidx	-0.154988329394408	0.151140757568434	0.305484569745987	0.00111315374092413	0.576503435052442
hml4	2.0437794306816e-05	0.00221894915171685	0.992653639068805	5.98287122066665e-08	0.997568587287623
hmlb	-0.0414556218429898	0.0501642263401837	0.408850171705417	0.000515136168939279	0.664272187404993
hmlc	-0.0211580757120389	0.0738672194143904	0.774653479341317	0.000135165702367046	0.894846139658954
hml16	0.0567112255983446	0.00586267274186515	4.6756e-21	0.0330298852166037	4.10005847575058e-20
v004	-0.000318999547104187	0.000274186282873363	0.244981022765701	0.00070804250513512	0.505265042608021
v005	-5.76070160655714e-08	7.82914005512096e-08	0.462056244526232	0.000350137204970236	0.71140710019844
v006	-0.0149428941511486	0.0139853924446444	0.285618025191989	0.000557378451910284	0.551342979996941
v007	0.140461590922919	0.138913479851037	0.312238474820353	0.000494573371288998	0.584312217295653
v008	0.0318735889012803	0.0565745393146937	0.573318989143455	0.000156884682392722	0.782112791370134
v008a	0.0021271268991905	0.00188754347860399	0.260094449412923	0.000589486150436191	0.523620779989527
v012	0.0567169088917095	0.00586260836676389	4.6316e-21	0.0330381990751171	4.0708762037037e-20
v016	0.0151768243926558	0.00780944842022141	0.0523024407998394	0.00193326956144158	0.173443115910035
