var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hiv07_0	1	-21.871768768221	0.260169995872147	7.390485e-246	0.500291848394644	1.884606825e-243	hiv07	assay 2: murex
hiv07_1	1	21.8717687673672	0.260170008746594	7.390615e-246	0.500291848394644	1.884606825e-243	hiv07	assay 2: murex
hiv06_0	1	-12.7339560796245	1.22557957326408	7.380083e-24	0.469794775850573	6.13669945108696e-23	hiv06	assay 1: enzygnost
hiv06_1	1	12.7339560796244	1.225579573264	7.380083e-24	0.469794775850573	6.13669945108696e-23	hiv06	assay 1: enzygnost
hiv08_0	1	-19.6210589727956	0.253982018572905	1.149004e-203	0.186304985832718	1.88354584285714e-201	hiv08	assay 3: inno-lia
hiv08_1	1	19.6010645940964	0.253670390328295	1.081028e-203	0.182480107820262	1.88354584285714e-201	hiv08	assay 3: inno-lia
hb62_399994	1	-16.5443103369349	0.346575187122339	2.308595e-195	0.0518543312956261	3.53215035e-193	hb62	NA
hv115_0	1	-1.45705367765055	0.190026355699872	4.893543e-14	0.0319319462893798	3.5095878703125e-13	hv115	current marital status
hv116_0	1	-1.45705367765055	0.190026355699872	4.893543e-14	0.0319319462893798	3.5095878703125e-13	hv116	currently, formerly, never married
hml16	1	0.0524588018730104	0.00579511758471619	9.777067e-19	0.0305290584332473	7.30891490716612e-18	hml16	corrected age from individual file
mv012	1	0.052456872791397	0.00579525856998883	9.822258e-19	0.0305261029948091	7.31576631774194e-18	mv012	current age
hb1	1	0.0524528147301446	0.00579570236352649	9.937016e-19	0.0305209557260797	7.33294267524116e-18	hb1	man's age in years
hb32	1	-0.00435755429511044	4.80365545083458e-4	8.337381e-19	0.0304565471931521	6.2941741430921e-18	hb32	date of birth (cmc)
mv010	1	-0.0523632220905646	0.00579212843646025	1.079005e-18	0.0304205616500818	7.91155423322684e-18	mv010	year of birth
hv105	1	0.0526294685242253	0.00580813252473838	9.062437e-19	0.0302194859603897	6.79682775e-18	hv105	age of household members
v501_0	1	-1.33057774487534	0.186440199575813	2.08346e-12	0.0278383939493969	1.48035315789474e-11	v501	current marital status
v502_0	1	-1.33057774487534	0.186440199575813	2.08346e-12	0.0278383939493969	1.48035315789474e-11	v502	currently/formerly/never in union
v513_0	1	-1.33057774487534	0.186440199575813	2.08346e-12	0.0278383939493969	1.48035315789474e-11	v513	cohabitation duration (grouped)
hv115_1	1	1.1679082982413	0.168207496566429	7.725109e-12	0.0241533347257371	5.4383819493865e-11	hv115	current marital status
hv116_1	1	1.1679082982413	0.168207496566429	7.725109e-12	0.0241533347257371	5.4383819493865e-11	hv116	currently, formerly, never married
v502_3	1	1.103178131608	0.168320880616112	9.821328e-11	0.0220124593701295	6.80965189123867e-10	v502	currently/formerly/never in union
hv101_1	1	1.07164761842111	0.159985622003457	3.880909e-11	0.0208484105056982	2.70128106818182e-10	hv101	relationship to head
v150_1	1	1.07164761842111	0.159985622003457	3.880909e-11	0.0208484105056982	2.70128106818182e-10	v150	relationship to household head
v605_8	1	-1.44645055833076	0.294796185281769	1.12111730626381e-6	0.0204244574187999	7.41488247226353e-6	v605	desire for more children
v767a_1	1	1.11439779026818	0.22330461125673	7.38759862373383e-7	0.0182708873256738	4.91435908448381e-6	v767a	relationship with most recent sex partner
hv121_0	1	1.48946994811462	0.276302480503221	9.14896825805105e-8	0.0182344351852273	6.13943922579741e-7	hv121	member attended school during current school year
hv121_2	1	-1.48946994811462	0.27630248050322	9.14896825804899e-8	0.0182344351852273	6.13943922579741e-7	hv121	member attended school during current school year
