name	estimate	se	p.value	Nag.r2	adj.p.val
hb62_399994	-16.5443103369349	0.346575187122339	2.308595e-195	0.0518543312956261	3.53215035e-193
hb62_499994	-15.1942560954482	0.480041331278017	7.656955e-141	0.012109466784969	5.4914724140625e-139
hv009	-0.0777587860620827	0.0353461777933758	0.0280871315268993	0.00268127612428226	0.104135649199085
hv010	-0.0300332572950345	0.109848210288127	0.784608394052349	4.37659890035746e-05	0.906135669922927
hv011	-0.239804160720486	0.081026745592259	0.00316822475991217	0.00339969576317356	0.0157042674384415
hv012	-0.0843093485889574	0.0362179934471657	0.0201603423822603	0.00306564442016277	0.0807469210598384
hv013	-0.0824687153445752	0.0373832304837582	0.0276544931196823	0.00301398102038697	0.102863957390066
hv014	0.059313742799706	0.0861223641237776	0.491195017363024	0.000226986009482566	0.724481082807288
hv016	0.00984735607053967	0.00864722701973634	0.255119875496231	0.000635086089848524	0.501518344237617
hv017	0.108245379675211	0.150257209707984	0.471480984134248	0.000182923745829622	0.714629436485172
hv028	-1.64027480117175e-07	8.28383577119404e-08	0.0480227990378956	0.00230199077680671	0.155228625059113
hv030	0.00174610801917215	0.000684996406369744	0.0109795362441336	0.00287255504760475	0.0481798005359209
hv035	0.0546479985368364	0.0927903653822834	0.556061282092938	0.000151162360632617	0.76672360352689
hv040	-0.000521157941183885	0.000180323647789784	0.00395115080128584	0.0027455398693027	0.0192116336630318
hv041	-0.107428505555744	0.0574953928660345	0.062048038891176	0.00149998878440816	0.190374664779745
hv801	9.05245303304671e-05	0.000266626299565175	0.734305037168444	5.08949299106165e-05	0.878506028826454
hv802	8.55782954591832e-05	0.000270275607774919	0.751601281094674	4.38153335066138e-05	0.885939876791103
hv803	-0.0187800566707076	0.00694317663203424	0.00697565969139636	0.00393909169591522	0.0318907151230172
hv804	-0.126550172447031	0.11517042190163	0.272170098742596	0.000549808574347055	0.523579527757131
hv807d	0.00434416256507319	0.00833236120844278	0.602254693428333	0.000124311905208119	0.803237518655156
hv807m	-0.00153205730707485	0.0150513575154158	0.918948992705882	4.55125031784132e-06	0.965537274027755
hv807y	-0.025636652869981	0.153234988544061	0.867172451616022	1.25993451333128e-05	0.945590781880101
hv807c	-0.0760237554644626	0.0647470782980077	0.240665306197182	0.000673028337650705	0.484182355144478
hv807a	-0.00245275944969321	0.00226915910822251	0.280050211430272	0.000593398663378819	0.531169615894607
hv204	9.84369830349824e-05	0.000197576631543625	0.618459713985977	0.00012006657542718	0.808755010597047
hv216	-0.143390021566142	0.0783360801820043	0.067541172802779	0.00209240273960165	0.201860596590491
hv220	-0.00558841088798072	0.0055723939583527	0.316213424780978	0.000493573801489844	0.571069540413658
hv238	0.0122175330339979	0.00543919793564552	0.0250879054371507	0.0037269319197426	0.094423490892738
hv245	0.00212134472794481	0.00129377149453937	0.101484963580488	0.00086865028992289	0.272088775020117
hv246a	-0.00547078391444346	0.0867378787000346	0.949723856851573	3.66533981288608e-06	0.979182048514384
hv246b	-0.0453296585994308	0.0901276641550312	0.615133086089698	0.000115382392410046	0.807626105592595
hv246c	-0.25283922827823	0.335772981005686	0.4516592895443	0.000320100138130663	0.695676556714207
hv246d	-0.0703473867304097	0.0464575366173315	0.130347800093967	0.00167291068941311	0.33018565255591
hv246e	-0.309666064090138	0.289847719497909	0.285661629345132	0.000859643747082472	0.535270947024069
hv246f	-0.025235245726718	0.0132355933253992	0.0569148921476642	0.00186443029327665	0.176991432898224
hv246g	-0.00136598760292451	0.0221791035353964	0.950904989675192	1.01681834352441e-06	0.979500426976915
hv246h	-0.00607126498091181	0.0193384014001928	0.753638834204653	4.86094836111839e-05	0.886784401689769
hv271	4.96531279374063e-07	7.53659011309965e-07	0.510189050509154	0.000252672309496771	0.738262213693889
hv271a	6.91321116133146e-07	2.01392946548647e-06	0.731482338942004	8.63833086985899e-05	0.87722671619498
hml1a	-0.0569133423340491	0.0491355609632807	0.247077538846443	0.00052452689319904	0.491211684085904
hml2	0.107995234124351	0.121287932277835	0.373506815824844	0.000398873701961455	0.63068751429226
smnwght	1.49492146242675e-07	1.75719380047529e-07	0.395156833992917	0.00079143233425194	0.646867226090302
hv105	0.0526294685242253	0.00580813252473838	9.062437e-19	0.0302194859603897	6.79682775e-18
hv107	0.0110714669803643	0.0342815008479842	0.746809480945679	5.34391158759639e-05	0.88509562230957
hv108	0.00832085244021422	0.0218139762387762	0.70296989340108	8.50429607317515e-05	0.859518329970953
hv123	-0.312487214575236	0.100094522210282	0.00190247979942413	0.0140034370114893	0.0100603482481069
hv124	-0.156301038107708	0.0354905165626595	1.20141653035941e-05	0.0150850526083176	7.74508690217653e-05
sh303	0.196773582620301	0.267124538056381	0.461768049272757	0.00425847809435964	0.705564362903447
sh305	-0.271333395729203	0.376803348935473	0.471881159022106	0.00139420618319108	0.714629436485172
hb0	-0.346742451728561	0.0982532690272353	0.000439927612598841	0.0163372236240953	0.00253676851988528
hb1	0.0524528147301446	0.00579570236352649	9.937016e-19	0.0305209557260797	7.33294267524116e-18
hb32	-0.00435755429511044	0.000480365545083458	8.337381e-19	0.0304565471931521	6.2941741430921e-18
hb67	0.0237962956217499	0.0332095412675547	0.473855356180722	0.000254320346263048	0.714863511649686
hb69	-1.27485870926244e-07	8.07316471657386e-08	0.114686491312924	0.0014605830340696	0.297071667678511
hb70	0.00177185559658369	0.000679004708387424	0.00923083637829894	0.00303629461121335	0.0416203722754343
hmlidx	-0.373005243400307	0.172072179000327	0.0305396242997107	0.00747419157405949	0.111783792293199
hml4	1.51483771194922e-05	0.00288214298562135	0.995807996773886	3.11298474775512e-08	0.99754664015542
hmlb	-0.203041131872791	0.107665809534477	0.0597977047650426	0.00510073831393365	0.183715839940794
hmlc	-0.0692525138547745	0.0742226166826651	0.351333927974555	0.00152110016753904	0.610667277385794
hml16	0.0524588018730104	0.00579511758471619	9.777067e-19	0.0305290584332473	7.30891490716612e-18
v004	0.000267106931987176	0.00029007807388251	0.357416609819558	0.000393772395651748	0.613316475987454
v006	-0.00147499234933402	0.0150546930423149	0.921975307164976	4.20464276951193e-06	0.966667999475602
v007	-0.027720577951187	0.153351429141696	0.856596076592846	1.47351894924652e-05	0.940935639938975
v008	-0.0784328987701429	0.065281610024445	0.229917158727577	0.000722461638030358	0.471545915352805
v008a	-0.00241437147514211	0.00226141655695012	0.285994441362631	0.000576888882259818	0.535270947024069
v016	0.00652857500804795	0.00893898257593889	0.465382862317474	0.000280134267251042	0.70825840120597
v021	0.000267106931987176	0.00029007807388251	0.357416609819558	0.000393772395651748	0.613316475987454
v027	-0.205791400848873	0.150219305363147	0.17107572081117	0.000750485663374212	0.396584625516803
v028	0.00175559024960596	0.000681203819583878	0.0101321236663394	0.00291945271345784	0.0449772220778509
v030	0.00160520269429817	0.000682243528890529	0.0188634268985419	0.00244252765010755	0.0763519660179077
v152	-0.00558841088798072	0.0055723939583527	0.316213424780978	0.000493573801489844	0.571069540413658
v191	4.96531279374063e-07	7.53659011309965e-07	0.510189050509154	0.000252672309496771	0.738262213693889
v191a	6.91321116133146e-07	2.01392946548647e-06	0.731482338942004	8.63833086985899e-05	0.87722671619498
v201	0.127536715572155	0.0180109697344586	3.047649e-12	0.0162056293200913	2.158751375e-11
v202	0.149283634989013	0.0487904219063537	0.00228681881446144	0.00297621665915659	0.0118738669212421
v203	0.199680712642565	0.053535577275498	0.000204587841909508	0.00489771123996896	0.00120701567399054
v204	0.32915519993799	0.0649408238186033	4.94329091514122e-07	0.0101944647554117	3.29792228204916e-06
v205	0.314325538016259	0.0560050425582038	2.71850041995164e-08	0.011010048406766	1.84040072678142e-07
v206	0.30083539926248	0.107200960355127	0.00512898665990279	0.00282983710622309	0.0243706508995381
v207	0.444528863719938	0.123025971880931	0.000320502359297511	0.00462545281332738	0.00188120950022452
v212	-0.026740142801173	0.0222972119985751	0.230798384907039	0.00138332281765308	0.472087605491671
v218	0.144610416391876	0.0208405692758132	7.954316e-12	0.0155843658211285	5.58261627522936e-11
v507	-0.0307989341240109	0.0214681199163057	0.151794289145662	0.00114902912950832	0.366124185898862
v508	-0.0279833557734773	0.00810162424597498	0.000582249482344993	0.00752626011885849	0.00328320039798958
v509	-0.0023571642657043	0.00067701830626321	0.000526170651077566	0.00769568629242579	0.00297428976409609
v511	0.0093425084313608	0.0183344680221406	0.610504933516439	0.000221296639024371	0.805793854628456
v512	0.0280088309736625	0.00813948024005461	0.000610362563301785	0.00752686905330047	0.00343328941857254
v527	-0.00208996627140579	0.00106410054578541	0.0499006972439095	0.0042242992501027	0.159723989086154
v603	0.00766176816657241	0.00519911664221985	0.141197958810544	0.00145960750959429	0.348065859796132
v766a	-0.43223818706792	0.133223583362689	0.00122377354581379	0.00482937283312357	0.00668704830391107
v766b	0.089646729151898	0.0575550221923002	0.119712848806816	0.00104460878421864	0.309044980890487
v834a	0.0391273634505929	0.0066987013904996	7.543224e-09	0.0143379572603872	5.18314343712575e-08
v836	0.0199734712878177	0.00670372179686384	0.00297320489960444	0.00392614543866932	0.0149638272907723
v852a	0.00434116379966753	0.00173438067232617	0.0125175419967871	0.00728730513663078	0.0539995467718541
v801	-0.000129986733820783	0.000235392706815999	0.580951431476285	0.000139920846407682	0.787773718971155
v802	-0.000114787718715396	0.000238947316006041	0.631077078993689	0.000109073001481552	0.814579244257883
v803	0.00633984184088041	0.00577823535017199	0.272880120309875	0.000496669066848532	0.524505758887071
mv005	-1.58014114138504e-07	8.32940208094983e-08	0.0581659181743209	0.00209757885128659	0.179423094368369
mv009	-0.0162995424710005	0.019379630006884	0.400553064372505	0.000276580441239016	0.65250186111273
mv010	-0.0523632220905646	0.00579212843646025	1.079005e-18	0.0304205616500818	7.91155423322684e-18
mv012	0.052456872791397	0.00579525856998883	9.822258e-19	0.0305261029948091	7.31576631774194e-18
mv034b_1	0.0234742988576225	0.00863370245088824	0.00669767345117319	0.00457531693465152	0.0306809592224401
mv133	0.00089390900093013	0.020430546835871	0.965111362383654	1.00145844061927e-06	0.984357965555344
mv136	-0.0777587860620827	0.0353461777933758	0.0280871315268993	0.00268127612428226	0.104135649199085
mv138	-0.239804160720486	0.081026745592259	0.00316822475991217	0.00339969576317356	0.0157042674384415
mv247	0.0641232485352521	0.016818788140236	0.000148624407330778	0.0102054063174887	0.000883660660166154
mv483a	-0.00449112365585637	0.00632462235274738	0.478038118316136	0.000774186676269051	0.717057177474204
