name	estimate	se	p.value	Nag.r2	adj.p.val
hb62_399994	-16.6060061878555	0.320511285068277	5.949101e-214	0.0589222354848353	2.27156506516667e-211
hb62_499994	-14.3477785670525	0.459504025561423	1.198659e-138	0.0153837353908515	1.05620298807692e-136
hv009	-0.0870510390193879	0.0308154039378425	0.00484226625386278	0.00361670587471408	0.0249581430904272
hv010	0.12188408315004	0.101660486649546	0.230895057479692	0.000746667231345644	0.495764364279264
hv011	-0.184783337467436	0.0975446200259311	0.0585251380460322	0.00238051727557398	0.190185945054553
hv012	-0.0812296260632417	0.0317365605038379	0.0106578952838822	0.00306035114083336	0.050138065904259
hv013	-0.088723707579453	0.0320131803369001	0.00570471607992065	0.0036973186228284	0.0289148330511022
hv014	-0.0801350315803204	0.0938036375249737	0.393192757714137	0.000420495850620428	0.664506837350523
hv016	0.00898656116351008	0.00875100824726991	0.304757539510786	0.00056604997460652	0.581832935849342
hv017	-0.149756371981943	0.24896681945701	0.547663102268532	0.000336793722831463	0.775400993294377
hv028	-4.75940612557353e-08	8.97441052135339e-08	0.59602394827808	0.000220124817348122	0.803702687171914
hv030	-0.000670643984829986	0.000679721153878958	0.324102827023188	0.000457259493871098	0.600978318884033
hv035	-0.0777479788976474	0.106525215825375	0.465683908708555	0.000319619219843581	0.713280979074189
hv040	-0.00034097426563679	0.000210825440339874	0.106185699472006	0.0012622738825957	0.301798388991389
hv041	-0.0526090867312686	0.0653413721663293	0.420967458813948	0.000404306166740143	0.682062551727549
hv801	0.00032557122673126	0.000280404990130982	0.245944006969411	0.000770389984816378	0.511912316802689
hv802	0.000285621687807586	0.000293025687907839	0.32997589074057	0.000551534461897485	0.605556668259903
hv803	-0.0153702039775881	0.00781189323626861	0.0494565638101854	0.00276690290838	0.169618245043615
hv804	0.0999764801046054	0.118528241931086	0.399200875499092	0.000439213524063842	0.669523576697233
hv807d	0.0107965557003982	0.00847791970815252	0.203199053204633	0.000825885379624358	0.453731998919897
hv807m	-0.000725035299493718	0.0167266310703265	0.965435979843974	1.08544344967765e-06	0.985942028578693
hv807y	-0.0173235509262678	0.166567114700366	0.917191662744316	6.17955694770522e-06	0.962494645422728
hv807c	-0.0454241996966705	0.0643201442985888	0.480248540539711	0.000262134688759241	0.724503202903212
hv807a	-0.000933710770762906	0.00213205747578475	0.661544155429935	9.37776893382702e-05	0.844814749214036
hv204	0.000244774498122102	0.000192451531689446	0.20377211825812	0.000877826430692896	0.454568571498883
hv216	-0.110038968332975	0.0641594698800633	0.0867014796658171	0.00120450914731884	0.26067334634434
hv220	0.00411728041883361	0.00446783060757889	0.357035872250568	0.000313420901420169	0.632124562075774
hv238	0.00789186635002991	0.00716361021277648	0.271108396721797	0.00160808409522084	0.543256173499827
hv245	-0.00479157143288527	0.00334838866826542	0.152830975566024	0.00107456421424001	0.381827442771822
hv246a	0.0222556812525556	0.0750526081289929	0.766895906320868	3.37207938755357e-05	0.895954749689677
hv246b	-0.0421428911830978	0.0819955318311466	0.607412279521296	8.78690415848649e-05	0.807415420694261
