var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hb62_399994	-16.6060061878555	0.320511285068277	5.949101e-214	0.0589222354848353	2.27156506516667e-211	hb62	
hb62_499994	-14.3477785670525	0.459504025561423	1.198659e-138	0.0153837353908515	1.05620298807692e-136	hb62	
hv009	-0.0870510390193879	0.0308154039378425	0.00484226625386278	0.00361670587471408	0.0249581430904272	hv009	number of household members
hv010	0.12188408315004	0.101660486649546	0.230895057479692	7.46667231345644e-4	0.495764364279264	hv010	number of eligible women in household
hv011	-0.184783337467436	0.0975446200259311	0.0585251380460322	0.00238051727557398	0.190185945054553	hv011	number of eligible men in household
hv012	-0.0812296260632417	0.0317365605038379	0.0106578952838822	0.00306035114083336	0.050138065904259	hv012	number of de jure members
hv013	-0.088723707579453	0.0320131803369001	0.00570471607992065	0.0036973186228284	0.0289148330511022	hv013	number of de facto members
hv014	-0.0801350315803204	0.0938036375249737	0.393192757714137	4.20495850620428e-4	0.664506837350523	hv014	number of children 5 and under (de jure)
hv016	0.00898656116351008	0.00875100824726991	0.304757539510786	5.6604997460652e-4	0.581832935849342	hv016	day of interview
hv017	-0.149756371981943	0.24896681945701	0.547663102268532	3.36793722831463e-4	0.775400993294377	hv017	number of visits
hv028	-4.75940612557353e-8	8.97441052135339e-8	0.59602394827808	2.20124817348122e-4	0.803702687171914	hv028	household weight for male subsample (6 decimals)
hv030	-6.70643984829986e-4	6.79721153878958e-4	0.324102827023188	4.57259493871098e-4	0.600978318884033	hv030	field supervisor
hv035	-0.0777479788976474	0.106525215825375	0.46568390870855503	3.19619219843581e-4	0.713280979074189	hv035	number of eligible children for height and weight
hv040	-3.4097426563679e-4	2.10825440339874e-4	0.106185699472006	0.0012622738825957	0.301798388991389	hv040	cluster altitude in meters
hv041	-0.0526090867312686	0.0653413721663293	0.420967458813948	4.04306166740143e-4	0.682062551727549	hv041	total adults measured
hv801	3.2557122673126e-4	2.80404990130982e-4	0.245944006969411	7.70389984816378e-4	0.511912316802689	hv801	time interview started (hhmm - 24 hour clock)
hv802	2.85621687807586e-4	2.93025687907839e-4	0.32997589074057	5.51534461897485e-4	0.605556668259903	hv802	time interview ended (hhmm - 24 hour clock)
hv803	-0.0153702039775881	0.00781189323626861	0.0494565638101854	0.00276690290838	0.169618245043615	hv803	length of interview in minutes
hv804	0.0999764801046054	0.118528241931086	0.399200875499092	4.39213524063842e-4	0.669523576697233	hv804	number of visits for biomarker
