name	estimate	se	p.value	Nag.r2	adj.p.val
hv003	0.0635971355204886	0.157750791765621	0.687051594428947	6.25525526165571e-05	0.818217620944371
hv008	-0.0541162878655784	0.122666249778181	0.659328182137843	0.000108427091326857	0.801603863045068
hv010	-0.00944521412550326	0.177291642336258	0.957539123653729	1.41758685023863e-06	0.980111962732008
hv011	-0.63538838039984	0.19007528105509	0.0009066434865582	0.00415410273706784	0.00261498690620202
hv012	-0.124614846235849	0.0569097139822426	0.0291177256858852	0.00222949034734365	0.0733573641589152
hv013	-0.139047594076055	0.0559900501457293	0.0134169826328438	0.00273235039598774	0.0360314727949162
hv014	-0.341129332157254	0.189580756198996	0.0727034028448488	0.00189946844068689	0.167269181116302
hv016	-0.00690896752432859	0.0206020332556489	0.73753237810919	5.64771376401207e-05	0.851550962942777
hv017	0.221791383120624	0.521703774744019	0.670969011772908	3.69778572049118e-05	0.807926774144299
hv018	-0.00842002397250068	0.00359898305497345	0.0197929952909865	0.00361603154020385	0.0516634565122487
hv019	-0.0290692174601803	0.0314332762322492	0.355626571443457	0.00043261237478287	0.560157915641507
hv022	-0.000302690750477465	0.00351946440400852	0.931505226894639	4.58560003380182e-06	0.965817152032641
hv030	-0.00441594464094167	0.00305676350572781	0.149332144988112	0.00119508048486061	0.301574216627897
hv031	-0.00463511386340482	0.00314571004608545	0.141408489291383	0.00130601086421023	0.290460680706625
hv032	-0.183640855149661	0.156968087846271	0.242720953789012	0.000806475003925389	0.432515650362601
hv035	-0.474881295490784	0.202372468319196	0.0194293951791171	0.00283314793351364	0.0508891683037185
hv040	0.00100469638009634	0.00199659981439497	0.615100139640883	8.63021344050807e-05	0.771837269334735
hv041	-0.0298077412080988	0.175075722073858	0.864893819982338	1.43460847137344e-05	0.928635700287135
hv216	-0.230135885491844	0.0992790446718578	0.0209441080710937	0.00152800544197496	0.0542951295077813
hv218	-10.3843489602099	0.897806544405166	6.3712e-27	2.03304246246816e-05	2.13152399119589e-26
hv220	-0.00960368038732458	0.0142924692465957	0.502006023003798	0.000209982225129357	0.694312242916991
hv238	0.0576971594661994	0.143750413570797	0.688483592943175	0.000111314208483648	0.818640204386148
hv271	1.13949735179368e-06	1.40872487164932e-06	0.419057009586245	0.000269570784944717	0.620422066140674
hml1a	-0.0907042636889862	0.121214599893069	0.454717703136962	0.000214184664026007	0.655552553368494
hml2	-0.172438361830834	0.292253092025747	0.555499776880646	0.000228602432049141	0.728105485074948
shnumdv	-0.250169128578218	0.1264407560312	0.0485456866355371	0.00246917024399673	0.116509647925289
sh28bh	0.0227127578798878	0.0833114454962662	0.785283110983461	1.81467325129914e-05	0.880691339420704
sh28bm	-0.00661871693304147	0.0136054563375041	0.62689873007689	0.000101126982078981	0.779138241796298
sh28ch	0.148647757180627	0.0570495384797664	0.00951382066403554	0.00189458710032686	0.0260090061318957
sh28cm	-0.000667628227276064	0.0151020361120955	0.964760801709327	7.95457747782002e-07	0.984230240558888
sh28dh	0.0701367682657317	0.0479320491439273	0.144191113152559	0.000407816899849478	0.293774581900724
sh28dm	0.00492765025324383	0.0123362957147468	0.689783053514638	6.60419884533914e-05	0.819652319583062
hv107	0.17200282768929	0.317636511908659	0.588653361113954	0.000631735018606139	0.752940534096124
hv108	-0.0642686953764228	0.0995904654334825	0.519079801460937	0.000373730953054707	0.701532920740388
hv124	-0.149308114401818	0.121518446904225	0.219904480590937	0.000771505789162519	0.403851965966441
hv127	-0.423580268405288	0.107309621295817	0.000134797976791566	0.0015490454773337	0.000392515181462031
hv128	-0.168636517612124	0.135643137916979	0.214501639450197	0.000793088610987813	0.395842766447956
sh15b	-0.114634448389714	0.080714906239559	0.156819885725684	0.000257719252077626	0.312502426380829
sh20b	-0.28322614792387	0.0890317086373515	0.0018745249484593	0.000649272923033961	0.00535578556702657
ha0	-0.103731074045316	0.0932377234589212	0.266565862263182	0.000704600202014016	0.461831433100346
ha1	0.0282021892540575	0.0171402223519612	0.100669100091022	0.00105469329304064	0.220379787045156
ha2	0.00139775582505348	0.00120018130638101	0.244863272261151	0.00042886748647275	0.434296585574037
ha3	0.00816907332541799	0.0033250588502963	0.0144368757762143	0.00340350630805664	0.0386338929222636
ha4	0.000170173129177299	7.16421928845815e-05	0.0180019352769826	0.00322571833246599	0.0476153276467753
ha5	0.00473617718496512	0.00204106467473332	0.0208166224062634	0.00311333848221185	0.0540568326723013
ha6	0.00129280607852667	0.000551055794822741	0.0194584403904556	0.00314069127351257	0.0509359863263361
ha11	-0.00062130873316451	0.00173049741094647	0.719757579205214	6.46639696967322e-05	0.838981227294421
ha12	-3.87660954916821e-05	0.000125085854914251	0.756785502512986	5.20387538636147e-05	0.861013445972858
ha12a	-1.3158308388824e-05	0.000102255325274698	0.897674493669533	8.86427741431106e-06	0.946449870782213
ha12b	-6.2663073193261e-05	0.000110159113275534	0.569781373432469	0.000215650995977423	0.739807250242614
ha32	-0.0024171529898334	0.00143426107943533	0.0927038680235956	0.00112201115607302	0.206109038609262
ha35	-1.3654511532546	0.145732246509161	5.4691e-19	2.28956909309463e-05	1.64941111111111e-18
ha40	-3.05161821572314e-06	0.000447247506897489	0.994559374029294	2.13112744118504e-08	0.997090555866317
ha41	-0.000403557640218953	0.000808956487304283	0.618149476871291	0.000138936119795985	0.772952155811665
ha53	-0.0203058248868939	0.00709548604840842	0.00443208432274542	0.00198588503799846	0.0123989598231406
ha56	-0.0201165056932194	0.00709301627698256	0.00479709037162477	0.00194787258122298	0.0134036348618927
ha67	-0.361390633587341	0.230955275710919	0.118983706384088	0.00363267113036314	0.253772544953901
ha69	-2.63560777804847e-07	1.52066166959096e-07	0.0838234959752283	0.00168062243729161	0.188851354568696
hmlidx	-0.922797586614393	0.543561894040334	0.0904956524613528	0.00291021515202472	0.201888539737656
hml4	0.0136020516553016	0.00866331006992599	0.117350061818272	0.00298537916863828	0.250874956348486
hmlb	-0.175920459989387	0.176371415162487	0.319303089344261	0.00122032566820429	0.52280864898019
hml16	0.0282208907120624	0.0171433921479794	0.100506990509346	0.00105592111254149	0.220130584400873
v004	-0.00173148825222677	0.00196453294646455	0.37863947849307	0.000581671920946381	0.580954246947644
v005	-2.43855245622751e-07	1.42779282869917e-07	0.0884198318438974	0.00151523796745101	0.19774126199518
v006	-0.0368509008962218	0.116729859537451	0.752397899941934	5.11396618132487e-05	0.857733605934154
v008	-0.0368509008961866	0.116729859537489	0.75239789994224	5.11396618132487e-05	0.857733605934154
v012	0.0304383113080226	0.0175900639121033	0.0843177357540121	0.00122478828128592	0.189590175068193
v016	-0.0122887180133124	0.0209930561144109	0.558625366408174	0.000178968747370556	0.730522417786428
v018	0.0368509008962225	0.11672985953745	0.752397899941927	5.11396618132487e-05	0.857733605934154
v019	-0.0368509008962206	0.116729859537452	0.752397899941945	5.11396618132487e-05	0.857733605934154
v021	-0.00173148825222677	0.00196453294646455	0.37863947849307	0.000581671920946381	0.580954246947644
v022	-0.000771200695145493	0.00360047019653251	0.830503497587071	2.95615966816598e-05	0.908960859562912
v027	-0.212789340850835	0.783097989973002	0.785970276009552	3.93058594124751e-05	0.880812105825401
v028	-0.00762558839075589	0.00352032096997833	0.0308829619026328	0.00303293541533078	0.0774622146732704
v029	-0.0342848662821528	0.0317189729493316	0.280388807134162	0.000608906550891186	0.478285981521853
v030	-0.00484292251512657	0.00314963692982366	0.124926083012991	0.00143105347349637	0.263367054340841
v031	-0.00505065347145301	0.00324249957158901	0.120105021596087	0.00154086710773971	0.255447247424513
v032	-0.164290463888316	0.157188373383357	0.296563797902667	0.000647599300062418	0.498096102554756
v040	0.00123012989343428	0.00203755603437876	0.546369207654634	0.000129684098815197	0.721112470884264
v133	-0.041937836282349	0.0815366701520963	0.60729326235545	0.000189685611919899	0.765090843615421
v136	-0.147015255283495	0.0623313796915729	0.0188190759822934	0.00294287708858942	0.04943259589819
v137	-0.335238590412271	0.193020134032793	0.0831835778902429	0.00186050794587378	0.187687835318905
v138	-0.00114801071249264	0.180901335297836	0.994939743154871	2.09038374388015e-08	0.997090555866317
v152	-0.00597559039890608	0.0146267625767131	0.683095090121288	8.04615156486665e-05	0.815892373303952
v191	1.24941963044296e-06	1.39393263501417e-06	0.370611845194	0.000333565057495377	0.572295974969401
bord_01	-0.0547911057034291	0.0656273029519111	0.404280820806105	0.000356572894310125	0.604257160019379
bord_02	-0.11713164801682	0.0847154458179245	0.16755200581659	0.00133708992697079	0.329326356260194
bord_03	-0.162029871245334	0.0992699613095856	0.10345403091912	0.00202188395345226	0.22582385810009
bord_04	-0.214734732645612	0.118839842435353	0.0716040782673047	0.00259915453940696	0.165233715742481
bord_05	-0.37199693950341	0.179831306509972	0.0393585365083886	0.00530264100357736	0.0968041674639979
bord_06	-0.374398121035739	0.182129967630468	0.0406743446493521	0.00331629313438542	0.0997177481726051
bord_07	-0.93919252160084	0.447827856884233	0.0369515117647484	0.010004372757268	0.0915754856778547
b1_01	0.0260869777170371	0.0736491185471063	0.723370502158175	0.000112300227342099	0.840448475008881
b1_02	0.0697009856739867	0.0506418586800082	0.169490663799775	0.000830376984201187	0.332420398678268
b1_03	-0.0256057529332345	0.0775424137251372	0.741416766264788	0.000102233838811139	0.852543838041958
b1_04	-0.211612976368033	0.0763579381072517	0.00587107016878077	0.00610790688800233	0.0162946317526721
b1_05	0.151270305058562	0.0944311157095608	0.110126139819598	0.00353458983781674	0.237435081596864
b1_06	0.376267680806795	0.181187048759052	0.0386763738784286	0.0144090395743909	0.0952290847114657
b1_07	0.106579749705408	0.188414049316869	0.572113198522805	0.0014258846463695	0.74159019653097
b2_01	-0.0725201747053873	0.0300323979984361	0.0161935425574288	0.00197331716170057	0.0431575418245911
b2_02	-0.0585875902731916	0.0303873708057599	0.0545668182902107	0.00161963070224358	0.130206536579467
b2_03	-0.0580849485362224	0.0336406021212221	0.0850379739674289	0.00173583992970838	0.190739380861523
b2_04	-0.0629375540845951	0.0487723689129476	0.197723410757411	0.00183628822009463	0.373186569972597
b2_05	-0.0642876610471327	0.0449031741308803	0.153171771552233	0.00196892084539624	0.308100255085215
b2_06	-0.0907157690600898	0.0779917026905981	0.245688323369491	0.00250300749794874	0.435252041400497
b2_07	-0.0242608064768769	0.0702904046035783	0.730263136998689	0.000149144787895183	0.84560688286288
b3_01	-0.00595677904867324	0.00248633122111904	0.0170412254999998	0.00191494474853471	0.0453107803381919
b3_02	-0.00477938459294743	0.00254844112464956	0.06147125088045	0.00152073543862308	0.144340321325876
b3_03	-0.00491482461433451	0.00277314790623551	0.0771391308928273	0.00178378330544515	0.175965201036164
b3_04	-0.00567337878036337	0.00397467007286525	0.15433138469726	0.00218006658031344	0.309613336656184
b3_05	-0.00509967846495887	0.00380667395421228	0.181269646835193	0.00174275590379425	0.350398299944248
b3_06	-0.00669247424719572	0.00696076342144873	0.337091631066491	0.0019148059429962	0.540864826763969
b3_07	-0.00167801784823286	0.0060697146700964	0.782418933106937	0.000100970148076196	0.878775944573309
b8_01	0.0929433089687849	0.0309573570551926	0.00284759110180015	0.00215306858855491	0.00804025722861219
b8_02	0.0489457256256849	0.0372427572544049	0.189541630306706	0.000933603079121159	0.361938791540444
b8_03	0.0913008590749781	0.0422508090499369	0.0313439731583925	0.0039111238555275	0.0784890266898791
b8_04	0.0764096324933072	0.0557732349775684	0.171605439084288	0.00309946248189485	0.335701759856007
b8_05	0.0638249788738232	0.0546221327954288	0.243540091693682	0.0020157942802379	0.43279916764852
b8_06	0.0821546314349401	0.0896271028222011	0.360162169105623	0.00285212145561919	0.563969216842754
b11_01	0.00283541535859749	0.00536421069047312	0.597392836709295	8.27132166956179e-05	0.758805385903728
b11_02	0.0059754968374965	0.00900753717257827	0.507480836940717	0.0002288892587059	0.695049547242528
b11_03	0.00907301881776297	0.0098220521478757	0.356237199915734	0.000409084249353486	0.560345509353483
b11_04	0.0267183783646679	0.0107605755593206	0.0135219769569482	0.00662513290390787	0.0362920629333042
b11_05	-0.0106852395982735	0.0233053094499411	0.646931664848787	0.000178001149347184	0.793226241384907
b11_06	0.0249520125846441	0.0164582720431842	0.130728803303231	0.00258099356929098	0.272326789887041
b12_02	0.00285202975790827	0.00545236448985601	0.601211733814006	8.49750780977931e-05	0.761958172927145
b12_03	0.00985275453527318	0.00786085122654506	0.210824457704151	0.0007172337650454	0.391329672168798
b12_04	0.00849041571649646	0.00983069718866853	0.388344562754012	0.000359313318399335	0.589890475069385
