var	concordance	Estimate.x	SE.x	P.Val.x	Nag.R2.x	FDR.x	varOrig.x	varlabel.x
hv218	1	-10.2317431734518	1.03472183589287	8.796547e-21	1.29918510840543e-5	2.51789516631376e-20	hv218	line number of head of househ.
v603	1	0.045699888292396	0.017828688399965	0.0108664307534781	0.00145926036009902	0.0263810327027297	v603	preferred waiting time
v616	1	0.045699888292396	0.017828688399965	0.0108664307534781	0.00145926036009902	0.0263810327027297	v616	time for future birth
v836	1	0.0421233879897734	0.0117029667514867	3.59335106713086e-4	0.00814805791546924	9.3414563580832e-4	v836	total lifetime number of sexual partners
hv105_07	1	0.0290570324213066	0.0100482222213247	0.00408907238330633	0.00155939186200282	0.0102364488787483	hv105	age of household members
hv105_10	1	0.0233005430935546	0.00689187158456034	8.65123784014978e-4	0.00143728487777639	0.00222953044511312	hv105	age of household members
hv108_11	1	0.286205616014573	0.109433771455539	0.00973527384977237	0.0194559064473937	0.0237511931330788	hv108	education in single years
hv124_01	1	-1.16861700162058	0.0962659161910362	4.164039e-29	6.96946740957882e-5	1.31046052761905e-28	hv124	education in single years - current school year
hv128_01	1	-1.29345075717788	0.110057862382677	1.292521e-27	6.96946669656029e-5	4.00412234791667e-27	hv128	education in single years - previous school year
sh20h_05	1	-0.0476490214601154	0.005709648570252	5.074408e-15	0.00144115929879962	1.37193539927273e-14	sh20h	hours of household work
ha53_03	1	0.0587979542771764	0.0141946846216327	6.12643091555149e-5	0.00887167622796514	1.61668194701421e-4	ha53	hemoglobin level (g/dl - 1 decimal)
ha56_03	1	0.0587979542771764	0.0141946846216327	6.12643091555149e-5	0.00887167622796514	1.61668194701421e-4	ha56	hemoglobin level adjusted by altitude (g/dl - 1 decimal)
ha67_02	1	-2.54058736599657	1.06221070276651	0.0181871822432181	0.0381408266760147	0.0433055884638356	ha67	woman's highest year of education
hml16_07	1	0.0289244467169283	0.0100940195003303	0.00443469650055591	0.00153686207492021	0.0110458855884868	hml16	corrected age from individual questionnaire
hml16_10	1	0.0234026783631748	0.00689001585708454	8.19396006210661e-4	0.00144928701259905	0.00211535045353343	hml16	corrected age from individual questionnaire
hv024_8	1	-11.9877667526602	0.604666746916776	1.666981e-61	7.45020530424911e-5	9.16377355637708e-61	hv024	region
hv201_41	1	-12.0346566552734	0.651683982390765	1.394757e-55	5.25585791562033e-5	6.97144087058824e-55	hv201	source of drinking water
hv213_32	1	-10.3814138925684	1.03315182804094	2.420145e-21	1.82249244823351e-5	6.98787498058252e-21	hv213	main floor material
hv213_96	1	-13.2209221079659	0.628855604796309	9.856394e-67	2.3233156152036e-4	5.9337886145749e-66	hv213	main floor material
hv217_3	1	-13.2527692877598	0.416406231981491	6.660492e-112	1.78669813469368e-4	1.04254227410526e-110	hv217	relationship structure
hv226_96	1	-13.3336583330329	0.411941100409497	6.692102e-114	3.08656225983528e-4	1.10568396377778e-112	hv226	type of cooking fuel
hv234_994	1	-13.3232313035697	0.464736430583752	3.160784e-99	4.63726562484057e-4	3.64347737054264e-98	hv234	test salt for iodine
hv236_2	1	-11.6785145707204	0.725483500029518	1.689826e-43	5.29341083752577e-5	6.74569466308725e-43	hv236	person fetching water
hv237a_0	1	11.2043667261016	0.647895623987849	1.718826e-50	5.4531780864453e-5	7.88856712654321e-50	hv237a	water usually treated by: boil
hv237a_1	1	-11.2043667266028	0.647895626959346	1.718827e-50	5.4531780864564e-5	7.88856712654321e-50	hv237a	water usually treated by: boil
hv237x_0	1	11.1593254366255	0.751107891552543	4.142977e-40	5.04066430865313e-5	1.55374773593947e-39	hv237x	water usually treated by: other
hv237x_1	1	-11.1593254364316	0.751107894234867	4.142979e-40	5.04066430866423e-5	1.55374773593947e-39	hv237x	water usually treated by: other
shunicef_3	1	-10.9619744764122	0.727603873323656	5.526272e-41	3.55996301374395e-5	2.12890322901554e-40	shunicef	unicef domain
sh22c_1	1	-15.802134057885	1.04513876387731	2.558877e-28	0.0013481545493117	7.9938027289916e-28	sh22c	water shortage frequency
sh22c_2	1	-15.9974767705116	1.02622395432157	2.677047e-29	0.00318646581547166	8.44277601060445e-29	sh22c	water shortage frequency
sh22d_3	1	-14.9190642796264	1.07505119457032	1.392591e-25	0.00131590524862413	4.23906410849539e-25	sh22d	water shortage duration
sh22d_4	1	-14.7650698244226	1.0849613964001	5.287915e-25	0.00114783432292298	1.60145205804481e-24	sh22d	water shortage duration
sh23a_3	1	-11.0309499625629	0.790655249363995	1.604138e-35	3.28908545105255e-5	5.46472670332188e-35	sh23a	toilet location
sh24b_7	1	-12.2970325000877	0.573442506444336	1.45276e-68	6.71226092353594e-5	9.11499628691983e-68	sh24b	way of garbage discharge
sh24c_5	1	-12.185384879354	0.534653553435354	2.065175e-74	5.87849424485976e-5	1.42172001157407e-73	sh24c	way of dirty water discharge
sh25h_0	1	13.3011161759859	0.453532322447492	6.463166e-102	2.63232129086743e-4	8.00896713e-101	sh25h	washing machine
sh25h_1	1	-13.3011161764103	0.453532327876658	6.463188e-102	2.6323212908641e-4	8.00896713e-101	sh25h	washing machine
sh25o_0	1	12.2055807042539	0.828570599969875	1.396215e-39	7.03740501672989e-5	5.16460623134328e-39	sh25o	internet
sh25o_1	1	-12.205580703403	0.828570599763708	1.396215e-39	7.0374050167521e-5	5.16460623134328e-39	sh25o	internet
sh28i_0	1	14.2349094688878	0.396612974939944	1.96454e-127	5.82147657314347e-4	5.12503680701754e-126	sh28i	camel
sh28i_1	1	-14.2349094686974	0.396612966444473	1.964527e-127	5.82147657314458e-4	5.12503680701754e-126	sh28i	camel
sh28fa_4	1	-15.3534924522746	0.330605610729849	1.183876e-163	0.00202117362921694	2.51489087428571e-161	sh28fa	distance to market
sh28fa_8	1	-13.2813463699876	0.465595097489087	1.216519e-98	1.74171251537403e-4	1.3861791210728e-97	sh28fa	distance to market
sh28ga_4	1	-15.3486902074686	0.326464313013668	1.81991e-165	0.00201835408348416	4.92037485454545e-163	sh28ga	distance to health facility
sh28ga_8	1	-13.2795561638831	0.458148931437396	1.602596e-100	2.0582810122094e-4	1.89885279043825e-99	sh28ga	distance to health facility
sh28ha_4	1	-14.2637372462662	0.39356637847231	9.863196e-129	5.14109461051238e-4	2.74141541158878e-127	sh28ha	distance to school
sh28ha_8	1	-12.3011984003261	0.498953698557895	2.020966e-82	1.24508717780358e-4	1.61135466058981e-81	sh28ha	distance to school
sh21_32	1	-13.201490954765	0.402173055399719	8.393271e-116	2.76583074969361e-4	1.45125511360465e-114	sh21	source of drinking water
sh21_41	1	-12.0346566552734	0.651683982390765	1.394757e-55	5.25585791562033e-5	6.97144087058824e-55	sh21	source of drinking water
hv101_2	1	-12.3487595868021	0.573569323691858	6.170007e-69	8.79335984587115e-5	3.87940820676533e-68	hv101	relationship to head
hv106_8	1	-11.2937996567751	0.812680755810731	3.933775e-36	2.75040820111316e-5	1.35092919745958e-35	hv106	highest educational level
hv109_8	1	-11.2937996567751	0.812680755810731	3.933775e-36	2.75040820111316e-5	1.35092919745958e-35	hv109	educational attainment
hv121_2	1	-13.2312045332446	0.443105308807357	4.523465e-104	2.12221860665718e-4	5.90034425877193e-103	hv121	member attended school during current school year
hv122_1	1	-14.2983871275537	0.333438991943834	4.566067e-152	6.67087253184984e-4	4.243588518125e-150	hv122	educational level during current school year
hv126_1	1	-14.3155909292296	0.317644711728367	2.945596e-159	9.30449428657165e-4	5.15306029647059e-157	hv126	educational level during previous school year
hv126_3	1	-12.3698538771233	0.514309745508492	7.667855e-80	1.44560883390654e-4	5.86226240874036e-79	hv126	educational level during previous school year
hv129_1	1	-12.4247776419823	1.24530854331806	1.966738e-20	2.3361237648456e-5	5.60793749952061e-20	hv129	school attendance status
hv129_3	1	-14.361911029171	1.02326422892451	9.496549e-35	1.76564930952749e-4	3.18048837004504e-34	hv129	school attendance status
hv129_4	1	-12.5044037538244	1.12464774799891	2.8091369999999998e-24	3.51998128377273e-5	8.38792513855422e-24	hv129	school attendance status
sh15a_0	1	-11.5924413451414	1.07483128306355	6.363628e-23	7.21961285169437e-5	1.87938725640516e-22	sh15a	level of education attended
sh15a_8	1	-12.2383449764465	0.870192148953225	2.234841e-34	6.73555787791269e-5	7.43447106711409e-34	sh15a	level of education attended
sh20a_1	1	-16.653395191761	0.997278378190611	1.688387e-35	0.00303060654655907	5.74515210297483e-35	sh20a	level of education last year
sh20a_3	1	18.5522958472163	0.992019644522046	2.319538e-40	0.0118365220214086	8.76531894790343e-40	sh20a	level of education last year
sh20a_4	1	-14.4727550760857	1.17021603405168	2.145041e-24	4.20794333748198e-4	6.41785908853119e-24	sh20a	level of education last year
hb65_2	1	-12.1896826948422	0.439137405283218	1.763712e-95	1.09344167864456e-4	1.8212776e-94	hb65	result of man individual interview
hb65_6	1	-12.1204175114219	0.466557396454447	4.834957e-88	6.81920534451042e-5	4.29228719940299e-87	hb65	result of man individual interview
hb65_7	1	-11.186345324262	0.633679712450268	4.782501e-52	3.60308990378089e-5	2.24694438767772e-51	hb65	result of man individual interview
hml6_8	1	-12.2111912011335	0.838518684438111	6.52593e-36	9.90230464820163e-5	2.23081791034483e-35	hml6	mosquito net treated with insecticide
hml7_98	1	-12.2111912011335	0.838518684438111	6.52593e-36	9.90230464820163e-5	2.23081791034483e-35	hml7	brand of bednet
hml8_8	1	-12.0988566815324	0.807189023921936	1.955148e-37	8.42248985390981e-5	6.96360497245509e-37	hml8	bednet treated since receiving
v023_1	1	-15.3429171416816	0.37082544553179	8.669991e-147	0.00296120044211468	5.60533765956522e-145	v023	sample domain
v023_8	1	-11.8797958861229	0.625760093701327	8.447448e-58	6.86430303264984e-5	4.33150178482759e-57	v023	sample domain
v024_1	1	-15.3429171416816	0.37082544553179	8.669991e-147	0.00296120044211468	5.60533765956522e-145	v024	region
v024_8	1	-11.8797958861229	0.625760093701327	8.447448e-58	6.86430303264984e-5	4.33150178482759e-57	v024	region
v105_3	1	-17.0404145249484	0.423811239439969	7.316948e-113	0.0160329972331368	1.16992491139785e-111	v105	type of place of previous res.
v130_4	1	-14.3264083903949	0.507135054389489	2.050654e-97	4.46300885876716e-4	2.21768908945455e-96	v130	religion
v131_11	1	-11.1550587238194	0.817689275064221	4.463105e-35	2.42173171417503e-5	1.50832662159091e-34	v131	ethnicity
v131_12	1	-12.1503500246544	0.643054600715268	2.079087e-57	7.7803540375232e-5	1.05876793458904e-56	v131	ethnicity
v150_12	1	-14.2975607091864	0.411632557027376	5.789879e-123	4.55401701718205e-4	1.25686862379562e-121	v150	relationship to household head
v150_13	1	-11.10951587244	0.670520323115607	2.413664e-47	4.36006991505478e-5	1.03731744739884e-46	v150	relationship to household head
v151_1	1	15.2446466583702	0.35330484989306	9.240568e-153	0.00119327465586894	8.86498554193548e-151	v151	sex of household head
v151_2	1	-15.2446466585996	0.353304850115227	9.24057e-153	0.00119327465586871	8.86498554193548e-151	v151	sex of household head
v155_3	1	-13.0436329660167	0.434494461753216	1.306411e-104	2.37392385289303e-4	1.72678502844444e-103	v155	literacy
v155_4	1	-11.2135031188449	0.680712251983207	6.180665e-47	4.30277284483305e-5	2.62589967285714e-46	v155	literacy
v217_4	1	-14.2621572084866	0.417070256811971	6.248753e-121	7.63129256249773e-4	1.23891942813333e-119	v217	knowledge of ovulatory cycle
v301_2	1	-11.9290798382315	0.427013110935579	4.004566e-96	8.57843704994421e-5	4.23828444270463e-95	v301	knowledge of any method
v305_07_0	1	14.6141905877199	0.699621724064679	5.935194e-52	8.24845299816412e-4	2.77535643962264e-51	v305_07	ever used method
v305_07_1	1	-14.6141905853585	0.699621714710101	5.935184e-52	8.24845299816079e-4	2.77535643962264e-51	v305_07	ever used method
v312_5	1	15.8567129343383	1.09202443121872	1.276957e-24	0.00338360891812794	3.83215955398587e-24	v312	current contraceptive method
v312_7	1	-15.8567129309586	1.09202442772405	1.276956e-24	0.00338360891812783	3.83215955398587e-24	v312	current contraceptive method
v501_3	1	-12.1035622964809	0.471134095098244	9.503099e-87	9.42398615061402e-5	8.33693699882006e-86	v501	current marital status
v501_4	1	-12.2145871743364	0.488388455963805	7.244582e-84	1.09264945999943e-4	5.8547246923913e-83	v501	current marital status
v510_2	1	-11.5781503820333	1.05564637127955	1.386174e-24	3.7080628975783e-5	4.15572729435484e-24	v510	completeness of date inform.
