var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hv003	-0.306112387025426	0.26197905095705	0.243313191460931	5.35240473031773e-4	0.400232133157995	hv003	respondent's line number
hv008	0.218096191368204	0.143567499052051	0.129518471479956	0.00171503703623266	0.250936764939016	hv008	date of interview (cmc)
hv010	-0.0274315119122865	0.239051006698352	0.908699218165752	1.13039444845642e-5	0.949568332686208	hv010	number of eligible women in hh
hv011	0.116854545089585	0.181772071612934	0.520679470762296	4.56182018606754e-4	0.669480386862647	hv011	number of eligible men in hh
hv012	-0.0393442464600375	0.0679682298226102	0.563006270012419	2.99215245395001e-4	0.705707880449145	hv012	number of de jure members
hv013	-0.0350907583975391	0.0670391779241045	0.600958883928072	2.40288744944639e-4	0.732180139615767	hv013	number of de facto members
hv014	-0.307842059872664	0.15600003557434	0.049140655175757	0.00151151545175543	0.108738324771355	hv014	number of children 5 and under
hv016	0.0326909070529623	0.0181562289972697	0.0725258127861372	0.00110101137333174	0.152412252951317	hv016	day of interview
hv017	0.21748390169685	0.491224012034654	0.658192846090307	4.13817397432181e-5	0.776772033441497	hv017	number of visits
hv018	0.00400526677789492	0.00390971378719135	0.306245135181471	0.00103695699818807	0.46971275504368	hv018	interviewer identification
hv019	-0.00825689017904815	0.0550362192313513	0.880818967148274	3.37891576664973e-5	0.9305703759499	hv019	keyer identification
hv022	-0.00294344498128749	0.00454144373115434	0.51727101754195	3.83409061529894e-4	0.6689010521415	hv022	sample stratum number
hv030	0.00391929274626728	0.00386952945030719	0.311736120105091	0.00100761509189273	0.474153621420037	hv030	field supervisor
hv031	0.00375965966296656	0.00393107053037995	0.339449922691208	9.24408381659969e-4	0.502250781136146	hv031	field editor
hv032	-0.155237697225579	0.181852900335302	0.393810453751176	5.52729219446046e-4	0.560379085864114	hv032	office editor
hv035	-0.363979048887427	0.189738285669493	0.0557782604763687	0.00167928746405221	0.122153568966657	hv035	number of eligible children for height & weight
hv040	-0.00178726976348353	0.00173869851154378	0.304609255905241	2.89374301523426e-4	0.468194661847323	hv040	cluster altitude in meters
hv041	-0.0532740087558914	0.239170257257253	0.823847009236645	4.2853479280569e-5	0.894946298035331	hv041	total adults measured
hv216	-0.0356785451107387	0.256025820843863	0.889239211067287	5.1026694429912e-5	0.936472171995082	hv216	rooms used for sleeping
hv218	-10.2317431734518	1.03472183589287	8.796547e-21	1.29918510840543e-5	2.51789516631376e-20	hv218	line number of head of househ.
hv220	0.0203970853698326	0.0199986899260641	0.30837929123856	0.00100614862608339	0.47128469277671	hv220	age of head of household
hv238	0.362944882577752	0.179447608787054	0.0442269415415169	0.00327345155698588	0.0986728613236844	hv238	number of households sharing toilet
hv271	2.19089014976121e-6	2.04984524551764e-6	0.285797744176985	0.00127888261242459	0.445940446580458	hv271	wealth index factor score (5 decimals)
hml1a	-0.500603567563425	0.214133965132408	0.0198871171764965	0.00432148314279635	0.0468655201924727	hml1a	number of mosquito nets with specific information
hml2	-0.652715965563003	0.39451284408931	0.098809329324444	0.0016218877367572	0.198956631964046	hml2	number of children under bednet previous night
shnumdv	0.00597189749245822	0.0817059460925305	0.941770845689139	4.00356149843351e-6	0.967804594015031	shnumdv	line number of woman eligible for domestic violence
sh28bh	0.0809112712521777	0.0959741758301563	0.399713176083008	3.44966837787508e-4	0.564202582016687	sh28bh	time to health facility: hours
sh28bm	0.00419336747443551	0.0169120704218397	0.804302026174409	4.59108204247105e-5	0.884753466029475	sh28bm	time to health facility: minutes
sh28ch	-0.33640323672107	0.404618335700998	0.406246314974846	5.15267994559254e-4	0.568019060054157	sh28ch	time to school: hours
sh28cm	0.0128100253902639	0.0148970707805807	0.390364490944542	3.52914976003427e-4	0.556396898187013	sh28cm	time to school: minutes
sh28dh	0.0724468052413719	0.0560992226627479	0.197324310210898	3.91818442575409e-4	0.344795827595306	sh28dh	time to market place: hours
sh28dm	0.0359668463423627	0.0231909390694949	0.121738617030627	0.0038344149885754	0.237410260360056	sh28dm	time to market place: minutes
hv107	0.823290275816204	0.156743081238135	2.97480361745183e-7	0.0157458761872533	7.97751664409535e-7	hv107	highest year of education
hv108	0.0293339853500218	0.0602239901271818	0.626466126156232	2.14629764679342e-4	0.752285310419679	hv108	education in single years
hv124	-0.0561924883925455	0.0990426281746436	0.570788619041322	3.06455211526946e-4	0.710558958990746	hv124	education in single years - current school year
hv127	2.15629935745711	0.520419059661049	5.81083546577555e-5	0.0151897612007152	1.5374932985068e-4	hv127	grade of education during previous school year
hv128	-0.0700441469842801	0.108285085161121	0.518098544506201	3.831143203884e-4	0.66905126850258	hv128	education in single years - previous school year
sh15b	0.590398711914294	0.190649651027687	0.00215492978041257	0.0107694632004756	0.00544037450504837	sh15b	highest grade completed
sh20b	0.109406176610404	0.047955278967727	0.0239900308569341	1.87048833394043e-4	0.0559140687841082	sh20b	grade attended last year
hb0	0.00450486240081833	0.0948303581241538	0.962134787975804	2.21089832463939e-6	0.979927691589055	hb0	index to household schedule
hb1	0.0382746192859556	0.0174768452465433	0.0290968160255968	0.003175708113489	0.0668732077744396	hb1	men's age in years
hb32	-0.00323527649320046	0.00146981339886996	0.0282932981544434	0.00326901882997632	0.0652281152800889	hb32	date of birth (cmc)
hb69	-7.42809231277931e-8	6.17573337596666e-8	0.22976664856157	4.00916873109392e-4	0.383675470422296	hb69	hiv weight (6 decimals)
hmlidx	-16.064709877143	0.470109295797368	2.013169e-100	0.00989590201230295	2.35715141968504e-99	hmlidx	net number
