var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
ha62_0399994	1	-15.9129718469615	0.47264781583681	6.8872e-93	0.0171436476082372	4.77061968847352e-92	ha62	NA
ha12_03	1	-8.79421649437119e-4	2.20741016664264e-4	1.09964889856147e-4	0.0166590405057965	2.69577654459915e-4	ha12	Weight/Height percent ref. median (DHS)
ha12b_03	1	-6.56343197495236e-4	2.07590328605854e-4	0.00193417176765941	0.0162851997681123	0.00465436247336656	ha12b	Weight/Height percent ref. median (WHO)
hml34_0799994	1	-16.1230017482669	0.497646373104978	7.1411e-49	0.0157639685249664	2.6180108573784e-48	hml34	NA
ha11_03	1	-0.0105914672180593	0.00258403985445311	7.10307985096571e-5	0.0156710649433217	1.74516000537262e-4	ha11	Weight/Height standard deviation (DHS)
ha12a_03	1	-6.84327655335307e-4	1.70238640905796e-4	9.60256267698726e-5	0.0146623067340902	2.35665542078159e-4	ha12a	Weight/Height percent ref. median (Fog)
hml35_06_1	1	-17.7452000209999	0.589528128411126	5.9602e-88	0.0121953854630766	3.82467668109668e-87	hml35_06	Result of malaria rapid test
hml35_08_0	1	17.592457307098	0.627282132597407	4.5969e-66	0.0117213731011601	2.06907027327935e-65	hml35_08	Result of malaria rapid test
hml34_0999994	1	-14.9504496843181	1.02761501191219	2.5503e-34	0.0114145662877244	7.65262085020243e-34	hml34	NA
hml34_0899994	1	-16.0320538664083	0.627741080812322	9.8183e-60	0.01102558882383	4.08437606173994e-59	hml34	NA
hml35_08_1	1	-17.5506532860261	0.625948282638485	4.7624e-66	0.0109597107198058	2.14139462082912e-65	hml35_08	Result of malaria rapid test
hml32_08_0	1	17.5087160286478	0.637475119974298	5.0797e-64	0.0105363714154549	2.24033601585728e-63	hml32_08	Final result of malaria from blood smear test
hml32_08_1	1	-17.5071753283174	0.637462628904245	5.1277e-64	0.0104895471211933	2.25771107920792e-63	hml32_08	Final result of malaria from blood smear test
hb62_0399994	1	-15.0551825726333	0.369158132300767	3.5218e-124	0.00932813718454117	4.33835030470914e-123	hb62	NA
b9_03_4	1	1.67865808751879	0.561126035629755	0.0029516081065068	0.00894454282245827	0.00706828284848451	b9_03	child lives with whom
b9_03_0	1	-1.67865808751879	0.561126035629753	0.0029516081065068	0.00894454282245805	0.00706828284848451	b9_03	child lives with whom
hv115_06_4	1	3.31201333532767	1.40488295396999	0.0195097378546232	0.00874219253342023	0.0442200837102494	hv115_06	Current marital status
v852a	1	-0.00681233456629202	0.0020120119268088	7.90942822767678e-4	0.00862460829061562	0.00191679712961736	v852a	how long ago first had sex with most recent partner
hml34_1299994	1	-15.1933605992398	1.02261080109333	7.1011e-39	0.00813049711702729	2.30669040905771e-38	hml34	NA
b8_05	1	0.154754077701688	0.041111886083435203	2.00386887556565e-4	0.00788382298467427	4.89895815813109e-4	b8	NA
hml32a_08_0	1	17.244490519697	0.632178792874283	8.076e-69	0.00730602696288152	3.81252356687898e-68	hml32a_08	Presence of species: falciparam (Pf)
hml32a_08_1	1	-17.244490519585302	0.632178782293854	8.0759e-69	0.00730602696288152	3.81252356687898e-68	hml32a_08	Presence of species: falciparam (Pf)
ha62_0599994	1	-13.9209035416573	1.02551476779151	1.3785e-34	0.00664346361481127	4.16170366598778e-34	ha62	NA
hb63_03_1	1	16.6041161759886	0.628349513982562	4.1525e-46	0.00586545021076579	1.45288493312352e-45	hb63_03	Result of measurement - HIV
b11_01	1	0.016662627675881	0.00378483263810385	1.37102473891117e-5	0.00576287077073401	3.38343341505992e-5	b11	NA
hb61_03_1	1	16.6052693337779	0.631078146262677	1.106e-45	0.00567752141833822	3.84849921752739e-45	hb61_03	Read consent statement - HIV
b12_02	1	0.0162408564825083	0.00391084336935892	4.00775358615643e-5	0.00528438205434645	9.86302169210716e-5	b12	NA
sh19a_07_2	1	-16.4662888778681	0.554317396387323	5.2619e-67	0.00521661753536762	2.40489920863309e-66	sh19a_07	Level of education attending
b12_05	1	0.0218097576373935	0.00911782317007146	0.0173251109910559	0.0046755414612073	0.0393688137849901	b12	NA
b11_04	1	0.0217864934146946	0.0091399789128012	0.0177157901614957	0.00465049651108007	0.0402360157549394	b11	NA
hv270_2	1	-16.3726126865241	0.239394022069668	2.5209e-226	0.00463204909374348	5.60522115e-223	hv270	Wealth index
v190_2	1	-16.3726126865241	0.239394022069668	2.5209e-226	0.00463204909374348	5.60522115e-223	v190	wealth index
hv140_08_1	1	16.1847924988493	0.634330562926522	5.1504e-62	0.00452307526859363	2.19806418426104e-61	hv140_08	Member has a birth certificate
hv140_05_1	1	16.1364644379437	0.533339552267537	1.0093e-88	0.0043667086673064804	6.61999572271387e-88	hv140_05	Member has a birth certificate
hb68_02_3	1	-16.4876614558261	0.568156966548972	2.1589e-81	0.00433951040297709	1.21990194409149e-80	hb68_02	Man's highest educational level (questionnaire configuration)
hc57_03_3	1	-16.3586324268223	0.753257802665552	2.7185e-52	0.00403720106322536	1.05306354529617e-51	hc57_03	Anemia level
hb65_03_1	1	15.5663296721784	0.623508892058182	5.1005e-44	0.00393796369483579	1.74476334615385e-43	hb65_03	Result of man's individual interview
sh19a_03_3	1	-15.5899615206503	0.401317927014252	3.1199e-118	0.00386333943228501	3.4257272345679e-117	sh19a_03	Level of education attending
hb62_0499994	1	-13.8989706586265	0.748389875502246	4.2291e-55	0.00349456241094948	1.67171624e-54	hb62	NA
