var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hml34_0599994	1	-16.0436660039934	0.629003524215895	1.766799e-37	0.0394395698071327	5.87735408971292e-37	hml34	NA
hc10_03	1	-0.00715690971054054	0.00281005520501929	0.0120528106318689	0.0363008463903427	0.0271407824835849	hc10	Weight/Height percentile
hml34_0399994	1	-16.1021706433412	0.565010035466198	1.491497e-29	0.035634753529766	4.52822397052402e-29	hml34	NA
hml34_0699994	1	-16.0448615158741	0.456466471186512	1.087551e-64	0.0282997268614547	5.29681143782837e-64	hml34	NA
hml4_4	1	-0.451044941138747	0.0492645821344292	5.610313e-17	0.0282162370136795	1.41069443517179e-16	hml4	Months ago net obtained
hc12_03	1	-0.00200267244882099	3.72115345446733e-4	3.39564027855564e-7	0.026475625807838	8.27631517498969e-7	hc12	Weight/Height percent of ref. median
hc11_03	1	-0.0176240469207166	0.00320602707693632	2.00787953101065e-7	0.0261960079862598	4.89816927696545e-7	hc11	Weight/Height standard deviation
hc7_03	1	-0.0210187865954669	0.00598055376766069	6.09728552191358e-4	0.0251340697558536	0.00146303287631076	hc7	Weight/Age percentile
hc73_03	1	-0.0113689305294358	0.00214793020911502	4.97148806755749e-7	0.0226432611883254	1.21065747074233e-6	hc73	BMI standard deviation (new WHO)
hml35_06_1	1	-17.2427720167558	0.512486868591162	3.404211e-85	0.0213114449347857	2.17135568600917e-84	hml35_06	Result of malaria rapid test
hml34_0499994	1	-16.2651034466411	0.648172884629912	1.015388e-36	0.0200035692459487	3.34572752132701e-36	hml34	NA
hc72_03	1	-0.00978112795951098	0.0020084780532365	3.18451239849684e-6	0.0197027594021902	7.73461046307398e-6	hc72	Weight/Height standard deviation (new WHO)
hc8_03	1	-0.00962283058786946	0.00207113638803228	8.28215241370842e-6	0.0122740134005381	2.00632977896543e-5	hc8	Weight/Age standard deviation
hc9_03	1	-8.94936049218644e-4	1.87942408386988e-4	5.11081374750722e-6	0.0115913188694816	1.23916068280886e-5	hc9	Weight/Age percent of ref. median
hc15_03_2	1	17.5693036682997	0.784431066905256	9.245025e-46	0.0115601184271282	3.43722119318182e-45	hc15_03	Height: lying or standing
hc15_03_1	1	-17.5194886877838	0.784792331323283	1.289482e-45	0.0107071998616974	4.78778296662216e-45	hc15_03	Height: lying or standing
hc71_03	1	-0.00731098597480792	0.00167296855985125	2.51790974502788e-5	0.0105710596472599	6.08367245953304e-5	hc71	Weight/Age standard deviation (new WHO)
chl3_05_0	1	-18.4443404149149	1.02719189104193	2.70201e-36	0.0105315037940877	8.84035076823529e-36	chl3_05	Fetched wood or water
chl3_05_1	1	18.4443404160342	1.02719190428398	2.702013e-36	0.0105315037940876	8.84035076823529e-36	chl3_05	Fetched wood or water
sh19a_06_1	1	17.5935213210234	0.587892675786348	1.295528e-72	0.0098289904538934	7.02312547368421e-72	sh19a_06	Level of education attending
v784l_2	1	-3.42880150636627	0.85933485527314	7.88022030907611e-5	0.00898216639455374	1.89739330558808e-4	v784l	place for hiv test: private doctor
v784l_3	1	3.42880150636627	0.859334855273144	7.88022030907671e-5	0.00898216639455363	1.89739330558808e-4	v784l	place for hiv test: private doctor
hv140_04_1	1	16.7103848640231	0.594579245343832	2.899284e-73	0.00847012002133118	1.59661560475248e-72	hv140_04	Member has a birth certificate
sh17a_06_1	1	17.427046388825	0.620569056524383	2.509085e-71	0.00830290343418372	1.34187795865385e-70	sh17a_06	Level of education attended (original country codes)
hml4_3	1	-0.196806132437199	0.0482472613325052	5.71206585090843e-5	0.00814271637157182	1.37773244851486e-4	hml4	Months ago net obtained
sh17a_01_3	1	-16.8044161406475	0.405171828791428	1.483159e-109	0.00780743654502436	1.25369762279635e-108	sh17a_01	Level of education attended (original country codes)
sh17a_3	1	-16.6349412089821	0.373015421461627	9.756475e-126	0.00771827869511277	1.03956923275862e-124	sh17a	Level of education attended (original country codes)
chl7_05_0	1	-18.0714190195056	1.02566054909378	1.467171e-35	0.0075111384672869	4.73891120905923e-35	chl7_05	Did domestic household work
chl7_05_1	1	18.0714190196682	1.02566055092621	1.467171e-35	0.00751113846728679	4.73891120905923e-35	chl7_05	Did domestic household work
hml7_4_11	1	-16.4028570378254	0.692334415719428	7.251153e-61	0.00658476770741134	3.37214991521739e-60	hml7_4	Brand of net
sh19a_06_2	1	-16.4719827392714	0.6026589355342	1.081397e-66	0.00652286632830545	5.42845678158845e-66	sh19a_06	Level of education attending
hv118_01_1	1	16.4626927162832	0.256041764736616	2.54116e-213	0.00579816892159024	3.533527476e-210	hv118_01	Eligibility for male interview
hv118_01_0	1	-16.4626927179147	0.256041773376705	2.541192e-213	0.00579816892159002	3.533527476e-210	hv118_01	Eligibility for male interview
hc55_02_0	1	16.5997252444519	0.426046080056372	3.095948e-120	0.00574349947046715	3.02102859789474e-119	hc55_02	Result of measurement - hemoglobin
hc57_02_9	1	-16.5997252470377	0.426046099805211	3.095984e-120	0.00574349947046715	3.02102859789474e-119	hc57_02	Anemia level
hml17_01_0	1	-16.46162520684	0.256387902697995	4.264059e-213	0.00570380795340841	3.952782693e-210	hml17_01	Flag for age from Individual file
hml34_0899994	1	-15.1036226827509	0.632664273925479	1.351689e-63	0.00565209407459266	6.50354171107266e-63	hml34	NA
sh17a_07_1	1	16.9982619217951	1.05147150539511	6.467576e-36	0.0055066566130797	2.10366419368421e-35	sh17a_07	Level of education attended (original country codes)
sh17a_06_2	1	-16.3145095429081	0.645352884536413	3.405083e-64	0.00549213383816916	1.64687579530435e-63	sh17a_06	Level of education attended (original country codes)
hb0_01	1	-14.5935170666268	0.326925912009272	1.175205e-157	0.00546906992992124	2.5335233372093e-156	hb0	Index to Household Schedule
v769a_10	1	16.2964969062403	0.531136151870894	1.894924e-68	0.0051961221070902	9.81337736312849e-68	v769a	can get a female condom
v769a_9	1	-16.2964969059252	0.531136142844375	1.89492e-68	0.00519612210709008	9.81337736312849e-68	v769a	can get a female condom
hv023_6	1	-16.5231773302277	0.285316561577382	7.095786e-197	0.00500446060116477	1.51795237430769e-194	hv023	Stratification used in sample design
mv023_6	1	-16.5231773302277	0.285316561577382	7.095786e-197	0.00500446060116477	1.51795237430769e-194	mv023	Sample domain
hv140_03_0	1	-15.0556181222164	0.41065083907325	1.269002e-96	0.00460470932085155	9.26271538582677e-96	hv140_03	Member has a birth certificate
hc55_02_9	1	-16.5544863449705	0.42862022437813	2.836616e-119	0.00459177350616435	2.73562158581315e-118	hc55_02	Result of measurement - hemoglobin
hv140_04_0	1	-16.5533994536487	0.609112930477401	7.53415e-71	0.00451937236025457	3.99856319656489e-70	hv140_04	Member has a birth certificate
idxchl_05	1	-0.659038388359344	0.0812993427032305	4.251151e-13	0.00448785433248688	1.04530954297082e-12	idxchl	Index to household schedule
mv252_8	1	-15.5384523810908	0.368128953051985	8.392454e-137	0.00419027593963417	1.08555416623256e-135	mv252	Amount a child should drink, when that child has diarrhea
hml7_2_11	1	-17.0115876180986	0.357953761212025	3.732494e-163	0.00418880683677225	9.96152346e-162	hml7_2	Brand of net
sh136_4_6	1	-16.2746047463605	0.72415120971593006	1.919579e-57	0.00416844874647515	8.4201091466877e-57	sh136_4	Where net obtained
hc68_03_0	1	16.9664493229754	1.03533002384301	1.653173e-32	0.00399544372338378	5.14834727099664e-32	hc68_03	Mother's highest educational level (questionnaire configuration)
hb62_0399994	1	-16.3930473101195	0.423789129448195	3.727724e-109	0.00399115686291396	3.10383246826347e-108	hb62	NA
hml34_0799994	1	-16.2662335848773	0.46747282898671	3.866846e-73	0.00389582204544336	2.11686982795276e-72	hml34	NA
hc57_03_4	1	-16.0641867175009	0.805601725584447	6.307851e-42	0.00366863286966834	2.22615909022843e-41	hc57_03	Anemia level
hv140_06_2	1	-15.8940886643385	0.557773684589484	2.470178e-70	0.00365169542602151	1.30352277381404e-69	hv140_06	Member has a birth certificate
hv124_08	1	-15.0340053493491	0.733011392333982	7.605736e-58	0.00352568445301082	3.35206843359746e-57	hv124	Education in single years - current school year
hv122_08_0	1	16.7400468833112	0.663298452187976	2.613931e-74	0.00352568437936818	1.45678198617234e-73	hv122_08	Educational level during current school year
hv121_08_0	1	16.7400468833112	0.663298452187976	2.613931e-74	0.00352568437936818	1.45678198617234e-73	hv121_08	Member attended school during current school year
hv121_08_2	1	-16.7400468843013	0.663298451803804	2.613931e-74	0.00352568437936807	1.45678198617234e-73	hv121_08	Member attended school during current school year
ha50_02_2	1	16.0013790361279	0.564189110100657	1.553668e-82	0.00343832324663351	9.51710267180617e-82	ha50_02	Under age 18
ha50_02_1	1	-16.0013790378273	0.564189118314458	1.553673e-82	0.00343832324663351	9.51710267180617e-82	ha50_02	Under age 18
hc4_03	1	-2.43502309803699e-4	8.88887217903685e-5	0.00703384473107291	0.00323119232868729	0.0160468598827841	hc4	Height/Age percentile
hv140_04_2	1	-15.5468807157256	0.615306130223959	9.776681e-66	0.003081341337277	4.82929837673179e-65	hv140_04	Member has a birth certificate
hc61_03_2	1	-16.1330553802939	0.837238523819086	1.910182e-40	0.00304367460525301	6.6402701775e-40	hc61_03	Mother's highest educational level
hv121_0	1	15.36790479651	0.272811290415944	1.388696e-192	0.00302316556088378	1.37931839357143e-190	hv121	Member attended school during current school year
hv122_0	1	15.36790479651	0.272811290415944	1.388696e-192	0.00302316556088378	1.37931839357143e-190	hv122	Educational level during current school year
hv121_2	1	-15.3679047998372	0.272811315599927	1.388742e-192	0.00302316556088367	1.37931839357143e-190	hv121	Member attended school during current school year
hv118_05_0	1	16.2643899569919	0.348597467286244	4.133185e-162	0.00302168281820092	1.03556948837838e-160	hv118_05	Eligibility for male interview
hv118_05_1	1	-16.2643899619356	0.348597506802479	4.133341e-162	0.0030216828182007	1.03556948837838e-160	hv118_05	Eligibility for male interview
v739_6	1	15.6522720514285	0.326759886087044	1.407418e-142	0.0030093365487982	1.96684897386935e-141	v739	person who usually decides how to spend respondent's earnings
hv124	1	-3.26642332336107	0.310920673922921	5.734156e-23	0.00300222075695367	1.64738510702479e-22	hv124	Education in single years - current school year
sh17a_07_2	1	-16.824367776119	1.09194788694027	7.903276e-34	0.00291867458345518	2.49477985879682e-33	sh17a_07	Level of education attended (original country codes)
hv106_08_1	1	-16.6884259846882	0.663018450555131	4.403416e-74	0.00290761674875584	2.44429139640719e-73	hv106_08	Highest educational level attained
hv140_05_2	1	-15.0684626587491	0.528743934247953	1.38546e-73	0.0027665664447114	7.64477035714286e-73	hv140_05	Member has a birth certificate
hv215_12	1	-15.3333778963785	0.26770354793789	3.652478e-195	0.00273409436256267	5.64307851e-193	hv215	Main roof material
hv109_08_1	1	-16.6714884157348	0.664257398600101	7.730894e-74	0.00270091384107995	4.28279207450199e-73	hv109_08	Educational attainment
ha0_01	1	-1.03689606862621	0.104729308303271	8.244205e-21	0.00269882536292076	2.26329063228036e-20	ha0	Index to Household Schedule
v312_19	1	15.3265846911302	0.270976595669899	3.27408e-193	0.00262211369497156	3.642086592e-191	v312	current contraceptive method
mv313_0	1	15.3265846911302	0.270976595669899	3.27408e-193	0.00262211369497156	3.642086592e-191	mv313	Current contraceptive by method type
v761_2	1	15.5540133134398	0.291684062733164	3.828446e-180	0.00261656812484801	1.97167544e-178	v761	condom used during last sex with most recent partner
v761_3	1	-15.5540133151549	0.29168407397563	3.828496e-180	0.0026165681248479	1.97167544e-178	v761	condom used during last sex with most recent partner
hb68_02_3	1	-15.9737412664356	0.528357861859844	4.919613e-88	0.00260263755132284	3.22675560212264e-87	hb68_02	Man's highest educational level (questionnaire configuration)
hml34_0999994	1	-15.224885393081	1.02645185981921	4.27721e-36	0.00257001486073327	1.39775805052879e-35	hml34	NA
hv106_06_2	1	-16.1177691365898	0.429768400836594	1.333152e-127	0.00255720578534802	1.45391988705882e-126	hv106_06	Highest educational level attained
hv109_06_3	1	-16.1196926196549	0.430216833443429	1.744537e-127	0.00254079871410617	1.89513960820312e-126	hv109_06	Educational attainment
hv101_07_3	1	16.4186432506538	0.664541064492637	6.011498e-77	0.00242123575672748	3.41880898527607e-76	hv101_07	Relationship to head
sh19a_03_3	1	-16.1772375911961	0.620898644975601	1.949822e-72	0.00241919004574898	1.0549523311284e-71	sh19a_03	Level of education attending
mv743b_4	1	-15.4445063928398	0.281810107257992	9.323302e-185	0.00238503081682651	6.64823150307692e-183	mv743b	Person who should have greater say: large household purchases
mv252_4	1	-15.4835818564885	0.374780146549521	3.648157e-134	0.0023821983000708	4.48917018451327e-133	mv252	Amount a child should drink, when that child has diarrhea
sh17a_04_3	1	-16.1520725716062	0.485214601348181	8.233638e-99	0.00237165571877607	6.1060659408e-98	sh17a_04	Level of education attended (original country codes)
hv122_2	1	-15.3320426721984	0.278774375034087	6.887536e-189	0.00235025443738091	6.17878632774194e-187	hv122	Educational level during current school year
mv313_3	1	-15.3040334965837	0.268769781268	2.995023e-194	0.00234960931180639	4.38376787526316e-192	mv313	Current contraceptive by method type
hv122_06_2	1	-16.1188656836346	0.409676693379854	1.002734e-133	0.00232350272658421	1.21773067860262e-132	hv122_06	Educational level during current school year
hml32b_03_1	1	-15.0274873221638	0.46420979807067	4.254801e-90	0.00231858379680172	2.89305662127139e-89	hml32b_03	Presence of species: malari (Pm)
hml32b_03_0	1	15.0274873211143	0.464209797777604	4.2548e-90	0.0023185837968015	2.89305662127139e-89	hml32b_03	Presence of species: malari (Pm)
hv118_06_0	1	16.0507943318823	0.42391861549333	8.23474e-129	0.00230789394827646	9.12382945816733e-128	hv118_06	Eligibility for male interview
hv118_06_1	1	-16.0507943303431	0.423918600454963	8.234654e-129	0.00230789394827635	9.12382945816733e-128	hv118_06	Eligibility for male interview
hc57_03_9	1	-15.9144285744621	0.79464226632912	4.080251e-42	0.00230106110463801	1.44182694167726e-41	hc57_03	Anemia level
hc55_03_0	1	15.9144285759839	0.794642265493195	4.080251e-42	0.00230106110463779	1.44182694167726e-41	hc55_03	Result of measurement - hemoglobin
hc13_02_0	1	15.4471305107631	0.467741928123131	1.417403e-102	0.00221217137302232	1.10724655702247e-101	hc13_02	Result of measurement - height/weight
hv122_08_1	1	-16.626900543391	0.668467337277161	4.449838e-73	0.00218802037809318	2.43123761846758e-72	hv122_08	Educational level during current school year
sh19a_04_3	1	-15.1561568258728	0.537247819268547	1.277095e-78	0.0021406580887051202	7.44570481132075e-78	sh19a_04	Level of education attending
sh17a_03_3	1	-16.0750309922526	0.515628543915098	1.601069e-93	0.00212384396536769	1.11036730399002e-92	sh17a_03	Level of education attended (original country codes)
hc68_03_2	1	-15.8070618509502	1.06681259917002	5.819832e-29	0.00202028788552633	1.75541787331887e-28	hc68_03	Mother's highest educational level (questionnaire configuration)
hc57_01_1	1	-15.3988828421097	0.30418996683199	8.947752e-174	0.00201096240844678	3.36266193405405e-172	hc57_01	Anemia level
hml33_05_0	1	14.987402489947	0.603608887992385	6.845323e-67	0.00196166469887338	3.45496247967332e-66	hml33_05	Result of malaria measurement
ha62_0399994	1	-15.1393963693423	0.543471097920802	2.16522e-86	0.00195771881845486	1.40034344651163e-85	ha62	NA
v780_11	1	-15.2572901502143	0.273715164092127	2.131045e-190	0.00183159279555745	1.975478715e-188	v780	children should be taught about condoms to avoid aids
hc55_03_9	1	-15.8806558238389	0.808028137434089	2.692722e-41	0.00168008027144961	9.419446392452831e-41	hc55_03	Result of measurement - hemoglobin
hc70_03	1	-4.31381707437067e-4	1.22009197134027e-4	5.64283153329709e-4	0.00167780979305387	0.00135515669206383	hc70	Height/Age standard deviation (new WHO)
hb62_0499994	1	-15.3043722368745	0.663087358620236	2.30278e-72	0.00165165265589096	1.24109131395349e-71	hb62	NA
hv217_5	1	-15.2705361635899	0.299832790626942	3.527291e-177	0.001621493479398	1.72094671421053e-175	hv217	Relationship structure
sh136_4_4	1	-15.1684571601047	0.782577852658174	2.079066e-48	0.0016137655323597	7.93125177777778e-48	sh136_4	Where net obtained
sh19a_06_3	1	-15.1309912508449	0.665300474558353	2.383589e-55	0.00156498167005292	1.0089438369863e-54	sh19a_06	Level of education attending
sh17a_02_4	1	-14.4610461421863	0.585129555449952	1.156387e-60	0.00155657382260543	5.34204692192691e-60	sh17a_02	Level of education attended (original country codes)
hml6_2_1	1	15.8152809194582	0.371525505269298	1.113047e-147	0.00152909785511479	1.82081394529412e-146	hml6_2	Net treatment status
hml8_2_2	1	15.8152809194582	0.371525505269298	1.113047e-147	0.00152909785511479	1.82081394529412e-146	hml8_2	Net treated since receiving
sh17a_07_3	1	-15.6029428442521	1.01072292653007	6.540089e-34	0.00151887434712206	2.06681676238636e-33	sh17a_07	Level of education attended (original country codes)
hv212_1	1	-15.2995343935482	0.311526390825897	1.016357e-171	0.00151718193896722	3.62370361153846e-170	hv212	Has car/truck
hv212_0	1	15.2995343871866	0.311526360133204	1.016323e-171	0.00151718193896699	3.62370361153846e-170	hv212	Has car/truck
hml34_1099994	1	-15.1040575102677	0.492409263810907	8.916197e-96	0.00151240065847158	6.40722063488372e-95	hml34	NA
mv307_05_1	1	-15.3289263034045	0.284281676261142	8.836659e-185	0.00151231951171638	6.46703912605263e-183	mv307_05	Contraceptive method currently used
mv307_05_0	1	15.3289262989817	0.284281649702331	8.836372e-185	0.00151231951171638	6.46703912605263e-183	mv307_05	Contraceptive method currently used
hc61_01_9	1	-15.4173810016285	0.322075991443363	1.358939e-165	0.00148698731805197	3.85633608061225e-164	hc61_01	Mother's highest educational level
ha68_02_3	1	-15.8063182039359	0.591529788713834	2.028292e-77	0.0014780461225069	1.16542976280992e-76	ha68_02	Woman's highest educational level (questionnaire configuration)
hc61_02_9	1	-15.3778431031588	0.455713016690993	8.191054e-105	0.00146223806296886	6.50837747828571e-104	hc61_02	Mother's highest educational level
hml31_05_1	1	14.9762328227138	0.637193275290372	5.787613e-63	0.00145121785695523	2.76552435618557e-62	hml31_05	Read consent statement for malaria
v823_10	1	-15.2357312327644	0.256706724478274	4.212451e-200	0.00144845683815065	1.464353278875e-197	v823	can get hiv by witchcraft or supernatural means
v739_8	1	-14.5540171472384	0.354504076861949	3.861293e-125	0.00143671404514079	4.06752114886364e-124	v739	person who usually decides how to spend respondent's earnings
hc13_03_0	1	14.8720354956611	0.817359896631649	5.042636e-38	0.00139981822691781	1.69982675345455e-37	hc13_03	Result of measurement - height/weight
hv118_08_0	1	15.51060105634	0.680651456612556	6.618722e-66	0.00139169788552429	3.28690462178571e-65	hv118_08	Eligibility for male interview
hv118_08_1	1	-15.510601056184	0.680651450178863	6.618711e-66	0.00139169788552418	3.28690462178571e-65	hv118_08	Eligibility for male interview
hv253_1	1	-15.1568649276631	0.295835263157001	4.454964e-178	0.0013829358316978	2.21236694357143e-176	hv253	Has dwelling been sprayed against mosquitoes in last 12 months
hml8_2_0	1	-15.8148227689474	0.374795286333886	1.810005e-146	0.0013610708847962	2.82787859831461e-145	hml8_2	Net treated since receiving
hc52_02_1	1	14.6175746354472	0.534178321429715	9.956432e-81	0.00135958118625301	5.94181059914163e-80	hc52_02	Read consent statement - hemoglobin
sh17a_03_4	1	-15.0022282941407	0.518655319511665	1.659556e-86	0.00132855104323926	1.08084900140515e-85	sh17a_03	Level of education attended (original country codes)
hv140_08_1	1	15.9622227166323	1.01858516120469	6.304682e-33	0.00132668184922957	1.97447304527027e-32	hv140_08	Member has a birth certificate
hml21_3_1	1	15.7403515182917	0.556270045250235	2.479061e-89	0.00132397443037513	1.66528228043478e-88	hml21_3	Someone slept under this net last night
v778_11	1	-15.2449084396621	0.283291488153037	5.173665e-185	0.00131116177539592	3.9966562125e-183	v778	willing to care for relative with aids
hml31_06_3	1	-14.7279697132525	0.630582118113829	1.478404e-59	0.00130886433828981	6.64207031340872e-59	hml31_06	Read consent statement for malaria
hml33_06_5	1	-14.7279697132525	0.630582118113829	1.478404e-59	0.00130886433828981	6.64207031340872e-59	hml33_06	Result of malaria measurement
