var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hml34_0499994	1	-16.2009849545259	0.552212178901606	1.069189e-40	0.024606157248108	3.06874036544503e-40	hml34	NA
hml34_0399994	1	-16.3559025517978	0.492394204164878	2.495587e-49	0.018270472775109	7.91713422106482e-49	hml34	NA
idxchl_05	1	-18.6782636232634	1.05466021687979	6.553671e-37	0.0176562294696228	1.72230222540748e-36	idxchl	Index to household schedule
ha67_02	1	-1.13558830367669	0.180410257244354	6.931404e-9	0.0154285253875421	1.25488628560106e-8	ha67	Woman's highest year of education
hml34_0799994	1	-15.1804564350893	0.62087445690494	6.683253e-57	0.015214653461422	2.34255709373402e-56	hml34	NA
hml34_0599994	1	-16.4067501549852	0.577460008790552	7.344189e-41	0.0112196752733049	2.11232130629591e-40	hml34	NA
chl3_05_0	1	-18.5178336941524	1.01903083911913	5.697227e-38	0.0109707569929637	1.53550631337266e-37	chl3_05	Fetched wood or water
chl3_05_1	1	18.5178336925501	1.01903083346813	5.697224e-38	0.0109707569929637	1.53550631337266e-37	chl3_05	Fetched wood or water
hml34_0899994	1	-15.217023312299	0.79691301702878	4.837302e-49	0.00929474601995339	1.52930158961938e-48	hml34	NA
hml34_0699994	1	-15.3990521396162	0.709793624404894	1.84908e-42	0.00887903323608308	5.3975807028754e-42	hml34	NA
chl7_05_1	1	18.0826553221784	1.01696687439698	4.500082e-37	0.00770043019092759	1.18831645105973e-36	chl7_05	Did domestic household work
chl7_05_0	1	-18.0826553232353	1.01696687440434	4.500082e-37	0.00770043019092759	1.18831645105973e-36	chl7_05	Did domestic household work
hc7_03	1	-0.0042627285250763	7.66685056928987e-4	1.66010098337139e-7	0.00653857660517287	2.98774576193104e-7	hc7	Weight/Age percentile
hc4_03	1	-0.0019291533091241	3.46781962371547e-4	1.63706534247208e-7	0.00647240895356105	2.94822345842048e-7	hc4	Height/Age percentile
hc15_03_2	1	17.8982494279793	1.01604533535309	4.519558e-35	0.00609657409937736	1.13652371357798e-34	hc15_03	Height: lying or standing
hc15_03_1	1	-17.8608823363942	1.01599920423858	5.396747e-35	0.00573890321706994	1.35586466791934e-34	hc15_03	Height: lying or standing
hml35_06_1	1	-17.8235155768952	1.0022249815923	4.691999e-43	0.00567372201031568	1.37843186055734e-42	hml35_06	Result of malaria rapid test
hml34_1199994	1	-14.3785606398656	0.877524703264947	7.454181e-45	0.00538735397461154	2.24034102203947e-44	hml34	NA
hb62_0399994	1	-15.6375391385262	0.460137405294732	2.446528e-99	0.0050674944924517	1.5345385006865e-98	hb62	NA
hv140_08_1	1	16.3237851207825	0.617611981919596	1.077225e-56	0.00493189247356451	3.76616546556122e-56	hv140_08	Member has a birth certificate
hc10_03	1	-7.4376393029399e-4	8.42017338558537e-5	1.014333e-14	0.00489120307655055	1.87984229411765e-14	hc10	Weight/Height percentile
hv140_04_1	1	16.2076594132592	0.73022770181135	3.590776e-58	0.00471486104147179	1.27822298909091e-57	hv140_04	Member has a birth certificate
v769a_10	1	16.6518475401002	1.03979296063712	2.763617e-34	0.00387143349231778	6.8614802509058e-34	v769a	can get a female condom
v769a_9	1	-16.6518475384609	1.03979295878783	2.763616e-34	0.00387143349231778	6.8614802509058e-34	v769a	can get a female condom
hml7_2_11	1	-16.8247598937081	0.37593035556463	2.350151e-153	0.00363774898986136	6.64099370206186e-152	hml7_2	Brand of net
hc55_02_0	1	16.8873948233866	0.536502915503477	1.032854e-99	0.00339245594331117	6.55340740972222e-99	hc55_02	Result of measurement - hemoglobin
hc57_02_9	1	-16.8873948242546	0.536502931293555	1.032861e-99	0.00339245594331106	6.55340740972222e-99	hc57_02	Anemia level
sh17a_01_3	1	-15.9561880977176	0.542452718711819	3.166558e-81	0.0033053634257153	1.5042522492201e-80	sh17a_01	Level of education attended (original country codes)
hc9_03	1	-6.14303456987578e-4	1.16024445171479e-4	5.47112644853254e-7	0.00320351199100077	9.8207973774903e-7	hc9	Weight/Age percent of ref. median
hv140_08_0	1	-16.2406191113699	0.636432724407883	6.673314e-55	0.00319313802725851	2.27790207646326e-54	hv140_08	Member has a birth certificate
hc71_03	1	-0.0054935532714817	0.00103631579008076	5.09244574987037e-7	0.00312955141965565	9.14704705137266e-7	hc71	Weight/Age standard deviation (new WHO)
v754wp_9	1	16.7457648347789	0.333429093336016	2.731358e-176	0.00288327968093338	3.743326139e-174	v754wp	can get hiv by sharing food with person who has aids
ha50_02_1	1	-15.8761758748192	0.547252241540515	2.256493e-84	0.00284168197115975	1.12865826879562e-83	ha50_02	Under age 18
ha50_02_2	1	15.876175875394	0.547252237107059	2.256489e-84	0.00284168197115964	1.12865826879562e-83	ha50_02	Under age 18
hc8_03	1	-0.00584537085897239	0.00108425052724997	3.55801771811501e-7	0.00277736378204341	6.39509938711688e-7	hc8	Weight/Age standard deviation
hv101_07_3	1	16.4302919699391	0.509355275879616	8.938702e-105	0.00270523796335265	6.09477168706468e-104	hv101_07	Relationship to head
hc55_02_9	1	-15.834892005591	0.534619105460426	1.927272e-93	0.00264872518127734	1.11683986300211e-92	hc55_02	Result of measurement - hemoglobin
